Date,Open,High,Low,Close,Volume,OpenInt
20000630,13.08,13.971,12.019,13.497,3714391,0
20000703,13.6,13.6,12.691,13.023,822275,0
20000705,12.843,13.023,11.839,12.208,3152692,0
20000706,12.218,12.313,10.001,10.778,3796747,0
20000707,10.797,11.461,10.182,11.337,2047035,0
20000710,11.251,12.919,10.778,11.811,2982072,0
20000711,11.603,12.786,10.987,11.461,2942375,0
20000713,14.15,15.097,12.805,14.3,6223454,0
20000714,14.32,14.32,12.899,13.08,1905975,0
20000717,13.203,14.348,12.313,14.019,1666093,0
20000718,13.734,15.315,13.316,14.86,2286917,0
20000719,14.974,16.101,14.387,15.656,3240116,0
20000721,16.101,16.442,14.566,14.576,1480266,0
20000724,15.646,15.646,13.023,13.023,3506183,0
20000725,13.373,13.763,12.493,13.402,1677073,0
20000726,13.44,13.44,12.019,12.474,2031829,0
20000727,12.37,12.37,11.006,11.442,2567767,0
20000728,11.698,11.725,10.655,11.725,1915266,0
20000731,11.792,11.867,10.778,10.816,1754782,0
20000801,11.006,11.128,10.182,10.229,944329,0
20000802,10.21,11.006,9.85,10.892,2002690,0
20000803,10.655,12.691,10.494,12.691,1582893,0
20000804,12.416,13.677,12.416,13.677,1557131,0
20000807,13.923,13.971,12.625,13.023,519886,0
20000808,13.08,13.469,12.786,12.786,341663,0
20000809,13.042,13.261,12.313,12.455,389812,0
20000810,12.625,12.625,11.839,12.313,317170,0
20000811,12.313,12.493,11.735,12.284,141479,0
20000814,12.133,12.313,11.725,11.811,626317,0
20000815,11.782,12.17,11.603,12.076,215389,0
20000816,12.123,13.052,12.076,12.995,782153,0
20000817,13.023,13.08,12.133,12.521,607311,0
20000818,12.521,12.786,12.076,12.37,209897,0
20000821,12.37,13.146,12.133,13.023,277893,0
20000822,12.786,13.705,12.786,13.232,400791,0
20000823,13.232,13.279,12.493,12.672,479766,0
20000824,12.616,13.261,12.55,13.052,2031408,0
20000825,13.203,13.544,12.578,13.117,1845582,0
20000830,15.646,17.684,15.628,16.631,1865854,0
20000831,16.602,17.502,16.518,16.897,898296,0
20000901,17.2,17.36,16.602,16.992,493705,0
20000905,16.727,18.413,16.631,17.729,1085387,0
20000906,17.635,20.183,17.635,19.653,2835523,0
20000907,19.7,23.025,19.303,22.617,2911120,0
20000908,23.233,23.962,22.021,22.466,4158261,0
20000911,22.021,22.475,20.448,22.229,3442411,0
20000912,22.229,24.464,21.669,23.393,2329151,0
20000913,23.204,24.863,22.949,24.038,1349767,0
20000914,24.473,25.989,23.319,23.678,2498082,0
20000915,24.038,24.151,22.882,22.987,594640,0
20000918,22.229,24,21.205,21.282,1884859,0
20000919,21.205,21.679,19.777,21.367,1723952,0
20000920,21.34,22.968,21.197,22.143,2028028,0
20000921,22.021,22.229,20.524,21.784,634762,0
20000922,20.619,21.547,19.917,21.158,932503,0
20000925,21.698,22.371,19.653,20.496,1173656,0
20000926,20.004,20.363,17.995,19.207,1625548,0
20000927,19.473,19.89,17.522,17.939,761461,0
20000928,17.758,18.971,17.408,18.413,1730286,0
20000929,18.355,18.705,17.729,18.26,1179989,0
20001002,18.26,19.709,18.251,18.763,1031331,0
20001003,19.057,19.624,18.355,18.384,1363701,0
20001004,18.08,18.157,16.811,17.703,1463797,0
20001005,17.901,18.468,17.437,17.995,639830,0
20001006,18.232,18.232,17.257,17.257,576903,0
20001009,17.257,19.094,17.257,18.886,1080321,0
20001010,18.83,19.569,18.734,18.914,1781387,0
20001011,18.413,20.818,18.384,19.653,1547417,0
20001012,20.628,20.628,19.359,20.023,747946,0
20001013,20.004,21.897,20.004,21.49,675729,0
20001016,21.669,21.669,18.724,19.359,570568,0
20001017,15.049,15.049,13.052,13.517,25734678,0
20001018,12.606,13.023,11.603,11.972,5974281,0
20001019,12.777,13.316,12.55,13.098,4227522,0
20001020,13.146,14.71,13.023,14.32,4964487,0
20001023,14.255,14.264,13.279,14.131,1574446,0
20001024,14.046,14.31,13.894,13.971,1031752,0
20001025,13.497,13.497,12.474,12.786,1527567,0
20001026,12.995,12.995,11.952,12.133,2130234,0
20001027,12.341,13.44,12.313,12.815,876334,0
20001030,12.843,12.88,12.199,12.407,1434656,0
20001031,12.559,13.6,12.455,13.203,1359480,0
20001101,13.023,13.052,12.104,12.313,954887,0
20001102,12.37,12.862,12.37,12.578,2080397,0
20001103,12.786,12.786,12.445,12.55,699801,0
20001106,12.606,13.261,12.55,12.759,422752,0
20001107,11.952,11.952,11.423,11.555,1843470,0
20001108,11.611,11.839,11.461,11.461,682062,0
20001109,11.461,11.498,11.024,11.479,980226,0
20001110,11.423,11.423,10.125,10.873,2276780,0
20001113,10.835,11.308,10.21,11.024,426132,0
20001114,11.308,11.725,11.128,11.461,369961,0
20001115,11.735,12.076,11.224,11.782,645742,0
20001116,11.489,11.507,10.476,10.684,2424175,0
