Date,Open,High,Low,Close,Volume,OpenInt
19900326,3.8291,3.8291,3.784,3.784,153039,0
19900327,3.784,3.8112,3.7474,3.784,518487,0
19900328,3.784,3.784,3.7474,3.784,17150,0
19900329,3.784,3.7929,3.7204,3.7474,865463,0
19900330,3.7474,3.7474,3.7204,3.7474,996074,0
19900402,3.7383,3.7383,3.7019,3.7019,398428,0
19900403,3.7383,3.7383,3.7019,3.7383,135888,0
19900404,3.7383,3.7383,3.693,3.693,546190,0
19900405,3.7019,3.7383,3.693,3.7204,783666,0
19900406,3.7019,3.7383,3.7019,3.7019,692633,0
19900409,3.7204,3.7204,3.6748,3.7204,362808,0
19900410,3.7204,3.7204,3.693,3.7019,230878,0
19900411,3.7204,3.7204,3.693,3.693,47494,0
19900412,3.693,3.7204,3.693,3.7204,102905,0
19900416,3.693,3.7383,3.693,3.7383,526402,0
19900417,3.7474,3.7656,3.7019,3.7656,154357,0
19900418,3.7474,3.784,3.7383,3.7656,610835,0
19900419,3.784,3.784,3.7474,3.7474,1153069,0
19900420,3.7474,3.784,3.7474,3.7656,89712,0
19900423,3.784,3.784,3.7474,3.784,62006,0
19900424,3.7474,3.784,3.7474,3.784,77839,0
19900425,3.784,3.784,3.7474,3.7474,84435,0
19900426,3.7383,3.784,3.7383,3.7383,300801,0
19900427,3.7383,3.7656,3.7204,3.7204,486823,0
19900430,3.7204,3.7474,3.7019,3.7204,1191329,0
19900501,3.7474,3.7474,3.7204,3.7474,182722,0
19900502,3.7474,3.7474,3.693,3.693,117419,0
19900503,3.7474,3.7474,3.693,3.693,266500,0
19900504,3.7204,3.7204,3.6566,3.7019,383257,0
19900507,3.7204,3.7204,3.6566,3.7204,1300171,0
19900508,3.6566,3.7204,3.6566,3.7204,984199,0
19900509,3.7474,3.8112,3.693,3.784,457137,0
19900510,3.8112,3.8749,3.784,3.8749,139188,0
19900511,3.8749,3.9658,3.8749,3.9658,272437,0
19900514,3.9658,3.9931,3.9021,3.9021,191960,0
19900515,3.9658,4.0839,3.9021,4.0567,414920,0
19900516,4.0567,4.0567,3.9931,4.0385,184703,0
19900517,4.0567,4.0567,3.9931,3.9931,75860,0
19900518,3.9931,4.0385,3.9658,4.0204,58707,0
19900521,4.0567,4.1203,3.9931,4.0839,144464,0
19900522,4.0839,4.1203,4.0567,4.0567,213068,0
19900523,4.0567,4.1203,4.0204,4.0567,1200566,0
19900524,4.0204,4.0567,3.9931,3.9931,34961,0
19900525,3.9931,4.0567,3.9658,3.9658,37599,0
19900529,4.0204,4.0204,3.9658,3.9658,129290,0
19900530,3.9658,3.9931,3.9658,3.9931,372704,0
19900531,3.9658,3.9658,3.8386,3.8749,733531,0
19900601,3.8749,3.9021,3.8386,3.8567,480885,0
19900604,3.8749,3.8749,3.8386,3.8567,315314,0
19900605,3.8929,3.9566,3.8657,3.9295,672846,0
