Date,Open,High,Low,Close,Volume,OpenInt
20140509,13.89,14.167,13.732,13.935,220868,0
20140512,14.001,14.019,13.718,13.89,35378,0
20140513,13.89,13.89,13.75,13.89,25190,0
20140514,13.75,13.89,13.75,13.89,41794,0
20140515,13.89,13.982,13.667,13.815,51191,0
20140516,13.935,13.935,13.75,13.881,23074,0
20140519,13.945,13.945,13.797,13.815,33609,0
20140520,13.797,13.861,13.75,13.834,20315,0
20140521,13.806,13.906,13.704,13.787,3209,0
20140522,13.704,13.927,13.704,13.741,17646,0
20140523,13.704,13.89,13.704,13.843,3472,0
20140527,13.89,13.89,13.704,13.76,10909,0
20140528,13.75,13.89,13.704,13.806,26990,0
20140529,13.75,13.833,13.649,13.741,15551,0
20140530,13.713,13.797,13.704,13.797,5292,0
20140602,13.806,13.89,13.75,13.852,5105,0
20140603,13.797,13.797,13.612,13.695,25288,0
20140604,13.658,13.686,13.519,13.602,52522,0
20140605,13.565,13.658,13.519,13.649,19059,0
20140606,13.741,13.871,13.575,13.621,19605,0
20140609,13.704,13.787,13.436,13.639,24707,0
20140610,13.639,13.658,13.473,13.649,26892,0
20140611,13.436,13.658,13.426,13.426,28984,0
20140612,13.444,13.741,13.423,13.454,17876,0
20140613,13.362,13.89,13.316,13.519,41238,0
20140616,13.333,13.473,13.333,13.343,25581,0
20140617,13.621,13.621,13.333,13.352,18431,0
20140618,13.296,13.417,13.194,13.296,39432,0
20140619,13.242,13.417,13.194,13.38,56766,0
20140620,13.399,13.417,13.01,13.251,55523,0
20140623,13.01,13.333,12.963,13.251,29247,0
20140624,13.194,13.325,13.194,13.204,24082,0
20140625,13.325,13.333,12.963,13.204,47014,0
20140626,13.37,13.615,13.259,13.615,85675,0
20140627,13.783,14.192,13.585,14.135,92940,0
20140630,13.955,14.714,13.451,14.097,206513,0
20140701,14.145,14.277,13.586,14.239,54265,0
20140702,14.059,14.239,14.011,14.239,29391,0
20140703,14.239,14.259,13.955,14.239,38842,0
20140707,14.221,14.239,13.783,14.239,26390,0
20140708,13.993,14.078,13.593,13.745,34755,0
20140709,13.631,13.836,13.29,13.299,103326,0
20140710,13.29,13.48,13.1,13.29,156050,0
20140711,13.157,13.468,12.578,13.015,219782,0
20140714,13.337,13.575,13.176,13.252,106224,0
20140715,13.309,13.499,13.185,13.347,80812,0
20140716,13.195,13.423,13.176,13.281,88552,0
20140717,13.243,13.385,13.091,13.205,107739,0
20140718,13.195,13.29,13.053,13.261,63636,0
20140721,13.1,13.176,12.815,13.024,79008,0
20140722,12.958,12.984,12.673,12.806,109440,0
20140723,12.863,13.29,12.863,13.243,47038,0
20140724,13.205,13.205,12.92,13.091,38652,0
20140725,12.91,13.281,12.91,13.081,57660,0
20140728,13.043,13.228,12.89,13.062,93758,0
20140729,12.863,13.471,12.863,13.129,188940,0
20140730,13.091,13.271,12.863,12.863,79930,0
20140731,12.853,12.996,12.483,12.483,119989,0
20140801,12.341,12.417,10.063,12.236,127136,0
20140804,12.312,12.483,11.734,12.322,72894,0
20140805,12.208,12.436,12.056,12.322,65584,0
20140806,12.132,12.341,11.886,11.932,63581,0
20140807,12.056,12.312,11.97,12.132,69170,0
20140808,12.094,12.309,12.018,12.018,40248,0
20140811,12.332,12.341,12.056,12.122,85187,0
20140812,11.468,12.075,11.468,11.78,215325,0
20140813,11.866,12.274,11.696,12.094,139842,0
20140814,12.056,12.91,12.056,12.531,164642,0
20140815,12.768,12.901,12.436,12.436,92566,0
20140818,12.531,12.74,12.388,12.654,85466,0
20140819,12.711,12.89,12.588,12.797,100265,0
20140820,12.787,12.787,12.44,12.597,65364,0
20140821,12.635,12.768,12.626,12.711,68207,0
20140822,12.54,12.768,12.54,12.673,49697,0
20140825,12.531,12.815,12.531,12.721,86343,0
20140826,12.711,13.005,12.626,12.91,43019,0
20140827,12.939,13.005,12.721,12.74,34421,0
20140828,12.891,12.929,12.588,12.806,92862,0
20140829,12.844,13.005,12.654,12.986,46726,0
20140902,12.986,13.272,12.986,13.086,42732,0
20140903,12.939,13.176,12.939,13.072,64150,0
20140904,12.815,13.148,12.769,12.967,93075,0
20140905,12.967,13.176,12.91,13.091,25001,0
20140908,13.1,13.167,12.939,13.005,33876,0
20140909,13.024,13.252,12.91,13.053,48812,0
20140910,13.053,13.223,13.005,13.138,38630,0
20140911,13.023,13.195,13.023,13.148,31645,0
20140912,13.1,13.205,13.005,13.11,81918,0
20140915,13.053,13.214,12.891,12.92,41473,0
20140916,12.948,13.233,12.891,12.891,37933,0
20140917,12.92,13.138,12.825,12.844,42651,0
20140918,12.797,13.173,12.797,13.1,41599,0
20140919,13.157,13.223,12.872,13.015,31665,0
20140922,13.176,13.233,12.91,12.929,29874,0
20140923,12.863,13.053,12.745,12.91,28612,0
20140924,12.977,13.053,12.882,13.005,46065,0
20140925,12.92,13.053,12.815,12.853,32327,0
20140926,12.532,12.951,12.347,12.912,89098,0
20140929,12.853,12.892,12.503,12.503,59044,0
20140930,12.464,12.931,12.074,12.931,189706,0
20141001,12.853,13.018,12.259,12.99,47145,0
20141002,12.762,13.146,12.726,12.961,39704,0
20141003,12.474,12.931,12.182,12.737,84673,0
20141006,12.902,12.912,12.483,12.552,37063,0
20141007,12.513,12.581,12.298,12.571,38511,0
20141008,12.639,12.785,12.367,12.785,38530,0
20141009,12.532,12.591,12.123,12.406,60460,0
20141010,12.328,12.406,12.23,12.337,18517,0
20141013,12.396,12.513,12.269,12.298,18014,0
20141014,12.337,12.454,11.743,11.997,89834,0
20141015,11.88,12.931,11.695,11.782,71077,0
20141016,11.656,12.172,11.549,12.162,62185,0
20141017,11.763,12.579,11.763,11.997,35024,0
20141020,12.065,12.258,11.909,12.123,36859,0
20141021,12.026,12.123,11.743,12.016,30424,0
20141022,12.065,12.279,11.938,12.172,64681,0
20141023,12.162,12.549,12.077,12.454,54577,0
20141024,12.386,12.415,12.27,12.376,20715,0
20141027,12.318,12.454,12.055,12.367,16792,0
20141028,12.367,12.367,12.143,12.25,23789,0
20141029,12.25,12.542,12.086,12.162,56008,0
20141030,12.133,12.347,12.026,12.328,33014,0
20141031,12.474,13.146,12.308,12.98,30884,0
20141103,13.029,13.029,12.444,12.639,38287,0
20141104,12.571,12.717,12.376,12.717,22563,0
20141105,12.657,13.136,12.534,12.62,14937,0
20141106,12.581,12.685,12.298,12.649,27387,0
20141107,12.698,12.698,12.289,12.415,67633,0
20141110,12.464,12.483,12.328,12.454,48597,0
20141111,12.707,13.009,12.47,12.483,95068,0
20141112,12.513,12.853,12.513,12.746,71772,0
20141113,12.746,12.853,12.474,12.474,77736,0
20141114,12.425,12.571,12.396,12.513,36827,0
20141117,12.425,12.552,12.318,12.415,40429,0
20141118,12.357,12.581,12.279,12.279,37379,0
20141119,12.279,12.367,12.123,12.133,33786,0
20141120,12.133,12.406,12.133,12.318,38839,0
20141121,12.396,12.542,12.328,12.425,51395,0
20141124,12.435,12.513,12.328,12.483,56115,0
20141125,12.483,12.698,12.464,12.668,52562,0
20141126,12.707,12.805,12.493,12.639,42711,0
20141128,12.678,12.688,12.6,12.668,2069,0
20141201,12.648,12.648,12.415,12.62,41727,0
20141202,12.532,12.668,12.415,12.503,12187,0
20141203,12.435,12.513,12.318,12.318,32961,0
20141204,12.386,12.444,12.172,12.269,50544,0
20141205,12.24,12.357,12.172,12.201,32921,0
20141208,12.357,12.503,12.035,12.074,31087,0
20141209,12.055,12.182,11.743,11.802,87072,0
20141210,11.821,11.821,11.743,11.763,59964,0
20141211,11.734,11.88,11.549,11.646,52562,0
20141212,11.237,11.675,11.11,11.198,79777,0
20141215,11.247,11.442,11.247,11.305,88853,0
20141216,11.295,11.334,10.906,11.237,120862,0
20141217,11.101,11.295,11.101,11.198,95117,0
20141218,11.344,11.831,11.344,11.578,69856,0
20141219,11.675,12.386,11.674,12.269,109490,0
20141222,12.474,12.474,12.221,12.444,43062,0
20141223,12.444,12.659,11.948,12.659,47438,0
20141224,12.61,12.61,11.85,12.61,37528,0
20141226,12.5,12.77,12.35,12.74,51515,0
20141229,12.2,12.83,12.2,12.78,73770,0
20141230,12.72,12.98,12.65,12.83,90555,0
20141231,12.7,12.99,12.4,12.5,141330,0
20150102,12.54,12.82,12.4,12.4,49921,0
20150105,12.36,12.89,12.36,12.83,36405,0
20150106,12.89,12.99,12.8,12.97,51228,0
20150107,13,13.11,12.92,13.09,41096,0
20150108,13.05,13.21,12.76,13.09,37664,0
20150109,13.025,13.14,12.83,13.06,24911,0
20150112,13.1,13.1,12.97,13.03,17162,0
20150113,13.01,13.07,12.93,12.96,55976,0
20150114,12.98,13.036,12.748,12.92,42204,0
20150115,12.75,12.94,12.71,12.93,22856,0
20150116,12.82,13.048,12.5,12.97,21047,0
