Date,Open,High,Low,Close,Volume,OpenInt
20131017,11.951,12.387,11.883,11.961,1612461,0
20131018,12.222,12.358,12.077,12.358,233064,0
20131021,12.348,12.823,12.348,12.697,151141,0
20131022,12.348,12.659,12.3,12.552,91410,0
20131023,12.193,12.193,11.592,11.97,86485,0
20131024,11.98,12.096,11.844,12.038,96878,0
20131025,11.243,11.534,11.214,11.418,387232,0
20131028,11.495,11.583,11.147,11.573,63966,0
20131029,11.573,11.592,11.379,11.544,85426,0
20131030,11.864,11.903,11.709,11.709,27444,0
20131031,11.864,11.864,11.573,11.747,14866,0
20131101,11.718,11.728,11.621,11.641,18055,0
20131104,11.631,11.718,11.556,11.66,8240,0
20131105,11.137,11.457,11.011,11.273,63966,0
20131106,11.224,11.447,11.224,11.302,190351,0
20131107,11.292,11.292,11.05,11.147,97394,0
20131108,11.137,11.263,10.953,11.195,8976,0
20131111,11.292,12.264,11.226,12.096,22064,0
20131112,12.164,12.184,11.534,12.125,10936,0
20131113,11.718,11.728,11.534,11.631,5778,0
20131114,11.253,11.476,11.234,11.476,27959,0
20131115,11.185,11.447,11.156,11.321,99663,0
20131118,11.379,11.428,11.195,11.243,90894,0
20131119,10.769,10.788,10.487,10.662,275615,0
20131120,9.79,10.226,9.731,10.109,406597,0
20131121,10.536,10.672,10.468,10.633,15992,0
20131122,10.972,11.243,10.971,11.243,27340,0
20131125,11.195,11.466,11.195,11.418,7531,0
20131126,11.389,11.418,11.03,11.418,5571,0
20131127,11.883,11.893,11.486,11.515,4952,0
20131129,12.901,13.03,12.843,12.843,16700,0
20131202,13.521,13.521,12.542,12.542,10008,0
20131203,12.048,12.155,12.029,12.155,30748,0
20131204,12.029,12.029,11.864,11.893,5262,0
20131205,12.019,12.096,11.806,11.825,1857,0
20131206,11.893,11.99,11.777,11.99,9492,0
20131209,12.504,12.58,12.426,12.436,2595,0
20131210,12.794,12.959,12.765,12.901,9285,0
20131211,13.085,13.405,13.027,13.134,37142,0
20131212,12.843,13.085,12.756,12.978,20803,0
20131213,12.959,12.959,12.805,12.915,4076,0
20131216,13.075,13.124,12.969,13.008,3057,0
20131217,12.843,12.891,12.639,12.697,7222,0
20131218,13.327,13.599,13.26,13.599,34769,0
20131219,13.812,13.928,13.812,13.86,7738,0
20131220,14.132,14.956,14.132,14.956,6603,0
20131223,14.539,14.539,14.403,14.442,5365,0
20131224,14.49,14.646,14.49,14.587,1222,0
20131226,14.733,14.82,14.655,14.819,1553,0
20131227,14.704,14.898,14.471,14.81,336235,0
20131230,14.529,14.636,14.529,14.636,24039,0
20131231,14.558,14.616,14.374,14.616,4849,0
20140102,14.093,14.238,13.967,13.977,5018,0
20140103,14.432,14.432,14.177,14.301,3655,0
20140106,14.888,14.888,14.723,14.859,7738,0
20140107,14.975,15.276,14.975,15.15,2786,0
20140108,15.033,15.217,14.781,14.839,4436,0
20140109,15.014,15.256,14.859,15.121,25071,0
20140110,15.004,15.712,15.004,15.479,69228,0
20140113,15.983,16.225,15.683,15.683,8666,0
20140114,16.177,16.419,16.138,16.303,17745,0
20140115,16.652,16.652,16.652,16.652,1341,0
20140116,17.214,17.214,16.807,16.865,5617,0
20140117,16.778,16.778,16.468,16.468,5262,0
20140121,16.71,16.71,16.022,16.109,7428,0
20140122,16.729,16.875,16.652,16.749,6706,0
20140123,16.933,16.933,16.313,16.545,32189,0
20140124,16.099,16.196,16.061,16.196,3611,0
20140127,16.477,16.477,15.838,15.993,2063,0
20140128,16.565,16.652,16.468,16.545,16301,0
20140129,16.613,16.662,16.613,16.652,516,0
20140130,16.584,16.584,16.167,16.293,1032,0
20140203,16.148,16.148,16.148,16.148,1103,0
20140204,16.516,17.312,16.516,17.311,18714,0
20140205,17.601,17.641,17.563,17.568,2755,0
20140206,17.922,18.561,17.738,18.561,18459,0
20140207,19.036,19.337,18.978,19.337,5609,0
20140210,19.259,19.337,19.182,19.24,4075,0
20140211,19.695,19.909,19.599,19.909,2172,0
20140212,18.852,19.259,18.775,19.19,3728,0
20140213,19.046,19.424,18.978,19.366,9591,0
20140214,19.695,19.783,19.492,19.725,7396,0
20140218,19.754,19.754,19.443,19.472,5701,0
20140219,19.579,19.579,19.57,19.57,470,0
20140220,19.696,20.387,19.579,20.064,44641,0
20140221,20.093,20.742,20.064,20.742,21218,0
20140224,21.149,21.954,21.149,21.838,40084,0
20140225,22.06,23.078,22.06,22.913,79287,0
20140226,22.4,22.487,21.838,22.041,31437,0
20140227,21.663,22.098,21.45,22.09,8074,0
20140228,22.846,23.068,22.642,22.826,18371,0
20140303,22.235,22.235,21.702,21.86,20078,0
20140304,22.584,22.632,22.293,22.38,4635,0
20140305,22.846,22.855,22.681,22.72,11960,0
20140306,22.972,23.098,22.758,22.758,5402,0
20140307,23.863,24.047,23.669,23.689,17984,0
20140310,23.941,23.941,23.262,23.408,19833,0
20140311,23.456,23.611,23.446,23.602,15389,0
20140312,23.272,23.989,21.764,22.836,23823,0
20140313,22.787,22.787,21.82,21.925,18655,0
20140314,20.888,21.149,20.839,20.926,23802,0
20140317,21.741,21.946,21.624,21.946,3869,0
20140318,21.866,22.232,21.866,22.225,4034,0
20140319,22.574,22.689,21.973,22.148,11619,0
20140320,22.778,22.778,22.159,22.303,3533,0
20140321,22.778,22.875,22.031,22.031,18518,0
20140324,22.632,22.991,21.613,21.925,8872,0
20140325,24.232,24.232,21.392,21.682,11862,0
20140326,21.847,22.109,21.712,21.944,39102,0
20140327,21.421,21.518,21.324,21.333,9761,0
20140328,22.022,22.468,21.905,22.448,55640,0
