Date,Open,High,Low,Close,Volume,OpenInt
20050225,8.4372,8.4372,8.2701,8.3352,106722,0
20050228,8.2981,8.3352,8.2332,8.2423,212727,0
20050301,8.2145,8.3071,8.0569,8.2237,114479,0
20050302,8.1496,8.4278,8.1496,8.2516,145434,0
20050303,8.4094,8.4094,8.0569,8.1308,159405,0
20050304,8.2794,8.2886,8.1773,8.1773,73644,0
20050307,8.1218,8.2516,8.1031,8.2145,75831,0
20050308,8.1031,8.1496,7.6577,7.6947,217465,0
20050309,7.6483,8.1588,7.5555,7.9639,191083,0
20050310,7.7969,8.1588,7.7781,8.0938,142203,0
20050311,8.2423,8.2423,7.8339,7.9916,72391,0
20050314,8.0103,8.2516,7.7969,8.0938,134958,0
20050315,8.1959,8.2608,7.7969,7.7969,79790,0
20050316,7.7224,7.9361,7.5834,7.6297,134644,0
20050317,7.5925,7.8246,7.5925,7.7874,27776,0
20050318,7.8803,7.8894,7.5092,7.5369,282319,0
20050321,7.4905,7.6947,7.3884,7.3975,107539,0
20050322,7.3698,7.4349,7.2676,7.2957,157617,0
20050323,7.2585,7.3142,7.0635,7.1192,157113,0
20050324,7.1842,7.212,7.0449,7.0542,119158,0
20050328,7.1285,7.1285,6.8315,7.0635,152320,0
20050329,7.0449,7.212,6.9058,7.0821,208493,0
20050330,7.1006,7.1842,7.0357,7.0449,103262,0
20050331,7.0728,7.0728,6.7758,6.8315,131827,0
20050401,6.9522,6.9892,6.7293,6.8129,157922,0
20050404,6.8594,6.8594,6.683,6.7758,173790,0
20050405,6.8315,7.1099,6.7109,6.7199,163801,0
20050406,6.8129,6.8498,6.683,6.7109,77736,0
20050407,6.6643,6.8685,6.646,6.8315,48422,0
20050408,6.7758,6.8963,6.646,6.6643,49387,0
20050411,6.7199,6.748,6.5437,6.5437,99544,0
20050412,6.5809,6.8129,6.5529,6.7758,77845,0
20050413,6.7293,6.7293,6.4324,6.4415,123011,0
20050414,6.5067,6.5529,6.4231,6.451,115879,0
20050415,6.4044,6.5252,6.3022,6.3302,91156,0
20050418,6.3582,6.451,6.0146,6.3022,248245,0
20050419,6.2561,6.3673,6.0146,6.2188,193509,0
20050420,6.2188,6.5623,6.0797,6.4231,103719,0
20050421,6.5716,6.5716,6.2652,6.2837,105563,0
