Date,Open,High,Low,Close,Volume,OpenInt
20050225,15.64,16.03,15.59,16.03,44825,0
20050228,16.15,16.9,16.14,16.53,41939,0
20050301,16.32,16.58,16.01,16.24,93606,0
20050302,16.12,16.74,16.12,16.45,54562,0
20050303,16.6,16.6,16.26,16.6,59348,0
20050304,16.74,16.89,16.57,16.85,12338,0
20050307,16.55,16.74,16.01,16.04,21217,0
20050308,16.1,16.35,16.09,16.15,13596,0
20050309,16,16.12,15.8,16.1,13074,0
20050310,16.1,16.37,16.1,16.24,10246,0
20050311,16.36,16.39,16.23,16.23,8212,0
20050314,16.43,16.5,16.35,16.36,22284,0
20050315,16.35,16.35,15.25,15.27,13252,0
20050316,15.25,15.53,15.25,15.49,29902,0
20050317,15.55,15.64,15.25,15.39,11972,0
20050318,15.61,15.64,15.35,15.64,37940,0
20050321,15.83,15.83,15.35,15.35,9674,0
20050322,15.43,15.46,15.1,15.11,3854,0
20050323,14.97,15.06,14.6,15.04,35604,0
20050324,14.99,15.18,14.93,15.11,2309,0
20050328,14.96,15.04,14.68,14.76,57849,0
20050329,14.9,15.04,14.59,14.77,70274,0
20050330,14.94,15.01,14.6,14.7,9156,0
20050331,14.55,15.3,13.98,14.75,134265,0
20050401,14.8,15.52,14.73,15.49,45747,0
20050404,15,15.5,15,15.37,19800,0
20050405,15.5,15.94,15.39,15.46,38771,0
20050406,15.65,15.77,15.41,15.5,14886,0
20050407,15.58,15.63,15.35,15.36,5846,0
20050408,15.35,15.35,15.06,15.25,53211,0
20050411,15.49,15.6,15.06,15.1,49563,0
20050412,15.05,15.6,15.05,15.08,21644,0
20050413,15.42,15.56,15.2,15.27,3493,0
20050414,15.36,15.36,15.08,15.1,16963,0
20050415,15.1,15.21,14.8,14.98,22235,0
20050418,14.85,15.41,14.85,15.37,5610,0
20050419,15.43,15.5,15.12,15.12,14585,0
20050420,15.08,15.36,14.8,14.93,24656,0
20050421,15.22,15.49,14.96,15.31,13727,0
20050422,15.16,15.43,15,15.39,47233,0
20050425,15.49,15.5,15.27,15.33,15524,0
20050426,15.01,15.44,14.94,15.31,45413,0
20050427,15.18,15.5,14.94,15.07,33745,0
20050428,15,15.05,14.96,14.96,7439,0
20050429,14.96,15.13,14.19,15.13,50233,0
20050502,15.2,15.47,15,15.38,54697,0
20050503,15.34,15.45,15.19,15.35,10054,0
20050504,15.33,15.36,14.98,15.05,29808,0
20050505,15,15.14,14.65,15.05,111323,0
20050506,15.14,15.3,14.8,15.3,68478,0
20050509,15.01,15.2,14.91,15.09,28057,0
20050510,14.9,15.01,14.42,14.51,9278,0
20050511,14.52,14.52,14.23,14.42,9139,0
20050512,13.08,13.25,12.07,12.6,299032,0
20050513,12.57,13.55,12.14,12.51,37241,0
20050516,12.74,12.91,12.7,12.84,53324,0
20050517,12.81,12.81,12.71,12.71,13806,0
20050518,12.7,12.87,12.55,12.55,23224,0
20050519,12.74,12.75,12.56,12.57,13681,0
20050520,12.82,13.04,12.65,12.73,200000,0
20050523,12.57,12.91,12.57,12.7,298065,0
20050524,12.83,12.9,12.68,12.86,208206,0
20050525,12.8,12.98,12.7,12.94,11000,0
20050526,13.04,13.04,12.79,12.91,60868,0
20050527,12.75,12.94,12.75,12.82,164720,0
20050531,13,13.06,12.84,12.9,37537,0
20050601,12.77,12.93,12.76,12.9,94922,0
20050602,12.78,12.95,12.75,12.82,49734,0
20050603,12.93,12.95,12.75,12.83,24334,0
20050606,12.86,12.92,12.81,12.89,83145,0
20050607,13,13.22,12.88,13.1,27967,0
20050608,13.3,13.46,12.83,12.85,75298,0
20050609,12.85,13.01,12.85,12.91,22216,0
20050610,13.02,13.1,12.8,12.9,242601,0
20050613,12.89,13,12.79,12.83,68254,0
20050614,12.9,12.95,12.55,12.67,70161,0
20050615,14,15.24,14,15.1,214647,0
20050616,15.24,15.47,15,15.1,91054,0
20050617,15.21,15.21,14.65,14.85,57943,0
20050620,14.79,14.79,14.65,14.74,53143,0
20050621,14.6,14.98,14.6,14.91,38014,0
20050622,14.86,15.65,14.86,15.44,33073,0
20050623,15.3,15.42,15.05,15.21,92118,0
20050624,15.21,15.75,14.85,15.67,296326,0
20050627,15.72,15.72,14.91,15.14,66132,0
20050628,15.2,16.28,15.14,16.15,1249550,0
20050629,16.18,16.25,15.9,16.02,40965,0
20050630,16.06,16.06,15.77,15.85,36096,0
20050701,15.89,16.01,15.58,15.58,131432,0
20050705,15.55,16.02,15.15,16,56420,0
20050706,16.05,16.28,15.89,16.12,73063,0
20050707,16.15,16.72,15.9,16.58,84334,0
20050708,16.62,17.67,16.62,17.46,31016,0
20050711,17.02,17.24,16.83,17.05,101572,0
20050712,17.02,17.55,16.97,17.33,28282,0
20050713,17.34,17.44,17.19,17.38,39984,0
20050714,17.65,17.65,17.2,17.37,31259,0
20050715,17.11,17.52,16.89,17.28,25700,0
20050718,17.19,17.68,16.96,17.42,78787,0
20050719,17.65,17.65,17.34,17.41,33485,0
20050720,17.39,17.5,17.23,17.5,31497,0
20050721,17.65,17.65,17.12,17.22,19712,0
20050722,17.3,17.5,17.17,17.5,33400,0
