Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.4537,8.182,7.3963,7.655,11037,0
20050228,7.3866,7.425,6.7449,7.2525,17265,0
20050301,7.2237,7.492,7.2237,7.4633,3445,0
20050302,7.4633,7.8466,7.4633,7.7125,18057,0
20050303,7.7506,7.9041,7.6647,7.7603,29946,0
20050304,7.7603,7.9521,7.7603,7.9327,34083,0
20050307,7.9327,7.9327,7.856,7.9135,18955,0
20050308,7.7603,8.0287,7.7603,7.9998,15196,0
20050309,7.8369,8.1437,7.7316,8.1437,12837,0
20050310,8.1437,8.1437,7.7795,7.9041,20723,0
20050311,7.9521,8.0477,7.8945,7.9712,4594,0
20050314,7.9712,7.9712,7.9041,7.9232,6279,0
20050315,7.9712,7.9712,7.9521,7.9521,374,0
20050316,7.8181,7.9232,7.7413,7.7795,14419,0
20050317,7.7413,7.9041,7.7316,7.9041,6567,0
20050318,7.7892,7.8754,7.31,7.3866,12728,0
20050321,7.1856,7.4155,6.8883,7.3389,26762,0
20050322,7.1568,7.4442,7.1568,7.4345,775,0
20050323,7.2622,7.4059,7.061,7.4059,10376,0
20050324,7.473,7.5495,7.176,7.4633,7298,0
20050328,7.061,7.2909,7.061,7.2909,2086,0
20050329,7.2335,7.3579,7.0513,7.128,3266,0
20050330,7.176,7.1856,6.8213,6.8213,7439,0
20050331,6.8597,7.1185,6.8213,7.1185,3232,0
20050401,7.1376,7.2335,6.764,7.061,6267,0
20050404,6.8503,6.9172,6.7066,6.7831,5009,0
20050405,7.2909,7.3004,6.6011,6.6874,9091,0
20050406,6.5913,6.7066,6.1509,6.2274,25663,0
20050407,6.2274,6.3137,6.122,6.237,18020,0
20050408,6.1318,6.2274,6.0263,6.2274,4262,0
20050411,5.94,6.0069,5.6335,5.6525,45035,0
20050412,5.6525,5.7388,5.6525,5.7388,5009,0
20050413,5.6813,5.7962,5.6813,5.7962,34445,0
20050414,5.8059,6.122,5.7485,5.8539,15357,0
20050415,5.758,6.0931,5.2694,5.7291,52138,0
20050418,5.2791,5.8826,5.2791,5.8826,4905,0
20050419,5.8252,5.9207,5.5568,5.6525,7724,0
20050420,5.7962,6.0356,5.5281,5.5281,23966,0
20050421,5.6335,5.7675,5.6046,5.6433,3749,0
20050422,5.5759,5.6911,5.413,5.4897,19928,0
20050425,5.5185,5.6813,5.4802,5.5759,27401,0
20050426,5.5568,5.6143,5.5568,5.6143,938,0
20050427,5.6236,5.7291,5.4897,5.4897,2975,0
20050428,5.5568,5.6623,5.3461,5.3651,17451,0
20050429,5.3365,5.4228,5.0874,5.1255,80201,0
20050502,5.1351,5.2694,5.1351,5.2117,14458,0
20050503,5.2694,5.2694,4.8477,4.9916,40506,0
20050504,5.0874,5.1544,4.8862,5.1162,36637,0
20050505,4.9437,4.9437,3.9759,4.1198,144954,0
20050506,4.0621,4.0621,3.7363,3.8323,59642,0
20050509,3.9282,3.9282,3.7363,3.8131,60279,0
20050510,3.7843,3.8036,3.6025,3.7363,24820,0
20050511,3.6406,3.7558,3.6025,3.7078,13103,0
20050512,3.746,3.8036,3.746,3.7843,4967,0
20050513,3.8323,3.8515,3.6025,3.6406,25961,0
20050516,3.6885,3.7363,3.5928,3.6406,14894,0
20050517,3.5257,3.6981,3.5065,3.5831,13839,0
20050518,3.5928,3.6885,3.4969,3.4969,14894,0
20050519,3.6693,3.9856,3.6693,3.8802,23359,0
20050520,3.8898,4.0621,3.8898,4.0621,9802,0
20050523,4.0719,4.1198,3.9282,3.9282,9810,0
20050524,3.8994,4.0621,3.8802,3.8802,25395,0
20050525,4.1198,4.1198,3.8994,3.8994,8642,0
20050526,4.0047,4.0047,3.8802,3.9282,13048,0
20050527,3.9664,4.0911,3.9664,4.0815,12888,0
20050531,4.1772,4.5986,4.1772,4.5795,15916,0
20050601,4.6467,4.7903,4.5892,4.7903,13706,0
20050602,4.6467,4.7423,4.5892,4.7423,11549,0
20050603,4.7042,4.7042,4.6756,4.6756,1920,0
20050606,4.5986,4.6467,4.484,4.5318,12005,0
20050607,4.5507,4.5507,4.5029,4.5219,5323,0
20050608,4.5219,4.5219,4.225,4.2442,15760,0
20050609,4.1005,4.5219,4.1005,4.3879,4174,0
20050610,4.2061,4.4358,4.1388,4.3114,13788,0
20050613,4.1961,4.5507,4.1485,4.3975,5808,0
20050614,4.5892,4.5892,4.1579,4.3306,4939,0
20050615,4.3688,4.5029,4.225,4.2635,62154,0
20050616,4.3016,4.6946,4.3016,4.6756,38358,0
20050617,4.6946,4.7234,4.5318,4.7234,8559,0
20050620,4.7234,4.7614,4.4552,4.5219,6840,0
20050621,4.4645,4.7808,4.2635,4.3114,18265,0
20050622,4.2538,4.3688,4.0815,4.2442,17816,0
20050623,4.2442,4.3592,4.2442,4.3592,6055,0
20050624,4.3495,4.3495,4.3114,4.3114,2505,0
20050627,4.3209,4.3688,4.2635,4.2635,13621,0
20050628,4.1676,4.3209,4.1676,4.3114,10489,0
20050629,4.2155,4.3114,4.1961,4.2155,6482,0
20050630,4.3495,4.3495,4.2155,4.2348,4584,0
20050701,4.2442,4.3114,4.2442,4.3114,9222,0
20050705,4.407,4.484,4.2442,4.2442,4072,0
20050706,4.2729,4.3209,4.2729,4.3016,835,0
20050707,4.2635,4.2729,4.0815,4.0815,21422,0
20050708,4.1772,4.2538,3.8323,4.0239,9103,0
20050711,4.292,4.3209,4.0719,4.0719,19518,0
20050712,4.225,4.225,3.9759,3.9759,8095,0
20050713,3.9759,4.0621,3.9759,3.9952,26198,0
20050714,4.0239,4.3495,4.0239,4.0526,17170,0
20050715,4.1098,4.1676,4.0333,4.1388,2193,0
20050718,4.1676,4.1676,4.0432,4.0432,6456,0
20050719,4.1676,4.3306,4.0333,4.0333,5859,0
20050720,4.0239,4.1772,4.0239,4.0815,6993,0
20050721,4.5318,4.5318,4.0239,4.0911,5454,0
20050722,4.2155,4.2155,4.2155,4.2155,100,0
20050725,4.1961,4.1961,4.0239,4.1485,6700,0
20050726,4.1388,4.2061,4.1388,4.1388,4801,0
20050727,4.1388,4.1388,4.0432,4.0719,11800,0
20050728,4.0432,4.0432,3.9952,4.0333,6576,0
20050729,4.0239,4.0719,3.8802,3.8898,21294,0
20050801,3.9282,3.9282,3.727,3.8898,14642,0
20050802,3.8898,3.9759,3.8419,3.9472,17653,0
20050803,3.9282,3.9664,3.8994,3.9089,5272,0
20050804,3.9089,4.2729,3.9089,4.1579,12837,0
20050805,4.2155,4.2538,4.0143,4.1005,9122,0
20050808,4.1388,4.1676,3.8323,3.9569,41425,0
20050809,3.9759,3.9759,3.8898,3.8994,3627,0
20050810,3.8994,3.9472,3.8802,3.8994,3168,0
20050811,3.9759,4.0621,3.9377,3.9472,1983,0
20050812,3.9472,3.9759,3.9472,3.9664,3497,0
20050815,3.9282,3.9282,3.8802,3.8802,3392,0
20050816,3.8802,4.0815,3.8802,3.9472,8716,0
