Date,Open,High,Low,Close,Volume,OpenInt
20131218,10,10.08,10,10,1085400,0
20131219,10.05,10.05,10,10.05,15600,0
20131220,10,10.05,10,10,1100,0
20131223,10,10.04,10,10,2700,0
20131226,10,10.04,10,10.04,4800,0
20131227,10,10.04,10,10.04,7500,0
20131230,10.01,10.01,10.01,10.01,500,0
20131231,10,10.01,10,10.01,13700,0
20140102,10.04,10.04,9.99,10,28766,0
20140103,10,10.02,10,10.019,4504,0
20140106,10.01,10.04,10,10.04,12200,0
20140107,10.04,10.1,10.04,10.07,24100,0
20140108,10.08,10.08,10.05,10.07,300,0
20140109,10.04,10.07,10,10,3500,0
20140110,10.07,10.07,10.01,10.01,900,0
20140113,10,10,10,10,500,0
20140114,10,10.05,10,10.05,1700,0
20140115,10.01,10.01,10.01,10.01,600,0
20140116,10.01,10.01,10.01,10.01,252,0
20140117,10.01,10.01,10.01,10.01,600,0
20140121,10.01,10.01,10,10,101800,0
20140122,10,10.01,10,10.01,1200,0
20140123,10.05,10.05,10.05,10.05,5200,0
20140124,10,10.05,9.97,9.97,35438,0
20140127,9.99,10,9.98,9.98,30200,0
20140128,9.99,10.05,9.99,10.01,84136,0
20140129,10,10.05,10,10,1000,0
20140130,10.05,10.05,9.99,10,4600,0
20140131,10.03,10.04,10,10,3900,0
20140203,10.01,10.04,9.99,10.02,162124,0
20140204,10.01,10.03,10,10.01,15216,0
20140205,10.03,10.04,9.99,10.04,32541,0
20140210,10.04,10.05,10.04,10.05,800,0
20140211,10.05,10.05,10,10,697,0
20140212,10.02,10.05,10.02,10.03,7610,0
20140214,11.1,11.1,11.1,11.1,100,0
20140218,10.49,10.49,10.49,10.49,100,0
20140219,10.12,10.12,9.96,9.96,2200,0
20140220,10.2,10.29,10,10.16,21700,0
20140221,10.07,10.18,10,10.11,21900,0
20140224,10.09,10.16,10.08,10.12,24899,0
20140225,10.17,10.17,10.08,10.11,23100,0
20140226,10.08,10.21,10.07,10.14,33400,0
20140227,10.09,10.2,10.06,10.13,29515,0
20140228,10.2,10.2,10.13,10.17,600,0
20140303,10.09,10.17,10.09,10.1,3100,0
20140304,10.11,10.2,10.1,10.14,20200,0
20140305,10.13,10.29,10.12,10.16,32700,0
20140306,10.12,10.19,10.12,10.18,9200,0
20140307,10.12,10.12,10.12,10.12,520,0
20140312,10.13,10.32,10.1,10.13,46800,0
20140313,10.12,10.16,10.1,10.1,13215,0
20140314,10.13,10.14,10.1,10.1,5848,0
20140317,10.1,10.14,10.07,10.12,15556,0
20140318,10.12,10.12,10.07,10.1,77290,0
20140319,10.08,10.12,10.08,10.12,164802,0
20140320,10.03,10.12,10.03,10.1,151600,0
20140321,10.12,10.12,10.08,10.08,72050,0
20140324,10.08,10.11,10.08,10.09,55800,0
20140325,10.07,10.11,10.06,10.08,47300,0
20140326,10.09,10.11,9.99,10.07,46200,0
20140327,10.08,10.1,10.08,10.08,30700,0
20140328,10.07,10.1,10.07,10.08,26200,0
20140331,10.08,10.09,10.08,10.09,42750,0
20140401,10.09,10.459,10.08,10.459,35808,0
20140402,10.18,10.26,9.76,10.1,146340,0
20140403,10.12,10.24,10.08,10.12,98900,0
20140404,10.12,10.18,10.1,10.1,129997,0
20140407,10.11,10.3,10.095,10.095,120100,0
20140408,10.11,10.18,10.08,10.13,38066,0
20140409,10.12,10.49,10.11,10.11,193907,0
20140410,10.19,10.19,10.1,10.1,62305,0
20140411,10.11,10.18,10.08,10.13,45550,0
20140414,10.1,10.171,10.08,10.08,111253,0
20140415,10.1,10.15,10.08,10.12,64500,0
20140416,10.11,10.18,10.1,10.12,45910,0
20140417,10.11,10.29,10.105,10.15,104026,0
20140421,10.15,10.16,10.1,10.13,2000,0
20140422,10.1,10.15,10.1,10.12,600,0
20140423,10.11,10.22,10.093,10.16,86976,0
20140424,10.12,10.2,10.1,10.14,83500,0
20140425,10.12,10.21,10.12,10.14,166380,0
20140428,10.12,10.24,10.1,10.11,114998,0
20140429,10.15,10.19,10.12,10.12,204569,0
20140430,10.13,10.2,10.1,10.1,203321,0
20140501,10.13,10.2,10.07,10.2,72910,0
20140502,10.1,10.17,10.1,10.1,97350,0
20140505,10.12,10.2,10.1,10.12,78206,0
20140506,10.12,10.16,10.1,10.11,8100,0
20140507,10.11,10.12,10.1,10.11,9010,0
20140508,10.11,10.2,10.1,10.15,83767,0
20140509,10.14,10.14,10.1,10.1,3491,0
20140512,10.11,10.11,10.11,10.11,3000,0
20140514,10.1,10.15,10.1,10.11,30500,0
20140515,10.12,10.12,10.102,10.11,4000,0
20140516,10.11,10.2,10.11,10.14,111289,0
20140523,10.12,10.17,10.11,10.13,40135,0
20140527,10.13,10.13,9.955,10.11,15701,0
20140528,10.12,10.22,10.11,10.17,20698,0
20140529,10.13,10.13,10.12,10.12,500,0
20140530,10.13,10.2,10.13,10.13,32511,0
20140602,10.12,10.21,10.11,10.11,41602,0
20140603,10.13,10.14,10.12,10.12,12384,0
20140605,10.11,10.21,10.11,10.11,35581,0
20140609,10.11,10.2,10.11,10.13,32600,0
20140610,10.16,10.32,10.1,10.11,77900,0
20140611,10.11,10.17,10.1,10.12,17350,0
20140612,10.13,10.23,10.11,10.14,42682,0
20140613,10.13,10.21,10.05,10.11,106503,0
20140616,10.12,10.13,10.11,10.11,1485,0
20140617,10.16,10.21,10.1,10.13,25366,0
20140618,10.11,10.11,10.11,10.11,200,0
20140619,10.12,10.13,10.12,10.13,600,0
20140620,10.11,10.2,10.11,10.15,19800,0
20140623,10.12,10.15,10.12,10.15,3602,0
20140624,10.15,10.2,10.14,10.17,3043,0
20140625,10.14,10.14,10.12,10.12,400,0
20140627,10.3,10.4,10.3,10.4,2601,0
20140701,10.165,10.165,10.13,10.15,9503,0
20140703,10.14,10.15,10.13,10.15,402,0
20140707,10.13,10.14,10.13,10.14,1100,0
20140709,10.17,10.24,10.17,10.24,2298,0
20140710,10.222,10.24,10.222,10.24,200,0
20140714,10.15,10.15,10.1,10.1,1100,0
20140715,10.16,10.16,10.1,10.1,811,0
20140716,10.16,10.16,10.16,10.16,100,0
20140718,10.1,10.1,10.1,10.1,100,0
20140721,10.14,10.16,10.14,10.14,4100,0
20140722,10.15,10.15,10.12,10.15,2602,0
20140723,10.18,10.39,10.13,10.13,12651,0
20140724,10.21,10.21,10.14,10.16,1300,0
20140728,10.15,10.22,10.15,10.21,8551,0
20140729,10.15,10.22,10.12,10.2,57800,0
20140730,10.22,10.24,10.13,10.16,153624,0
20140731,10.21,10.212,10.14,10.21,30050,0
20140801,10.221,10.41,10.1,10.17,151206,0
20140804,10.15,10.317,10.14,10.15,36659,0
20140805,10.16,10.19,10.155,10.155,15601,0
20140806,10.18,10.32,10.16,10.29,26112,0
20140807,10.35,10.64,10.164,10.4,10800,0
20140808,10.58,10.7,10.16,10.26,56776,0
20140811,10.242,10.242,10.13,10.13,23654,0
20140812,10.17,10.17,10.11,10.11,5900,0
20140813,10.15,10.15,10.14,10.14,4200,0
20140814,10.12,10.12,10.12,10.12,240,0
20140815,10.3,10.45,10.12,10.12,17737,0
20140818,10.15,10.15,10.135,10.135,5000,0
20140819,10.16,10.23,10.1,10.11,62120,0
20140820,10.1,10.13,10.1,10.1,4100,0
20140821,10.13,10.14,10.1,10.1,1900,0
20140822,10.13,10.13,10.13,10.13,100,0
20140826,10.18,10.2,10.1,10.1,5700,0
20140827,10.14,10.16,10.1,10.1,3100,0
20140828,10.14,10.14,10.14,10.14,100,0
20140829,10.1,10.1,10.1,10.1,2000,0
20140903,10.16,10.3,10.11,10.15,5800,0
20140904,10.16,10.16,10.1,10.1,200,0
20140905,10.3,10.4,9.89,10.105,16690,0
20140908,10.07,10.1,10.07,10.1,200,0
20140909,10.07,10.07,10.05,10.05,700,0
20140911,10,10.16,10,10.07,3204,0
20140912,10.19,10.2,10.19,10.2,227,0
20140915,10.25,10.49,10,10.25,3616,0
20140916,10.25,10.25,10.25,10.25,123,0
20140917,10.05,10.05,10.05,10.05,100,0
20140919,10.088,10.088,10.088,10.088,100,0
20140925,10.13,10.16,10.041,10.041,2880,0
20140929,10.13,10.14,10.13,10.14,499,0
20141006,10.1,10.11,10.04,10.04,6450,0
20141008,10.09,10.1,10.09,10.1,800,0
20141009,10.09,10.13,10.09,10.13,1550,0
20141120,10.05,10.05,10.05,10.05,3200,0
20141121,10.07,10.09,10.07,10.09,4205,0
20141204,10.18,10.18,10.179,10.18,1200,0
20141205,10.18,10.23,10.06,10.23,3800,0
20141208,10.22,10.31,10.22,10.3,867,0
20141210,10.25,10.25,10.2,10.2,200,0
20141212,10.3,10.3,10.3,10.3,300,0
20141217,10.18,10.18,10.18,10.18,200,0
20141226,10.29,10.3,10.29,10.3,1967,0
20150113,10.2,10.28,10.2,10.23,1400,0
20150114,10.19,10.24,10.16,10.16,2100,0
20150115,10.19,10.22,10.17,10.19,1100,0
20150116,10.2,10.2,10.19,10.19,800,0
