Date,Open,High,Low,Close,Volume,OpenInt
20100614,26.9,26.9,26.9,26.9,0,0
20100615,30.425,31.306,29.961,30.137,18363972,0
20100616,30.025,30.415,29.655,29.746,2329617,0
20100617,30.008,30.128,28.986,29.218,1582462,0
20100618,29.172,29.358,28.533,28.764,1220535,0
20100621,29.368,30.609,28.764,29.72,1152434,0
20100622,30.034,30.749,29.505,30.322,1089646,0
20100623,30.609,31.074,29.683,31.056,1109702,0
20100624,31.065,31.704,30.387,30.878,1726475,0
20100625,30.888,30.934,29.746,29.746,691591,0
20100628,30.118,30.656,29.46,30.406,774204,0
20100629,29.915,29.961,29.005,29.46,671056,0
20100630,29.781,30.398,29.463,30.304,432368,0
20100701,29.915,30.146,27.827,28.115,1103016,0
20100702,28.059,28.755,27.846,28.625,521517,0
20100706,29.127,29.127,27.549,27.641,868040,0
20100707,27.641,28.226,27.057,27.114,629272,0
20100708,26.946,28.124,26.389,26.909,2347751,0
20100709,27.104,27.206,26.585,26.873,483620,0
20100712,26.668,26.751,24.738,24.859,1288471,0
20100713,25.397,25.944,24.97,25.834,946629,0
20100714,25.851,25.851,25.165,25.359,399168,0
20100715,25.23,25.277,24.209,24.581,696820,0
20100716,24.359,25.184,24.313,24.535,764032,0
20100719,24.98,24.98,24.172,24.572,329863,0
20100720,24.34,24.766,24.117,24.191,528364,0
20100721,24.219,25.118,24.219,24.683,921102,0
20100722,24.952,25.6,24.813,25.073,347697,0
20100723,24.942,25.221,24.701,25.184,251490,0
20100726,25.044,25.175,24.219,24.581,680549,0
20100727,24.497,25.647,24.349,25.221,579873,0
20100728,25.09,25.249,24.646,25.184,141513,0
20100729,25.044,25.239,24.395,24.738,319308,0
20100730,24.553,25.221,24.414,24.673,237331,0
20100802,25.175,25.628,24.747,25.546,384743,0
20100803,25.359,25.628,25.184,25.277,273894,0
20100804,25.323,25.508,24.719,24.775,444613,0
20100805,24.359,24.359,22.484,23.004,1675461,0
20100806,22.493,22.595,21.446,22.076,1317968,0
20100809,22.262,22.438,21.826,22.234,470880,0
20100810,22.16,22.16,21.334,21.334,427707,0
20100811,21.205,21.493,20.759,21.287,624029,0
20100812,21.278,21.844,21.056,21.622,555336,0
20100813,21.427,21.668,21.149,21.334,347078,0
20100816,21.139,21.539,21.084,21.139,205537,0
20100817,21.214,21.474,20.833,21.446,355171,0
20100818,21.224,21.502,20.87,21.436,389843,0
20100819,21.733,21.937,21.149,21.334,706096,0
20100820,21.252,21.343,20.991,21.214,352288,0
20100823,21.13,21.521,21.13,21.334,301247,0
20100824,20.87,21.028,19.711,20.212,821910,0
20100825,19.747,20.25,19.711,20.101,261581,0
20100826,20.184,20.667,19.711,19.739,230571,0
20100827,19.813,19.868,18.783,19.358,407731,0
