Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.612,23.936,23.546,23.929,7860,0
20050228,24.011,24.218,23.53,24.106,38783,0
20050301,24.004,24.283,23.885,23.914,12239,0
20050302,23.877,23.951,23.058,23.088,11660,0
20050303,23.028,23.612,23.02,23.508,17676,0
20050304,23.347,24.019,23.257,23.906,6614,0
20050307,23.369,24.106,23.369,24.011,2252,0
20050308,24.188,24.342,23.508,23.996,22389,0
20050309,24.18,24.416,23.634,23.685,15171,0
20050310,24.106,24.335,23.656,23.944,11293,0
20050311,24.004,24.247,23.73,23.966,19796,0
20050314,24.218,24.683,23.812,24.328,17434,0
20050315,24.275,24.704,23.722,23.775,17898,0
20050316,23.383,23.951,23.249,23.463,10506,0
20050317,23.53,23.877,23.398,23.597,6979,0
20050318,23.641,23.641,23.125,23.125,21773,0
20050321,23.264,23.604,23.147,23.383,10747,0
20050322,23.228,23.347,22.607,22.719,11177,0
20050323,22.519,22.851,22.378,22.378,9830,0
20050324,22.726,23.05,21.825,21.988,15012,0
20050328,22.401,22.401,21.345,21.345,11086,0
20050329,21.574,21.921,20.763,20.984,11422,0
20050330,21.036,21.722,20.66,21.649,40683,0
20050331,21.641,22.343,21.302,22.232,26154,0
20050401,22.446,22.645,21.213,22.357,37839,0
20050404,21.818,22.645,21.737,22.505,29201,0
20050405,22.386,22.592,21.382,21.781,41294,0
20050406,21.973,22.129,21.302,21.908,12246,0
20050407,22.172,23.206,22.076,22.851,26932,0
20050408,22.549,22.985,22.194,22.305,12829,0
20050411,22.179,22.372,21.596,21.596,5463,0
20050412,21.375,22.209,20.755,22.158,20424,0
20050413,22.15,22.549,22.039,22.054,19203,0
20050414,22.024,22.232,21.833,21.833,13178,0
20050415,21.87,22.505,21.686,21.707,10914,0
20050418,21.686,21.686,21.479,21.56,2577,0
20050419,21.937,21.937,21.338,21.581,12432,0
20050420,21.213,21.375,20.526,20.615,28342,0
20050421,21.022,21.885,21.022,21.457,17679,0
20050422,21.412,21.412,20.475,20.489,20691,0
20050425,20.416,20.696,20.386,20.482,4131,0
20050426,20.755,21.279,20.718,21.138,14366,0
20050427,21.161,21.715,20.666,21.552,13828,0
20050428,21.45,21.679,20.645,20.725,18279,0
20050429,20.8,21.043,20.556,20.999,12228,0
20050502,21.073,21.251,20.763,20.984,9145,0
20050503,20.882,20.882,20.519,20.681,7152,0
20050504,20.718,21.066,20.696,20.696,3017,0
20050505,20.844,21.096,20.63,21.096,3792,0
20050506,21.279,21.382,20.8,20.8,10395,0
20050509,20.8,21.206,20.748,21.206,4835,0
20050510,21.088,21.088,20.748,20.874,9682,0
20050511,20.748,20.903,20.489,20.579,15130,0
20050512,20.593,20.793,20.519,20.556,5503,0
20050513,20.556,20.748,20.511,20.511,3210,0
20050516,20.526,20.71,20.409,20.579,7562,0
20050517,20.763,20.785,20.556,20.556,3388,0
20050518,20.837,21.589,20.837,21.589,6430,0
20050519,21.774,21.893,21.435,21.789,14360,0
20050520,21.523,21.686,20.954,21.405,18926,0
20050523,21.051,22.165,21.051,22.091,8821,0
20050524,22.423,22.423,21.893,22.202,26667,0
20050525,21.781,22.232,21.692,22.202,25207,0
20050526,22.158,22.778,22.158,22.675,6161,0
20050527,22.276,22.919,22.276,22.919,8737,0
20050531,22.645,23.242,22.645,23.184,7089,0
20050601,23.249,23.249,22.298,22.919,20284,0
20050602,22.711,23.095,22.711,23.05,4404,0
20050603,23.11,23.117,22.652,22.652,1354,0
20050606,23.043,23.456,22.748,23.398,16432,0
20050607,23.449,24.512,23.449,24.091,25478,0
20050608,24.298,24.527,23.936,24.048,13959,0
20050609,24.446,24.446,23.885,24.019,3338,0
20050610,24.232,24.342,24.202,24.275,2551,0
20050613,24.011,24.188,23.841,23.841,1354,0
20050614,24.041,24.63,23.981,24.041,7972,0
20050615,24.534,24.534,23.604,23.604,11783,0
20050616,23.413,23.862,23.375,23.841,4220,0
20050617,24.019,24.019,23.508,23.767,18486,0
20050620,23.663,23.775,23.449,23.456,4766,0
20050621,23.317,23.42,23.302,23.317,3657,0
20050622,23.79,23.79,23.191,23.508,5004,0
20050623,23.147,23.568,22.985,22.985,9647,0
20050624,23.434,23.442,22.645,22.645,42874,0
20050627,22.557,22.821,22.557,22.733,7098,0
20050628,22.763,23.317,22.748,23.317,7650,0
20050629,22.896,23.804,22.896,23.722,33582,0
20050630,23.332,23.87,23.257,23.272,5738,0
20050701,23.028,23.583,23.028,23.53,3425,0
20050705,23.877,23.877,23.463,23.812,12734,0
20050706,23.944,23.973,23.317,23.56,14421,0
20050707,23.317,23.973,22.66,23.737,7170,0
20050708,23.899,23.899,23.332,23.804,10490,0
20050711,23.428,24.313,23.428,24.173,14249,0
20050712,24.15,24.313,24.076,24.247,5927,0
20050713,24.623,24.623,24.099,24.099,27075,0
20050714,24.069,24.15,23.775,23.944,6623,0
