Date,Open,High,Low,Close,Volume,OpenInt
20100331,2,2,2,2,500,0
20100401,3,3,3,3,1500,0
20100601,5.99,5.99,5.99,5.99,100,0
20100706,5.05,5.05,5.05,5.05,200,0
20100723,5.99,5.99,5.99,5.99,100,0
20100730,5.5,5.5,5.5,5.5,100,0
20100804,7,7,7,7,100,0
20100811,6,6,6,6,100,0
20100818,5.8,5.8,5.8,5.8,100,0
20100819,5.85,5.85,5.85,5.85,100,0
20100826,5.9,5.9,5.9,5.9,100,0
20100827,5.95,5.95,5.95,5.95,100,0
20100830,5.95,5.95,5.95,5.95,100,0
20100901,7.04,7.04,7.04,7.04,200,0
20100902,7.4,7.4,1.3,7.4,200,0
20101209,4,4,4,4,0,0
20101210,4,4.5,3.5,3.99,1551885,0
20101213,4.2,4.2,3.95,4,333465,0
20101214,4.01,4.02,3.8,3.96,469500,0
20101215,4,4,3.8,3.99,30921,0
20101216,3.87,3.98,3.87,3.93,44300,0
20101217,3.97,3.98,3.9,3.97,104650,0
20101220,3.98,4.05,3.9,4.05,137887,0
20101221,3.98,3.98,3.73,3.91,41003,0
20101222,3.9,3.98,3.7,3.98,157781,0
20101223,3.9,3.99,3.9,3.97,148720,0
20101227,3.85,3.89,3.85,3.86,7400,0
20101228,3.9,3.9,3.85,3.86,14750,0
20101229,3.9,3.9,3.87,3.87,4102,0
20101230,3.9,3.99,3.82,3.99,44100,0
20101231,3.96,4,3.86,3.97,17020,0
20110103,3.89,3.9,3.86,3.86,39500,0
20110104,3.9,3.9,3.81,3.84,16330,0
20110105,3.82,3.82,3.54,3.72,24055,0
20110106,3.98,3.99,3.72,3.82,47405,0
20110107,3.72,3.99,3.55,3.99,38841,0
20110110,3.99,3.99,3.81,3.9,31734,0
20110111,3.98,3.98,3.85,3.88,95942,0
20110112,3.98,3.98,3.86,3.89,56749,0
20110113,3.87,3.97,3.86,3.93,74200,0
20110114,3.87,3.91,3.86,3.9,30597,0
20110118,3.9,3.95,3.88,3.95,36718,0
20110119,3.95,3.95,3.81,3.95,102669,0
20110120,3.94,3.95,3.86,3.95,58620,0
20110121,3.87,3.95,3.86,3.86,20600,0
20110124,3.87,3.87,3.78,3.81,59700,0
20110125,3.82,3.94,3.78,3.93,45848,0
20110126,3.86,3.9,3.86,3.9,18400,0
20110127,3.9,3.94,3.9,3.9,7450,0
20110128,3.87,3.94,3.87,3.9,36935,0
20110131,3.87,3.99,3.86,3.98,22800,0
20110201,3.97,3.97,3.86,3.89,6250,0
20110202,3.86,3.86,3.81,3.81,5314,0
20110203,3.79,3.8,3.78,3.78,16800,0
20110204,3.8,3.95,3.76,3.9,15450,0
20110208,3.9,3.9,3.7,3.71,25700,0
20110209,3.53,3.75,3.45,3.53,45307,0
20110210,3.53,3.55,3.42,3.42,13500,0
20110211,3.6,3.61,3.39,3.52,62130,0
20110214,3.6,3.6,3.42,3.44,18839,0
20110215,3.38,3.45,3.31,3.4,60357,0
20110216,3.4,3.4,3.33,3.4,12389,0
20110217,3.45,3.45,3.25,3.28,20035,0
20110218,3.3,3.5,3.26,3.5,132100,0
20110222,3.32,3.49,3.25,3.4,66300,0
20110223,3.31,3.35,3.15,3.35,28186,0
20110224,3.33,3.35,3.28,3.3,16000,0
20110225,3.3,3.33,3.3,3.3,14393,0
20110228,3.3,3.33,3.25,3.3,30201,0
20110301,3.3,3.3,3.26,3.3,9928,0
20110302,3.3,3.35,3.3,3.32,8700,0
20110303,3.35,3.35,3.13,3.25,30850,0
20110304,3.34,3.34,3.34,3.34,12968,0
20110307,3.45,3.5,3.36,3.43,85082,0
20110308,3.4,3.4,3.4,3.4,2100,0
20110309,3.4,3.49,3.4,3.4,15725,0
20110310,3.47,3.47,3.3,3.3,48500,0
20110311,3.21,3.4,3.2,3.35,8950,0
20110314,3.2,3.4,3.1,3.25,12650,0
20110315,3.2,3.3,3.15,3.3,14355,0
20110316,3.16,3.16,3.15,3.15,6700,0
20110317,3.14,3.21,2.97,3.02,66500,0
20110318,3.03,3.03,2.81,2.89,68896,0
20110321,2.98,3,2.95,2.95,3684,0
20110322,3,3,2.81,2.81,7000,0
20110323,2.83,2.86,2.71,2.8,22703,0
20110324,2.73,2.87,2.7,2.73,20100,0
20110325,2.51,2.85,2.51,2.78,17540,0
20110328,2.84,3.5,2.56,3.15,71677,0
20110329,3.1,3.23,3.1,3.2,67330,0
20110330,3.1,3.2,3.02,3.11,90461,0
20110331,2.99,3.21,2.99,2.99,45034,0
20110401,3.18,3.25,3.01,3.04,10300,0
20110404,3.06,3.06,2.98,2.98,31289,0
20110405,2.92,3,2.91,2.94,24056,0
20110406,2.92,2.99,2.87,2.99,8000,0
20110407,2.82,2.92,2.8,2.8,9767,0
20110408,2.95,2.95,2.72,2.79,19188,0
20110411,2.8,3,2.75,2.75,25225,0
20110412,2.74,2.75,2.37,2.55,57407,0
20110413,2.55,2.58,2.35,2.4,50975,0
20110414,2.45,2.45,2.12,2.28,40611,0
20110415,2.21,2.24,1.96,2.2,87687,0
20110418,2.1,2.28,2.1,2.28,41299,0
20110419,2.25,2.29,2.12,2.12,41989,0
20110420,2.15,2.25,1.99,2.02,48109,0
20110421,2.1,2.15,1.98,1.99,17700,0
20110425,1.99,2.1,1.78,1.81,45114,0
20110426,1.82,1.95,1.65,1.78,144145,0
20110427,1.78,1.78,1.48,1.58,282041,0
20110428,1.47,1.61,1.46,1.6,222769,0
20110429,1.6,1.7,1.48,1.5399,231988,0
20110502,1.56,1.7,1.55,1.7,145205,0
20110503,1.68,2.14,1.67,1.97,263478,0
20110504,2.01,2.15,1.97,2.02,93843,0
20110505,2.1,2.1,1.81,1.88,111955,0
20110506,1.91,1.95,1.65,1.67,106729,0
20110509,1.85,1.85,1.61,1.72,232886,0
20110510,1.82,1.82,1.68,1.8,121290,0
20110511,1.84,1.85,1.66,1.75,164067,0
20110512,1.73,1.73,1.54,1.65,419167,0
20110513,1.33,1.36,1.14,1.25,1264198,0
20110516,1.23,1.28,1.19,1.28,370939,0
20110517,1.21,1.25,1.16,1.16,174674,0
20110518,1.18,1.24,1.17,1.18,136517,0
20110519,1.2,1.34,1.18,1.25,166364,0
20110520,1.29,1.29,1.21,1.25,72664,0
20110523,1.27,1.29,1.21,1.21,99582,0
20110524,1.23,1.34,1.23,1.26,12762,0
20110525,1.23,1.29,1.16,1.22,42876,0
20110526,1.21,1.23,1.2,1.23,28998,0
