Date,Open,High,Low,Close,Volume,OpenInt
20050225,23.07,23.445,22.985,23.312,13234,0
20050228,23.337,23.437,23.015,23.304,26484,0
20050301,23.359,23.437,23.242,23.437,36676,0
20050302,23.25,23.383,23.25,23.288,16570,0
20050303,23.437,23.437,23.234,23.25,9811,0
20050304,23.437,23.445,23.219,23.376,18538,0
20050307,23.445,23.757,23.445,23.562,19022,0
20050308,23.539,23.695,23.367,23.367,21947,0
20050309,23.328,23.39,22.898,22.898,18069,0
20050310,22.907,23.514,22.765,22.765,13480,0
20050311,22.664,23.219,22.492,22.912,20371,0
20050314,23.163,23.163,22.795,22.993,15216,0
20050315,23.062,23.062,22.516,22.531,11231,0
20050316,22.492,23.07,22.492,23.024,17317,0
20050317,23.187,23.187,22.851,23.07,11450,0
20050318,23.117,23.117,22.508,22.516,81272,0
20050321,22.664,22.968,22.459,22.516,10472,0
20050322,22.819,23.272,22.382,22.476,11378,0
20050323,22.367,22.664,22.077,22.165,35096,0
20050324,22.492,22.609,22.1,22.274,12296,0
20050328,22.382,22.781,22.334,22.476,18790,0
20050329,22.342,22.499,21.882,21.882,14300,0
20050330,21.914,22.601,21.914,22.601,37850,0
20050331,22.828,22.898,22.202,22.516,26613,0
20050401,22.601,22.734,21.834,21.93,47386,0
20050404,22.023,22.811,22.023,22.625,26024,0
20050405,22.508,22.843,22.508,22.811,8613,0
20050406,23.053,23.337,22.859,22.961,13504,0
20050407,23.179,23.179,22.742,22.882,14495,0
20050408,22.936,22.936,22.179,22.312,31022,0
20050411,22.312,22.351,22.29,22.312,18310,0
20050412,22.312,22.641,22.265,22.429,42895,0
20050413,22.625,22.876,22.625,22.664,71622,0
20050414,22.734,22.828,22.539,22.546,52459,0
20050415,22.921,22.921,22.194,22.225,27194,0
20050418,22.976,22.976,22.225,22.781,63428,0
20050419,23.093,23.17,22.898,23.11,38838,0
20050420,22.859,22.968,22.399,22.399,11032,0
20050421,22.89,23.242,22.391,23.234,20048,0
20050422,23.32,23.32,22.678,22.912,49022,0
20050425,23.155,23.454,22.912,23.376,27054,0
20050426,23.493,23.493,22.882,23.015,33025,0
20050427,22.936,23.625,22.936,23.288,28802,0
20050428,23.288,23.522,23.242,23.337,46559,0
20050429,23.554,23.554,23.093,23.484,22507,0
20050502,23.376,23.493,23,23.493,38741,0
20050503,23.445,23.757,23.242,23.258,33661,0
20050504,23.376,23.531,23.11,23.397,53976,0
20050505,23.437,23.656,23.17,23.297,14624,0
20050506,23.445,23.468,23.219,23.288,2752,0
20050509,23.397,23.578,23.265,23.484,27243,0
20050510,23.571,23.571,23.17,23.312,23356,0
20050511,23.328,23.422,23.25,23.422,16983,0
20050512,23.445,23.445,22.297,22.788,22136,0
20050513,22.882,23.445,22.468,23.445,36779,0
20050516,23.226,23.797,23.226,23.688,30350,0
20050517,23.476,23.757,23.234,23.664,20151,0
20050518,23.812,23.992,23.437,23.984,45561,0
20050519,23.961,23.961,23.562,23.585,12240,0
20050520,23.405,23.429,23.133,23.351,5500,0
20050523,23.695,23.695,23.179,23.367,54139,0
20050524,23.422,23.422,23.148,23.242,7070,0
20050525,23.093,23.219,22.694,22.936,16573,0
20050526,22.898,23.437,22.898,23.28,15280,0
20050527,23.422,23.461,23.078,23.405,21084,0
20050531,23.312,23.39,23.062,23.141,27415,0
20050601,23.133,23.953,23.133,23.742,45843,0
20050602,23.75,24.125,23.376,24.07,44447,0
20050603,23.89,24.156,23.585,23.812,28350,0
20050606,23.679,24.265,23.562,24.265,7177,0
20050607,24.257,25.375,24,24.946,64729,0
20050608,24.937,24.97,24.195,24.477,23583,0
20050609,24.234,24.984,24.234,24.681,27324,0
20050610,24.578,24.89,24.336,24.422,23153,0
20050613,24.546,25.594,24.546,24.946,61115,0
20050614,25,25.032,24.578,25.032,32692,0
20050615,25.048,25.321,24.586,24.875,61819,0
20050616,24.805,25,24.602,25,39335,0
20050617,25.008,25.883,24.875,25.384,100075,0
20050620,25.282,25.516,25.282,25.407,12752,0
20050621,25.438,25.508,25.188,25.414,35660,0
20050622,25.516,26.212,25.399,26.141,66966,0
20050623,25.735,26.228,25.54,25.555,60040,0
20050624,25.492,25.555,24.624,24.64,173750,0
20050627,24.624,26.298,24.624,25.726,81550,0
20050628,25.914,26.368,25.68,26.243,54055,0
20050629,26.399,26.399,25.642,25.844,37478,0
20050630,25.906,26.36,25.423,25.57,43303,0
20050701,26.009,26.009,25.391,25.665,24667,0
20050705,25.57,25.828,25.133,25.828,44095,0
20050706,25.868,25.945,25.313,25.548,31546,0
20050707,25.289,25.687,25.25,25.407,42035,0
20050708,25.461,25.938,25.087,25.938,40404,0
20050711,26.07,27.259,26.039,27.118,49110,0
20050712,27.071,27.306,26.548,27.189,38599,0
20050713,26.806,26.931,25.876,26.102,25914,0
20050714,26.298,26.368,25.601,25.703,15705,0
20050715,25.445,25.828,25.063,25.54,17554,0
20050718,25.657,25.657,25.211,25.54,15353,0
20050719,25.665,25.978,25.516,25.765,13189,0
20050720,25.469,26.423,25.469,26.312,24089,0
20050721,26.235,26.555,25.634,25.759,24771,0
20050722,26.265,26.571,25.97,26.524,54078,0
20050725,26.329,26.391,25.57,25.844,19210,0
20050726,26.438,26.438,25.719,26.251,5235,0
20050727,26.407,26.532,25.945,26.306,2703,0
20050728,26.188,27.071,26.188,26.954,14953,0
20050729,27.078,27.361,26.188,26.188,18819,0
20050801,26.181,26.492,25.813,26.087,18677,0
20050802,26.282,26.609,26.023,26.579,26161,0
20050803,26.181,26.688,25.789,26.173,14947,0
20050804,25.711,26.134,25.407,26.102,11872,0
20050805,25.438,25.672,24.477,24.656,16671,0
20050808,24.984,25.328,24.946,24.954,17401,0
20050809,25.282,25.696,24.79,25.306,36099,0
20050810,25.476,26.36,25.476,25.797,24356,0
20050811,25.642,25.985,25.204,25.609,25263,0
20050812,25.476,25.531,24.954,25.149,14987,0
20050815,25.149,25.274,24.758,25.149,22446,0
20050816,25.008,25.297,24.633,24.773,20991,0
20050817,24.727,25.054,24.673,24.82,8043,0
20050818,24.633,24.975,24.367,24.39,17069,0
20050819,24.297,24.695,24.226,24.243,16731,0
20050822,24.446,24.812,24.344,24.64,11778,0
20050823,24.469,24.688,24.383,24.563,23360,0
20050824,24.765,24.805,24.297,24.398,33336,0
20050825,24.43,24.617,24.336,24.336,15147,0
20050826,24.351,24.578,24.187,24.187,35531,0
20050829,24.164,24.656,24.046,24.555,18181,0
20050830,24.43,24.992,24.43,24.578,14674,0
20050831,24.837,25.133,24.664,25.117,16142,0
20050901,25.234,25.414,25.071,25.359,12629,0
20050902,25.359,25.359,25.008,25.266,7707,0
20050906,25.313,25.751,25.313,25.719,23437,0
20050907,25.765,26.056,25.648,26.056,24538,0
20050908,26.056,26.141,25.375,25.774,20026,0
20050909,25.805,26.048,25.789,25.883,24668,0
20050912,25.945,25.945,25.57,25.789,11246,0
20050913,25.469,25.719,25.157,25.484,9733,0
20050914,25.687,25.782,24.555,24.937,25507,0
20050915,25.149,25.321,24.93,25.157,12635,0
20050916,25.391,25.672,24.923,25.657,101011,0
20050919,25.586,25.68,25.242,25.242,6825,0
20050920,25.501,25.789,24.875,25.024,18975,0
20050921,24.758,25.141,24.515,24.664,23345,0
20050922,24.624,25.289,24.609,24.712,24616,0
20050923,24.89,25.562,24.75,25.423,15841,0
20050926,25.703,25.735,25.094,25.399,27751,0
20050927,25.282,25.384,25.125,25.258,10585,0
20050928,25.18,25.242,24.156,24.289,20061,0
20050929,24.265,25.384,24.204,25.384,23288,0
20050930,25.149,25.25,24.829,25.149,24581,0
20051003,25.328,25.469,25.063,25.063,7066,0
20051004,25.149,25.469,24.812,25.242,25780,0
20051005,25.125,25.242,24.712,24.923,27147,0
20051006,25.328,25.328,24.422,24.602,25387,0
20051007,24.875,24.992,24.461,24.515,4962,0
20051010,24.446,24.563,24.39,24.39,15699,0
20051011,24.624,24.758,23.875,23.89,19509,0
20051012,23.836,23.969,23.554,23.735,13040,0
20051013,23.639,24.234,23.539,24.07,17974,0
20051014,24.36,24.36,24.148,24.321,5526,0
20051017,24.125,24.406,23.656,23.914,11286,0
20051018,24.257,24.469,23.812,23.867,15716,0
20051019,23.578,25.071,23.578,25.071,24318,0
20051020,24.851,25.218,24.812,25.133,10574,0
20051021,24.812,25.782,24.812,25.735,20980,0
20051024,25.789,26.243,25.657,26.243,30322,0
20051025,25.985,26.22,25.821,26.134,20878,0
20051026,25.953,26.516,25.594,25.735,16464,0
20051027,25.501,25.501,24.97,24.97,27312,0
20051028,25.258,26.056,25.258,26.031,13322,0
20051031,26.548,26.954,26.36,26.954,32542,0
20051101,26.633,26.907,26.181,26.5,18863,0
20051102,26.704,27.094,26.258,27.094,15203,0
20051103,26.571,27.111,26.321,26.665,19429,0
20051104,26.321,26.821,26.181,26.399,6342,0
20051107,26.571,26.571,26.188,26.337,44772,0
20051108,26.188,26.337,26.063,26.063,8627,0
20051109,26.265,26.337,25.978,26.258,40155,0
20051110,26.273,26.383,26.039,26.36,59289,0
20051111,26.321,26.673,26.228,26.47,23854,0
20051114,26.251,26.532,26.188,26.532,16190,0
20051115,26.524,26.617,26.251,26.407,19866,0
20051116,26.195,26.195,25.555,25.978,15471,0
20051117,26.134,26.134,25.883,26.134,11349,0
20051118,26.345,26.353,26.056,26.265,8532,0
20051121,25.978,26.36,25.86,26.273,7838,0
20051122,26.431,26.454,26.102,26.454,4673,0
20051123,26.492,26.492,26.148,26.407,4888,0
20051125,26.524,26.524,26.265,26.273,790,0
20051128,26.087,26.29,25.43,25.484,46332,0
20051129,25.797,25.914,25.399,25.906,18063,0
20051130,26.063,26.282,25.289,25.711,33212,0
20051201,26.056,26.767,26.039,26.5,13441,0
20051202,26.282,26.876,26.11,26.79,5150,0
20051205,26.673,26.696,26.251,26.368,20165,0
20051206,26.532,26.54,26.063,26.438,17064,0
20051207,26.54,26.54,26.001,26.039,24421,0
20051208,26.017,26.375,25.891,26.063,3552,0
20051209,26.329,26.485,26.001,26.212,11676,0
20051212,26.399,26.454,26.212,26.407,8096,0
20051213,26.36,26.446,26.078,26.235,8183,0
20051214,26.375,26.571,26.181,26.454,32525,0
20051215,26.532,26.532,26.148,26.375,18532,0
20051216,26.265,26.321,26.063,26.195,109292,0
20051219,26.023,26.102,25.445,25.445,26238,0
20051220,25.445,25.828,25.445,25.68,21271,0
20051221,25.931,25.938,25.501,25.516,10840,0
20051222,25.751,25.978,25.634,25.899,12080,0
20051223,26.039,26.039,25.719,25.789,7615,0
20051227,25.672,26.009,25.453,25.524,10567,0
20051228,25.797,25.797,25.445,25.445,6427,0
20051229,25.501,25.68,24.851,24.89,12613,0
20051230,24.79,24.79,23.992,24.031,44509,0
20060103,24.36,25.157,23.914,24.992,34561,0
20060104,25.117,25.384,24.312,24.719,38182,0
20060105,24.915,24.984,24.321,24.845,33391,0
20060106,24.97,25.821,24.82,25.642,53366,0
20060109,25.751,26.391,25.43,26.273,14840,0
20060110,26.078,26.54,25.938,26.54,17624,0
20060111,26.54,26.571,26.118,26.375,29938,0
20060112,26.148,26.524,25.868,25.97,14434,0
20060113,26.095,26.181,25.853,26.181,6005,0
20060117,25.86,26.126,25.258,25.609,10067,0
20060118,25.274,25.914,25.274,25.492,4988,0
20060119,25.805,25.805,25.165,25.43,171849,0
20060120,25.703,25.703,25.015,25.109,48198,0
20060123,25.359,25.407,25.204,25.328,6192,0
20060124,25.601,25.601,25.204,25.321,33596,0
20060125,25.57,25.57,25.048,25.165,25996,0
20060126,25.204,26.181,25.048,25.351,44300,0
20060127,25.407,25.407,25.242,25.391,43877,0
20060130,25.25,25.399,25.165,25.196,20505,0
20060131,25.101,28.056,24.79,27.493,561255,0
20060201,26.884,27.423,26.532,27.345,130071,0
20060202,27.15,27.15,26.078,26.165,75966,0
20060203,25.961,26.54,25.828,25.828,43645,0
20060206,25.789,26.087,25.492,26.078,29114,0
20060207,26.087,26.11,25.43,25.711,36988,0
20060208,25.883,26.235,25.384,25.634,35768,0
20060209,25.782,25.868,25.601,25.642,19540,0
20060210,25.594,25.618,25.359,25.438,2620,0
20060213,25.344,25.711,25.336,25.336,11357,0
20060214,25.57,25.978,25.384,25.961,8759,0
20060215,25.876,25.985,25.821,25.985,14255,0
20060216,26.001,26.399,25.759,26.181,56360,0
20060217,26.195,26.195,25.774,25.938,59958,0
20060221,25.789,25.789,25.384,25.461,26369,0
20060222,25.524,25.642,25.391,25.476,44693,0
20060223,25.351,25.469,25.218,25.321,39154,0
20060224,25.274,25.407,24.383,24.851,121239,0
20060227,24.829,24.962,24.617,24.695,68722,0
20060228,24.656,24.805,24.656,24.79,24490,0
20060301,24.617,24.923,24.617,24.907,20565,0
20060302,24.907,24.907,24.695,24.765,19174,0
20060303,24.617,24.946,24.617,24.681,36128,0
20060306,24.656,24.867,24.617,24.648,32188,0
20060307,24.617,24.93,24.281,24.539,17355,0
20060308,24.656,24.845,24.344,24.461,41575,0
20060309,24.461,24.664,24.344,24.469,37326,0
20060310,24.539,24.624,24.367,24.624,14353,0
20060313,24.712,24.875,24.469,24.539,9048,0
20060314,24.422,24.82,24.257,24.741,23135,0
20060315,24.93,25.087,24.617,24.907,41894,0
20060316,25.149,25.548,24.765,24.845,38124,0
20060317,24.898,24.962,24.555,24.758,148466,0
20060320,24.595,24.837,24.586,24.773,30311,0
20060321,24.578,24.829,24.539,24.656,46095,0
20060322,24.571,24.773,24.571,24.712,24896,0
20060323,24.617,25.125,24.617,25.109,22570,0
20060324,25.125,25.367,24.97,25.367,21678,0
20060327,25.289,25.414,25.094,25.414,23440,0
20060328,25.321,25.531,25.101,25.43,48065,0
20060329,25.438,26.148,25.43,26.148,15040,0
20060330,26.141,26.148,25.993,26.118,14135,0
20060331,26.11,26.555,25.985,26.492,38263,0
20060403,26.571,26.571,25.891,26.156,27742,0
20060404,26.243,26.47,25.601,26.47,44662,0
20060405,26.345,26.407,25.891,26.063,14150,0
20060406,25.938,26.181,25.555,26.078,18350,0
20060407,26.337,26.345,25.109,25.375,29410,0
20060410,25.226,25.687,25.204,25.351,13088,0
20060411,25.726,25.797,24.656,24.851,22966,0
20060412,24.82,25.149,24.617,24.617,24291,0
20060413,24.617,25.008,24.617,24.805,12919,0
20060417,24.741,25.015,24.617,25.008,12689,0
20060418,25.008,25.54,25.008,25.54,107435,0
20060419,25.665,25.97,25.665,25.86,95389,0
20060420,25.86,25.906,25.703,25.751,58734,0
20060421,25.789,25.868,25.109,25.594,117235,0
20060424,25.54,25.618,25.133,25.384,24017,0
20060425,25.266,25.642,25.032,25.618,44289,0
20060426,25.634,25.899,25.54,25.719,72880,0
20060427,25.476,26.204,25.18,26.07,59206,0
20060428,26.173,26.181,25.101,26.181,102717,0
20060501,26.282,26.563,26.009,26.273,144174,0
20060502,26.22,26.368,26.009,26.368,31839,0
20060503,26.345,26.462,26.078,26.134,54032,0
20060504,26.063,26.431,25.618,26.329,37512,0
20060505,26.462,26.478,26.251,26.375,41246,0
20060508,25.953,26.368,25.813,26.329,38086,0
20060509,26.056,26.462,25.876,26.329,49647,0
20060510,26.454,26.462,25.906,26.29,54098,0
20060511,26.181,26.181,25.876,26.001,42388,0
20060512,25.985,25.985,25.399,25.782,21680,0
20060515,25.548,26.063,25.367,25.978,27257,0
20060516,25.97,26.29,25.828,26.126,19330,0
20060517,26.102,26.345,25.359,25.97,34997,0
20060518,26.204,26.532,26.102,26.265,32501,0
20060519,25.853,26.851,25.726,26.579,45977,0
20060522,26.251,26.767,25.813,26.508,63945,0
20060523,26.571,26.649,25.914,26.039,45688,0
20060524,25.594,26.571,25.579,26.462,61618,0
20060525,26.571,26.767,26.485,26.767,52830,0
20060526,26.649,27.111,26.649,26.954,13546,0
20060530,26.642,26.79,26.095,26.312,51863,0
20060531,26.438,26.696,25.86,26.595,60431,0
20060601,26.806,27.518,26.649,27.518,86439,0
20060602,27.57,27.704,27.126,27.54,32573,0
20060605,27.4,27.4,26.078,26.353,60196,0
20060606,26.407,27.056,25.805,26.5,34995,0
20060607,26.734,27.312,26.696,27.165,58947,0
20060608,26.892,27.744,26.478,27.665,93312,0
20060609,27.548,27.548,27.086,27.173,29357,0
20060612,27.04,27.04,26.337,26.727,31357,0
20060613,26.595,27.15,26.156,26.251,70574,0
20060614,26.148,26.228,25.719,25.993,34312,0
20060615,26.102,27.126,25.993,26.961,87321,0
