Date,Open,High,Low,Close,Volume,OpenInt
20120124,50.851,50.851,50.412,50.412,751,0
20120125,51.365,51.365,51.365,51.365,429,0
20120126,52.055,52.055,51.028,51.028,1712,0
20120127,51.439,51.439,51.439,51.439,178,0
20120201,52.392,52.392,52.252,52.252,481,0
20120202,52.662,52.999,52.662,52.942,1231,0
20120203,53.326,53.326,53.326,53.326,187,0
20120206,53.747,53.747,53.747,53.747,429,0
20120207,53.747,54.166,53.335,54.166,2614,0
20120208,54.12,54.128,53.624,53.624,1498,0
20120209,53.588,53.588,53.233,53.233,402,0
20120210,52.401,55.1,52.401,52.401,590,0
20120213,53.821,53.821,53.821,53.821,213,0
20120214,53.569,53.569,53.13,53.13,4175,0
20120215,52.915,52.915,52.766,52.766,2784,0
20120217,53.373,53.699,53.373,53.681,777,0
20120221,53.849,53.849,53.569,53.569,535,0
20120223,53.41,53.624,53.41,53.42,3339,0
20120224,53.512,53.896,53.512,53.896,1498,0
20120227,53.708,53.708,53.438,53.438,642,0
20120228,54.054,54.306,54.008,54.306,813,0
20120229,54.127,54.127,54.024,54.024,705,0
20120302,54.296,54.409,54.12,54.344,857,0
20120305,54.362,54.381,54.045,54.045,612,0
20120306,53.25,53.25,51.691,51.785,2111,0
20120307,52.009,52.093,52.009,52.074,674,0
20120309,53.224,53.224,52.877,52.877,777,0
20120314,53.092,53.092,52.672,52.672,496,0
20120315,52.766,52.766,52.766,52.766,576,0
20120316,52.942,52.942,52.942,52.942,535,0
20120322,52.429,52.429,51.655,51.7,838,0
20120323,51.925,51.925,51.888,51.888,642,0
20120327,53.083,53.092,52.803,52.803,1178,0
20120328,52.28,52.401,51.99,51.99,982,0
20120329,51.093,51.29,51.075,51.075,322,0
20120403,52.578,52.578,52.578,52.578,392,0
20120404,51.365,51.365,51.365,51.365,213,0
20120405,51.028,51.122,51.028,51.122,399,0
20120409,50.58,50.58,50.58,50.58,213,0
20120410,49.861,49.936,49.861,49.936,213,0
20120418,50.272,50.272,50.189,50.189,581,0
20120420,50.412,50.412,50.412,50.412,296,0
20120425,49.674,49.674,49.357,49.357,520,0
20120426,49.833,49.833,48.581,49.758,1463,0
20120427,49.758,49.758,49.692,49.692,2033,0
20120430,49.637,49.637,48.853,49.422,1498,0
20120503,49.217,49.217,49.217,49.217,116,0
20120508,47.629,47.853,47.629,47.723,1241,0
20120509,47.732,47.732,46.657,47.349,1712,0
20120510,47.423,47.6,43.893,47.489,1070,0
20120515,44.529,44.529,44.201,44.201,751,0
20120516,44.406,44.406,44.406,44.406,107,0
20120521,43.893,43.893,43.893,43.893,857,0
20120522,43.762,43.772,43.753,43.753,822,0
20120523,42.007,42.922,41.904,42.913,2098,0
20120530,43.08,43.08,43.08,43.08,460,0
20120531,43.212,43.212,43.212,43.212,232,0
20120605,42.25,42.382,42.25,42.382,976,0
20120606,43.255,43.255,43.255,43.255,429,0
20120607,43.493,43.9,43.493,43.862,2613,0
20120611,43.987,43.987,42.903,42.903,533,0
20120613,43.258,43.38,43.258,43.38,347,0
20120614,43.408,43.408,43.408,43.408,140,0
20120619,45.434,45.434,45.434,45.434,155,0
20120622,44.137,44.336,43.919,43.919,2319,0
20120626,43.274,43.274,43.274,43.274,158,0
20120628,43.435,43.435,43.435,43.435,252,0
20120629,45.085,45.085,45.085,45.085,109,0
20120702,45.911,45.968,45.911,45.968,558,0
20120705,46.386,46.481,46.386,46.481,421,0
20120710,45.465,45.513,45.465,45.513,1054,0
20120712,44.108,44.108,44.108,44.108,317,0
20120717,45.722,45.798,45.332,45.788,2881,0
20120718,45.836,46.102,45.798,46.102,12858,0
20120723,44.545,44.545,44.545,44.545,1476,0
20120724,44.26,44.26,44.259,44.259,210,0
20120726,45.01,45.039,45.01,45.01,1368,0
20120727,46.833,46.833,46.833,46.833,210,0
20120801,46.338,46.338,46.168,46.168,1371,0
20120802,46.035,46.035,45.769,45.769,1563,0
20120803,46.129,46.775,46.119,46.775,981,0
20120806,46.708,46.728,46.708,46.728,737,0
20120807,46.841,46.841,46.473,46.575,1109,0
20120809,46.99,47.087,46.99,47.087,421,0
20120810,47.107,47.923,47.107,47.239,982,0
20120815,46.717,46.717,46.717,46.717,105,0
20120816,47.06,47.06,47.06,47.06,105,0
20120817,47.401,47.401,47.353,47.353,321,0
20120820,47.458,47.458,47.458,47.458,210,0
20120822,46.641,47.933,46.529,46.812,1586,0
20120823,46.604,46.631,46.604,46.614,883,0
20120831,45.693,45.693,45.683,45.683,835,0
20120913,47.856,47.856,47.856,47.856,105,0
20120914,48.938,48.938,48.919,48.919,421,0
20120918,48.378,48.616,48.34,48.616,992,0
20120919,48.416,49.071,48.2,48.777,1581,0
20120920,48.075,48.075,47.993,47.993,409,0
20120924,47.818,47.979,47.762,47.979,2571,0
20120925,47.448,47.448,47.448,47.448,309,0
20120927,47.408,47.619,47.408,47.582,2328,0
20120928,47.23,47.247,47.002,47.002,688,0
20121001,47.724,47.724,47.724,47.724,126,0
20121003,47.306,47.306,47.306,47.306,105,0
20121004,47.627,47.627,47.591,47.591,210,0
20121005,47.648,47.648,47.648,47.648,117,0
20121008,47.268,47.268,47.268,47.268,187,0
20121015,47.734,47.875,47.734,47.875,325,0
20121017,47.297,48.54,47.297,48.53,1776,0
20121018,48.388,48.388,48.352,48.367,949,0
20121019,48.113,48.113,48.113,48.113,369,0
20121025,47.258,47.258,47.002,47.002,2317,0
20121026,47.42,47.582,47.297,47.582,2181,0
20121105,48.197,48.197,47.818,47.818,729,0
20121106,47.818,47.818,47.8,47.818,654,0
20121109,46.614,46.614,46.614,46.614,169,0
20121112,46.158,46.158,46.158,46.158,109,0
20121126,46.367,46.367,46.367,46.367,455,0
20121127,46.405,46.736,46.254,46.254,949,0
20121128,46.158,46.158,46.158,46.158,317,0
20121130,46.499,46.499,46.233,46.233,1552,0
20121203,46.471,46.481,46.471,46.481,737,0
20121204,46.481,46.481,46.481,46.481,105,0
20121205,46.851,46.927,46.851,46.927,3900,0
20121206,46.936,47.239,46.898,46.898,1371,0
20121207,47.221,47.268,47.221,47.268,632,0
20121213,48.416,48.416,48.416,48.416,105,0
20121217,48.378,49.346,48.378,48.388,929,0
20121218,48.217,48.501,48.217,48.501,527,0
20121221,48.501,48.53,48.501,48.501,611,0
20121224,48.567,48.577,48.292,48.292,1658,0
20121227,48.435,48.435,48.435,48.435,184,0
20121228,49.148,49.148,48.626,48.626,507,0
20121231,48.752,49.735,48.752,49.735,10645,0
20130102,50.457,50.457,50.096,50.106,1100,0
20130104,50.457,50.779,50.378,50.779,4058,0
20130107,50.755,50.755,50.465,50.467,1220,0
20130108,50.38,50.38,50.047,50.057,455,0
20130109,50.418,50.551,50.418,50.551,7913,0
20130110,50.76,51.111,50.697,51.091,1971,0
20130111,50.712,50.978,50.703,50.969,6639,0
20130114,51.111,51.111,51.073,51.073,1792,0
20130115,50.893,50.893,50.893,50.893,158,0
20130116,50.939,50.939,50.864,50.864,627,0
20130117,51.244,51.519,50.447,51.519,6509,0
20130118,51.359,51.537,51.359,51.537,386,0
20130122,51.461,51.461,51.461,51.461,2634,0
20130123,51.566,51.566,51.537,51.537,844,0
20130124,51.898,51.907,51.662,51.662,1191,0
20130125,51.756,51.756,51.338,51.338,492,0
20130128,51.225,51.642,51.064,51.509,47387,0
20130129,51.443,51.453,51.12,51.14,8327,0
20130130,50.939,51.471,50.75,50.969,21065,0
20130131,51.12,51.423,51.025,51.377,12740,0
20130201,51.774,51.774,51.533,51.533,1179,0
20130204,51.244,51.244,50.902,50.902,1055,0
20130206,50.845,51.244,50.788,50.788,2741,0
20130207,51.973,51.973,50.694,50.902,3847,0
20130208,51.225,51.225,50.389,50.921,5086,0
20130211,50.342,50.911,50.304,50.74,1296,0
20130212,50.807,51.054,50.722,50.722,8631,0
20130214,50.532,51.081,50.523,50.931,2446,0
20130215,53.379,53.379,50.278,50.278,4252,0
20130219,50.855,50.855,50.039,50.039,7648,0
20130220,49.811,49.811,49.003,49.441,844,0
20130221,49.726,49.726,48.54,48.54,5799,0
20130222,49.099,49.118,48.872,49.013,1687,0
20130225,49.089,49.118,48.369,48.682,10932,0
