Date,Open,High,Low,Close,Volume,OpenInt
20050225,3.99,4.03,3.99,3.99,1800,0
20050228,3.9,4.15,3.9,4.06,9200,0
20050301,4.08,4.19,4.01,4.19,1500,0
20050302,4.01,4.03,4.01,4.01,3600,0
20050303,3.96,3.96,3.95,3.95,2100,0
20050304,4.02,4.05,3.96,4,6000,0
20050307,3.97,3.98,3.96,3.98,3900,0
20050308,3.97,3.97,3.8,3.8,6300,0
20050309,3.7,3.95,3.6,3.95,18300,0
20050310,3.98,4.1,3.85,3.85,2100,0
20050311,3.85,3.9,3.65,3.9,4200,0
20050314,3.89,3.89,3.85,3.85,600,0
20050315,3.7,3.7,3.5,3.5,25400,0
20050316,3.5,3.55,3.12,3.2,70300,0
20050317,3.19,3.6,3.15,3.6,66700,0
20050318,3.58,3.58,3.5,3.54,8300,0
20050321,3.54,3.54,3.54,3.54,1000,0
20050322,3.56,3.75,3.56,3.75,17200,0
20050323,3.8,3.95,3.8,3.95,13900,0
20050324,4,4.08,3.96,4,2100,0
20050328,4.08,4.08,4.02,4.04,1200,0
20050329,4.09,4.09,3.7,3.7,9800,0
20050330,3.7,3.73,3.7,3.73,400,0
20050401,3.8,3.8,3.75,3.75,3200,0
20050404,3.7,3.7,3.61,3.61,1500,0
20050405,3.67,3.67,3.61,3.61,800,0
20050406,3.61,3.65,3.61,3.61,2200,0
20050407,3.65,3.8,3.61,3.8,12600,0
20050408,3.83,3.88,3.8,3.88,3600,0
20050411,3.89,3.89,3.81,3.81,2300,0
20050412,3.84,3.84,3.84,3.84,100,0
20050413,3.8,3.8,3.45,3.65,13600,0
20050414,3.6,3.6,3.5,3.5,2600,0
20050415,3.56,3.56,3.51,3.51,1600,0
20050418,3.56,3.56,3.36,3.4,8100,0
20050420,3.4,3.4,3.4,3.4,700,0
20050421,3.36,3.36,3.36,3.36,800,0
20050422,3.35,3.35,3.31,3.31,1600,0
20050425,3.2,3.26,3.2,3.26,5300,0
20050426,3.26,3.34,3.26,3.34,2700,0
20050427,3.37,3.37,3.26,3.26,3500,0
20050428,3.33,3.33,3.26,3.26,3200,0
20050429,3.27,3.27,3.25,3.25,700,0
20050502,3.25,3.26,3.2,3.26,4200,0
20050503,3.25,3.25,3.25,3.25,200,0
20050504,3.3,3.3,3.22,3.3,2600,0
20050505,3.2,3.26,3.16,3.26,14000,0
20050506,3.2,3.26,3.2,3.25,2800,0
20050509,3.27,3.27,3.25,3.25,1500,0
20050510,3.25,3.25,3.19,3.2,3900,0
20050511,3.2,3.2,3.2,3.2,2000,0
20050512,3.2,3.2,3.2,3.2,2000,0
20050513,3.2,3.25,3.2,3.24,1500,0
20050517,3.2,3.25,3.2,3.25,1400,0
20050518,3.28,3.28,3.2,3.2,2600,0
20050519,3.13,3.13,3.12,3.12,8000,0
20050520,3.11,3.12,3.08,3.11,5600,0
20050523,3.02,3.06,3.01,3.01,3200,0
20050524,3.01,3.02,3,3.01,1900,0
20050525,3.04,3.04,3.03,3.03,400,0
20050527,3.03,3.03,3.03,3.03,100,0
20050531,3.1,3.11,3.03,3.11,5900,0
20050601,3.18,3.18,3.11,3.15,3200,0
20050602,3.2,3.2,3.15,3.15,5800,0
20050603,3.2,3.2,3.2,3.2,300,0
20050606,3.2,3.3,3.1,3.3,8200,0
20050607,3.48,3.6,3.4,3.6,4900,0
20050608,3.74,3.89,3.74,3.81,4400,0
20050609,3.89,3.9,3.7,3.7,10800,0
20050610,3.5,3.5,3.4,3.49,7200,0
20050613,3.49,3.49,3.49,3.49,100,0
20050614,3.49,3.59,3.49,3.55,1400,0
20050616,3.55,3.55,3.49,3.49,2100,0
20050617,3.49,3.49,3.49,3.49,2600,0
20050620,3.49,3.49,3.27,3.27,9400,0
20050621,3.3,3.3,3.25,3.25,3700,0
20050622,3.2,3.2,3.1,3.15,8400,0
20050623,3.06,3.16,3.06,3.16,4600,0
20050624,3.12,3.15,3.12,3.15,600,0
20050628,3.16,3.16,3.16,3.16,400,0
20050629,3.15,3.16,3.1,3.1,3000,0
20050630,3.04,3.04,3.04,3.04,500,0
20050701,3.05,3.25,3.01,3.25,9800,0
20050705,3.3,3.31,3.27,3.29,5700,0
20050706,3.35,3.4,3.35,3.4,2000,0
20050708,3.4,3.4,3.4,3.4,1000,0
20050711,3.31,3.5,3.31,3.41,3600,0
20050712,3.41,3.41,3.4,3.4,700,0
20050713,3.4,3.4,3.28,3.36,3100,0
20050714,3.4,3.4,3.4,3.4,500,0
20050715,3.4,3.4,3.32,3.39,800,0
20050718,3.34,3.43,3.34,3.43,2000,0
20050719,3.4,3.4,3.35,3.35,4300,0
20050720,3.45,3.5,3.45,3.5,1200,0
20050721,3.47,3.47,3.47,3.47,300,0
20050725,3.47,3.53,3.47,3.47,800,0
20050728,3.45,3.45,3.45,3.45,300,0
20050729,3.4,3.43,3.4,3.43,2400,0
20050801,3.3,3.77,3.3,3.77,10200,0
20050802,3.7,3.74,3.6,3.6,7900,0
20050803,3.52,3.52,3.4,3.43,8200,0
20050804,3.41,3.41,3.41,3.41,2000,0
20050805,3.5,3.5,3.5,3.5,2000,0
20050808,3.51,3.51,3.51,3.51,200,0
20050809,3.41,3.5,3.41,3.49,3200,0
20050810,3.45,3.45,3.45,3.45,1800,0
20050811,3.32,3.41,3.31,3.31,3300,0
20050812,3.31,3.31,3.31,3.31,500,0
20050815,3.31,3.4,3.31,3.4,1800,0
20050816,3.38,3.38,3.38,3.38,500,0
20050818,3.38,3.38,3.38,3.38,500,0
20050822,3.39,3.39,3.39,3.39,700,0
20050826,3.3,3.3,3.3,3.3,2000,0
20050830,3.1,3.2,3.1,3.2,3600,0
20050831,3.16,3.16,3.16,3.16,100,0
20050901,3.19,3.19,3.16,3.16,2000,0
20050902,3.2,3.23,3.2,3.23,2500,0
20050906,3.21,3.21,3.16,3.16,400,0
20050908,3.13,3.13,3.12,3.12,500,0
20050909,3.12,3.14,3.12,3.14,1400,0
20050912,3.12,3.21,3.12,3.21,1000,0
20050915,3.3,3.3,3.3,3.3,20000,0
20050916,3.3,3.4,3.3,3.4,18300,0
20050919,3.4,3.47,3.34,3.46,4200,0
20050920,3.53,3.57,3.53,3.57,15900,0
20050921,3.58,3.62,3.57,3.6,4100,0
20050922,3.61,3.61,3.61,3.61,200,0
20050923,3.6,3.6,3.6,3.6,1300,0
20050928,3.6,3.6,3.6,3.6,400,0
20050929,3.61,3.63,3.61,3.63,1000,0
20050930,3.62,3.63,3.61,3.61,1200,0
20051003,3.58,3.58,3.58,3.58,300,0
20051004,3.45,3.45,3.45,3.45,200,0
20051005,3.55,3.55,3.45,3.45,1300,0
20051006,3.45,3.45,3.4,3.4,2000,0
20051007,3.4,3.41,3.4,3.4,7000,0
20051010,3.4,3.4,3.4,3.4,300,0
20051012,3.38,3.38,3.38,3.38,100,0
20051013,3.3,3.3,3.21,3.21,4600,0
20051017,3.25,3.3,3.2,3.3,5400,0
20051019,3.45,3.58,3.3,3.3,16700,0
20051020,3.35,3.35,3.23,3.28,5000,0
20051021,3.22,3.29,3.2,3.23,38300,0
20051024,3.22,3.23,3.22,3.22,2100,0
20051025,3.25,3.25,3.25,3.25,1600,0
20051028,3.23,3.3,3.23,3.3,1500,0
20051031,3.28,3.35,3.28,3.35,1400,0
20051101,3.3,3.3,3.3,3.3,400,0
20051102,3.34,3.44,3.34,3.44,5800,0
20051103,3.43,3.43,3.43,3.43,1000,0
20051107,3.35,3.4,3.35,3.4,1500,0
20051108,3.37,3.42,3.37,3.42,500,0
20051109,3.35,3.41,3.35,3.41,700,0
20051110,3.3,3.3,3.3,3.3,500,0
20051114,3.3,3.3,3.3,3.3,1000,0
20051115,3.26,3.26,3.25,3.25,4600,0
20051116,3.29,3.3,3.25,3.25,4500,0
20051117,3.23,3.23,3.23,3.23,1300,0
20051118,3.23,3.3,3.23,3.28,3600,0
20051121,3.24,3.3,3.24,3.3,3500,0
20051122,3.3,3.39,3.3,3.39,2600,0
20051123,3.41,3.5,3.41,3.5,5600,0
20051128,3.4,3.45,3.4,3.45,1700,0
20051129,3.49,3.55,3.45,3.5,3600,0
20051130,3.59,3.59,3.45,3.45,3100,0
20051201,3.5,3.5,3.45,3.45,1100,0
20051202,3.5,3.5,3.45,3.47,2200,0
20051205,3.47,3.52,3.4,3.42,6400,0
20051206,3.5,3.5,3.5,3.5,2300,0
20051207,3.59,3.59,3.5,3.5,2300,0
20051208,3.55,3.6,3.54,3.6,1500,0
20051212,3.65,3.85,3.65,3.7,6800,0
20051213,3.73,3.8,3.73,3.75,2200,0
20051214,3.73,3.73,3.6,3.65,9800,0
20051215,3.65,3.7,3.65,3.7,18900,0
20051216,3.75,3.75,3.75,3.75,2000,0
20051219,3.79,3.89,3.75,3.89,3300,0
20051220,3.8,3.88,3.76,3.86,5500,0
20051221,3.9,3.91,3.89,3.91,12300,0
20051222,3.9,3.9,3.89,3.9,3000,0
20051223,3.9,3.95,3.8,3.8,4100,0
20051227,3.75,3.75,3.65,3.7,1400,0
20051228,3.65,3.75,3.65,3.66,11100,0
20051229,3.7,3.8,3.7,3.71,1700,0
20051230,3.78,3.89,3.78,3.89,2400,0
20060103,3.93,3.93,3.61,3.61,11500,0
20060104,3.65,3.69,3.65,3.69,600,0
20060105,3.62,3.7,3.62,3.7,1200,0
20060106,3.7,3.9,3.7,3.76,6200,0
20060109,3.74,4.04,3.74,3.99,31100,0
20060111,4.04,4.06,4.04,4.06,3000,0
20060112,4.09,4.35,4.08,4.32,7300,0
