Date,Open,High,Low,Close,Volume,OpenInt
20141107,49.466,49.466,49.466,49.466,100,0
20141113,49.793,49.813,49.793,49.813,329,0
20141118,49.923,49.923,49.923,49.923,113,0
20141121,50.331,50.331,50.331,50.331,752,0
20141125,50.43,50.43,50.403,50.43,318,0
20141202,49.783,49.783,49.783,49.783,241,0
20141204,49.723,49.723,49.723,49.723,201,0
20141205,49.216,49.216,49.206,49.206,302,0
20141216,47.762,47.762,47.762,47.762,100,0
20141218,48.226,48.226,48.205,48.205,1225,0
20141226,48.17,48.17,48.17,48.17,140,0
20150112,48.73,48.73,48.73,48.73,520,0
