Date,Open,High,Low,Close,Volume,OpenInt
20131219,23.069,23.176,22.941,23.053,173763,0
20131220,23.176,23.211,23.015,23.211,253354,0
20131223,23.222,23.363,23.119,23.343,128322,0
20131224,23.363,23.455,23.287,23.409,49278,0
20131226,23.363,23.428,23.25,23.297,61468,0
20131227,23.259,23.363,23.259,23.297,44025,0
20131230,23.185,23.399,23.185,23.343,73533,0
20131231,23.316,23.428,23.316,23.382,99850,0
20140102,23.447,23.493,23.343,23.493,93931,0
20140103,23.409,23.634,23.409,23.569,106020,0
20140106,23.586,23.586,23.465,23.54,358826,0
20140107,23.53,23.69,23.455,23.69,386836,0
20140108,23.69,23.737,23.586,23.708,278363,0
20140109,23.708,23.766,23.664,23.718,323562,0
20140110,23.773,24.018,23.727,23.896,118869,0
20140113,23.896,23.961,23.766,23.812,167694,0
20140114,23.859,23.859,23.7,23.803,65240,0
20140115,23.773,23.821,23.652,23.756,58122,0
20140116,23.773,23.812,23.7,23.756,112103,0
20140117,23.7,23.812,23.69,23.803,1344278,0
20140121,23.766,23.766,23.606,23.671,233736,0
20140122,23.737,23.737,23.641,23.69,988607,0
20140123,23.727,23.727,23.54,23.596,87095,0
20140124,23.615,23.7,23.521,23.7,514035,0
20140127,23.615,23.737,23.615,23.727,67891,0
20140128,23.727,23.746,23.69,23.742,136662,0
20140129,23.634,23.727,23.624,23.68,747256,0
20140130,23.69,23.831,23.643,23.766,512935,0
20140131,23.765,23.877,23.662,23.877,476171,0
20140203,23.7,23.877,23.7,23.839,681479,0
20140204,23.756,23.867,23.671,23.867,198844,0
20140205,23.727,23.859,23.634,23.812,101671,0
20140206,23.859,23.877,23.756,23.877,86243,0
20140207,23.793,23.887,23.783,23.887,135307,0
20140210,23.924,23.953,23.877,23.924,56801,0
20140211,23.86,23.961,23.842,23.933,332965,0
20140212,23.943,23.98,23.867,23.933,29291,0
20140213,23.933,24.084,23.933,24.074,84092,0
20140214,24.093,24.149,24.055,24.074,1241385,0
20140218,24.12,24.289,24.111,24.251,43139,0
20140219,24.58,24.58,24.205,24.393,301767,0
20140220,24.307,24.327,24.242,24.327,40561,0
20140221,24.289,24.373,24.271,24.346,99936,0
20140224,24.439,24.439,24.111,24.289,77162,0
20140225,24.327,24.354,24.271,24.354,459124,0
20140226,24.477,24.626,24.346,24.486,142000,0
20140227,24.56,24.762,24.346,24.626,684396,0
20140228,24.926,24.954,24.637,24.841,136408,0
20140303,24.869,25.075,24.786,24.841,97125,0
20140304,24.907,25.058,24.804,24.861,841407,0
20140305,24.954,25.225,24.608,25.225,248654,0
20140306,25.245,25.245,24.954,25.058,275074,0
20140307,25.02,25.235,24.954,25.094,260847,0
20140310,25.029,25.085,24.73,24.851,73485,0
20140311,24.804,24.89,24.682,24.777,86972,0
20140312,24.757,24.879,24.702,24.833,101542,0
20140313,24.841,24.879,24.682,24.785,25379,0
20140314,24.767,24.869,24.636,24.747,123065,0
20140317,24.879,24.888,24.711,24.823,103533,0
20140318,24.869,25.066,24.795,25.066,128388,0
20140319,25.281,25.281,24.833,24.973,43088,0
20140320,25.131,25.131,24.888,25.066,13580,0
20140321,25.188,25.233,24.917,24.964,139131,0
20140324,25.291,25.384,24.869,24.879,106121,0
20140325,25.141,25.141,24.954,24.954,368098,0
20140326,25.102,25.159,24.978,25.121,285711,0
20140327,25.179,25.179,24.835,25.026,71419,0
20140328,25.063,25.226,25.063,25.172,41674,0
20140331,25.083,25.321,25.083,25.246,31705,0
20140401,25.274,25.331,25.169,25.169,132407,0
20140402,25.254,25.312,25.207,25.303,175865,0
20140403,25.35,25.35,25.13,25.312,11491,0
20140404,25.254,25.341,25.14,25.217,71637,0
20140407,25.312,25.312,25.179,25.264,15127,0
20140408,25.398,25.411,25.207,25.312,72677,0
20140409,25.427,25.427,25.159,25.37,113180,0
20140410,25.417,25.465,25.36,25.37,26538,0
20140411,25.455,25.512,25.264,25.474,6108,0
20140414,25.646,25.646,25.331,25.331,14524,0
20140415,25.35,25.446,25.341,25.446,18578,0
20140416,25.494,25.589,25.37,25.427,43759,0
20140417,25.494,25.512,25.179,25.179,55235,0
20140421,25.293,25.293,25.14,25.159,13016,0
20140422,25.283,25.283,25.112,25.188,70932,0
20140423,25.236,25.264,25.14,25.14,319183,0
20140424,25.159,25.159,25.063,25.14,125314,0
20140425,25.169,25.331,25.159,25.331,55210,0
20140428,25.293,25.37,25.264,25.303,20175,0
20140429,25.388,25.388,25.293,25.321,288640,0
20140430,25.427,25.436,25.349,25.36,35363,0
20140501,25.417,25.722,25.35,25.675,70464,0
20140502,25.685,25.732,25.393,25.474,149734,0
20140505,25.474,25.589,25.427,25.446,22895,0
20140506,25.455,25.494,25.407,25.455,11297,0
20140507,25.532,25.532,25.226,25.359,33580,0
20140508,25.36,25.427,24.921,25.303,213657,0
20140509,25.331,25.379,25.264,25.379,843823,0
20140512,25.436,25.446,25.35,25.35,39163,0
20140513,25.321,25.416,25.321,25.37,47133,0
20140514,25.37,25.436,25.37,25.388,1228074,0
20140515,25.436,25.436,25.35,25.398,127566,0
20140516,25.455,25.512,25.455,25.503,20014,0
20140519,25.532,25.618,25.446,25.579,247258,0
20140520,25.589,25.656,25.541,25.618,91467,0
20140521,25.732,25.78,25.551,25.598,9286,0
20140522,25.589,25.627,25.341,25.465,26529,0
20140523,25.532,25.532,25.35,25.494,15290,0
20140527,25.522,25.598,25.455,25.57,250710,0
20140528,25.455,25.579,25.341,25.532,309943,0
20140529,25.579,25.704,25.407,25.407,1429279,0
20140530,25.417,25.512,25.417,25.446,46656,0
20140602,25.522,25.522,25.254,25.36,108371,0
20140603,25.484,25.484,25.283,25.37,899681,0
20140604,25.398,25.494,25.179,25.446,202113,0
20140605,25.446,25.732,25.37,25.608,32685,0
20140606,25.694,25.761,25.598,25.761,12486,0
20140609,25.875,25.875,25.732,25.799,11729,0
20140610,25.904,26.086,25.627,25.685,23146,0
20140611,25.722,25.732,25.646,25.732,10552,0
20140612,25.729,25.797,25.665,25.797,7130,0
20140613,25.828,25.875,25.742,25.818,14828,0
20140616,25.856,25.966,25.789,25.799,10509,0
20140617,25.98,26.133,25.78,26.124,22384,0
20140618,26.19,26.21,26.028,26.162,21003,0
20140619,26.2,26.286,26.047,26.066,12764,0
20140620,26.162,26.162,25.875,25.875,16300,0
20140623,25.999,25.999,25.722,25.828,29386,0
20140624,25.904,26.019,25.875,25.971,29853,0
20140625,26.178,26.256,26.042,26.168,11974,0
20140626,26.12,26.246,25.868,26.082,522793,0
20140627,26.082,26.324,26.004,26.1,13230,0
20140630,26.344,26.42,25.936,25.965,47444,0
20140701,25.956,26.118,25.81,25.868,53861,0
20140702,26.042,26.042,25.878,25.888,12171,0
20140703,25.905,25.905,25.626,25.636,19927,0
20140707,25.82,25.868,25.645,25.722,17358,0
20140708,25.79,25.936,25.79,25.878,34320,0
20140709,26.004,26.178,25.936,26.024,198692,0
