Date,Open,High,Low,Close,Volume,OpenInt
20050225,32.778,33.125,32.517,32.961,81106,0
20050228,32.913,33.086,32.546,32.913,107028,0
20050301,32.855,33.076,32.546,32.903,142397,0
20050302,32.778,33.269,32.459,32.719,74455,0
20050303,32.749,33.01,32.527,32.903,59094,0
20050304,33,33.511,32.941,33.424,85429,0
20050307,33.202,33.656,32.923,33.115,117027,0
20050308,32.903,33.144,32.536,32.691,121535,0
20050309,33.173,33.173,32.344,32.459,84700,0
20050310,32.672,32.941,32.306,32.874,177329,0
20050311,32.941,33.029,32.344,32.595,88302,0
20050314,32.459,33.096,32.402,33.086,96347,0
20050315,33.154,33.318,32.681,32.884,127567,0
20050316,32.672,33.029,32.615,32.624,59678,0
20050317,32.681,32.798,32.402,32.585,94606,0
20050318,32.788,32.788,31.689,31.939,436397,0
20050321,31.824,32.112,31.573,31.968,148070,0
20050322,31.861,31.968,31.389,31.409,155043,0
20050323,31.341,31.504,31.129,31.167,82263,0
20050324,31.389,31.389,30.877,30.877,65282,0
20050328,30.877,31.447,30.877,31.254,90504,0
20050329,31.052,31.292,30.782,31.013,210276,0
20050330,31.149,31.679,31.08,31.583,76768,0
20050331,31.63,31.63,30.859,31.322,162597,0
20050401,31.341,31.544,30.675,30.994,112123,0
20050404,30.887,31.244,30.608,31.071,43173,0
20050405,31.264,31.302,30.927,31.09,112435,0
20050406,31.341,31.726,31.196,31.215,145911,0
20050407,31.159,31.486,31.013,31.361,82527,0
20050408,31.437,31.534,30.657,30.685,85845,0
20050411,30.667,30.734,30.415,30.482,76955,0
20050412,30.377,31.206,30.252,31.167,111922,0
20050413,31.032,31.206,30.512,30.608,77070,0
20050414,30.81,30.81,30.26,30.29,150796,0
20050415,30.482,30.512,30.135,30.183,147380,0
20050418,30.183,30.907,30.183,30.657,130658,0
20050419,30.81,31.003,30.473,30.627,142387,0
20050420,30.839,30.839,30.319,30.531,241783,0
20050421,30.579,31.159,30.522,31.149,208676,0
20050422,31.215,31.467,30.473,30.734,126853,0
20050425,31.167,32.498,31.022,32.498,370378,0
20050426,32.257,32.556,31.476,31.573,289585,0
20050427,31.447,32.006,31.196,31.621,143658,0
20050428,31.486,31.554,31.003,31.052,125707,0
20050429,31.09,31.592,30.637,31.495,96137,0
20050502,31.611,31.9,31.283,31.9,73636,0
20050503,31.707,32.266,31.563,31.679,79320,0
20050504,31.871,32.286,31.524,32.18,166256,0
20050505,32.074,32.171,31.457,31.881,106304,0
20050506,31.707,32.035,31.457,31.504,107029,0
20050509,31.486,32.171,31.486,32.171,73163,0
20050510,32.016,32.016,31.312,31.756,98454,0
20050511,31.689,32.219,31.534,32.19,73476,0
20050512,32.054,32.219,31.389,31.524,77959,0
20050513,31.679,31.697,30.917,31.322,72411,0
20050516,31.254,32.412,31.225,32.392,129993,0
20050517,32.112,32.643,31.832,32.566,70032,0
20050518,33.356,33.993,32.808,33.953,436349,0
20050519,33.963,34.244,33.771,34.061,165190,0
20050520,34.235,34.235,33.693,33.963,108256,0
20050523,33.751,34.081,33.675,33.925,109189,0
20050524,33.617,33.925,33.539,33.869,63899,0
20050525,33.751,33.81,33.125,33.336,99419,0
20050526,33.463,33.647,33.222,33.549,97999,0
20050527,33.366,33.723,33.366,33.463,78097,0
20050531,33.366,33.617,32.353,33.454,151403,0
20050601,33.415,33.945,33.395,33.945,148920,0
20050602,33.896,33.973,33.558,33.617,90867,0
20050603,33.568,33.761,33.26,33.366,57867,0
20050606,33.366,33.703,33.173,33.703,67158,0
20050607,33.751,34.098,33.434,33.463,132863,0
20050608,33.463,33.859,33.279,33.279,60767,0
20050609,33.232,33.491,33.125,33.405,119614,0
20050610,33.366,33.366,33.01,33.125,118255,0
20050613,33.222,33.607,32.923,33.607,97596,0
20050614,33.684,33.935,33.415,33.79,125852,0
20050615,33.859,34.215,33.713,34.215,166986,0
20050616,34.235,34.755,34.042,34.755,109105,0
20050617,34.832,35.15,34.523,34.523,353366,0
20050620,34.456,34.542,34.283,34.31,122198,0
20050621,34.523,34.571,34.175,34.225,103288,0
20050622,34.407,34.668,34.071,34.293,110371,0
20050623,34.138,34.273,33.578,33.598,144443,0
20050624,33.53,33.647,33.251,33.588,304025,0
20050627,33.549,33.549,33.154,33.463,114623,0
20050628,33.511,34.081,33.444,34.061,108823,0
20050629,34.09,34.31,33.82,34.235,94671,0
20050630,34.138,34.34,33.78,33.829,89042,0
20050701,33.915,34.205,33.751,34.205,51949,0
20050705,33.983,34.716,33.849,34.716,114306,0
20050706,34.708,34.708,33.703,33.761,109326,0
20050707,33.53,33.742,33.202,33.684,142728,0
20050708,33.733,34.783,33.52,34.716,106297,0
20050711,34.832,35.044,34.571,34.957,139368,0
20050712,34.985,35.15,34.698,35.074,164347,0
20050713,35.093,35.295,34.678,34.812,160341,0
20050714,35.005,35.005,34.533,34.871,205182,0
20050715,34.62,35.247,34.62,35.217,140526,0
20050718,35.247,35.247,34.34,34.368,76964,0
20050719,34.59,35.103,34.581,35.103,100068,0
20050720,34.947,35.593,34.581,35.536,86404,0
20050721,35.536,35.536,34.476,34.571,85194,0
20050722,34.659,35.39,34.486,35.382,98250,0
20050725,35.198,35.622,34.91,34.995,65155,0
20050726,35.034,35.681,34.985,35.584,91697,0
20050727,35.498,36.442,35.498,36.394,199799,0
20050728,36.837,36.837,36.027,36.337,255762,0
20050729,36.066,36.491,35.942,35.989,152329,0
20050801,36.056,36.634,35.883,36.191,126431,0
20050802,36.288,36.644,36.047,36.644,172653,0
20050803,35.874,36.732,35.681,36.703,230304,0
20050804,36.52,36.644,35.748,35.969,256348,0
20050805,35.874,36.144,35.179,35.508,114798,0
20050808,35.612,35.612,35.295,35.468,75179,0
20050809,35.632,36.086,35.159,35.488,177050,0
20050810,35.651,36.076,35.093,35.612,122781,0
20050811,35.536,36.432,35.518,36.308,195778,0
20050812,36.135,36.549,35.7,36.172,132932,0
20050815,36.115,36.578,35.73,36.578,99220,0
20050816,36.394,36.587,35.942,36.23,151052,0
20050817,36.115,36.163,35.777,35.805,117701,0
20050818,35.73,35.969,35.498,35.893,144815,0
