Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.59,16.678,16.078,16.344,53063,0
20050228,16.51,16.54,16.383,16.413,39249,0
20050301,16.196,16.274,16.068,16.235,99208,0
20050302,16.688,16.688,16.068,16.127,29647,0
20050303,16.157,16.166,15.95,16.088,39771,0
20050304,16.098,16.284,16.088,16.196,12798,0
20050307,16.157,16.254,16.058,16.235,16421,0
20050308,16.235,16.443,15.636,16.373,14996,0
20050309,16.373,16.756,16.294,16.609,13859,0
20050310,16.609,16.925,16.609,16.855,39164,0
20050311,16.925,17.062,16.157,16.973,24125,0
20050314,17.238,18.232,17.012,17.357,58278,0
20050315,17.673,18.155,17.377,17.583,14606,0
20050316,17.996,18.006,17.288,17.474,33439,0
20050317,17.474,17.76,17.298,17.437,12656,0
20050318,17.357,17.417,16.963,17.298,19831,0
20050321,17.347,17.367,17.151,17.367,17694,0
20050322,17.19,17.534,17.19,17.317,10854,0
20050323,16.955,17.437,16.935,16.955,3801,0
20050324,16.973,17.268,16.935,17.218,29562,0
20050328,17.367,17.367,16.726,16.905,53107,0
20050329,16.895,16.895,15.694,16.6,63576,0
20050330,16.235,17.111,16.235,16.963,34636,0
20050331,16.935,17.534,16.935,17.504,24445,0
20050401,17.72,17.72,17.161,17.456,52812,0
20050404,17.643,17.71,17.238,17.71,22259,0
20050405,17.849,17.889,17.75,17.889,13894,0
20050406,17.71,17.78,17.151,17.228,31353,0
20050407,17.633,17.633,16.945,17.317,25359,0
20050408,17.377,17.456,17.308,17.347,20529,0
20050411,17.407,17.633,17.288,17.524,14836,0
20050412,17.407,17.563,17.367,17.437,9388,0
20050413,17.456,17.544,17.268,17.268,28967,0
20050414,17.278,17.308,17.111,17.228,13375,0
20050415,16.945,17.278,16.945,17.278,11509,0
20050418,17.79,17.79,16.845,16.865,59594,0
20050419,17.052,17.052,16.51,16.855,95413,0
20050420,16.973,17.032,16.59,16.973,61190,0
20050421,16.973,16.973,16.806,16.806,30998,0
20050422,16.59,16.855,15.636,16.678,57972,0
20050425,16.895,16.895,16.314,16.6,26525,0
20050426,16.284,17.012,16.284,16.52,8545,0
20050427,16.766,16.766,16.5,16.58,11167,0
20050428,16.235,16.609,16.235,16.609,17398,0
20050429,16.304,16.659,16.304,16.659,13044,0
20050502,16.294,16.59,16.294,16.54,34311,0
20050503,16.619,16.915,16.55,16.619,12140,0
20050504,16.5,16.973,16.5,16.935,13771,0
20050505,16.453,16.925,15.713,16.57,15127,0
20050506,16.5,16.629,16.5,16.54,14548,0
20050509,16.098,16.6,16.098,16.49,7216,0
20050510,16.54,16.55,16.284,16.284,4219,0
20050511,16.068,16.157,15.753,15.753,8029,0
20050512,15.802,15.911,15.782,15.802,43354,0
20050513,17.633,17.633,15.941,15.98,48621,0
20050516,16.078,16.078,15.674,15.872,25185,0
20050517,16.147,16.52,15.723,16.472,46247,0
20050518,17.012,17.238,16.364,16.58,16128,0
20050519,16.935,16.935,15.812,16.137,16972,0
20050520,15.901,16.225,15.901,16.166,19142,0
20050523,16.57,16.678,16.284,16.5,20458,0
20050524,16.443,16.49,16.393,16.443,22822,0
20050525,16.324,16.629,16.324,16.453,6246,0
20050526,16.413,16.5,16.284,16.472,38996,0
20050527,17.111,17.111,16.5,16.649,6133,0
20050531,16.609,16.895,16.52,16.57,16574,0
20050601,16.284,16.53,16.186,16.403,19260,0
20050602,16.284,16.53,16.284,16.52,17177,0
20050603,16.52,16.639,16.49,16.5,12755,0
20050606,16.54,16.54,16.423,16.423,2339,0
20050607,16.108,16.304,14.818,16.038,47202,0
20050608,16.108,16.334,16.088,16.166,6528,0
20050609,15.862,16.078,15.862,15.999,12365,0
20050610,15.852,16.058,15.762,16.058,16125,0
20050613,15.636,15.852,15.488,15.498,88790,0
20050614,15.566,16.746,15.566,16.453,11282,0
20050615,16.717,17.367,16.659,17.238,15041,0
20050616,17.367,18.371,17.268,18.371,36790,0
20050617,17.996,18.41,17.996,18.232,23984,0
20050620,17.839,18.232,17.829,17.919,7520,0
20050621,17.71,18.055,17.278,18.006,34976,0
20050622,17.869,17.889,17.72,17.849,5186,0
20050623,17.494,17.76,17.367,17.484,28112,0
20050624,17.484,17.603,17.456,17.494,5895,0
20050627,17.8,18.026,17.181,17.181,16770,0
20050628,17.308,17.643,17.308,17.583,4125,0
20050629,17.484,17.643,17.474,17.484,14632,0
20050630,17.387,17.909,17.198,17.337,11892,0
20050701,17.938,18.232,17.593,18.145,5387,0
20050705,16.472,18.371,16.472,17.75,29965,0
20050706,16.462,18.203,16.462,17.859,12478,0
20050707,17.919,18.194,17.889,18.115,2083,0
20050708,18.203,18.371,18.203,18.232,2033,0
20050711,18.232,19.109,18.232,18.971,6033,0
20050712,19.118,19.118,18.734,18.734,830,0
20050713,18.902,18.932,18.813,18.912,1726,0
20050714,18.912,18.912,18.627,18.715,458,0
20050715,18.744,18.922,18.676,18.912,2659,0
20050718,19.118,19.118,16.717,18.833,6984,0
20050719,19.109,19.138,18.705,18.951,1347,0
20050720,18.932,19.275,18.922,19.275,7417,0
20050721,19.138,19.245,19.079,19.118,7122,0
20050722,19.275,19.275,18.892,19.275,16597,0
20050725,19.275,19.275,19.109,19.197,7977,0
20050726,19.109,19.265,19.049,19.049,3863,0
20050727,19.265,21.45,19.158,20.299,19425,0
20050728,19.984,20.84,19.974,20.84,4195,0
20050729,20.84,20.89,20.584,20.89,59268,0
20050801,20.89,20.89,19.886,20.654,8157,0
20050802,20.89,21.49,20.89,21.43,16113,0
20050803,21.548,21.548,20.722,21.008,8081,0
20050804,21.254,21.45,20.9,20.958,37055,0
20050805,20.388,20.91,20.24,20.408,2428,0
20050808,20.408,20.752,20.388,20.408,19096,0
20050809,20.408,20.752,20.408,20.673,37379,0
20050810,20.673,20.752,20.505,20.752,8826,0
20050811,20.938,21.017,20.408,20.525,24255,0
20050812,20.742,20.742,19.984,20.21,6497,0
20050815,20.446,21.046,20.299,20.446,18842,0
20050816,20.23,20.91,20.092,20.309,20496,0
20050817,20.525,21.056,20.368,20.634,43419,0
20050818,20.624,20.791,20.289,20.289,9001,0
20050819,20.82,20.82,20.408,20.584,13109,0
20050822,20.762,20.89,20.368,20.408,12837,0
20050823,20.574,21.056,19.325,20.152,79647,0
20050824,20.152,20.505,20.023,20.505,6017,0
20050825,20.702,20.702,19.926,19.974,17720,0
20050826,19.974,20.003,19.916,20.003,3356,0
20050829,20.043,20.043,19.541,19.63,17653,0
20050830,19.926,19.926,19.463,19.69,5788,0
20050831,19.69,19.974,19.62,19.876,4788,0
20050901,19.837,20.023,19.797,20.003,5027,0
20050902,19.63,19.916,19.63,19.846,3525,0
20050906,19.945,19.974,19.876,19.926,1716,0
20050907,19.866,20.073,19.65,19.709,23889,0
20050908,19.394,19.955,19.394,19.846,5726,0
20050909,19.945,19.945,19.66,19.827,6880,0
20050912,19.511,19.935,19.501,19.601,3542,0
20050913,19.68,19.757,19.404,19.404,2979,0
20050914,19.434,19.453,18.744,19.245,13548,0
20050915,19.541,19.67,19.019,19.236,4862,0
20050916,19.846,20.063,19.227,19.68,11575,0
20050919,18.783,19.945,18.783,19.777,14083,0
20050920,19.561,19.926,19.561,19.916,21154,0
20050921,19.974,19.974,19.757,19.886,13325,0
20050922,19.974,19.974,19.807,19.856,15929,0
20050923,19.767,19.846,19.68,19.709,12399,0
20050926,19.69,19.886,19.501,19.777,35085,0
20050927,19.551,19.63,19.158,19.443,26275,0
20050928,19.709,19.709,19.414,19.414,6132,0
20050929,19.217,19.591,19.217,19.364,2209,0
20050930,19.757,20.033,19.728,19.926,3049,0
20051003,19.255,20.083,18.715,19.541,19436,0
20051004,19.66,19.846,19.453,19.66,7189,0
20051005,19.414,19.473,18.999,19.109,11720,0
20051006,19.079,19.128,18.843,18.912,12568,0
20051007,19.039,19.168,18.557,18.999,14840,0
20051010,19.453,19.453,19.394,19.404,1863,0
20051011,18.597,19.443,18.381,19.138,7185,0
20051012,19.099,19.099,18.557,18.705,4158,0
20051013,18.45,18.971,18.44,18.607,21444,0
20051014,18.656,18.666,18.41,18.527,21725,0
20051017,18.321,18.527,18.026,18.145,15343,0
20051018,17.986,18.155,17.879,18.065,17677,0
20051019,18.371,18.371,17.78,18.155,22876,0
20051020,17.899,18.282,17.899,18.282,10751,0
20051021,18.026,18.351,18.026,18.252,52135,0
20051024,18.381,18.587,18.371,18.459,14875,0
20051025,18.006,18.587,18.006,18.321,6979,0
20051026,18.695,20.338,18.695,19.738,35384,0
20051027,19.916,20.654,19.787,20.182,14130,0
20051028,20.102,20.319,20.102,20.309,4777,0
20051031,20.319,20.683,20.22,20.299,24569,0
20051101,19.886,20.81,19.886,20.053,7342,0
20051102,20.201,20.408,20.201,20.328,3308,0
20051103,20.398,20.84,20.398,20.772,22683,0
20051104,20.772,20.772,20.496,20.496,5726,0
20051107,20.328,20.604,20.328,20.535,16079,0
20051108,20.328,20.692,20.328,20.564,2969,0
20051109,20.614,21.628,20.515,21.528,26708,0
20051110,21.706,22.149,21.066,21.116,7551,0
20051111,21.056,21.264,20.918,21.194,25018,0
20051114,21.598,21.598,21.106,21.165,10523,0
20051115,21.194,21.194,20.87,20.87,2948,0
20051116,20.89,21.165,20.87,20.978,7103,0
20051117,21.185,21.194,21.156,21.194,710,0
20051118,20.978,21.116,20.91,21.036,9271,0
20051121,21.234,21.234,21.036,21.165,16163,0
20051122,21.106,21.264,20.8,21.175,33052,0
20051123,21.48,21.48,21.234,21.322,8120,0
20051125,21.342,21.342,21.106,21.283,5193,0
20051128,20.437,20.446,19.974,20.25,19263,0
20051129,19.984,20.564,19.984,20.408,46241,0
20051130,21.046,21.046,20.594,21.008,9719,0
20051201,21.106,21.588,21.036,21.185,80490,0
20051202,21.558,21.775,21.254,21.775,41441,0
20051205,22.139,22.149,21.628,21.696,32801,0
20051206,21.952,22.149,21.952,22.001,10394,0
20051207,22.169,22.365,21.716,21.804,4867,0
20051208,21.628,21.992,21.628,21.814,5034,0
20051209,21.48,22.001,21.48,21.834,11051,0
20051212,21.824,21.972,21.706,21.844,19834,0
20051213,21.952,21.962,21.804,21.834,8947,0
20051214,21.48,21.814,21.234,21.352,11230,0
20051215,21.234,21.618,20.309,20.496,24576,0
20051216,20.152,20.978,20.152,20.938,13508,0
20051219,20.122,21.45,20.122,21.41,14071,0
20051220,21.41,21.548,21.401,21.49,25674,0
20051221,21.156,22.149,21.156,21.48,10283,0
20051222,21.854,22.179,21.558,21.568,17254,0
20051223,21.598,21.962,21.49,21.598,11282,0
20051227,22.139,22.552,22.021,22.297,7535,0
20051228,22.503,22.503,21.883,22.297,17424,0
20051229,22.562,22.562,22.188,22.307,2196,0
20051230,22.562,22.562,21.677,22.257,24917,0
20060103,22.582,22.582,22.188,22.365,4447,0
20060104,22.434,23.113,22.355,22.995,23994,0
20060105,22.582,22.857,22.07,22.355,12952,0
20060106,22.001,22.739,22.001,22.247,11352,0
20060109,22.464,22.464,21.972,22.04,11657,0
20060110,21.756,22.228,21.756,22.149,17457,0
20060111,22.129,22.394,22.11,22.394,10776,0
