Date,Open,High,Low,Close,Volume,OpenInt
20050225,5.35,5.39,5.21,5.39,2989,0
20050228,5.37,5.39,5,5.14,5764,0
20050301,5.13,5.15,4.85,4.85,3600,0
20050302,4.78,5,4.74,5,1350,0
20050303,5.02,5.15,4.73,5.15,2850,0
20050304,4.93,5.11,4.89,4.99,3600,0
20050307,5,5.14,5,5.11,3450,0
20050308,5.15,5.22,5.12,5.17,6300,0
20050309,5.12,5.47,5.12,5.47,4890,0
20050310,5.33,5.46,5.16,5.16,11137,0
20050311,5.13,5.2,5.12,5.2,4645,0
20050314,5.2,5.27,5.2,5.2,900,0
20050315,5.23,5.23,5.2,5.21,2460,0
20050316,5.17,5.21,4.79,4.92,5919,0
20050317,4.8,5.2,4.67,4.99,2220,0
20050318,4.93,5.26,4.87,4.87,2730,0
20050321,5.27,5.27,5.25,5.25,5403,0
20050322,5.27,5.27,5.25,5.26,1692,0
20050323,5.23,5.26,5.23,5.25,1527,0
20050324,5.09,5.27,4.91,5.2,19758,0
20050328,5.23,5.33,5.17,5.23,21423,0
20050329,5.23,5.23,5.15,5.23,17115,0
20050330,5.23,5.33,5.17,5.23,72280,0
20050331,5.26,5.68,5.26,5.4,5499,0
20050401,5.4,5.66,5.4,5.57,26610,0
20050404,5.51,5.51,5.51,5.51,150,0
20050405,5.5,5.77,5.47,5.77,19963,0
20050406,5.67,5.91,5.64,5.74,3168,0
20050407,5.64,5.64,5.03,5.63,10132,0
20050411,5.63,5.63,5.33,5.5,118188,0
20050412,5.59,5.59,5.37,5.53,19305,0
20050413,5.4,5.5,5.17,5.17,14607,0
20050414,5.2,5.21,5.2,5.21,750,0
20050415,5.27,5.27,5.05,5.05,2850,0
20050418,5.06,5.07,4.87,5.03,2062,0
20050419,5,5.21,5,5.21,646,0
20050420,5.33,5.33,5.33,5.33,1822,0
20050421,5.33,5.63,5.33,5.63,1650,0
20050422,5.3,5.33,5.3,5.33,26475,0
20050425,5.33,5.33,5.21,5.21,1800,0
20050426,4.49,5.23,4.49,5.23,2599,0
20050427,5.22,5.22,5.13,5.16,3150,0
20050428,5.13,5.13,5.13,5.13,11250,0
20050429,5.06,5.13,5.05,5.09,2250,0
20050502,5.05,5.05,5.05,5.05,150,0
20050504,5.33,5.33,5.33,5.33,181,0
20050505,5.05,5.07,4.87,5.03,12009,0
20050506,5.32,5.33,5.32,5.33,450,0
20050509,4.93,5.03,4.91,5.03,2029,0
20050510,5.25,5.25,4.73,4.99,4791,0
20050513,4.9,4.9,4.9,4.9,150,0
20050516,4.7,4.79,4.67,4.79,2100,0
20050517,4.35,5.07,4.35,5.07,322,0
20050518,5.07,5.07,5.07,5.07,187,0
20050519,5.07,5.07,4.99,5.01,862,0
20050520,4.7,4.97,4.7,4.97,7128,0
20050523,4.8,5,4.67,5,108075,0
20050524,4.97,5,4.69,4.73,1140,0
20050525,4.74,4.75,4.74,4.75,25050,0
20050526,4.4,4.67,4.4,4.53,67468,0
20050527,4.82,4.82,4.81,4.81,750,0
20050531,4.55,4.86,4.42,4.86,58272,0
20050601,4.81,4.81,4.81,4.81,150,0
20050602,4.81,4.87,4.81,4.87,300,0
20050603,4.93,4.93,4.67,4.67,19180,0
20050606,4.67,4.77,4.67,4.77,300,0
20050607,5,5,4.74,4.78,4959,0
20050608,4.87,5.1,4.87,4.9,10875,0
20050609,4.88,5.33,4.88,5.33,7147,0
20050610,5.3,5.3,4.9,5.03,1500,0
20050613,5.17,5.5,5.04,5.44,7309,0
20050614,5.4,5.4,5.23,5.23,3928,0
20050615,5.23,5.46,5.23,5.46,1050,0
20050616,5.26,5.5,5.23,5.29,8850,0
20050617,5.5,6,5.5,5.61,17325,0
20050620,5.73,5.73,5.47,5.47,7738,0
20050621,5.55,5.58,5.55,5.58,2250,0
20050622,5.63,5.67,5.63,5.67,6900,0
20050623,5.61,5.83,5.6,5.83,8439,0
20050624,5.65,5.83,5.65,5.83,9553,0
20050627,5.63,5.73,5.5,5.73,1842,0
20050628,5.73,6.2,5.73,6,31713,0
20050629,6,6.56,6,6.35,22615,0
20050701,6.17,6.63,5.77,6.5,7291,0
20050705,6.3,6.75,6.3,6.73,127987,0
20050706,6.44,6.66,6.44,6.56,3438,0
20050707,5.77,6.67,5.77,6.51,29746,0
20050708,6.67,6.8,6.58,6.59,6388,0
20050711,6.85,6.85,6.59,6.69,450,0
20050712,7,7.83,6.66,6.77,28681,0
20050713,7,7,6.67,6.69,6094,0
20050714,6.8,6.8,6.8,6.8,2200,0
20050715,6.8,6.93,6.8,6.93,15390,0
20050718,6.93,7.07,6.9,6.97,46162,0
20050719,7.07,7.32,7,7.07,30625,0
20050720,7.17,7.17,6.63,7.06,17050,0
20050721,7.1,7.1,7.1,7.1,1324,0
20050722,6.74,7.1,6.74,7.09,2470,0
20050725,7.01,7.11,6.95,7.11,71733,0
20050726,7.2,7.3,7.07,7.3,3055,0
20050727,7.2,7.68,7.15,7.17,16194,0
20050728,7.17,7.49,6.82,7.2,21343,0
20050729,7.83,7.84,7.47,7.58,7750,0
20050801,7.65,7.66,7.51,7.63,8250,0
20050802,7.93,7.93,7.56,7.56,10308,0
20050803,7.51,7.53,7.33,7.4,3240,0
20050804,6.87,7.15,6.87,7.15,1365,0
20050805,6.92,6.96,6.7,6.85,4734,0
20050808,6.87,6.87,6.7,6.7,760,0
20050809,6.87,6.87,6.87,6.87,1140,0
20050810,6.73,7.2,6.73,7.2,4198,0
20050811,6.73,6.87,6.64,6.68,3615,0
20050815,6.59,6.8,6.59,6.8,900,0
20050817,6.67,6.77,6.67,6.67,900,0
20050818,6.8,7.27,6.8,7.27,3529,0
20050822,6.83,6.83,6.74,6.74,375,0
20050823,7.2,7.2,7.2,7.2,550,0
20050824,6.73,6.73,6.69,6.7,1237,0
20050826,6.91,6.91,6.71,6.71,300,0
20050829,6.7,6.75,6.7,6.75,1200,0
20050831,6.67,6.67,6.63,6.63,4800,0
20050901,6.67,6.67,6.67,6.67,600,0
20050902,6.67,7.07,6.63,6.67,3000,0
20050906,6.57,6.67,6.57,6.67,2254,0
20050909,6.77,6.77,6.72,6.73,10729,0
20050912,6.54,7.29,6.54,7.23,14134,0
20050913,7.23,7.3,7.19,7.3,9150,0
20050914,7.26,7.26,7.23,7.23,2250,0
20050915,7.17,7.17,6.83,7.12,7629,0
20050916,7.01,7.22,7,7.21,7518,0
20050919,7.23,7.23,7.23,7.23,7468,0
20050921,7.21,7.21,6.92,7.15,1950,0
20050922,6.94,7.5,6.94,7.33,32848,0
20050923,7.33,7.59,7.33,7.53,11100,0
20050926,6.91,7.49,6.91,7.49,4350,0
20050928,7.6,7.83,7.6,7.83,6300,0
20050929,7.83,7.83,7.38,7.51,2418,0
20050930,7.41,7.49,7.4,7.49,1650,0
20051003,7.24,7.47,7.24,7.46,15900,0
20051004,7.46,7.46,7.46,7.46,150,0
