Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.97,17.14,16.59,17.09,99680,0
20050228,16.91,17.02,16.05,16.84,185938,0
20050301,16.74,16.91,16.19,16.63,109401,0
20050302,16.6,17.02,16.43,16.65,50659,0
20050303,16.58,17.25,16.58,16.98,148634,0
20050304,17.12,17.19,16.93,17.02,55372,0
20050307,16.93,17.16,16.86,17.04,117499,0
20050308,17.14,17.14,16.8,16.92,62350,0
20050309,16.84,16.84,16.42,16.56,143154,0
20050310,16.61,16.63,16.27,16.5,153677,0
20050311,16.22,16.51,16.22,16.5,97512,0
20050314,16.41,16.57,16.39,16.5,121311,0
20050315,16.58,16.59,16.35,16.47,113555,0
20050316,16.42,16.44,16.06,16.29,63175,0
20050317,16.46,16.51,16.18,16.22,86309,0
20050318,16.25,16.39,16.02,16.39,200663,0
20050321,16.19,16.39,16.12,16.25,83597,0
20050322,16.21,16.39,15.97,16.1,52404,0
20050323,15.96,16.14,15.85,15.91,44128,0
20050324,15.99,16.15,15.8,15.8,57988,0
20050328,15.91,16.22,15.79,15.95,94886,0
20050329,15.97,16.27,15.91,16.05,382327,0
20050330,16.15,16.35,16.07,16.3,171589,0
20050331,16.35,16.36,15.98,16.18,139718,0
20050401,16.07,16.4,15.87,15.87,386492,0
20050404,15.86,16.55,15.86,16.43,107217,0
20050405,16.52,16.8,16.51,16.73,102235,0
20050406,16.8,17.02,16.68,16.74,129954,0
20050407,17.5,18.17,17.36,17.86,748040,0
20050408,17.82,18.03,17.62,17.87,236937,0
20050411,18.08,18.15,17.7,17.72,217494,0
20050412,17.64,18.29,17.54,18.19,298314,0
20050413,18.45,18.45,17.86,18.1,368743,0
20050414,18.01,18.48,17.85,18,229553,0
20050415,18.27,18.39,17.9,17.95,220666,0
20050418,17.9,18.03,17.44,17.44,216326,0
20050419,17.4,17.57,17.2,17.46,316990,0
20050420,17.4,18.23,17.4,17.84,255018,0
20050421,18.08,19.21,17.93,18.65,253607,0
20050422,18.65,18.71,18.01,18.1,150755,0
20050425,18.32,18.42,18.14,18.42,87159,0
20050426,18.5,18.7,18.16,18.29,150615,0
20050427,18.1,18.94,17.81,18.82,132968,0
20050428,18.77,19.14,18.51,18.74,308049,0
20050429,18.83,19.64,18.49,19.58,340046,0
20050502,19.78,20.01,18.95,19.25,202351,0
20050503,19.35,20.22,19.21,19.87,403145,0
20050504,20,20.83,19.78,20.83,238812,0
20050505,16.4,17.86,16,17.41,2075062,0
20050506,17.44,17.44,16.85,17.27,590368,0
20050509,16.7,17.3,16.5,16.93,520929,0
20050510,16.78,17,16.2,16.65,354174,0
20050511,16.74,17.04,16.44,17,155223,0
20050512,16.85,17.11,16.85,16.85,185240,0
20050513,16.79,17,16.48,16.61,169176,0
20050516,16.51,16.78,16.48,16.57,265094,0
20050517,16.71,16.71,16.12,16.34,453575,0
20050518,16.48,16.73,16.47,16.61,259995,0
20050519,16.46,16.68,16.17,16.48,428995,0
20050520,16.49,16.56,16.17,16.56,109880,0
20050523,16.56,16.59,16.28,16.4,144541,0
20050524,16.25,16.38,16.19,16.26,134914,0
20050525,16.35,16.35,15.96,16.02,209719,0
20050526,15.97,16.33,15.97,16.17,185512,0
20050527,16.1,16.24,15.99,16.22,131064,0
20050531,16.14,16.25,15.86,15.89,407789,0
20050601,15.86,16.72,15.85,16.68,313478,0
20050602,16.67,16.8,16.39,16.56,108648,0
20050603,16.52,16.55,16.36,16.5,94153,0
20050606,16.58,18.33,16.5,18.31,272969,0
20050607,18.41,18.41,17.14,17.24,210081,0
20050608,17.25,17.6,17.15,17.34,263740,0
20050609,17.28,17.42,17.01,17.4,158661,0
20050610,17.53,17.53,17.15,17.32,94296,0
20050613,17.12,18,17.12,17.8,137650,0
20050614,17.78,17.9,17.55,17.84,89264,0
20050615,17.8,17.84,17.55,17.61,128387,0
20050616,17.59,17.68,17.2,17.65,147731,0
20050617,17.49,17.79,17.4,17.4,211339,0
20050620,17.44,17.71,17.22,17.46,121251,0
20050621,17.37,18.08,17.33,17.98,217036,0
20050622,18.01,18.27,17.9,17.9,128939,0
20050623,17.87,18.06,17.58,17.96,122019,0
20050624,17.96,18.1,17.4,17.46,304552,0
20050627,17.43,17.67,17.32,17.66,130715,0
20050628,17.69,17.93,17.58,17.92,92827,0
20050629,17.85,18.25,17.77,18.25,65921,0
20050630,18.3,18.47,17.85,17.86,96948,0
20050701,17.89,18.07,17.83,18.07,30182,0
20050705,17.89,18.72,17.83,18.72,97134,0
20050706,18.59,18.73,18.43,18.45,100842,0
20050707,18.36,18.55,17.8,18.55,77202,0
20050708,18.59,19.28,18.56,18.95,78144,0
20050711,19.11,19.29,18.98,19.29,105833,0
20050712,19.3,19.55,19.04,19.25,165651,0
20050713,19.33,19.78,19.2,19.78,249640,0
20050714,19.8,20.1,19.72,19.99,476372,0
20050715,19.94,20.18,19.84,20.08,210933,0
20050718,20.07,20.07,19.61,19.83,190254,0
20050719,19.78,20.15,19.78,20.1,127093,0
20050720,20.15,20.58,20,20.58,127409,0
20050721,20.59,20.67,19.97,20.1,144111,0
20050722,20.15,20.38,19.99,20.37,99549,0
20050725,20.39,20.39,19.74,19.94,155002,0
20050726,19.94,20.06,19.8,19.8,56547,0
20050727,19.75,20.24,19.75,19.99,91559,0
20050728,20.15,20.16,19.38,19.41,154853,0
20050729,19.37,19.77,19.22,19.29,131549,0
20050801,19.32,20.23,19.22,19.84,113097,0
20050802,19.87,20.07,19.33,19.41,145622,0
20050803,18.71,20.29,17.63,19.77,767549,0
20050804,19.04,19.15,18.85,18.91,219710,0
20050805,18.81,19.1,18.75,18.88,168229,0
20050808,18.6,19.17,18.47,19.06,172932,0
20050809,19.12,19.13,18.87,18.9,163681,0
20050810,18.9,19.54,18.9,19.35,132589,0
20050811,19.3,20.05,19.24,19.58,234213,0
