Date,Open,High,Low,Close,Volume,OpenInt
20050225,17.682,17.682,17.614,17.614,972,0
20050228,17.744,17.846,17.691,17.691,3853,0
20050301,17.915,17.924,17.691,17.691,2870,0
20050302,17.915,17.933,17.907,17.933,3427,0
20050303,17.794,17.924,17.596,17.776,4554,0
20050307,17.828,17.924,17.753,17.759,3169,0
20050308,17.759,17.828,17.744,17.794,1108,0
20050309,17.605,17.605,17.605,17.605,4064,0
20050310,17.999,17.999,17.999,17.999,123,0
20050311,17.726,17.88,17.7,17.726,3915,0
20050314,17.889,17.889,17.416,17.631,9500,0
20050315,17.999,17.999,17.502,17.802,5090,0
20050316,17.768,17.819,17.605,17.802,2723,0
20050317,17.674,17.846,17.623,17.837,3053,0
20050318,17.744,17.846,17.605,17.605,3041,0
20050321,17.545,17.942,17.545,17.889,1032,0
20050322,17.759,18.008,17.759,18.008,3656,0
20050323,18.008,18.268,17.665,18.052,8793,0
20050324,18.008,18.008,17.933,17.933,2320,0
20050328,18.215,18.259,18.13,18.146,2081,0
20050329,18.079,18.311,18.079,18.311,2204,0
20050330,18.215,18.379,18.008,18.008,919,0
20050331,17.982,18.421,17.982,18.421,4789,0
20050401,18.421,18.421,18.421,18.421,123,0
20050404,17.999,17.999,17.898,17.915,855,0
20050405,17.691,17.967,17.656,17.967,3164,0
20050406,17.682,17.726,17.682,17.726,721,0
20050407,17.898,17.973,17.735,17.753,1472,0
20050408,18.008,18.206,18.008,18.008,1739,0
20050411,17.768,17.768,17.674,17.682,4275,0
20050412,17.682,17.7,17.682,17.682,6473,0
20050414,17.682,17.682,17.682,17.682,1299,0
20050415,17.88,17.88,17.88,17.88,184,0
20050418,17.639,17.639,17.562,17.562,1588,0
20050419,18.008,18.008,17.399,17.562,3309,0
20050420,17.52,17.52,17.476,17.476,14917,0
20050421,17.476,17.768,17.458,17.458,1465,0
20050422,17.682,17.682,17.381,17.381,367,0
20050425,17.442,17.442,17.416,17.416,642,0
20050426,17.605,17.639,17.588,17.631,1286,0
20050427,17.802,17.924,17.802,17.924,3357,0
20050428,17.999,17.999,17.819,17.819,1909,0
20050429,18.008,18.008,17.819,17.999,4710,0
20050502,17.802,17.802,17.605,17.605,15017,0
20050503,17.933,17.933,17.639,17.768,4978,0
20050504,17.605,17.605,17.605,17.605,276,0
20050505,17.768,17.768,17.768,17.768,2444,0
20050506,17.768,17.898,17.605,17.898,10382,0
20050509,17.682,18.043,17.682,18.043,20745,0
20050510,18.173,18.379,18.095,18.379,5210,0
20050511,17.933,18.087,17.768,17.768,2270,0
20050512,17.871,17.871,17.871,17.871,123,0
20050513,17.802,17.802,17.802,17.802,736,0
20050516,18.07,18.302,18.061,18.285,855,0
20050518,18.335,18.335,17.898,17.898,904,0
20050519,17.802,18.302,17.802,17.802,4234,0
20050520,17.802,17.802,17.802,17.802,1713,0
20050523,18.215,18.541,18.138,18.138,5558,0
20050524,17.991,18.13,17.991,18.13,242,0
20050525,18.113,18.335,17.802,17.802,2363,0
20050526,17.802,17.924,17.802,17.924,242,0
20050527,18.008,18.008,18.008,18.008,123,0
20050531,17.802,18.095,17.802,17.802,2243,0
20050601,18.008,18.232,18.008,18.232,4084,0
20050602,18.138,18.138,18.026,18.026,2444,0
20050603,17.846,18.294,17.846,17.999,1257,0
20050606,18.017,18.07,18.017,18.017,426,0
20050607,18.188,18.215,18.008,18.061,5130,0
20050609,18.008,18.008,18.008,18.008,307,0
20050610,18.188,18.188,18.188,18.188,123,0
20050615,17.967,17.967,17.967,17.967,915,0
20050616,18.052,18.052,17.967,17.967,367,0
20050617,18.421,18.421,17.967,17.967,3642,0
20050620,17.967,18.146,17.967,18.146,1983,0
20050621,17.967,17.967,17.967,17.967,491,0
20050622,18.491,18.491,18.259,18.259,1343,0
20050623,17.967,17.973,17.967,17.973,1173,0
20050624,17.967,18.026,17.709,17.709,32116,0
20050628,17.802,18.017,17.802,17.898,1205,0
20050629,17.958,18.095,17.819,17.942,3043,0
20050630,17.846,17.973,17.682,17.973,9611,0
20050701,17.991,18.318,17.991,18.197,1577,0
20050705,18.276,18.276,18.276,18.276,242,0
20050706,18.474,18.474,18.474,18.474,491,0
20050707,17.828,18.541,17.828,18.541,855,0
20050708,18.388,18.388,17.639,18.155,1713,0
20050711,18.008,18.008,18.008,18.008,1091,0
20050712,18.008,18.035,18.008,18.008,3305,0
20050713,17.744,18.017,17.744,18.008,856,0
20050714,18.008,18.017,18.008,18.008,4137,0
20050715,17.811,17.855,17.744,17.776,1786,0
20050718,17.785,17.785,17.614,17.639,367,0
20050719,17.691,18.043,17.691,17.967,3179,0
20050720,18.138,18.138,17.846,17.967,1220,0
20050721,17.802,18.035,17.802,17.855,736,0
20050722,17.802,18.008,17.802,18.008,2190,0
20050725,17.753,18.087,17.753,18.035,2080,0
20050726,17.967,18.388,17.967,18.052,4641,0
20050727,18.079,18.087,18.079,18.087,736,0
20050728,18.07,18.138,18.008,18.052,2199,0
20050729,18.335,18.405,18.052,18.405,8708,0
20050801,18.412,18.456,18.026,18.421,3145,0
20050802,18.335,18.353,18.294,18.353,608,0
20050803,18.079,18.5,18.079,18.302,2688,0
20050804,18.155,18.465,18.052,18.095,3392,0
20050805,18.008,18.008,17.889,17.898,13680,0
20050808,17.991,18.662,17.648,17.648,12452,0
20050809,17.682,17.682,17.682,17.682,242,0
20050810,17.889,18.13,17.7,17.855,6013,0
20050811,18.173,18.173,18.173,18.173,873,0
20050812,17.967,18.138,17.933,18.122,1761,0
20050815,17.802,18.008,17.802,17.889,4279,0
20050816,17.802,17.864,17.802,17.846,1702,0
20050817,17.889,18.122,17.889,18.052,6372,0
20050819,17.802,17.846,17.802,17.846,561,0
20050822,17.802,17.802,17.802,17.802,881,0
20050823,17.933,18.173,17.933,18.095,4450,0
20050824,18.173,18.173,18.095,18.095,855,0
20050825,18.008,18.095,18.008,18.095,1100,0
20050826,18.095,18.095,18.095,18.095,1786,0
20050829,18.095,18.095,18.008,18.008,658,0
20050830,18.095,18.173,18.095,18.146,11169,0
20050831,18.008,18.259,18.008,18.259,4676,0
20050901,18.008,18.259,18.008,18.095,3784,0
20050902,18.095,18.095,18.095,18.095,697,0
20050906,18.104,18.104,18.095,18.095,2776,0
20050907,18.095,18.259,18.095,18.095,2185,0
20050908,18.095,18.095,18.095,18.095,995,0
20050909,18.095,18.113,18.095,18.113,7585,0
20050912,18.113,18.113,18.113,18.113,242,0
20050913,18.138,18.138,18.113,18.113,1832,0
20050915,18.113,18.113,18.113,18.113,13643,0
20050916,18.173,18.259,18.173,18.259,2110,0
20050919,18.173,18.491,18.173,18.491,7828,0
20050920,18.516,18.516,18.311,18.311,4031,0
20050921,18.294,18.335,18.173,18.173,1954,0
20050923,18.188,18.318,18.188,18.241,4038,0
20050926,18.405,19.075,18.405,19.024,9274,0
20050927,19.239,19.342,19.109,19.109,2003,0
20050928,19.437,20.613,19.437,20.613,3956,0
20050929,20.587,20.613,20.493,20.613,2211,0
20050930,20.613,20.801,20.613,20.801,2099,0
20051003,20.63,20.63,19.565,20.399,6159,0
20051007,20.184,20.365,20.176,20.365,4430,0
20051010,20.63,20.63,20.458,20.458,2911,0
20051011,19.96,20.03,19.943,19.987,12410,0
20051013,19.529,20.502,18.911,19.952,10607,0
20051017,19.926,19.926,19.316,19.316,790,0
20051018,19.556,19.934,19.428,19.556,4810,0
20051020,19.307,19.307,19.298,19.298,231,0
20051021,18.911,19.934,18.911,19.857,2683,0
20051024,19.643,19.643,19.643,19.643,2469,0
20051025,19.926,19.934,19.135,19.342,4934,0
20051026,19.342,19.342,19.342,19.342,555,0
20051027,19.686,20.167,19.375,19.727,2599,0
20051028,20.235,20.761,19.298,20.761,5757,0
20051031,20.801,20.958,20.037,20.743,5742,0
20051101,20.63,20.63,20.63,20.63,1770,0
20051102,20.407,21.061,20.407,20.622,2096,0
20051103,20.587,20.77,20.107,20.77,1664,0
20051104,19.892,20.673,19.892,20.673,2396,0
20051107,20.252,20.63,19.978,20.63,2526,0
20051108,20.63,20.673,20.149,20.149,949,0
20051109,20.546,20.63,20.546,20.63,1398,0
20051110,20.63,20.801,20.415,20.801,4082,0
20051111,20.39,20.801,20.39,20.752,717,0
20051114,20.546,20.546,20.116,20.116,1282,0
20051115,20.493,20.7,19.865,20.202,4524,0
20051116,20.613,20.63,20.613,20.63,1168,0
20051117,19.917,20.63,19.727,20.63,2437,0
20051118,20.63,20.63,20.52,20.52,3892,0
20051121,19.874,20.63,19.874,20.63,3728,0
20051122,20.21,20.546,20.21,20.546,431,0
20051123,20.63,20.63,20.63,20.63,1708,0
20051125,20.587,20.587,19.952,20.252,581,0
20051128,19.96,20.63,19.96,20.622,7329,0
20051129,20.622,20.846,20.622,20.846,768,0
20051130,20.331,20.941,20.331,20.622,6363,0
20051201,20.613,20.725,20.243,20.639,4309,0
20051202,21.061,21.388,20.054,20.622,5309,0
20051205,20.037,20.562,20.037,20.538,6532,0
20051206,20.538,20.538,20.538,20.538,118,0
20051208,20.415,20.415,20.415,20.415,502,0
20051209,20.554,20.63,20.554,20.63,337,0
20051212,21.043,21.043,21.043,21.043,581,0
20051213,20.502,20.709,20.252,20.622,12784,0
20051214,20.296,20.932,20.243,20.63,5389,0
20051215,21.156,21.156,20.63,20.673,1531,0
