Date,Open,High,Low,Close,Volume,OpenInt
20050225,30.861,32.122,30.636,31.671,616876,0
20050228,31.537,31.655,30.041,30.762,522410,0
20050301,30.195,30.977,29.977,30.762,304412,0
20050302,30.59,31.591,30.528,31.312,316057,0
20050303,31.689,32.032,31.527,31.689,329153,0
20050304,32.131,32.825,31.897,32.258,324397,0
20050307,31.825,32.348,31.51,31.735,309506,0
20050308,32.213,32.357,31.87,32.167,254635,0
20050309,32.438,32.78,31.799,32.393,285758,0
20050310,32.438,32.879,32.348,32.591,232800,0
20050311,32.789,33.177,32.563,33.014,348365,0
20050314,32.708,33.069,32.573,32.943,191525,0
20050315,33.204,33.637,32.87,33.121,190893,0
20050316,32.745,33.275,32.745,33.104,147229,0
20050317,33.195,33.321,32.563,33.149,158065,0
20050318,33.069,34.032,32.681,33.771,317127,0
20050321,33.916,34.816,32.924,33.393,165294,0
20050322,33.546,33.916,33.104,33.339,156282,0
20050323,33.042,33.437,32.888,33.042,153523,0
20050324,33.393,33.393,32.978,33.023,121434,0
20050328,33.005,33.293,32.789,32.951,127832,0
20050329,33.591,34.078,32.898,33.177,290857,0
20050330,33.376,33.843,33.069,33.232,134410,0
20050331,33.384,33.437,32.907,33.131,161406,0
20050401,32.969,33.239,32.266,33.186,388838,0
20050404,33.339,33.339,31.781,32.167,324815,0
20050405,32.41,32.554,31.816,32.357,200483,0
20050406,32.563,32.825,31.833,31.906,212448,0
20050407,31.762,32.095,31.4,32.032,97984,0
20050408,31.707,31.86,31.492,31.6,109959,0
20050411,31.6,31.609,31.095,31.537,281625,0
20050412,31.537,31.689,30.366,31.4,204574,0
20050413,31.483,31.483,30.357,30.698,109357,0
20050414,30.924,30.924,29.581,29.635,201050,0
20050415,29.635,29.833,28.618,28.987,168016,0
20050418,29.032,29.518,28.455,29.103,168914,0
20050419,29.284,29.446,28.688,29.112,346467,0
20050420,28.878,28.995,28.518,28.697,266127,0
20050421,28.744,29.6,27.752,29.456,226839,0
20050422,29.626,29.626,28.563,28.833,116064,0
