Date,Open,High,Low,Close,Volume,OpenInt
20050225,16.49,16.92,16.49,16.75,228786,0
20050228,16.5,17.13,16.05,16.68,142051,0
20050301,16.73,16.78,16.33,16.69,409057,0
20050302,16.45,16.66,16.15,16.46,174008,0
20050303,16.9,16.9,16.42,16.57,83573,0
20050304,17,17.12,16.69,16.76,103572,0
20050307,16.88,17.2,16.75,16.84,109755,0
20050308,17,17.22,16.75,16.8,80549,0
20050309,17,17,16.69,16.83,91901,0
20050310,17.08,17.13,16.45,16.77,84130,0
20050311,16.8,17.15,16.76,17.03,73129,0
20050314,17.15,17.22,17,17.11,112971,0
20050315,17.23,17.67,17.16,17.37,133110,0
20050316,17.1,17.66,17.1,17.14,94832,0
20050317,17.32,17.59,17.08,17.49,84596,0
20050318,17.52,17.84,17.2,17.33,170563,0
20050321,17.46,17.72,16.99,17.32,67679,0
20050322,17.48,17.48,16.72,17.01,75709,0
20050323,17.18,17.25,16.35,16.66,142313,0
20050324,16.58,16.97,16.46,16.68,75201,0
20050328,16.65,17.59,16.63,17.35,176091,0
20050329,17.18,17.5,17.1,17.35,89136,0
20050330,17.24,17.5,16.94,16.96,97954,0
20050331,16.92,17.19,16.78,17.09,151097,0
20050401,16.97,17.35,16.21,16.73,208483,0
20050404,16.96,16.96,16.07,16.3,101293,0
20050405,16.46,16.76,16.24,16.64,60439,0
20050406,16.81,16.85,16.13,16.23,116202,0
20050407,16.38,16.38,15.91,16.12,73792,0
20050408,16.29,16.55,15.6,15.88,106965,0
20050411,15.75,16.15,15.59,15.84,110109,0
20050412,15.64,16.4,15.58,16.24,50153,0
20050413,16.39,16.61,15.85,15.97,37405,0
20050414,16.05,16.05,15.18,15.21,124778,0
20050415,15.21,15.38,14.89,14.92,52418,0
20050418,14.93,15.18,14.86,15.01,191428,0
20050419,15.16,15.29,14.85,15.21,47811,0
20050420,15.26,15.62,15.17,15.31,54271,0
20050421,15.29,15.54,15.23,15.3,85307,0
20050422,15.18,15.36,14.93,15.2,56408,0
20050425,15.13,15.4,15.01,15.3,32302,0
20050426,15.38,15.55,14.9,14.9,70061,0
20050427,14.86,15.09,14.71,14.93,94780,0
20050428,14.82,14.82,13.89,13.89,96826,0
20050429,14,14.04,13.21,13.79,326355,0
20050502,13.85,14.09,13.84,14,67389,0
20050503,14,14.08,13.63,13.83,38006,0
20050504,13.9,14.1,13.69,13.73,109230,0
20050505,13.73,15.04,13.73,14.89,200654,0
20050506,15,15.31,14.82,14.85,81965,0
20050509,14.92,15.71,14.81,15.71,176159,0
20050510,15.82,16.07,15.61,15.93,220106,0
20050511,15.81,16.11,15.44,15.93,97584,0
20050512,15.9,16.25,15.45,15.5,100146,0
20050513,15.33,15.67,14.3,14.55,127248,0
20050516,14.72,15.06,13.77,14.42,172485,0
20050517,14,15.13,13.88,14.96,467510,0
20050518,15.22,15.43,14.87,15.08,155658,0
20050519,15.2,15.25,15,15.18,114156,0
20050520,15.18,15.18,14.75,15.01,58846,0
20050523,15,15,14.43,14.56,112640,0
20050524,14.49,14.67,14.03,14.49,106991,0
20050525,14.28,15.58,14.28,14.98,440479,0
20050526,15.16,15.75,14.93,15.52,222014,0
20050527,15.75,15.89,15.53,15.67,106156,0
20050531,15.6,16.39,15.6,16.01,286344,0
20050601,15.98,16.51,15.98,16.33,241830,0
20050602,16.31,16.51,16,16.18,82963,0
20050603,16.15,16.21,16.01,16.1,89001,0
20050606,16.12,16.25,15.36,16.14,178824,0
20050607,16.11,16.39,15.92,16.11,166127,0
20050608,16.12,16.12,15.36,15.43,208917,0
20050609,15.43,15.43,15.23,15.32,100207,0
20050610,15.21,15.79,15.11,15.46,92502,0
20050613,15.5,15.9,15.18,15.89,99438,0
20050614,15.89,16.11,15.85,16.05,122664,0
20050615,15.97,15.97,15.4,15.54,104745,0
20050616,15.51,15.83,15.41,15.69,131624,0
20050617,15.75,15.82,15.53,15.7,155759,0
20050620,15.74,15.85,15.51,15.8,194279,0
20050621,15.82,15.93,15.75,15.87,301472,0
20050622,15.95,16.06,15.33,15.51,320846,0
20050623,15.47,15.63,15.4,15.47,139683,0
20050624,15.55,15.58,14.83,15.2,87092,0
20050627,15.19,15.42,14.89,15.4,55668,0
20050628,15.42,15.49,14.96,15.32,74301,0
20050629,15.36,15.36,14.89,14.89,51363,0
20050630,15.15,15.94,15.15,15.59,359663,0
20050701,15.62,15.74,15.36,15.5,122295,0
20050705,15.54,15.71,15.51,15.61,211087,0
20050706,15.43,15.98,15.43,15.94,237629,0
20050707,15.7,15.75,15.54,15.65,104782,0
20050708,15.67,15.95,15.67,15.93,135715,0
20050711,15.85,16.29,15.77,16.05,192050,0
20050712,16.02,16.15,15.84,15.86,97992,0
20050713,15.85,16.35,15.73,16.19,118354,0
20050714,16.3,16.3,15.95,16.02,175992,0
20050715,15.92,16.19,15.87,16.16,245913,0
20050718,16.13,16.13,15.8,16,158571,0
20050719,15.96,17.19,15.69,17.07,336397,0
20050720,17.1,18.1,16.88,18.03,389008,0
20050721,18.05,18.47,17.87,18.44,243058,0
20050722,18.64,19.6,18.48,19.54,427615,0
20050725,19.54,19.61,19.1,19.26,322243,0
20050726,19.17,19.52,18.98,19.52,306839,0
20050727,19.9,20.5,19.68,20.04,658840,0
20050728,19.76,20.95,19.76,20.84,306924,0
20050729,20.84,20.95,20.39,20.78,214165,0
20050801,20.98,21.18,20.09,21.13,260825,0
20050802,21.18,21.67,21.1,21.52,219280,0
20050803,21.65,21.65,21.06,21.46,186644,0
20050804,21.37,21.4,21.04,21.12,201527,0
20050805,21.09,21.66,20.49,21.15,225168,0
20050808,20.94,21.36,20.83,20.98,208942,0
20050809,20.87,22.08,20.8,22,238362,0
20050810,22.11,22.73,21.84,22.44,188634,0
20050811,22.39,22.73,22.09,22.7,132887,0
20050812,22.47,22.82,22.21,22.4,201522,0
20050815,22.51,22.55,22.14,22.5,244641,0
20050816,22.53,22.58,22.1,22.24,148489,0
20050817,21.84,22.84,21.64,22.6,149012,0
20050818,22.41,23.46,21.89,23.25,263700,0
20050819,23.12,24.16,23.12,23.99,288837,0
20050822,24.05,24.15,23.64,24.06,297101,0
20050823,24.07,24.18,23.89,23.99,196900,0
20050824,23.99,24.23,23.7,23.85,220724,0
20050825,23.87,23.9,22.86,23.62,305149,0
20050826,23.5,23.9,23.15,23.54,229241,0
20050829,23.36,24.27,22.61,24.09,279069,0
20050830,24.05,24.75,23.99,24.47,297902,0
20050831,24.51,25.4,24.34,25.14,345143,0
20050901,25.25,25.31,24.75,25.21,216808,0
20050902,25.3,25.3,24.6,24.99,198051,0
20050906,25,25.44,24.75,25.1,248625,0
20050907,25.1,25.61,24.89,25.57,189861,0
