Date,Open,High,Low,Close,Volume,OpenInt
20050225,69.407,70.797,69.407,70.797,929961,0
20050228,68.017,68.562,67.114,67.818,2468816,0
20050301,67.67,68.135,67.531,68.017,752307,0
20050302,68.831,68.861,67.491,67.788,360846,0
20050303,67.521,68.195,66.835,66.925,1668269,0
20050304,67.322,67.511,66.19,66.23,1552453,0
20050307,66.329,66.995,65.991,66.031,1586493,0
20050308,66.031,66.329,65.624,65.644,1289797,0
20050309,65.634,65.783,64.939,65.365,2081787,0
20050310,65.335,65.684,64.65,65.028,1307021,0
20050311,65.138,65.505,64.223,64.522,807899,0
20050314,64.64,66.676,64.64,66.527,4950727,0
20050315,66.875,66.895,64.969,64.988,4106168,0
20050316,64.542,65.326,64.114,64.263,1567960,0
20050317,63.905,64.939,63.905,64.61,830056,0
20050318,64.492,64.849,64.313,64.442,1048901,0
20050321,65.138,65.138,64.025,64.442,1054841,0
20050322,64.69,65.138,64.293,64.542,1002069,0
20050323,64.343,65.018,64.044,64.74,1120606,0
20050324,64.74,65.544,64.74,65.236,1392321,0
20050328,65.634,65.634,64.114,64.204,983942,0
20050329,64.044,64.263,62.556,62.854,2680611,0
20050330,62.953,63.866,62.953,63.846,1001163,0
20050331,63.548,63.608,63.052,63.101,1533720,0
20050401,63.846,64.084,62.278,62.556,1243170,0
20050404,62.407,62.904,61.999,62.586,1283355,0
20050405,62.705,63.369,62.655,63.25,952521,0
20050406,63.846,64.949,63.767,64.333,2344743,0
20050407,64.542,65.365,63.965,65.236,965913,0
20050408,66.28,66.289,64.65,64.909,731057,0
20050411,65.138,65.365,64.849,64.939,462764,0
20050412,64.839,65.833,64.015,65.773,1897385,0
20050413,65.733,65.803,64.998,65.236,658445,0
20050414,65.038,65.445,64.144,64.144,1044569,0
20050415,64.194,65.138,64.044,64.144,2013304,0
20050418,64.392,64.591,63.518,63.895,1132892,0
20050419,64.293,64.512,63.955,64.392,546958,0
20050420,64.63,64.64,63.648,63.648,640922,0
20050421,64.542,65.028,64.184,64.988,1135410,0
20050422,64.462,65.048,64.074,64.442,686140,0
20050425,64.542,64.879,64.094,64.591,449774,0
20050426,64.789,65.385,64.442,64.482,894107,0
20050427,64.293,64.293,63.558,64.104,1074178,0
20050428,63.797,63.797,62.487,62.556,1740579,0
20050429,62.725,63.092,61.861,63.023,730654,0
20050502,63.101,63.648,63.101,63.449,614031,0
20050503,63.687,64.293,63.458,63.797,793195,0
20050504,63.945,65.018,63.827,64.789,458736,0
20050505,64.74,65.157,64.303,64.979,947081,0
20050506,64.61,65.534,64.61,65.048,368199,0
20050509,65.385,66.18,65.028,66.18,670732,0
20050510,66.13,66.816,65.921,66.527,1681865,0
20050511,66.975,66.975,65.753,66.925,1261195,0
20050512,66.925,67.332,66.299,66.567,614737,0
20050513,66.825,66.825,65.485,66.031,1076293,0
20050516,66.18,66.439,65.644,66.439,572841,0
20050517,66.379,66.379,65.534,66.08,1194327,0
20050518,66.429,66.995,66.28,66.636,1352441,0
20050519,67.024,67.024,66.329,66.726,674962,0
20050520,66.28,66.696,66.28,66.488,849594,0
20050523,66.478,66.895,66.349,66.627,817065,0
20050524,66.726,66.995,66.28,66.449,1478431,0
20050525,66.577,66.607,65.793,65.931,439499,0
20050526,66.309,66.666,66.051,66.478,440205,0
20050527,66.706,66.925,66.349,66.756,318042,0
20050531,66.825,66.825,66.08,66.23,370413,0
20050601,66.429,66.835,66.13,66.497,366386,0
20050602,66.527,66.557,66.28,66.379,396598,0
20050603,66.23,66.488,64.363,65.088,1208123,0
20050606,65.286,65.286,64.412,64.492,1452749,0
20050607,64.542,65.048,64.044,64.253,979209,0
20050608,64.492,64.492,63.827,63.925,430537,0
20050609,64.144,65.028,63.886,64.839,865406,0
20050610,64.839,64.959,64.6,64.839,339495,0
20050613,64.939,65.216,64.68,64.839,267185,0
20050614,64.819,65.187,64.75,65.108,830762,0
20050615,65.335,65.335,64.542,65.048,358328,0
20050616,65.584,67.451,65.455,67.024,2719183,0
20050617,67.421,67.759,67.034,67.521,1324948,0
20050620,68.017,68.305,67.57,68.086,1527981,0
20050621,68.364,68.463,67.62,67.818,1584277,0
20050622,68.115,68.225,67.371,67.481,953829,0
20050623,67.769,67.878,66.796,66.875,778794,0
20050624,66.776,67.173,66.627,67.094,830660,0
20050627,67.322,67.322,66.449,66.676,850399,0
20050628,66.925,67.918,66.816,67.918,602854,0
20050629,68.067,68.067,67.491,67.818,712829,0
