Date,Open,High,Low,Close,Volume,OpenInt
20080909,4.5418,4.5418,4.5418,4.5418,114052,0
20080912,4.5768,4.5768,4.5768,4.5768,113,0
20080916,4.5506,4.5506,4.5506,4.5506,1141,0
20080918,4.5506,4.5506,4.5506,4.5506,1141,0
20080924,4.5155,4.5155,4.5155,4.5155,570,0
20080925,4.5155,4.5155,4.5155,4.5155,37067,0
20081002,4.5155,4.5155,4.4716,4.4716,6273,0
20081003,4.384,4.384,4.384,4.384,78354,0
20081006,4.384,4.384,4.0332,4.0332,2281,0
20081007,3.9456,3.9456,3.7702,3.7877,39918,0
20081008,3.7877,3.7877,3.6913,3.7351,152831,0
20081009,3.8316,3.9456,3.8316,3.8578,4220,0
20081010,3.8578,3.8578,3.7264,3.7264,255022,0
20081013,3.814,3.9456,3.814,3.9456,11406,0
20081014,3.9895,3.9895,3.9895,3.9895,25661,0
20081016,3.9895,3.9895,3.9895,3.9895,4563,0
20081031,4.1296,4.1296,4.1296,4.1296,11406,0
20081119,4.1383,4.1383,4.0332,4.0332,2851,0
20081120,4.0332,4.0332,4.0332,4.0332,9125,0
20081125,4.0771,4.5593,4.0771,4.2085,13687,0
20081202,4.1209,4.1209,4.0771,4.0771,57161,0
20081204,4.1209,4.1209,4.1209,4.1209,570,0
20081212,4.1209,4.1209,4.0421,4.0421,486185,0
20081219,4.1209,4.1209,4.1209,4.1209,12043,0
20081222,4.0771,4.0771,4.0332,4.0332,75276,0
20081223,4.0332,4.0771,4.0332,4.0332,157392,0
20081224,4.0683,4.0771,4.0683,4.0771,43434,0
20081231,4.1997,4.1997,4.1997,4.1997,1141,0
20090102,4.1997,4.1997,4.1209,4.1209,20415,0
20090105,4.4716,4.6469,4.4716,4.6032,11063,0
20090106,4.6032,4.6032,4.6032,4.6032,1141,0
20090109,4.384,4.4015,4.384,4.4015,77267,0
20090114,4.4015,4.4015,4.384,4.384,57027,0
20090116,4.3928,4.3928,4.3928,4.3928,169938,0
20090122,4.3928,4.4278,4.3928,4.3928,397473,0
20090203,4.4103,4.4103,4.4103,4.4103,114052,0
20090211,4.4541,4.4541,4.4541,4.4541,1710,0
20090218,4.5155,4.5155,4.5155,4.5155,1710,0
20090219,4.5067,4.5067,4.5067,4.5067,4563,0
20090225,4.5593,4.6469,4.5593,4.5593,5131,0
20090226,4.5593,4.6909,4.5593,4.5593,6744,0
20090303,4.5593,4.5593,4.5593,4.5593,2281,0
20090309,4.533,4.5506,4.533,4.5506,7414,0
20090311,4.5506,4.5506,4.5506,4.5506,4006,0
20090401,4.5593,4.5593,4.5593,4.5593,151750,0
20090409,4.4541,4.4541,4.4541,4.4541,570,0
20090413,4.6469,5.2607,4.6469,5.2607,1141,0
20090414,4.6469,4.6469,4.6469,4.6469,570,0
20090421,4.5593,4.5593,4.5593,4.5593,570,0
20090424,4.5593,4.5593,4.5593,4.5593,9695,0
20090429,4.5593,4.5593,4.5155,4.5593,13116,0
20090505,4.5593,4.6032,4.5593,4.6032,6387,0
20090519,4.6821,4.6821,4.6821,4.6821,16293,0
20090520,4.6821,4.6821,4.6821,4.6821,5702,0
20090527,4.6821,4.6821,4.6821,4.6821,116905,0
20090529,4.7347,4.7347,4.7347,4.7347,570,0
20090604,4.7347,4.7347,4.7347,4.7347,114052,0
