Date,Open,High,Low,Close,Volume,OpenInt
20110812,5.75,5.75,5.75,5.75,100,0
20110901,5.75,5.75,5.75,5.75,170000,0
20110908,5.75,5.75,5.75,5.75,105100,0
20110912,5.75,5.75,5.75,5.75,249900,0
20110913,5.75,5.75,5.75,5.75,90700,0
20110930,5.75,5.75,5.75,5.75,100000,0
20111004,5.75,5.75,5.75,5.75,400,0
20111010,5.75,5.75,5.75,5.75,5037,0
20111026,5.75,5.75,5.75,5.75,2328,0
20111028,6.02,6.02,5.77,5.77,1000,0
20111109,6.12,6.12,5.77,5.77,1000,0
20111122,5.77,5.77,5.77,5.77,2049,0
20111228,5.81,5.81,5.81,5.81,200,0
20120104,9.15,9.15,6.05,6.05,300,0
20120109,6.15,6.15,6.15,6.15,100,0
20120130,5.84,5.84,5.84,5.84,2282,0
20120203,5.84,5.84,5.84,5.84,2500,0
20120216,5.84,5.84,5.84,5.84,100,0
20120221,8,8.4,5.8,5.84,5300,0
20120222,5.99,5.99,5.99,5.99,1000,0
20120229,5.92,5.92,5.92,5.92,2000,0
20120301,6.05,6.05,6,6,8980,0
20120322,5.8,5.8,5.8,5.8,200,0
20120409,5.8,5.8,5.8,5.8,800,0
20120419,5.82,5.82,5.82,5.82,100,0
20120420,5.82,5.82,5.82,5.82,1200,0
20120504,5.88,5.88,5.88,5.88,300,0
20120518,5.93,5.93,5.88,5.88,90267,0
20120531,6,6.08,6,6.08,3632,0
20120611,5.98,5.98,5.98,5.98,297,0
20120705,5.87,6,5.87,6,3149,0
20120709,6,6.6,6,6.04,73785,0
20120710,6.14,6.14,6.08,6.08,7800,0
20120711,6.02,6.02,6.02,6.02,3446,0
20120712,6.02,6.02,5.91,6,18954,0
20120716,6,6.05,6,6.05,2000,0
20120717,6.0499,6.05,6.0499,6.05,3200,0
20120718,6.05,6.05,6.05,6.05,1000,0
20120719,5.98,5.98,5.98,5.98,1000,0
20120724,6,6.02,5.98,6.02,16800,0
20120725,6,6.04,6,6,407000,0
20120726,6.01,6.04,6,6.04,227965,0
20120727,6.04,6.06,6.04,6.04,78003,0
20120730,5.99,5.99,5.99,5.99,300,0
20120807,5.97,5.99,5.97,5.99,6100,0
20120808,5.97,5.97,5.97,5.97,2500,0
20120810,6,6,5.99,5.99,3800,0
