Date,Open,High,Low,Close,Volume,OpenInt
20050301,28.252,28.252,26.978,26.978,771,0
20050307,28.741,28.741,28.741,28.741,835,0
20050308,28.694,28.694,28.655,28.655,211,0
20050309,28.252,28.252,28.252,28.252,332,0
20050317,28.003,28.003,28.003,28.003,100,0
20050329,29.555,29.555,29.028,29.028,911,0
20050331,27.783,27.783,27.783,27.783,100,0
20050404,26.853,26.853,26.853,26.853,100,0
20050405,30.244,30.244,30.244,30.244,100,0
20050407,28.519,28.519,28.519,28.519,416,0
20050411,28.022,28.022,27.686,27.783,624,0
20050412,27.783,27.783,27.783,27.783,939,0
20050413,27.686,27.686,27.686,27.686,100,0
20050415,27.303,27.303,27.303,27.303,100,0
20050425,26.345,26.345,26.345,26.345,100,0
20050426,25.578,25.781,25.578,25.781,1043,0
20050427,26.287,26.287,26.287,26.287,100,0
20050429,25.483,25.626,25.483,25.569,523,0
20050503,25.685,25.685,25.685,25.685,100,0
20050504,26.039,26.039,26.039,26.039,100,0
20050509,26.058,26.058,26.058,26.058,100,0
20050512,26.345,26.345,26.345,26.345,100,0
20050513,26.249,26.249,26.03,26.03,211,0
20050516,26.107,26.192,26.107,26.192,211,0
20050517,26.585,26.585,26.585,26.585,100,0
20050609,27.667,27.667,27.667,27.667,100,0
20050624,27.332,27.332,27.332,27.332,100,0
20050706,24.937,27.657,22.513,27.657,3217,0
20050707,27.706,27.706,27.227,27.706,732,0
20050720,29.047,29.047,29.047,29.047,418,0
20050721,28.165,28.674,28.165,28.626,732,0
20050722,28.845,28.884,28.845,28.884,211,0
20050818,27.619,27.648,27.619,27.648,314,0
20050822,27.227,27.227,27.217,27.217,314,0
20050823,27.696,27.696,27.38,27.38,211,0
20050908,27.476,27.476,27.476,27.476,100,0
20050930,29.459,29.459,29.459,29.459,100,0
20051004,29.698,29.698,29.698,29.698,1043,0
20051005,30.608,30.608,30.608,30.608,100,0
20051006,28.577,28.577,28.577,28.577,211,0
20051007,28.548,28.75,28.548,28.75,211,0
20051010,28.768,28.826,28.655,28.826,314,0
20051011,28.903,28.903,28.75,28.75,211,0
20051012,28.616,28.616,28.616,28.616,100,0
20051013,27.868,27.868,27.868,27.868,100,0
20051019,28.433,28.539,28.433,28.539,211,0
20051020,28.032,28.041,28.032,28.041,211,0
20051021,28.787,28.806,28.787,28.806,314,0
20051024,28.797,28.797,28.797,28.797,100,0
20051025,27.112,27.131,26.431,26.431,416,0
20051026,26.862,26.911,26.585,26.585,1043,0
20051028,26.556,26.633,26.556,26.566,523,0
20051031,27.188,27.188,26.815,26.901,523,0
20051101,26.891,26.891,26.891,26.891,100,0
20051102,27.419,27.419,27.419,27.419,211,0
