Date,Open,High,Low,Close,Volume,OpenInt
20050225,33.792,34.373,33.278,34.353,560161,0
20050228,34.227,34.818,33.686,33.946,416264,0
20050301,33.907,34.595,33.907,34.129,456881,0
20050302,33.975,34.741,33.975,34.275,266397,0
20050303,34.653,34.741,33.811,34.033,360930,0
20050304,34.391,35.097,34.033,35.039,522398,0
20050307,35.039,37.682,34.673,37.09,1105516,0
20050308,37.624,37.981,36.676,36.782,850513,0
20050309,36.772,36.965,35.805,36.317,460793,0
20050310,36.21,36.762,35.281,35.427,495602,0
20050311,35.427,35.881,35.136,35.601,477318,0
20050314,35.582,35.996,35.262,35.631,352219,0
20050315,35.825,35.901,35.339,35.369,322556,0
20050316,35.117,35.321,34.469,34.683,408397,0
20050317,34.741,35.524,34.353,35.068,351201,0
20050318,34.914,35.495,34.255,34.683,479822,0
20050321,34.411,34.741,34.023,34.624,201456,0
20050322,34.498,35.117,33.956,34.042,163251,0
20050323,33.936,33.946,32.359,32.622,499078,0
20050324,32.978,33.171,32.514,32.64,508227,0
20050328,32.66,33.521,32.622,33.191,357753,0
20050329,33.104,33.317,31.789,31.923,437544,0
20050330,31.943,32.63,31.943,32.156,504334,0
20050331,32.176,32.31,31.276,31.691,506379,0
20050401,31.846,32.088,30.868,30.878,546952,0
20050404,30.434,31.314,30.26,31.169,620750,0
20050405,31.334,31.875,31.063,31.556,371779,0
20050406,31.45,32.398,31.45,31.672,417610,0
20050407,31.538,31.798,31.053,31.257,603271,0
20050408,30.965,30.965,29.098,29.939,1299848,0
20050411,30.007,32.156,29.911,32.079,950199,0
20050412,31.789,32.223,31.189,31.749,741293,0
20050413,31.596,31.691,30.588,30.946,726094,0
20050414,31.914,31.914,29.862,29.901,1074545,0
20050415,29.601,31.372,29.572,30.201,981516,0
20050418,29.989,31.304,29.659,31.091,925379,0
20050419,30.965,31.846,30.965,31.798,382939,0
20050420,31.992,32.147,31.218,31.45,469547,0
20050421,31.538,32.272,31.518,32.088,662941,0
20050422,31.816,32.118,30.82,31.208,734978,0
20050425,31.285,31.624,30.878,31.44,302018,0
20050426,31.15,31.634,30.057,30.192,363280,0
20050427,30.085,30.085,28.237,29.659,1131497,0
20050428,29.341,29.901,28.855,28.933,365120,0
20050429,29.001,29.891,29.001,29.659,605454,0
20050502,29.813,30.502,29.63,30.299,619178,0
20050503,29.862,30.646,29.862,30.337,407281,0
20050504,30.183,31.091,30.095,31.033,903856,0
20050505,30.8,31.807,30.8,31.402,604128,0
20050506,31.402,32.04,31.402,31.865,593231,0
20050509,31.962,32.252,31.45,31.952,326226,0
20050510,31.528,31.721,30.579,30.839,350789,0
20050511,31.257,31.798,30.868,31.681,326899,0
20050512,31.681,31.884,30.289,30.763,589547,0
20050513,30.724,30.946,29.853,30.424,282957,0
20050516,30.337,31.624,30.328,31.614,447525,0
20050517,31.227,32.35,31.227,32.291,281517,0
