Date,Open,High,Low,Close,Volume,OpenInt
20120817,18.017,18.017,17.904,17.919,98883,0
20120820,18.301,18.301,17.887,17.928,58339,0
20120821,17.893,17.972,17.884,17.902,44411,0
20120822,17.902,17.902,17.825,17.884,50965,0
20120823,17.893,17.893,17.824,17.848,104430,0
20120824,17.875,17.91,17.81,17.91,103740,0
20120827,17.91,17.928,17.884,17.919,71887,0
20120828,17.893,17.963,17.893,17.946,187242,0
20120829,17.963,18.026,17.91,17.963,111519,0
20120830,17.981,17.981,17.902,17.946,81869,0
20120831,17.981,18.053,17.928,17.95,60606,0
20120904,17.972,18.044,17.903,18.026,152712,0
20120905,18.053,18.072,17.954,17.989,49810,0
20120906,18.044,18.097,18.036,18.072,65774,0
20120907,18.133,18.133,18.053,18.081,111516,0
20120910,18.088,18.696,18.064,18.081,85935,0
20120911,18.827,18.827,18.063,18.088,57264,0
20120912,18.435,18.435,18.081,18.124,112413,0
20120913,18.15,18.553,18.097,18.25,129396,0
20120914,18.242,18.31,18.242,18.285,46595,0
20120917,18.31,18.613,18.204,18.232,48857,0
20120918,18.516,18.516,18.187,18.204,70990,0
20120919,18.232,18.242,18.154,18.204,141775,0
20120920,18.25,18.25,18.168,18.204,101539,0
20120921,18.256,18.264,18.22,18.229,104414,0
20120924,18.229,18.47,18.209,18.256,36048,0
20120925,18.238,18.238,18.079,18.102,116672,0
20120926,18.13,18.13,18.012,18.032,46516,0
20120927,18.085,18.282,18.032,18.111,61104,0
20120928,18.086,18.111,18.048,18.078,53251,0
20121001,18.059,18.147,18.05,18.085,43216,0
20121002,18.11,18.138,18.076,18.138,73403,0
20121003,18.174,18.211,18.114,18.174,59390,0
20121004,18.211,18.229,18.147,18.211,86347,0
20121005,18.229,18.38,18.197,18.229,37515,0
20121008,18.229,18.229,18.192,18.229,62299,0
20121009,18.248,18.248,18.147,18.147,43356,0
20121010,18.183,18.183,18.085,18.12,80219,0
20121011,18.183,18.192,18.12,18.152,70132,0
20121012,18.282,18.282,18.05,18.093,72495,0
20121015,18.13,18.147,18.032,18.147,39739,0
20121016,18.192,18.264,18.192,18.264,77195,0
20121017,18.316,18.354,18.291,18.354,62347,0
20121018,18.37,18.423,18.344,18.37,65752,0
20121019,18.362,18.451,18.211,18.256,72372,0
20121022,18.229,18.273,18.188,18.237,31998,0
20121023,18.183,18.183,18.037,18.147,159304,0
20121024,18.165,18.211,18.099,18.111,72868,0
20121025,18.174,18.211,18.076,18.111,47248,0
20121026,18.13,18.291,17.969,18.013,80959,0
20121031,18.111,18.22,18.039,18.183,84671,0
20121101,18.183,18.322,18.111,18.192,84473,0
20121102,18.256,18.256,18.102,18.12,44980,0
20121105,18.12,18.264,18.005,18.059,35345,0
20121106,18.085,18.147,18.059,18.114,86892,0
20121107,18.085,18.085,17.798,17.872,90580,0
20121108,17.807,17.942,17.771,17.771,63093,0
20121109,17.666,17.779,17.666,17.695,51575,0
20121112,17.701,17.701,17.565,17.602,41821,0
20121113,17.565,17.611,16.915,17.547,146922,0
20121114,17.556,17.556,17.246,17.278,107499,0
20121115,17.27,17.325,17.074,17.2,80156,0
20121116,17.228,17.425,17.209,17.388,63202,0
20121119,17.611,17.639,17.586,17.639,31727,0
20121120,17.556,17.648,17.556,17.639,35766,0
20121121,17.636,17.675,17.599,17.675,27369,0
20121123,17.701,17.754,17.683,17.71,15331,0
20121126,17.71,17.798,17.683,17.726,81299,0
20121127,17.788,17.844,17.754,17.788,34875,0
20121128,17.704,17.806,17.675,17.802,47265,0
20121129,17.788,17.898,17.788,17.889,42635,0
20121130,17.906,17.942,17.863,17.942,44626,0
20121203,17.95,17.969,17.898,17.924,31771,0
20121204,17.933,17.96,17.876,17.906,46754,0
20121205,17.933,17.933,17.858,17.898,40280,0
20121206,18.147,18.147,17.881,17.924,36308,0
20121207,17.96,17.96,17.872,17.924,28649,0
20121210,17.95,17.977,17.924,17.96,46709,0
20121211,17.995,18.004,17.938,17.96,41527,0
20121212,17.977,18.032,17.924,17.932,66733,0
20121213,17.881,17.942,17.799,17.854,84486,0
20121214,17.835,17.854,17.762,17.816,50819,0
20121217,17.881,17.915,17.854,17.915,44140,0
20121218,17.95,18.05,17.942,18.04,45427,0
20121219,18.256,18.256,18.059,18.068,75946,0
20121220,18.147,18.201,18.085,18.201,45730,0
20121221,17.826,17.889,17.728,17.85,27730,0
20121224,17.835,17.835,17.754,17.788,6151,0
20121226,17.762,17.771,17.675,17.71,88382,0
20121227,17.71,17.71,17.572,17.658,37911,0
20121228,17.611,17.692,17.611,17.611,46932,0
20121231,17.611,17.788,17.549,17.779,50453,0
20130102,17.96,18.183,17.96,18.153,61666,0
20130103,18.102,18.282,18.102,18.201,233460,0
20130104,18.248,18.326,18.192,18.326,149674,0
20130107,18.307,18.307,18.22,18.273,74782,0
20130108,18.256,18.282,18.218,18.282,141255,0
20130109,18.299,18.344,18.248,18.335,70017,0
20130110,18.594,18.61,18.326,18.416,119934,0
20130111,18.729,18.729,18.37,18.442,190534,0
20130114,18.489,18.489,18.38,18.434,62047,0
20130115,18.451,18.47,18.38,18.47,68887,0
20130116,18.466,18.479,18.407,18.464,169439,0
20130117,18.523,18.585,18.507,18.578,136604,0
20130118,18.603,18.619,18.554,18.619,127311,0
20130122,18.619,18.757,18.619,18.757,135340,0
20130123,18.766,18.766,18.675,18.72,274620,0
20130124,18.748,18.766,18.649,18.666,170766,0
20130125,18.72,18.72,18.638,18.713,174352,0
20130128,18.742,18.774,18.657,18.774,94907,0
20130129,18.774,18.808,18.729,18.808,87781,0
20130130,18.808,18.853,18.715,18.732,149112,0
20130131,18.774,18.808,18.713,18.757,96734,0
20130201,18.909,18.909,18.816,18.881,73482,0
20130204,18.862,18.862,18.738,18.783,86062,0
20130205,18.843,18.843,18.79,18.8,86979,0
20130206,18.8,18.834,18.774,18.834,153419,0
20130207,18.862,18.862,18.738,18.808,214548,0
20130208,18.816,18.962,18.774,18.8,194370,0
20130211,18.862,18.871,18.817,18.862,162935,0
20130212,18.89,19.04,18.843,18.944,174096,0
20130213,18.989,19.025,18.926,19.025,195360,0
20130214,19.025,19.041,18.97,19.032,209575,0
20130215,19.122,19.122,18.966,19.015,194112,0
20130219,19.032,19.059,18.998,19.056,260327,0
20130220,19.05,19.077,18.957,18.97,209373,0
20130221,18.792,18.92,18.721,18.871,429711,0
20130222,18.892,18.955,18.855,18.944,250049,0
20130225,19.053,19.053,18.776,18.788,266519,0
