Date,Open,High,Low,Close,Volume,OpenInt
20050225,2.1798,2.3764,2.1798,2.3764,31962,0
20050228,2.3764,2.3952,2.2547,2.3578,32405,0
20050301,2.2454,2.498,2.2454,2.4512,35390,0
20050302,2.3952,2.4512,2.3578,2.3952,10709,0
20050303,2.4324,2.4699,2.3858,2.3952,43309,0
20050304,2.3203,2.526,2.3203,2.526,10995,0
20050307,2.4512,2.4887,2.4324,2.4512,13226,0
20050308,2.4512,2.4887,2.4512,2.4793,27783,0
20050309,2.4044,2.4512,2.4044,2.4419,12800,0
20050310,2.4324,2.5073,2.4044,2.498,25604,0
20050311,2.4232,2.526,2.4232,2.4699,6127,0
20050314,2.4044,2.4324,2.3578,2.3858,12885,0
20050315,2.3858,2.4512,2.367,2.4044,10406,0
20050316,2.3483,2.3483,2.2922,2.3203,13788,0
20050317,2.3203,2.3578,2.3203,2.3296,11912,0
20050318,2.2922,2.4044,2.2922,2.4044,5317,0
20050321,2.3203,2.3203,2.2828,2.3203,5290,0
20050322,2.2922,2.3203,2.2361,2.3109,20773,0
20050323,2.2547,2.3203,2.2454,2.2547,23265,0
20050324,2.2173,2.3109,2.208,2.3109,6723,0
20050328,2.2828,2.3109,2.2173,2.2173,10286,0
20050329,2.2267,2.2734,2.1986,2.2454,15071,0
20050330,2.1612,2.2454,2.1518,2.2173,6917,0
20050331,2.1612,2.2361,2.1612,2.2267,48478,0
20050401,2.2361,2.2361,2.1986,2.2173,15648,0
20050404,2.208,2.2454,2.1986,2.208,15970,0
20050405,2.208,2.339,2.208,2.2454,20684,0
20050406,2.208,2.3578,2.1986,2.2734,15331,0
20050407,2.2454,2.2454,2.208,2.2454,16048,0
20050408,2.1612,2.2361,2.1051,2.1986,27834,0
20050411,2.1332,2.1612,2.1332,2.1612,2918,0
20050412,2.1425,2.2922,2.1425,2.2454,18319,0
20050413,2.1798,2.2173,2.1798,2.208,8064,0
20050414,2.2361,2.3952,2.208,2.3109,83327,0
20050415,2.2828,2.3858,2.1798,2.3858,37743,0
20050418,2.3578,2.3578,2.2454,2.2734,18666,0
20050419,2.2734,2.2734,2.208,2.2454,19756,0
20050420,2.208,2.208,2.1144,2.1612,22032,0
20050421,2.0864,2.208,2.0303,2.0864,41267,0
20050422,2.0957,2.208,2.0864,2.1518,20292,0
20050425,2.1051,2.208,2.1051,2.208,7057,0
20050426,2.208,2.2734,2.1798,2.2734,4428,0
20050427,2.1893,2.2173,2.1518,2.1893,8178,0
20050428,2.1612,2.1798,2.1332,2.1332,14558,0
20050429,2.1425,2.1893,2.1144,2.1893,24141,0
20050502,2.1798,2.1986,2.1518,2.1986,11196,0
20050503,2.208,2.208,2.1051,2.1612,18479,0
20050504,2.1706,2.1798,2.1051,2.1612,25754,0
20050505,2.1986,2.1986,2.1332,2.1332,6520,0
20050506,2.208,2.208,2.1518,2.1706,12933,0
20050509,2.1051,2.1798,2.0677,2.1238,32867,0
20050510,1.9741,2.0303,1.8244,1.9272,142083,0
20050511,1.9272,1.9647,1.8618,1.8898,26767,0
20050512,1.8618,1.9367,1.8431,1.8806,111034,0
20050513,1.8618,1.9272,1.8525,1.8898,38762,0
20050516,1.8618,1.9272,1.8338,1.9272,19325,0
20050517,1.918,1.918,1.8618,1.8992,24691,0
20050518,1.8431,1.8898,1.8431,1.8806,24271,0
20050519,1.8338,1.918,1.8338,1.8992,13264,0
20050520,1.8711,1.918,1.8618,1.9086,7618,0
20050523,1.9086,1.9086,1.8244,1.8431,50848,0
20050524,1.8431,1.8431,1.7308,1.7308,39813,0
20050525,1.8338,1.8338,1.6934,1.759,26499,0
20050526,1.7215,1.8431,1.7215,1.7963,9256,0
20050527,1.759,1.8338,1.7308,1.8244,14371,0
20050531,1.7215,1.8244,1.7215,1.7682,24157,0
20050601,1.8244,1.8244,1.7121,1.7682,28650,0
