Date,Open,High,Low,Close,Volume,OpenInt
20050225,29.71,29.985,28.983,29.508,135252,0
20050228,29.02,29.581,27.725,27.761,160651,0
20050301,27.734,29.876,27.734,29.48,145878,0
20050302,29.324,29.397,27.945,28.964,158894,0
20050303,29.186,29.581,28.781,29.213,188161,0
20050304,29.646,29.646,28.837,28.992,85656,0
20050307,28.855,29.278,28.266,28.321,221298,0
20050308,28.221,28.321,27.383,27.411,101846,0
20050309,27.65,27.678,26.961,27.044,84636,0
20050310,26.933,27.852,26.684,27.32,122273,0
20050311,27.117,27.504,27.117,27.247,86177,0
20050314,27.007,27.486,26.924,27.374,121939,0
20050315,27.532,27.862,25.839,25.978,143431,0
20050316,26.199,26.759,26.023,26.529,200534,0
20050317,26.336,27.532,26.336,27.265,117178,0
20050318,27.355,27.355,26.041,26.079,194021,0
20050321,25.969,26.327,25.572,25.758,84582,0
20050322,25.628,27.523,25.628,26.548,121096,0
20050323,26.411,26.694,25.6,25.656,103407,0
20050324,25.914,26.768,25.581,26.346,102540,0
20050328,26.281,27.789,26.144,26.42,212850,0
20050329,26.613,27.383,25.802,25.839,71050,0
20050330,26.125,27.568,26.125,27.181,160799,0
20050331,26.905,28.036,26.557,26.684,207461,0
20050401,27.035,27.181,26.144,26.271,79936,0
20050404,26.069,26.657,25.528,26.632,121995,0
20050405,26.749,27.559,26.675,27.017,155556,0
20050406,27.237,27.439,26.632,26.65,116333,0
20050407,26.887,27.439,26.566,27.026,55772,0
20050408,27.044,27.044,26.501,26.51,73412,0
20050411,26.445,26.445,25.978,26.05,116390,0
20050412,25.839,27.312,25.839,27.302,121183,0
20050413,27.054,27.532,26.336,26.336,89091,0
20050414,26.19,26.355,25.426,25.435,132359,0
20050415,25.435,25.637,24.019,24.139,131120,0
20050418,24.388,25.004,24.019,24.81,126495,0
20050419,24.765,25.37,24.755,25.288,202009,0
20050420,25.178,26.401,25.178,25.905,151929,0
20050421,25.905,27.504,25.905,26.768,194363,0
20050422,26.924,27.448,26.153,26.374,167597,0
20050425,26.253,26.759,26.199,26.392,141169,0
20050426,26.52,26.833,25.995,26.097,79777,0
20050427,25.849,26.566,25.342,26.162,131651,0
20050428,26.19,27.026,26.097,26.492,120616,0
20050429,26.428,26.843,25.554,26.622,167552,0
20050502,26.684,27.514,26.548,26.998,110906,0
20050503,27.063,27.669,27.063,27.365,125969,0
20050504,27.568,28,27.026,27.936,134825,0
20050505,28,28.441,27.771,28.082,216351,0
20050506,28.405,28.469,27.761,27.806,119561,0
20050509,27.753,28.303,27.402,27.973,116024,0
20050510,27.613,28.211,27.265,27.899,118787,0
20050511,27.908,27.908,26.74,27.514,144455,0
20050512,27.514,27.576,26.253,26.428,166831,0
20050513,26.585,27.458,26.464,27.293,90913,0
20050516,27.346,27.514,26.778,27.514,111296,0
20050517,27.302,27.576,26.622,27.514,103279,0
20050518,27.613,28.763,27.504,28.735,98059,0
20050519,28.726,29.288,28.166,28.24,81297,0
20050520,28.248,28.533,28,28.487,57190,0
20050523,28.303,28.598,28.019,28.019,190824,0
20050524,27.632,28.8,27.495,28.579,223432,0
20050525,28.424,29.14,27.815,28.964,75794,0
20050526,29.186,29.416,28.588,28.8,96350,0
20050527,29.112,29.416,28.414,29.222,55420,0
20050531,29.416,29.48,29.094,29.333,71568,0
20050601,29.002,30.059,29.002,30.041,102074,0
20050602,29.361,29.829,29.259,29.636,122421,0
20050603,29.278,29.544,28.855,29.416,74797,0
20050606,28.865,29.755,28.865,29.627,43657,0
20050607,29.581,30.151,29.508,29.884,87587,0
