Date,Open,High,Low,Close,Volume,OpenInt
20050228,19.771,19.771,19.771,19.771,632,0
20050307,19.89,19.89,19.89,19.89,253,0
20050315,19.89,19.89,19.106,19.217,2491,0
20050316,19.059,19.059,19.059,19.059,159,0
20050317,19.059,19.059,19.059,19.059,503,0
20050318,19.059,19.059,19.059,19.059,380,0
20050324,19.059,19.059,18.316,18.466,2554,0
20050329,18.583,18.583,17.436,18.03,2041,0
20050405,18.434,18.514,18.269,18.514,2144,0
20050406,18.583,18.583,18.576,18.576,507,0
20050407,18.948,19.162,18.821,18.979,2447,0
20050411,19.375,19.375,19.375,19.375,380,0
20050412,19.027,19.177,19.01,19.139,855,0
20050414,19.139,19.139,18.979,18.979,439,0
20050415,18.979,18.979,17.832,18.03,3161,0
20050420,18.15,18.15,17.436,17.754,2729,0
20050421,18.109,18.109,18.109,18.109,253,0
20050422,17.714,17.714,17.714,17.714,380,0
20050425,18.188,18.269,18.188,18.269,760,0
20050426,18.576,18.576,18.188,18.188,253,0
20050427,18.583,18.583,18.481,18.583,760,0
20050428,18.583,18.583,18.583,18.583,567,0
20050429,18.702,18.702,18.576,18.576,1646,0
20050502,18.583,18.583,18.583,18.583,3795,0
20050504,17.714,17.714,17.714,17.714,184,0
20050509,18.188,18.188,18.188,18.188,129,0
20050511,18.188,18.188,17.714,17.714,3265,0
20050512,17.873,17.873,17.873,17.873,652,0
20050513,20.245,20.245,18.426,20.245,1770,0
20050516,18.188,18.583,18.188,18.228,380,0
20050517,18.583,18.583,18.188,18.188,253,0
20050518,17.794,17.794,17.794,17.794,632,0
20050519,18.007,18.007,18.007,18.007,130,0
20050520,17.801,18.188,17.801,18.188,760,0
20050523,18.188,18.188,18.188,18.188,380,0
20050525,18.188,18.188,18.188,18.188,2749,0
20050526,18.235,18.386,18.235,18.386,1442,0
20050531,18.466,18.466,18.071,18.188,2403,0
20050602,18.18,18.18,17.912,17.912,943,0
20050603,18.188,18.188,18.188,18.188,129,0
20050607,18.109,18.109,18.109,18.109,253,0
20050609,17.92,17.92,17.92,17.92,317,0
20050610,18.291,18.291,18.291,18.291,129,0
20050614,17.92,17.92,17.92,17.92,382,0
20050620,17.912,18.386,17.912,18.386,380,0
20050621,17.927,18.15,17.927,18.15,3379,0
20050622,18.188,18.426,18.15,18.426,4805,0
20050624,18.426,18.426,17.912,17.912,760,0
20050630,18.307,18.347,18.307,18.347,1646,0
20050701,17.794,17.849,17.794,17.832,1777,0
20050705,17.832,17.832,17.832,17.832,253,0
20050706,18.18,18.188,18.18,18.188,4595,0
20050707,17.873,18.235,17.873,18.235,1319,0
20050711,18.332,18.347,18.307,18.347,1138,0
20050712,18.269,18.269,17.912,18.188,2209,0
20050713,18.269,18.269,18.269,18.269,503,0
20050714,18.362,18.362,18.362,18.362,503,0
20050715,18.426,20.347,18.426,19.573,10748,0
20050718,19.771,19.771,19.375,19.375,380,0
20050719,18.979,19.059,18.979,19.059,253,0
20050722,19.771,19.771,19.652,19.66,760,0
20050725,19.961,19.961,19.818,19.818,760,0
20050728,19.415,19.415,19.375,19.375,603,0
20050729,18.979,18.979,18.9,18.9,503,0
20050802,18.979,18.987,18.979,18.987,253,0
20050805,18.979,18.979,18.979,18.979,380,0
20050808,18.979,18.979,18.9,18.9,1010,0
20050809,18.9,18.955,18.9,18.955,527,0
20050812,18.979,18.979,18.9,18.9,1263,0
20050815,19.375,19.375,18.9,18.9,253,0
20050816,18.583,19.233,18.488,19.193,2907,0
20050817,19.375,19.375,19.375,19.375,450,0
20050818,19.375,19.375,18.979,18.979,760,0
20050822,18.979,18.979,18.269,18.269,503,0
20050824,18.252,18.269,18.252,18.269,1391,0
20050826,19.375,19.375,18.252,18.252,1099,0
20050829,18.252,18.79,18.252,18.252,947,0
20050830,18.228,18.228,18.197,18.197,760,0
20050901,18.386,18.386,18.197,18.197,253,0
20050902,18.386,18.386,18.197,18.197,983,0
20050908,18.197,18.197,18.188,18.188,292,0
20050909,18.269,18.269,18.269,18.269,696,0
20050913,18.188,18.583,18.071,18.583,5814,0
20050916,18.583,18.583,18.583,18.583,253,0
20050919,18.583,18.583,18.583,18.583,129,0
20050920,18.188,18.188,18.188,18.188,760,0
20050921,18.583,18.583,18.197,18.197,1991,0
20050922,18.197,18.197,18.197,18.197,129,0
20050926,18.188,18.188,18.188,18.188,843,0
20050927,18.583,18.583,18.583,18.583,253,0
20051004,18.188,18.188,18.188,18.188,129,0
20051005,18.188,18.188,18.188,18.188,129,0
20051010,18.386,18.386,17.405,17.873,3696,0
20051013,17.991,17.991,17.596,17.596,411,0
20051014,17.596,17.596,17.596,17.596,697,0
20051017,17.794,17.794,17.596,17.596,253,0
20051018,17.714,17.714,17.405,17.405,760,0
20051019,17.436,17.436,15.105,16.212,11170,0
20051020,16.94,16.94,16.607,16.805,4175,0
20051026,17.382,17.382,17.382,17.382,129,0
20051027,17.042,17.193,16.56,16.59,2231,0
20051028,16.212,16.212,16.212,16.212,632,0
20051031,16.599,16.599,16.599,16.599,663,0
20051104,16.488,16.497,16.488,16.497,626,0
20051107,16.488,16.488,16.488,16.488,760,0
20051114,16.583,16.583,16.583,16.583,1073,0
20051116,16.212,16.41,16.212,16.41,2653,0
20051118,15.95,16.014,15.95,16.014,2403,0
20051121,16.133,16.133,16.133,16.133,1518,0
20051122,15.825,15.975,15.816,15.904,2278,0
20051123,16.006,16.006,15.928,15.928,2907,0
20051128,15.816,15.816,15.816,15.816,253,0
20051129,15.896,15.896,15.896,15.896,129,0
20051130,16.014,16.212,16.014,16.212,4790,0
20051202,16.212,16.212,16.212,16.212,1263,0
20051205,16.172,16.172,16.172,16.172,253,0
20051206,15.935,15.935,15.619,15.619,760,0
20051207,15.619,15.619,15.619,15.619,1263,0
20051208,15.657,15.657,15.619,15.619,821,0
20051209,15.619,15.619,15.619,15.619,279,0
20051213,15.816,15.816,15.816,15.816,129,0
20051214,15.579,15.816,15.579,15.816,736,0
20051215,15.975,16.116,15.975,16.014,2211,0
20051216,16.535,16.535,16.535,16.535,291,0
20051219,16.535,16.535,16.535,16.535,129,0
20051222,16.797,17.326,16.797,17.326,2022,0
20051227,17.399,17.399,16.805,16.805,2327,0
20051228,16.963,16.963,16.204,16.204,1801,0
