Date,Open,High,Low,Close,Volume,OpenInt
20121211,3.07,3.07,2.94,3,469860,0
20121212,3.07,3.07,2.98,3,293527,0
20121213,2.98,2.98,2.9,2.9,40708,0
20121214,2.83,2.8958,2.57,2.8,118926,0
20121217,2.78,2.88,2.75,2.88,48171,0
20121218,2.88,2.88,2.75,2.81,873535,0
20121219,2.77,2.81,2.65,2.67,198378,0
20121220,2.63,2.75,2.61,2.66,100986,0
20121221,2.66,2.7,2.5498,2.55,210971,0
20121224,2.59,2.59,2.56,2.59,3793,0
20121226,2.55,2.59,2.39,2.55,140288,0
20121227,2.51,2.6199,2.43,2.53,28579,0
20121228,2.5,2.55,2.45,2.46,135061,0
20121231,2.45,2.5,2.4,2.48,211616,0
20130102,2.55,2.8,2.54,2.65,192005,0
20130103,2.69,2.69,2.55,2.56,93186,0
20130104,2.4,2.78,2.4,2.7,234949,0
20130107,2.76,2.76,2.58,2.59,43811,0
20130108,2.67,2.69,2.55,2.64,65988,0
20130109,2.6,2.7,2.56,2.56,109715,0
20130110,2.6599,2.6599,2.54,2.63,31650,0
20130111,2.58,2.67,2.54,2.61,17603,0
20130114,2.61,2.649,2.6,2.649,9332,0
20130115,2.65,2.75,2.6,2.7,38329,0
20130116,2.62,2.7,2.6,2.6,59869,0
20130117,2.65,2.76,2.63,2.75,73784,0
20130118,2.75,2.8196,2.6601,2.7,30420,0
20130122,2.7,2.75,2.61,2.7,33465,0
20130123,2.66,2.8,2.65,2.79,64700,0
20130124,2.83,2.93,2.74,2.8,92049,0
20130125,2.86,2.89,2.8,2.89,47946,0
20130128,2.85,2.89,2.7,2.8,207189,0
20130129,2.82,2.88,2.77,2.88,57973,0
20130130,2.8,2.89,2.79,2.84,77737,0
20130131,2.84,2.87,2.81,2.85,6052,0
20130201,2.82,2.989,2.81,2.91,81186,0
20130204,2.91,2.96,2.82,2.83,36186,0
20130205,2.83,2.83,2.76,2.76,97809,0
20130206,2.77,2.8104,2.74,2.8,38369,0
20130207,2.84,2.89,2.82,2.85,14276,0
20130208,2.86,2.88,2.79,2.82,17860,0
20130211,2.85,2.87,2.8,2.83,8300,0
20130212,2.85,2.87,2.82,2.85,13352,0
20130213,2.85,2.88,2.82,2.85,35454,0
20130214,2.86,3.1,2.86,3.04,442454,0
20130215,3.05,3.2799,3.05,3.2,277248,0
20130219,3.34,3.49,3.22,3.4,272657,0
20130220,3.44,3.52,3.34,3.4,233453,0
20130221,3.4,3.43,3.21,3.28,157542,0
20130222,3.3,3.35,2.88,3.03,417123,0
20130225,2.94,3.06,2.82,3,447704,0
