Date,Open,High,Low,Close,Volume,OpenInt
20140701,6,6.38,6,6.05,2927198,0
20140702,6.1,6.15,6,6,349000,0
20140703,6.03,6.22,6,6.13,119953,0
20140707,6.19,6.24,5.75,5.9,325233,0
20140708,5.97,6.08,5.8,5.97,195554,0
20140709,5.93,6.06,5.93,5.93,43059,0
20140710,5.85,7.54,5.8,6.68,747313,0
20140711,7.1,7.13,6.41,6.61,276414,0
20140714,6.61,7,6.36,6.8,107383,0
20140715,6.8,6.8,5.75,5.85,532849,0
20140716,5.9,6.09,5.5701,6.09,199361,0
20140717,6,6.4,5.8,6.35,136072,0
20140718,6.35,6.4,6.1105,6.4,96980,0
20140721,6.4,6.4,6.11,6.33,56307,0
20140722,6.32,6.32,6.05,6.15,85298,0
20140723,6.26,6.2997,6.05,6.1,41951,0
20140724,6.1,6.7,6.05,6.56,197104,0
20140725,6.28,6.85,6.28,6.78,283424,0
20140728,6.99,7.89,6.82,7.53,570712,0
20140729,7.9,7.9,7.15,7.19,101653,0
20140730,7.03,7.0975,6.51,6.53,134235,0
20140731,6.5,6.85,6.1,6.31,82865,0
20140801,6.31,6.31,6.15,6.26,78902,0
20140804,6.74,6.74,6.3,6.63,49346,0
20140805,6.8,6.8,6.22,6.24,32654,0
20140806,6.15,6.83,6.15,6.82,88049,0
20140807,6.85,7,6.614,7,124618,0
20140808,6.26,6.847,6.26,6.51,40025,0
20140811,6.55,6.91,6.5101,6.54,36464,0
20140812,6.76,7.1,6.62,6.975,89978,0
20140813,7.0999,7.0999,6.816,6.86,6214,0
20140814,6.99,7.42,6.9,6.99,93398,0
20140815,7.33,7.34,6.864,7.29,62627,0
20140818,7.15,7.3,6.96,6.97,18942,0
20140819,6.97,7.15,6.86,6.96,25701,0
20140820,6.83,6.94,6.67,6.67,17148,0
20140821,6.7457,6.96,6.663,6.75,12640,0
20140822,6.91,6.92,6.75,6.75,12044,0
20140825,6.79,6.83,6.68,6.76,26741,0
20140826,6.66,6.83,6.66,6.8,30603,0
20140827,6.83,7.2,6.7247,6.9,36295,0
20140828,6.99,7.2,6.6507,6.94,36959,0
20140829,7.1,7.19,6.87,7.08,20771,0
20140902,7.04,7.14,6.95,7.1,43973,0
20140903,7.03,7.3,6.91,7.06,92282,0
20140904,7.15,7.24,6.91,7.19,37836,0
20140905,7.24,7.24,6.77,7.01,28906,0
20140908,7.21,7.49,7.02,7.48,41019,0
20140909,7.36,7.7,7.2926,7.63,29526,0
20140910,7.55,7.84,7.38,7.65,46207,0
20140911,7.68,7.7,7.06,7.5,56199,0
20140912,7.78,7.81,7.152,7.57,39259,0
20140915,7.24,7.72,7.089,7.56,51997,0
20140916,7.36,7.54,7.101,7.29,43437,0
20140917,7.19,7.65,6.955,7.09,26194,0
20140918,7.19,7.19,6.6,6.6,63578,0
20140919,6.6,6.73,6.15,6.21,93916,0
20140922,6.25,6.5,5.78,5.8,67244,0
20140923,5.7635,6.14,5.7635,5.97,33688,0
20140924,5.95,6.14,5.76,5.8,24394,0
20140925,5.8,5.9,5.8,5.87,7040,0
20140926,5.88,5.93,5.8,5.91,8357,0
20140929,5.86,6.09,5.801,6.01,12027,0
20140930,6.09,6.1,5.98,6.05,13013,0
20141001,5.99,6.25,5.96,6.138,25264,0
20141002,5.99,6.1,5.99,6.06,4620,0
20141003,6.0401,6.25,6.0401,6.25,2521,0
20141006,6.06,6.2156,6.05,6.11,8385,0
20141007,6.03,6.1599,5.85,5.95,15752,0
20141008,5.85,5.85,5.26,5.38,37644,0
20141009,5.46,5.7599,4.77,5.1,12680,0
20141010,5.2,5.2,4.39,4.56,46408,0
20141013,4.52,4.717,4.33,4.65,14633,0
20141014,4.55,4.6,4.3,4.54,15965,0
20141015,4.45,5.102,4.1,4.32,23799,0
20141016,4.31,4.9227,4.2355,4.57,20454,0
20141017,4.65,4.86,4.355,4.48,12566,0
20141020,4.42,4.68,4.25,4.25,22269,0
20141021,4.4,4.6,4.256,4.57,16098,0
20141022,4.81,4.84,4.33,4.36,12137,0
20141023,4.5875,4.5875,4.3101,4.39,7658,0
20141024,4.55,4.55,4.38,4.43,2478,0
20141027,4.4,4.61,4.38,4.45,2213,0
20141028,4.48,4.82,4.39,4.51,4823,0
20141029,4.68,4.75,4.36,4.43,13339,0
20141030,4.499,4.7099,4.35,4.36,7612,0
20141031,4.38,4.554,4.27,4.38,25789,0
20141103,4.31,4.43,4.25,4.37,22347,0
20141104,4.32,4.37,4.17,4.35,4064,0
20141105,4.16,4.36,4.14,4.35,13580,0
20141106,4.23,4.34,4.15,4.28,15347,0
20141107,4.35,4.41,4.18,4.18,19265,0
20141110,4.1988,4.36,4.1001,4.21,9448,0
20141111,4.29,4.37,4.08,4.18,19043,0
20141112,4.24,4.308,4.1,4.21,22428,0
20141113,4.29,4.45,4.2,4.21,33443,0
20141114,4.69,4.698,4.29,4.29,30298,0
20141117,4.31,4.5765,4.31,4.54,13507,0
20141118,4.48,4.55,4.35,4.37,12127,0
20141119,4.35,4.5,4.21,4.26,9311,0
20141120,4.1951,4.5256,4.175,4.4,19102,0
20141121,4.35,4.43,4.23,4.33,5494,0
20141124,4.3,4.49,4.273,4.42,9726,0
20141125,4.486,4.96,4.486,4.7,22270,0
20141126,4.7326,5.207,4.724,4.75,16345,0
20141128,4.93,5.14,4.67,4.7,17000,0
20141201,4.5335,4.83,4.5335,4.83,4837,0
20141202,5.0699,5.0699,4.656,4.7,9558,0
20141203,4.5544,4.7199,4.233,4.56,41978,0
20141204,4.63,4.63,4.35,4.45,10885,0
20141205,4.5,4.52,4.26,4.4,15600,0
20141208,4.48,4.69,4.2,4.69,25239,0
20141209,4.5751,4.6188,4.51,4.55,22656,0
20141210,4.6,4.78,4.58,4.74,21536,0
20141211,4.68,4.73,4.6,4.61,12237,0
20141212,4.61,4.62,4.5,4.5,12376,0
20141215,4.53,4.6199,4.5,4.5,3653,0
20141216,4.54,4.82,4.5,4.51,10450,0
20141217,4.66,4.89,4.66,4.77,10709,0
20141218,4.75,6.91,4.63,4.85,16289,0
20141219,4.85,5.74,4.85,5.67,20917,0
20141222,5.7,5.7,5.25,5.32,7920,0
20141223,5.6,5.6,5.4,5.48,11794,0
20141224,5.48,5.69,5.48,5.63,3839,0
20141226,5.53,5.7,5.35,5.53,11252,0
20141229,5.45,5.5399,5.29,5.53,17077,0
20141230,5.46,6.3,5.416,6.13,46434,0
20141231,6.13,6.25,5.8301,6.02,22623,0
20150102,6.07,6.236,6.02,6.11,14366,0
20150105,6.2,6.2,5.81,6,331262,0
20150106,9.86,10,6.33,6.49,5359438,0
20150107,6.33,6.47,5.45,5.69,706353,0
20150108,5.75,5.92,5.18,5.53,553955,0
20150109,5.26,5.7,5,5.62,286659,0
20150112,5.79,5.7999,5.24,5.35,159747,0
20150113,5.32,5.55,4.8601,4.98,229736,0
20150114,5,5,4.58,4.8,120567,0
20150115,4.83,4.8512,4.51,4.59,107699,0
20150116,4.5,4.68,4.42,4.66,43397,0
