Date,Open,High,Low,Close,Volume,OpenInt
20050225,13.931,14.262,13.931,14.262,1532,0
20050228,13.931,14.028,13.931,13.931,2006,0
20050303,13.804,14.096,13.804,14.096,1543,0
20050304,14.096,14.096,14.096,14.096,281,0
20050309,14.096,14.096,13.901,13.901,1001,0
20050310,13.61,13.931,13.61,13.931,2006,0
20050311,13.415,13.931,13.415,13.775,3069,0
20050314,13.445,13.775,13.445,13.61,1991,0
20050317,13.61,13.61,13.61,13.61,617,0
20050318,13.445,13.61,13.445,13.61,3857,0
20050321,13.543,13.543,13.543,13.543,2469,0
20050322,12.958,13.513,12.958,13.513,1636,0
20050324,13.58,13.61,13.58,13.61,309,0
20050328,13.58,13.58,13.58,13.58,476,0
20050329,13.289,13.445,13.289,13.445,1620,0
20050330,13.124,13.124,12.958,13.124,1235,0
20050404,12.958,12.958,12.958,12.958,1543,0
20050406,13.124,13.124,13.124,13.124,231,0
20050411,13.124,13.348,13.124,13.348,771,0
20050412,13.445,13.445,13.445,13.445,207,0
20050413,13.415,13.415,13.415,13.415,1080,0
20050414,13.318,13.318,13.056,13.056,3395,0
20050415,13.318,13.318,12.968,13.289,3518,0
20050418,13.289,13.289,13.289,13.289,771,0
20050419,12.958,13.289,12.958,13.124,3710,0
20050420,13.289,13.415,13.222,13.222,7716,0
20050421,13.124,13.289,12.958,13.289,2778,0
20050425,13.289,13.289,12.958,12.958,309,0
20050427,13.289,13.289,13.289,13.289,339,0
20050429,12.968,13.289,12.958,13.289,1589,0
20050503,13.289,13.289,13.289,13.289,1235,0
20050504,12.968,12.968,12.958,12.958,1574,0
20050505,12.958,12.958,12.958,12.958,216,0
20050506,12.968,13.279,12.968,13.279,1253,0
20050510,13.289,13.289,12.958,13.289,2931,0
20050511,13.289,13.289,13.289,13.289,309,0
20050513,12.958,13.289,12.958,13.124,1475,0
20050516,13.124,13.279,12.997,13.279,3086,0
20050519,13.289,13.289,12.997,13.289,9092,0
20050523,12.997,12.997,12.997,12.997,2185,0
20050524,12.997,12.997,12.997,12.997,309,0
20050525,12.997,12.997,12.997,12.997,771,0
20050526,12.997,13.222,12.997,13.222,1235,0
20050527,13.222,13.222,12.958,12.958,2160,0
20050531,12.958,13.124,12.958,13.094,1917,0
20050601,12.958,12.958,12.958,12.958,3086,0
20050602,12.958,12.958,12.958,12.958,3475,0
20050603,12.958,12.958,12.958,12.958,771,0
20050606,12.958,12.958,12.803,12.803,1235,0
20050607,12.803,12.958,12.803,12.958,11264,0
20050608,12.958,12.958,12.958,12.958,926,0
20050609,12.958,12.958,12.958,12.958,231,0
20050610,12.958,12.958,12.958,12.958,309,0
20050614,12.958,12.958,12.958,12.958,771,0
20050620,12.958,12.958,12.803,12.803,3796,0
20050621,12.958,12.958,12.958,12.958,929,0
20050627,12.318,12.345,12.318,12.318,1750,0
20050630,12.958,12.958,12.803,12.803,1118,0
20050705,12.803,12.803,12.803,12.803,309,0
20050708,12.803,12.803,12.803,12.803,405,0
20050711,12.025,12.318,11.345,12.152,6519,0
20050712,12.318,12.318,12.318,12.318,771,0
20050713,12.443,12.443,12.443,12.443,887,0
20050714,12.318,12.318,12.318,12.318,771,0
20050718,12.318,12.318,12.318,12.318,1852,0
20050719,11.831,12.152,11.831,12.152,1053,0
20050720,12.318,12.318,12.318,12.318,231,0
20050725,12.318,12.318,12.318,12.318,154,0
20050726,12.318,12.318,12.318,12.318,1543,0
20050727,12.803,12.803,12.803,12.803,4574,0
20050728,12.803,12.803,12.318,12.318,4860,0
20050729,12.803,12.803,12.803,12.803,3472,0
20050801,12.803,12.803,12.803,12.803,1852,0
20050804,12.803,12.803,12.803,12.803,309,0
20050805,12.511,12.511,12.473,12.473,810,0
20050809,12.803,12.803,12.803,12.803,1543,0
20050815,12.803,12.803,12.638,12.638,2009,0
20050816,12.638,12.638,12.473,12.638,1747,0
20050817,12.638,12.803,12.638,12.803,1595,0
20050819,12.793,12.803,12.793,12.803,771,0
20050822,12.706,12.706,12.706,12.706,1697,0
20050823,12.473,12.473,12.473,12.473,1173,0
20050824,12.473,12.473,12.318,12.318,539,0
20050826,12.318,12.318,12.318,12.318,309,0
20050831,12.162,12.443,11.889,12.152,4655,0
20050906,11.889,11.889,11.695,11.889,2034,0
20050907,11.889,11.889,11.889,11.889,309,0
20050908,11.762,11.889,11.762,11.889,623,0
20050909,11.889,11.889,11.889,11.889,771,0
20050912,11.889,11.889,11.889,11.889,462,0
20050915,11.987,11.987,11.987,11.987,402,0
20050919,11.987,11.987,11.987,11.987,260,0
20050920,12.318,12.318,12.318,12.318,154,0
20050921,12.318,12.318,12.318,12.318,617,0
20050922,12.152,12.152,12.152,12.152,309,0
20050926,11.987,11.987,11.987,11.987,154,0
20050928,12.054,12.054,12.054,12.054,409,0
20050930,12.318,12.318,12.318,12.318,154,0
20051003,12.638,12.638,12.638,12.638,462,0
20051004,12.638,12.638,12.638,12.638,617,0
20051006,12.318,12.318,12.318,12.318,370,0
20051007,12.638,12.803,12.638,12.803,2314,0
20051010,12.803,12.803,12.638,12.803,3240,0
20051011,12.803,12.803,12.803,12.803,2012,0
20051017,12.638,12.764,12.638,12.764,1043,0
20051019,12.638,12.638,12.638,12.638,309,0
20051020,12.638,12.638,12.638,12.638,1933,0
20051021,12.638,12.638,12.638,12.638,3395,0
20051024,12.638,12.638,12.638,12.638,197,0
20051031,12.609,12.609,12.609,12.609,3873,0
20051102,12.638,12.638,12.318,12.318,2244,0
20051104,12.318,12.318,12.318,12.318,2623,0
20051107,12.318,12.318,12.318,12.318,1929,0
20051109,12.318,12.318,12.318,12.318,309,0
20051115,12.318,12.318,12.318,12.318,462,0
20051117,12.638,12.93,12.638,12.803,4802,0
20051118,12.958,14.262,12.9,14.262,8013,0
20051121,14.903,15.262,14.825,15.233,33977,0
20051122,15.262,15.262,15.194,15.233,12826,0
20051123,15.262,15.262,15.262,15.262,486,0
20051129,15,15,14.68,14.68,8910,0
20051130,15.068,15.068,14.903,14.903,2176,0
20051201,14.903,15.068,14.903,15.068,1960,0
20051202,15.068,15.068,15.068,15.068,617,0
20051205,15.331,15.331,15.233,15.233,309,0
20051206,15.331,15.331,14.903,15.233,1204,0
20051208,15.068,15.068,14.262,14.262,7830,0
20051209,14.262,14.262,13.931,14.262,3395,0
20051213,14.417,14.417,14.417,14.417,771,0
20051215,14.582,14.582,14.262,14.262,1247,0
20051219,14.096,14.582,14.096,14.262,5500,0
20051220,14.262,14.553,14.262,14.553,771,0
20051221,14.262,15.233,14.262,15.233,836,0
20051223,15.068,15.194,15.068,15.194,3240,0
20051227,15.059,15.194,15.059,15.194,2767,0
20051229,15.36,15.36,15.233,15.292,2838,0
20051230,15.36,15.36,15.233,15.233,6018,0
20060103,15.292,15.292,15.233,15.233,926,0
20060105,15.292,15.292,15.292,15.292,642,0
20060106,15.233,15.233,15.233,15.233,182,0
20060109,15.068,15.068,14.582,14.582,1543,0
20060110,14.417,14.417,13.931,14.262,5593,0
20060112,14.222,14.262,14.222,14.262,1043,0
20060113,14.222,14.262,14.222,14.262,3321,0
20060117,20.901,20.901,15.554,15.554,2710,0
20060118,15.554,15.554,14.582,14.582,8422,0
20060119,14.825,14.825,14.582,14.582,703,0
20060120,16.526,16.526,15.068,15.068,1655,0
20060123,15.554,15.554,15.554,15.554,462,0
20060124,15.116,15.116,15.068,15.068,3027,0
20060125,15.068,15.068,14.825,14.825,939,0
20060126,14.825,14.825,14.825,14.825,3919,0
20060127,14.825,14.825,14.825,14.825,309,0
20060131,14.825,14.825,14.096,14.582,15536,0
20060201,13.901,14.096,13.862,13.862,4526,0
20060202,13.61,14.096,13.61,14.096,3498,0
20060203,13.853,13.853,13.134,13.61,4373,0
20060206,13.61,13.61,13.61,13.61,154,0
20060207,13.61,13.61,13.58,13.58,526,0
20060208,13.61,13.61,13.61,13.61,205,0
20060210,13.61,13.61,13.61,13.61,149,0
20060213,13.61,13.61,12.638,12.647,3112,0
20060214,12.638,13.61,12.638,13.61,627,0
20060215,13.61,13.61,13.513,13.513,2887,0
20060216,13.318,13.61,13.318,13.61,3520,0
20060217,13.61,13.61,13.61,13.61,566,0
20060221,13.639,13.639,13.639,13.639,309,0
20060222,13.951,13.951,13.951,13.951,103,0
20060223,13.951,13.951,13.951,13.951,283,0
20060227,13.61,13.804,13.61,13.804,1235,0
20060301,13.124,13.124,13.124,13.124,231,0
20060302,13.804,13.804,13.804,13.804,205,0
20060303,13.804,13.804,13.804,13.804,205,0
20060306,13.804,13.804,13.61,13.61,823,0
20060308,13.951,13.951,13.951,13.951,1029,0
20060309,13.61,13.61,13.61,13.61,205,0
20060310,13.853,13.853,13.367,13.367,272,0
20060313,13.853,13.853,13.61,13.61,489,0
20060315,13.853,13.853,13.853,13.853,1388,0
20060316,13.853,14.096,13.853,14.096,4462,0
20060317,14.533,14.533,14.096,14.533,1872,0
20060320,14.533,14.533,14.533,14.533,309,0
20060321,14.339,14.339,14.339,14.339,205,0
20060323,13.61,13.61,13.61,13.61,103,0
20060324,13.853,13.853,13.61,13.61,221,0
20060330,14.533,14.533,14.533,14.533,617,0
20060331,13.853,14.533,13.853,14.533,797,0
20060403,13.853,13.853,13.56,13.61,1249,0
20060404,13.56,13.61,13.56,13.61,915,0
20060405,14.339,14.339,14.339,14.339,514,0
20060406,14.582,14.582,14.533,14.582,4955,0
20060411,15.019,15.019,14.096,14.096,1281,0
20060412,14.096,14.096,14.096,14.096,1749,0
20060417,14.339,14.339,14.339,14.339,103,0
20060418,13.853,13.853,13.853,13.853,623,0
20060419,13.853,14.582,13.367,14.582,6217,0
20060420,14.339,14.339,14.096,14.096,3086,0
20060421,14.339,14.339,14.339,14.339,268,0
20060424,13.367,13.367,13.367,13.367,118,0
20060425,14.339,14.339,14.339,14.339,149,0
20060426,14.582,14.825,14.582,14.825,3747,0
20060427,14.582,14.582,14.582,14.582,257,0
20060501,14.825,15.116,14.825,15.116,720,0
20060502,14.825,14.825,14.825,14.825,188,0
20060503,14.825,14.825,14.825,14.825,114,0
20060504,15.311,15.505,15.311,15.505,370,0
20060505,15.505,15.505,15.505,15.505,942,0
20060508,15.311,15.554,15.311,15.554,2057,0
20060509,15.554,15.554,14.096,14.096,4927,0
20060510,14.096,14.096,14.096,14.096,527,0
20060511,15.068,15.991,15.068,15.991,3189,0
20060512,15.943,15.943,15.262,15.262,823,0
20060515,15.943,15.943,15.943,15.943,386,0
20060516,15.895,15.895,15.554,15.554,844,0
20060517,15.36,15.36,15.36,15.36,514,0
20060519,15.798,16.283,15.311,15.311,4653,0
20060522,15.262,15.505,15.262,15.505,823,0
20060523,15.505,15.505,15.457,15.457,617,0
20060525,15.505,15.505,15.457,15.505,890,0
20060531,15.36,15.408,15.36,15.408,844,0
20060602,15.36,15.457,15.068,15.408,955,0
20060605,15.068,15.311,15.068,15.311,1131,0
20060606,15.311,15.311,15.068,15.068,2469,0
20060608,14.582,14.582,14.582,14.582,412,0
20060609,14.825,15.311,14.825,15.068,1265,0
20060612,14.437,14.437,14.437,14.437,324,0
20060614,14.825,14.825,14.825,14.825,195,0
20060615,14.825,14.825,14.825,14.825,412,0
20060619,14.437,14.582,14.437,14.582,257,0
20060620,14.825,14.825,14.825,14.825,205,0
20060623,14.437,14.437,14.202,14.339,2005,0
20060626,14.096,14.825,13.124,13.124,6710,0
20060627,13.124,13.124,12.978,13.124,2572,0
20060628,13.259,13.259,13.259,13.259,823,0
20060629,13.367,13.367,13.172,13.269,3721,0
20060630,13.124,13.124,13.124,13.124,1423,0
20060703,12.881,13.124,12.881,13.124,514,0
20060705,13.124,13.124,13.124,13.124,412,0
20060706,12.638,13.027,12.638,13.027,328,0
20060707,13.027,13.027,13.007,13.007,717,0
20060710,13.027,13.104,13.027,13.104,1646,0
20060711,12.686,13.124,12.395,12.881,11578,0
20060712,13.124,13.124,13.124,13.124,4835,0
20060714,13.124,13.124,13.124,13.124,426,0
20060717,13.124,13.124,13.124,13.124,412,0
20060718,12.93,12.93,12.881,12.881,823,0
20060719,13.124,13.124,13.124,13.124,1386,0
20060721,13.61,13.61,13.124,13.124,3649,0
20060724,12.881,14.582,12.881,14.582,807,0
20060726,13.61,13.61,13.61,13.61,926,0
20060731,14.582,14.582,14.582,14.582,103,0
20060803,14.582,14.582,14.582,14.582,386,0
20060807,14.582,14.582,14.582,14.582,309,0
20060808,13.61,13.707,13.61,13.707,617,0
20060809,13.707,13.707,13.61,13.707,4536,0
20060810,14.339,14.68,14.339,14.68,1159,0
20060814,14.68,14.68,14.68,14.68,103,0
20060818,14.582,14.825,14.096,14.825,2302,0
20060822,14.582,14.582,14.582,14.582,617,0
20060823,14.582,14.767,14.582,14.767,1131,0
20060824,14.825,14.825,14.825,14.825,309,0
20060828,15.068,15.554,14.582,14.582,2674,0
20060829,14.582,14.825,14.582,14.582,1235,0
20060830,14.582,14.582,14.582,14.582,103,0
20060905,14.582,14.582,14.582,14.582,103,0
20060906,15.068,15.068,15.068,15.068,720,0
20060907,14.776,14.776,14.582,14.582,1852,0
20060908,14.387,14.825,14.387,14.387,2211,0
20060911,14.582,14.582,14.339,14.339,926,0
20060912,14.096,14.096,14.096,14.096,890,0
20060913,14.096,14.096,14.096,14.096,961,0
20060918,14.096,14.096,14.096,14.096,103,0
20060919,13.853,14.096,13.853,14.096,926,0
20060920,14.096,14.096,14.096,14.096,309,0
20060925,13.999,13.999,13.999,13.999,103,0
20060928,13.61,13.61,13.61,13.61,1048,0
20060929,13.61,13.999,13.61,13.999,2520,0
20061002,13.999,13.999,13.999,13.999,103,0
20061003,13.853,13.853,13.61,13.61,2520,0
