Date,Open,High,Low,Close,Volume,OpenInt
20050330,9.867,9.906,9.4128,9.709,1042189,0
20050331,9.758,9.758,9.609,9.639,316611,0
20050401,9.679,9.679,9.3143,9.3143,130503,0
20050404,9.561,9.561,9.2158,9.2847,144856,0
20050405,9.2355,9.3143,9.1566,9.2158,116083,0
20050406,9.2158,9.265,9.196,9.2158,58338,0
20050407,9.2158,9.2552,9.1369,9.196,117071,0
20050408,9.2158,9.2453,9.196,9.2158,37594,0
20050411,9.2453,9.2453,9.1173,9.1369,41851,0
20050412,9.1173,9.1566,8.989,9.0186,80163,0
20050413,8.9989,9.0186,8.92,8.9792,87837,0
20050414,8.9299,8.9299,8.8806,8.9003,54346,0
20050415,8.9003,8.9594,8.7131,8.7722,32453,0
20050418,8.7722,8.9594,8.7722,8.8017,17874,0
20050419,8.7229,8.8708,8.7229,8.8708,4562,0
20050420,8.7722,8.8511,8.378,8.8511,32720,0
20050421,8.8117,8.8215,8.7919,8.7919,11769,0
20050422,8.8511,8.8511,8.3976,8.5357,43236,0
20050425,8.5258,8.5258,8.4075,8.4273,30812,0
20050426,8.4273,8.4764,8.378,8.4764,17367,0
20050427,8.4764,8.6047,8.378,8.5652,64581,0
20050428,8.8215,8.8215,8.5947,8.6736,8068,0
20050429,8.6243,8.6243,8.6047,8.6243,3044,0
20050502,8.6243,8.6243,8.5751,8.6243,37546,0
20050503,8.6736,8.6736,8.6047,8.6243,20901,0
20050504,8.6243,8.8117,8.6243,8.7722,20210,0
20050505,8.6243,8.6736,8.6243,8.6736,17888,0
20050506,8.6243,8.6736,8.6243,8.6736,11668,0
20050509,8.6243,8.7032,8.6243,8.7032,21818,0
20050510,8.7229,9.1173,8.7131,8.989,120071,0
20050511,9.0679,9.0679,8.989,8.989,12605,0
20050512,9.0679,9.511,9.0679,9.4619,69350,0
20050513,9.511,9.729,9.3636,9.3636,153196,0
20050516,9.3734,9.639,9.3734,9.551,92864,0
20050517,9.4619,9.4719,9.4227,9.4227,11077,0
20050518,9.4227,9.4227,9.4128,9.4227,14813,0
20050519,9.4619,9.609,9.4619,9.511,55944,0
20050520,9.6,9.6,9.4619,9.4619,30566,0
20050523,9.561,9.609,9.561,9.561,12795,0
20050524,9.609,9.629,9.561,9.619,130937,0
20050525,9.609,9.609,9.59,9.609,87421,0
20050526,9.619,9.659,9.609,9.659,48700,0
20050527,9.659,9.659,9.629,9.659,14305,0
20050531,9.689,9.729,9.659,9.659,46650,0
20050601,9.659,9.719,9.659,9.659,101559,0
