Date,Open,High,Low,Close,Volume,OpenInt
20130927,22.768,22.957,21.729,21.983,10716505,0
20130930,21.964,22.201,21.549,22.107,838025,0
20131001,22.172,22.192,21.729,21.869,940384,0
20131002,21.889,21.973,21.493,21.947,1073332,0
20131003,21.964,21.973,21.493,21.775,554873,0
20131004,21.739,22.068,21.729,22.003,754585,0
20131007,21.973,21.973,21.502,21.729,143218,0
20131008,21.634,21.824,21.048,21.408,839720,0
20131009,21.266,21.454,21.03,21.284,337242,0
20131010,21.351,21.673,21.161,21.483,230015,0
20131011,21.256,21.588,21.256,21.454,207046,0
20131014,21.275,21.699,21.161,21.681,107439,0
20131015,21.758,21.775,21.105,21.256,405728,0
20131016,21.304,21.604,21.256,21.294,718518,0
20131017,21.275,21.596,21.03,21.246,129562,0
20131018,21.388,21.824,21.171,21.766,712592,0
20131021,21.784,22.333,21.644,21.947,264627,0
20131022,21.804,22.107,21.729,22.05,186828,0
20131023,21.758,22.135,21.729,21.889,195507,0
20131024,21.729,22.192,21.719,21.775,198049,0
20131025,21.729,21.918,21.539,21.879,166399,0
20131028,21.918,21.964,21.729,21.833,91245,0
20131029,21.784,21.927,21.578,21.709,167034,0
20131030,21.729,21.814,21.634,21.709,211808,0
20131031,21.719,21.775,21.417,21.426,143916,0
20131101,21.445,21.729,21.313,21.454,150943,0
20131104,21.493,21.833,21.086,21.351,379372,0
20131105,21.36,21.973,21.351,21.861,118236,0
20131106,22.607,22.627,22.153,22.437,669764,0
20131107,22.627,22.673,21.804,21.852,443200,0
20131108,21.956,22.41,21.869,22.239,473543,0
20131111,22.663,23.448,22.257,22.824,392074,0
20131112,22.673,23.476,22.144,22.673,342853,0
20131113,22.663,23.298,22.456,23.127,266110,0
20131114,23.164,23.259,23.004,23.164,294902,0
20131115,23.288,24.09,23.146,23.646,218007,0
20131118,23.467,24.081,23.391,23.591,161106,0
20131119,23.581,23.666,22.466,23.193,160047,0
20131120,23.222,23.656,22.598,23.307,81082,0
20131121,23.288,23.646,23.146,23.496,197489,0
20131122,23.608,23.608,23.07,23.505,333433,0
20131125,23.581,23.796,23.239,23.514,202268,0
20131126,23.656,23.985,22.995,23.627,314803,0
20131127,23.666,23.816,23.486,23.551,160962,0
20131129,23.581,23.78,23.013,23.042,57705,0
20131202,22.758,23.845,22.201,23.608,224534,0
20131203,23.75,23.816,22.787,23.75,313320,0
20131204,23.6,24.534,23.467,24.308,309193,0
20131205,24.213,24.798,24.1,24.554,203340,0
20131206,24.752,25.593,24.412,25.479,157401,0
20131209,25.508,25.508,24.639,24.838,200906,0
20131210,24.855,25.261,24.383,24.978,152427,0
20131211,25.063,25.518,24.998,25.356,327338,0
20131212,25.261,26.008,25.261,25.952,335020,0
20131213,26.027,26.301,25.205,25.772,239436,0
20131216,25.801,26.925,25.801,26.593,303158,0
20131217,26.508,26.935,26.122,26.32,402659,0
20131218,26.253,27,26.142,26.508,593007,0
20131219,26.32,26.83,25.895,26.688,431586,0
20131220,26.585,26.801,25.857,26.236,3609534,0
20131223,26.367,26.859,26.159,26.784,277860,0
20131224,27.944,28.017,27,27.321,123733,0
20131226,27.369,27.416,26.953,27.378,167034,0
20131227,27.601,28.24,27.333,28.154,356799,0
20131230,28.449,29.424,28.097,29.003,1394842,0
20131231,29.003,29.128,28.785,28.946,388893,0
20140102,28.841,30.346,28.794,29.987,340197,0
20140103,29.797,30.312,29.262,29.94,310577,0
20140106,30.16,30.359,29.605,30.006,414565,0
20140107,28.183,29.73,27.752,29.462,1063226,0
20140108,29.462,29.996,29.405,29.558,1069717,0
20140109,29.978,29.978,29.271,29.377,191709,0
20140110,29.51,29.537,29.012,29.052,112912,0
20140113,28.937,28.937,27.791,28.221,551403,0
