Date,Open,High,Low,Close,Volume,OpenInt
20100816,12.5,12.5,12.5,12.5,100,0
20101216,12.5,12.5,12.5,12.5,900,0
20101217,15,15,15,15,900,0
20110106,150,150,150,150,20,0
20110224,150,150,150,150,40,0
20110307,125,125,125,125,40,0
20110309,150,150,150,150,6,0
20110315,162.5,162.5,162.5,162.5,6,0
20110318,170,170,169.5,170,70,0
20110321,160,160,160,160,60,0
20110428,142.5,160,142.5,160,50,0
20110502,160,160,160,160,8,0
20110503,142.5,142.5,142.5,142.5,8,0
20110504,160,200,160,200,34,0
20110505,200,200,200,200,4,0
20110513,200,200,200,200,10,0
20110517,187.5,187.5,187.5,187.5,14,0
20110715,250,250,250,250,10,0
20110805,325,325,325,325,10,0
20110808,200,200,200,200,106,0
20110809,325,325,300,300,12,0
20110812,325,325,325,325,10,0
20110817,350,350,350,350,2,0
20110825,350,350,350,350,10,0
20110829,325,325,325,325,36,0
20110831,320,350,320,350,12,0
20110901,350,350,350,350,1420,0
20110902,350,387.5,350,387.5,604,0
20110926,387.5,387.5,387.5,387.5,4,0
20110927,325,325,325,325,4,0
20110929,387.5,387.5,387.5,387.5,2,0
20111024,387.5,387.5,387.5,387.5,2,0
20111103,325,325,300,300,20,0
20111117,425,425,425,425,2,0
20111128,425,425,425,425,6,0
20111130,400,400,400,400,88,0
20111206,325,325,325,325,10,0
20111208,425,425,425,425,10,0
20111215,325,325,325,325,10,0
20111221,325,325,325,325,10,0
20111223,200,200,200,200,10,0
20111227,200,325,200,325,20,0
20111230,425,425,425,425,4,0
20120126,250,250,250,250,10,0
20120201,300,300,300,300,16,0
20120213,300,300,300,300,10,0
20120216,375,375,375,375,10,0
20120221,350,350,350,350,10,0
20120302,425,425,425,425,6,0
20120314,102.5,400,102.5,400,26,0
20120319,375,375,375,375,10,0
20120327,400,512.5,375,375,16,0
20120330,500,500,500,500,2,0
20120402,500,512.5,500,512.5,33,0
20120418,512.5,512.5,512.5,512.5,4,0
20120425,375,525,375,525,502,0
20120426,375,375,375,375,300,0
20120427,362.5,362.5,362.5,362.5,10,0
20120503,300.5,300.5,300.5,300.5,30,0
20120509,375,375,375,375,10,0
20120517,255,255,250,250,10,0
20120518,245,245,225,225,42,0
20120521,350,350,337.5,337.5,10,0
20120529,212.5,212.5,212.5,212.5,12,0
20120530,225,324.5,225,324.5,16,0
20120531,230,250,225,225,1096,0
20120601,249.5,250,249.5,250,12,0
20120607,200,200,157.5,179.5,51,0
20120608,250,250,250,250,10,0
20120614,202.5,202.5,200,200,40,0
20120615,200,200,200,200,26,0
20120618,250,250,250,250,4,0
20120619,250,250,250,250,4,0
20120620,250,250,200,250,128,0
20120621,250,250,200.5,250,166,0
20120622,225,250,205,250,326,0
20120625,245,249.5,212.5,213.5,92,0
20120626,213.5,213.5,200,200.5,80,0
20120627,212.5,262.5,200,250,308,0
20120628,250,250,195,202.5,561,0
20120629,150,150,117.5,127.5,2501,0
20120702,120,130,102.5,120,2934,0
20120703,124,124,103.5,112.5,1931,0
20120705,110,110,88.5,99,1929,0
20120706,100,137,95,112.5,1786,0
20120709,117.5,139,107.5,107.5,1806,0
20120710,122.5,127,110.5,110.5,882,0
20120711,107.5,112.5,107.5,109,386,0
20120712,124,124.5,110,118,985,0
20120713,124.5,125.01,120,125,1450,0
20120716,125,125,119,124,1154,0
20120717,124.5,132,123,127.5,1549,0
20120718,129.5,129.5,124.5,127,1119,0
20120719,125,129,124.5,129,1377,0
20120720,125,130,100,112.5,3473,0
20120723,122.5,125,115.5,120,437,0
20120724,120,127,117.5,120,681,0
20120725,122.5,122.5,120,120,326,0
20120726,122.5,122.5,120,120,243,0
20120727,122,122.5,121.5,121.5,431,0
20120730,120,122.5,120,121,111,0
20120731,119,119.51,112.55,115,1004,0
20120801,121.5,121.5,103,112,766,0
20120802,107,111.43,97,105,710,0
20120803,109.5,110,105,105.5,269,0
20120806,107.5,108,105,105,407,0
20120807,104.5,110,104.5,110,34,0
20120808,107.5,107.5,106,106,4,0
20120809,111.5,111.5,106.01,111,90,0
20120810,107.5,111,107.5,110,54,0
20120813,110,114.5,110,112.25,236,0
20120814,112.5,125,112.3,124.68,1596,0
20120815,123.5,139.5,120,139.5,2677,0
