Date,Open,High,Low,Close,Volume,OpenInt
20140910,21.76,21.76,20.944,21.323,37213,0
20140911,21.255,21.274,20.468,20.468,42427,0
20140912,20.886,20.886,19.72,20.691,96827,0
20140915,20.866,21.08,20.691,20.895,19996,0
20140916,20.886,21.255,20.886,21.255,16493,0
20140917,21.128,21.226,20.983,21.07,15711,0
20140918,21.226,21.255,20.983,21.08,5379,0
20140919,21.177,21.255,20.895,21.099,5631,0
20140922,21.226,21.226,20.886,21.177,14772,0
20140923,21.128,21.128,20.934,20.983,8956,0
20140924,21.08,21.08,18.884,20.73,39849,0
20140925,20.206,20.876,20.206,20.643,6875,0
20140926,20.206,20.876,19.972,20.876,1337,0
20140929,19.972,20.371,19.972,20.371,976,0
20140930,20.303,20.39,19.914,20.079,10624,0
20141001,19.963,19.972,19.895,19.963,7309,0
20141002,19.681,19.72,19.234,19.72,3243,0
20141003,19.283,19.759,17.136,18.467,25487,0
20141006,18.506,18.506,16.3,17.573,26046,0
20141007,17.981,17.981,17.388,17.388,7515,0
20141008,17.388,17.486,17.388,17.476,12044,0
20141009,17,17.379,17,17.214,8235,0
20141010,17,17,16.918,17,1596,0
20141013,17.437,17.447,16.67,16.67,5404,0
20141014,16.611,16.65,16.514,16.514,7824,0
20141015,16.611,16.611,16.39,16.514,16754,0
20141016,18.311,18.36,18.166,18.263,1100,0
20141017,17.495,19.623,17.476,17.981,9275,0
20141020,18.214,18.214,18.214,18.214,1029,0
20141021,18.447,18.496,17.981,18.413,5287,0
20141022,18.506,18.506,18.447,18.447,2963,0
20141023,18.263,18.263,17.243,18.059,1081,0
20141024,17.592,17.592,17.592,17.592,257,0
20141027,17.602,18.214,17.583,18.214,5765,0
20141028,18.204,19.186,18.204,19.175,1544,0
20141029,19.74,19.75,18.25,19,4200,0
20141030,19,19,18.5,18.91,1100,0
20141031,18,18.913,17.77,18.75,3805,0
20141103,18.5,18.85,18.5,18.85,2700,0
20141105,18.15,18.25,17.96,18.25,4235,0
20141106,18.251,18.251,18.25,18.25,900,0
20141107,18.5,18.5,18.5,18.5,490,0
20141110,18.6,18.94,18.6,18.711,2033,0
20141111,18.65,18.9,18.21,18.9,1529,0
20141112,18.25,18.7,18.25,18.47,4157,0
20141113,18.94,19,18.94,19,1700,0
20141114,18.334,18.836,18,18.64,3220,0
20141117,18.79,18.79,18.1,18.15,3182,0
20141118,18.5,18.5,18.5,18.5,430,0
20141119,18.05,18.05,17.4,17.5,14771,0
20141120,17.5,18.05,17.5,18.05,1900,0
20141121,18.18,18.19,17.52,17.52,8000,0
20141124,17.8,17.85,17.52,17.53,8500,0
20141125,17.65,18.104,17.65,17.65,3660,0
20141126,17.55,17.75,17.45,17.75,4390,0
20141128,17.739,17.739,17.739,17.739,200,0
20141201,17.4,17.502,17.2,17.2,5390,0
20141202,17.21,17.5,17.2,17.2,2353,0
20141203,17.2,17.514,17,17.1,12208,0
20141204,16.95,16.95,16.83,16.83,1433,0
20141205,16.9,16.9,16.83,16.83,5650,0
20141208,16.9,16.9,16.52,16.75,21900,0
20141209,16.75,17.621,16.75,17.312,6737,0
20141210,16.85,16.86,16.5,16.51,12863,0
20141211,16.5,17,16.5,16.52,6988,0
20141212,16.53,16.96,16.5,16.51,2600,0
20141215,16.5,16.75,16.4,16.4,19062,0
20141216,16.31,16.49,16.31,16.49,900,0
20141217,16,16.8,16,16.8,11700,0
20141218,16,16.8,16,16.05,3500,0
20141219,16.01,17.5,16.01,17.49,6001,0
20141222,17,17,17,17,125,0
20141223,16.53,17.49,16.52,16.6,975,0
20141224,17.392,17.392,17.392,17.392,100,0
20141229,17.24,17.24,17.24,17.24,290,0
20141230,17.22,17.22,16.71,16.71,224,0
20141231,17.18,17.19,17,17,1830,0
20150102,17.12,17.12,17.12,17.12,100,0
20150105,17.2,17.21,17.16,17.21,400,0
20150106,17.2,17.2,17.2,17.2,100,0
20150108,17,17,17,17,2427,0
20150109,17.2,17.2,17.2,17.2,800,0
20150114,16.72,16.95,16.71,16.71,2100,0
20150116,16.76,17,16.76,17,2100,0
