Date,Open,High,Low,Close,Volume,OpenInt
20061026,6.8982,6.8982,6.8982,6.8982,516,0
20061031,6.9177,6.9177,6.9177,6.9177,516,0
20061102,6.9177,6.9177,6.8982,6.8982,10293,0
20061107,6.8982,6.8982,6.8982,6.8982,2575,0
20061109,6.9177,6.9177,6.9177,6.9177,5146,0
20061114,6.8982,6.8982,6.8982,6.8982,20585,0
20061115,6.8982,6.8982,6.8982,6.8982,2316,0
20061116,6.8982,6.9468,6.8982,6.9468,22126,0
20061117,6.9277,6.9468,6.9277,6.9468,5791,0
20061120,6.9277,6.9277,6.9081,6.9081,3704,0
20061121,6.8982,6.8982,6.8982,6.8982,25732,0
20061124,6.8982,6.8982,6.8982,6.8982,4630,0
20061128,6.9177,6.9177,6.9177,6.9177,51460,0
20061129,6.9177,6.9373,6.9177,6.9373,5146,0
20061201,6.9277,6.9373,6.9277,6.9373,13377,0
20061207,6.9373,6.9373,6.9277,6.9277,13377,0
20061211,6.9177,6.9277,6.8982,6.9277,25732,0
20061212,6.9277,6.9468,6.9277,6.9468,36887,0
20061213,6.9373,6.9468,6.9277,6.9468,24703,0
20061214,6.9373,6.9761,6.9373,6.9761,19453,0
20061215,6.9373,6.9373,6.9081,6.9177,15953,0
20061218,6.9564,6.9564,6.9564,6.9564,3253,0
20061219,6.9564,6.9564,6.9564,6.9564,4116,0
20061220,6.9564,6.9957,6.9564,6.9957,1028,0
20061221,6.9761,6.9761,6.9662,6.9662,1544,0
20061222,6.9957,6.9957,6.9957,6.9957,2059,0
20061226,6.9957,6.9957,6.9957,6.9957,1028,0
20061229,7.0246,7.0926,7.0052,7.0441,286129,0
20070103,7.0441,7.0926,7.0441,7.0926,6175,0
20070105,7.0926,7.0926,7.0926,7.0926,1028,0
20070108,7.0926,7.1413,7.0926,7.1413,10293,0
20070110,7.1413,7.1413,7.1413,7.1413,1028,0
20070111,7.1413,7.1413,7.1413,7.1413,413,0
20070116,7.1413,7.1413,7.1413,7.1413,2059,0
20070117,7.1413,7.1413,7.1413,7.1413,1028,0
20070124,7.1413,7.1413,7.1413,7.1413,21100,0
20070126,7.1413,7.1413,7.1122,7.1122,1028,0
20070130,7.1122,7.1122,7.0926,7.0926,1646,0
20070131,7.1122,7.1122,7.1122,7.1122,516,0
20070201,7.1122,7.1122,7.1122,7.1122,1028,0
20070208,7.1122,7.1122,7.1122,7.1122,3088,0
20070209,7.1413,7.1413,7.1413,7.1413,3088,0
20070214,7.287,7.3162,7.287,7.2966,11655,0
20070215,7.3162,7.3162,7.2774,7.2774,3114,0
20070216,7.2383,7.2383,7.1703,7.1703,2881,0
20070221,7.1606,7.1606,7.1413,7.1413,6667,0
20070222,7.1899,7.1899,7.1899,7.1899,2084,0
20070226,7.1899,7.1899,7.1899,7.1899,1028,0
20070227,7.1899,7.2189,7.1899,7.2189,16980,0
20070228,7.2286,7.2286,7.2286,7.2286,8234,0
