Date,Open,High,Low,Close,Volume,OpenInt
20050225,7.7443,7.7443,7.4334,7.4723,186543,0
20050228,7.3361,7.6278,7.3361,7.6278,36181,0
20050301,7.7151,7.7151,7.4528,7.4528,17890,0
20050302,7.3266,7.5792,7.3266,7.482,13047,0
20050303,7.5305,7.6763,7.3848,7.5207,32098,0
20050304,7.5499,7.6278,7.4917,7.4917,37903,0
20050307,7.4917,7.6278,7.4917,7.5985,26443,0
20050308,7.6858,7.7151,7.5207,7.5889,60493,0
20050309,7.5597,7.5792,7.5305,7.5694,15997,0
20050310,7.5597,7.6373,7.5404,7.5792,17952,0
20050311,7.6373,7.6763,7.5792,7.6083,15103,0
20050314,7.6763,7.7151,7.6179,7.6278,4913,0
20050315,7.7055,7.7055,7.6179,7.6278,14541,0
20050316,7.6278,7.7736,7.5305,7.7637,36123,0
20050317,7.7736,7.7929,7.6763,7.7736,17732,0
20050318,7.7736,7.7736,7.5694,7.5985,78266,0
20050321,7.5792,7.6763,7.4334,7.5111,18827,0
20050322,7.5499,7.5499,7.4334,7.4334,9633,0
20050323,7.4334,7.6763,7.239,7.239,31074,0
20050324,7.3557,7.5404,7.278,7.3361,2881,0
20050328,7.4723,7.4723,7.239,7.2973,5454,0
20050329,7.3166,7.4042,7.3166,7.3459,5635,0
20050330,7.2586,7.3751,7.0447,7.1127,24815,0
20050331,7.1711,7.1711,7.0836,7.1321,7497,0
20050401,7.5305,7.5305,7.0447,7.2002,4639,0
20050404,7.2294,7.2586,7.1903,7.2195,15341,0
20050405,7.2875,7.2875,7.1419,7.1419,2573,0
20050406,7.1419,7.2294,7.0447,7.1808,3097,0
20050407,7.2875,7.3945,7.2294,7.2875,12137,0
20050408,7.2002,7.2002,7.2002,7.2002,1802,0
20050411,7.1903,7.2586,7.1903,7.2586,4601,0
20050412,7.0836,7.2586,7.0836,7.2002,9516,0
20050413,7.3266,7.3266,7.1127,7.239,6174,0
20050414,7.0836,7.1224,7.0641,7.0836,22859,0
20050415,7.0933,7.0933,6.7046,6.763,14457,0
20050418,6.8017,6.8017,6.1216,6.384,169365,0
20050419,6.3061,6.4908,6.2284,6.3061,28261,0
20050420,6.3645,7.0933,6.3645,6.7532,32879,0
20050421,6.8989,7.0349,6.8116,6.8503,12331,0
20050422,6.8116,6.8116,6.4811,6.4811,15741,0
20050425,6.5199,6.7824,6.3452,6.5298,12328,0
20050426,6.5783,6.5783,6.5783,6.5783,101,0
20050427,6.4617,6.5783,6.4033,6.5589,9571,0
20050428,6.7046,6.7046,6.4423,6.4714,9844,0
20050429,6.6367,6.7532,6.4714,6.6074,25136,0
20050502,6.7726,6.7726,6.4423,6.452,25406,0
20050503,6.4617,6.5102,6.316,6.316,34380,0
20050504,6.384,7.278,6.2675,6.2965,69796,0
20050505,6.1993,6.4617,5.9369,6.4423,48145,0
20050506,6.5589,6.9281,6.5589,6.8017,34221,0
20050509,6.7046,6.9475,6.7046,6.8116,25933,0
20050510,6.7144,6.9475,6.7046,6.8211,12038,0
20050511,6.7337,6.8989,6.6172,6.8406,40219,0
20050512,6.7046,6.7435,6.7046,6.7046,6791,0
20050513,6.4228,6.5881,6.4228,6.4811,19114,0
20050516,6.5298,6.5783,6.3743,6.4423,33757,0
20050517,6.6074,6.6074,6.3354,6.384,29533,0
20050518,6.3937,6.6367,6.3548,6.4423,14959,0
20050519,6.5394,6.5977,6.0438,6.316,82269,0
20050520,6.316,6.4423,6.316,6.4131,21921,0
20050523,6.3452,6.6462,6.3061,6.4617,47687,0
20050524,6.4617,6.7046,6.2965,6.7046,40239,0
20050525,6.5977,6.8989,6.5977,6.8017,12865,0
20050526,6.8989,6.9087,6.3743,6.7144,25417,0
20050527,6.7144,6.7144,6.5686,6.6853,15643,0
20050531,6.831,6.9475,6.6754,6.8017,26682,0
20050601,6.3354,6.8989,6.3354,6.831,24857,0
20050602,6.8699,6.9961,6.8116,6.8699,11238,0
20050603,6.8503,7.0058,6.8503,6.9865,19913,0
20050606,7.0836,7.1903,7.0254,7.1613,4467,0
20050607,7.0933,7.3266,6.9961,7.2002,36895,0
20050608,7.2681,7.2681,7.1516,7.1516,8851,0
20050609,7.2099,7.2195,7.1711,7.2002,25729,0
20050610,7.9096,7.9096,7.5792,7.5792,73215,0
20050613,7.7736,7.8317,7.5792,7.8221,138859,0
20050614,7.6278,8.1038,7.6278,8.1038,89386,0
20050615,8.2301,8.2301,7.9581,8.0358,84504,0
20050616,8.0358,8.0358,7.9776,7.997,34057,0
20050617,7.5305,8.0553,7.4334,7.9191,60256,0
