Date,Open,High,Low,Close,Volume,OpenInt
20140128,9.01,9.01,9.01,9.01,200,0
20140207,9.75,10,9.75,10,400,0
20140212,10.24,10.24,10.23,10.23,1000,0
20140326,9.08,9.08,9.08,9.08,100,0
20140514,9.55,9.55,9.55,9.55,557,0
20140521,10,10,10,10,100,0
20140527,10.87,10.87,10.87,10.87,249,0
20140602,10.87,10.87,10.87,10.87,100,0
20140730,11.46,11.5,11.46,11.5,400,0
20140801,10.7,10.7,10.7,10.7,400,0
20140812,11.5,11.5,11.5,11.5,402,0
20140814,9.05,9.7,9.05,9.7,300,0
20140818,10.06,10.06,10.06,10.06,100,0
20141017,9.4999,9.4999,9.4999,9.4999,300,0
20141020,9.5,9.5,9.5,9.5,325,0
20141031,11,11,10.95,11,433,0
20141106,11,11,11,11,210,0
20141107,10.92,10.92,10.92,10.92,100,0
20141113,12,12.04,12,12.04,11462,0
20141114,12.03,12.03,11.91,12,3750,0
20141118,11.84,11.84,11.84,11.84,198,0
20141120,12.363,12.363,12.363,12.363,100,0
20141201,12.879,12.88,12.879,12.88,500,0
20141219,13.45,13.45,12.46,12.46,400,0
20141229,13,13,13,13,354,0
20141231,13,13,13,13,850,0
20150108,13.9,13.9,12.95,13.04,600,0
20150112,12.85,13,12.85,13,300,0
