Date,Open,High,Low,Close,Volume,OpenInt
20050225,10.939,11.052,10.939,10.991,4936,0
20050228,10.922,10.922,10.664,10.87,7650,0
20050303,10.741,10.741,10.639,10.741,1974,0
20050304,10.732,11.446,10.732,11.446,740,0
20050307,10.741,11.052,10.741,10.842,12026,0
20050309,10.842,10.842,10.761,10.842,1295,0
20050310,10.666,10.666,10.666,10.666,371,0
20050311,10.543,10.577,10.543,10.577,494,0
20050314,11.146,11.146,10.846,10.846,1481,0
20050315,10.846,10.972,10.842,10.874,3701,0
20050316,10.577,10.577,10.577,10.577,1727,0
20050317,11.146,11.146,10.112,10.235,1331,0
20050318,10.538,10.926,10.538,10.926,3249,0
20050321,10.619,10.619,10.619,10.619,986,0
20050322,10.577,10.577,10.577,10.577,494,0
20050323,10.577,10.577,10.577,10.577,244,0
20050328,10.862,10.911,10.862,10.89,2221,0
20050329,10.918,10.939,10.703,10.793,3456,0
20050330,10.639,10.639,10.577,10.577,1232,0
20050331,10.577,10.577,10.577,10.577,1395,0
20050401,10.577,10.577,10.239,10.239,4071,0
20050404,10.543,10.555,10.472,10.555,2269,0
20050405,10.558,10.817,10.558,10.597,3018,0
20050406,10.784,10.784,10.562,10.562,986,0
20050407,10.496,10.597,10.496,10.551,2221,0
20050408,10.776,10.776,10.776,10.776,314,0
20050411,10.776,10.776,10.586,10.761,4569,0
20050412,10.543,10.829,10.543,10.829,986,0
20050413,10.821,10.821,10.501,10.521,1727,0
20050415,10.797,10.797,10.246,10.456,2711,0
20050418,9.93,10.476,9.93,10.476,4207,0
20050419,10.209,10.209,10.209,10.209,244,0
20050420,10.156,10.801,10.156,10.761,4317,0
20050421,10.1,10.78,10.1,10.648,4242,0
20050422,10.582,10.582,10.577,10.577,542,0
20050425,10.577,10.623,10.577,10.577,2963,0
20050427,10.769,10.769,10.769,10.769,986,0
20050429,10.602,10.788,10.602,10.703,2960,0
20050502,10.793,10.793,10.703,10.703,809,0
20050503,11.028,11.028,10.577,10.577,754,0
20050504,10.577,10.577,10.218,10.218,4809,0
20050505,10.209,10.328,9.93,10.328,1753,0
20050510,10.197,10.197,10.197,10.197,244,0
20050513,11.632,11.632,11.551,11.551,8452,0
20050516,11.348,11.348,10.788,10.788,5747,0
20050517,10.619,10.635,10.294,10.635,3872,0
20050518,10.573,10.586,10.454,10.586,2470,0
20050519,10.59,10.59,10.582,10.582,887,0
20050520,10.476,10.476,10.476,10.476,986,0
20050523,10.521,10.521,10.48,10.48,740,0
20050524,10.476,10.476,10.476,10.476,740,0
20050525,10.476,10.707,10.476,10.707,620,0
20050526,10.476,10.918,10.416,10.918,3207,0
20050527,10.483,10.639,10.483,10.639,1232,0
20050531,10.918,10.918,10.918,10.918,494,0
20050602,10.577,10.597,10.476,10.577,14069,0
20050603,10.255,10.655,10.255,10.655,2879,0
20050606,10.655,10.66,10.655,10.66,986,0
20050607,10.691,10.691,10.691,10.691,1727,0
20050608,10.655,10.655,10.496,10.631,1232,0
20050609,10.558,10.558,10.251,10.258,4936,0
20050610,10.437,10.526,10.437,10.526,2221,0
20050613,10.526,10.526,10.441,10.456,3701,0
20050614,10.526,10.526,10.437,10.437,3948,0
20050615,10.521,10.521,10.336,10.336,752,0
20050616,10.456,10.623,10.456,10.569,3182,0
20050617,10.834,10.842,10.429,10.741,5181,0
20050620,10.543,10.543,10.543,10.543,794,0
20050621,10.619,10.619,10.619,10.619,986,0
20050622,10.558,10.675,10.558,10.675,849,0
20050623,10.675,10.699,10.675,10.699,726,0
20050624,10.753,10.854,10.753,10.854,1481,0
20050628,10.851,10.854,10.842,10.842,1727,0
20050629,10.842,10.854,10.821,10.821,1554,0
20050630,10.46,10.788,10.46,10.639,16332,0
20050701,10.699,10.741,10.699,10.741,4009,0
20050705,10.829,10.829,10.644,10.648,5417,0
20050706,10.619,10.821,10.619,10.788,7009,0
20050707,10.821,10.821,10.382,10.382,2721,0
20050708,10.757,10.776,10.757,10.757,2468,0
20050711,10.741,10.784,10.741,10.784,1331,0
20050712,10.808,10.829,10.741,10.829,2468,0
