Date,Open,High,Low,Close,Volume,OpenInt
20051125,1.67,1.67,1.67,1.67,480,0
20060203,2.5,2.5,2.5,2.5,240,0
20060224,2.33,2.33,2.33,2.33,300,0
20060315,2.33,2.33,2.33,2.33,300,0
20060511,2.5,2.5,2.5,2.5,300,0
20060616,2.67,2.67,2.67,2.67,300,0
20060707,2.67,2.67,2.67,2.67,780,0
20060807,2.83,2.83,2.83,2.83,300,0
20060822,2.5,2.5,2.5,2.5,120,0
20060907,2.5,2.5,2.17,2.17,1500,0
20060913,2.83,2.83,2.83,2.83,60,0
20061002,2.17,2.17,2.17,2.17,480,0
20061003,2.17,2.17,2.17,2.17,480,0
20061016,2.17,2.17,2.17,2.17,600,0
20061025,2.17,2.17,2.17,2.17,180,0
20061027,2.17,2.17,2.17,2.17,60,0
20061206,3.33,3.33,3.33,3.33,30,0
20061212,3.33,3.33,3.33,3.33,150,0
20061215,2.67,2.67,2.67,2.67,240,0
20061228,2.33,2.33,2.33,2.33,720,0
20061229,2.33,2.33,2.33,2.33,720,0
20070103,0.67,2.17,0.67,2.17,942,0
20070109,3.5,3.5,3.5,3.5,150,0
20070126,3.5,3.5,3.5,3.5,150,0
20070305,2,2,2,2,1500,0
20070306,2,2,2,2,1500,0
20070308,2,3.5,2,3.5,1500,0
20070315,3.37,3.37,3.37,3.37,300,0
20070405,3.33,3.33,3.33,3.33,90,0
20070425,2,2,1.7,1.7,3000,0
20070426,2.5,2.5,2.5,2.5,435,0
20070427,1.83,1.83,1.83,1.83,135,0
20070503,1.83,1.83,1.83,1.83,1800,0
20070508,2.5,2.5,2.5,2.5,300,0
20070509,2.5,2.5,2.5,2.5,300,0
20070517,2.5,2.5,2.5,2.5,90,0
20070523,1.83,1.83,1.83,1.83,1500,0
20070604,1.83,1.83,1.83,1.83,1500,0
20070607,1.83,1.83,1.7,1.7,2250,0
20070611,1.7,1.7,1.5,1.5,6000,0
20070613,1.57,1.57,1.57,1.57,60,0
20070625,1.57,1.57,1.57,1.57,60,0
20070626,1.83,1.83,1.83,1.83,600,0
20070627,1.83,1.83,1.83,1.83,300,0
20070709,1.67,1.67,1.67,1.67,630,0
20070710,1.5,1.5,1.5,1.5,3000,0
20070716,1.5,1.77,1.5,1.77,12750,0
20070718,2,2,1.97,1.97,6000,0
20070723,2.17,3.37,2.17,2.17,2550,0
20070725,2.17,2.17,2.17,2.17,3352,0
20070802,1.87,1.87,1.87,1.87,3750,0
20070815,1.87,3.37,1.87,3.37,120,0
20070816,3.37,3.37,2.5,3.37,1476,0
20070817,3.37,3.37,3.37,3.37,300,0
20070829,1.7,3.45,1.7,3.45,175,0
20070831,4,4,4,4,15,0
20070904,4,4,2.9,2.9,254,0
20070905,3,3,3,3,216,0
20070906,3,3,2,2.5,1740,0
20070917,2,2,2,2,500,0
20070918,2,2,2,2,1000,0
20070920,2,2.5,2,2.5,1160,0
20070921,2.5,2.5,2.5,2.5,500,0
20070924,2.2,2.2,2.2,2.2,310,0
20070925,2.2,2.2,2.2,2.2,500,0
20070928,3.3,3.3,3.3,3.3,648,0
20071002,2,2,2,2,500,0
20071008,2.1,2.1,2.1,2.1,260,0
20071009,2.5,2.5,2,2,2420,0
20071012,3.3,3.3,2.5,3.3,2967,0
20071015,3.5,3.5,3.5,3.5,250,0
20071017,2.1,2.3,2.1,2.3,370,0
20071019,2.5,2.5,2.5,2.5,410,0
20071023,2.6,2.6,2.6,2.6,410,0
20071024,2.6,2.6,2.6,2.6,1000,0
20071025,2.6,2.6,2.6,2.6,500,0
20071026,2.6,2.6,2.6,2.6,500,0
20071029,2.6,2.6,2.6,2.6,2500,0
20071030,2.3,2.6,2.3,2.6,1500,0
20071031,2,2.6,2,2.1,5737,0
20071102,2.4,2.4,2.4,2.4,1000,0
20071105,2.5,2.5,1.5,2,2160,0
20071106,2.6,3.5,2.5,3.5,1220,0
20071107,3.5,3.5,2.6,2.6,1125,0
20071108,2.5,3.5,2.5,3.5,2247,0
20071109,2.7,2.7,2.7,2.7,1720,0
20071112,3.5,3.5,2.7,2.7,2100,0
20071113,2.8,2.9,2.5,2.5,650,0
20071114,2.8,2.8,2.8,2.8,1050,0
20071115,2.2,2.2,1.5,2.2,1590,0
20071116,2.2,2.3,2,2,980,0
20071119,2,2,2,2,500,0
20071120,2.2,2.2,2.2,2.2,1000,0
20071121,2.2,2.2,2.2,2.2,3100,0
20071123,2.2,2.2,2.2,2.2,1000,0
20071126,2.3,2.3,2.2,2.3,3500,0
20071127,1.6,1.6,1.6,1.6,500,0
20071128,2,2,2,2,210,0
20071129,1.2,1.9,1.2,1.9,800,0
20071203,1.9,1.9,1.9,1.9,1000,0
20071205,1.2,2.9,1.2,2.9,1455,0
20071206,1.5,1.5,1.5,1.5,200,0
20071207,2.9,2.9,2.9,2.9,500,0
20071211,2.8,2.8,2.8,2.8,500,0
20071218,1.6,1.6,1.6,1.6,100,0
20080102,1.6,1.6,1.6,1.6,500,0
20080104,1.6,1.6,1.6,1.6,100,0
20080107,2.8,2.8,2.2,2.2,3660,0
20080114,2.7,2.7,2,2,1430,0
20080115,2.5,2.5,2.5,2.5,80,0
20080116,2.5,2.8,2,2.8,8060,0
20080118,2,3,2,2.5,3600,0
20080122,3.4,4.5,1.5,1.5,6560,0
20080123,3.5,3.5,3.3,3.3,1740,0
20080204,2.5,2.5,2.5,2.5,500,0
20080205,2.6,2.6,2.5,2.5,2000,0
20080206,2.5,2.5,2.5,2.5,500,0
20080207,2.5,2.6,2.5,2.5,1390,0
20080208,2.3,2.5,2.2,2.5,1550,0
20080227,2.5,2.5,2.5,2.5,1000,0
20080303,2,2.5,2,2.5,1540,0
20080326,1.2,1.2,1.1,1.1,1000,0
20080327,2,2.8,2,2,2200,0
20080403,2,2,2,2,1740,0
20080410,2,2,2,2,500,0
20080411,2,2,2,2,120,0
20080416,1.4,1.4,1.4,1.4,500,0
20080418,2,2,2,2,1000,0
20080429,2,2,2,2,300,0
20080430,2,2,2,2,500,0
20080505,2.4,2.4,2.4,2.4,200,0
20080513,2.5,2.5,1.1,1.1,300,0
20080515,2.2,2.2,2.2,2.2,30,0
20080516,2.2,2.2,2,2,2530,0
20080519,2.5,2.5,2.5,2.5,500,0
20080530,1.4,1.4,1.4,1.4,300,0
20080602,2.3,2.3,2.3,2.3,400,0
20080604,2.3,2.3,2.3,2.3,500,0
20080609,2,2,2,2,740,0
20080612,2.2,2.2,2.2,2.2,500,0
20080613,2.3,3,2.3,2.5,3730,0
20080616,2.3,2.3,2.3,2.3,2062,0
20080617,2,2.2,2,2,1350,0
20080618,2.2,2.5,2,2.5,2100,0
20080619,2,2,2,2,500,0
20080620,2,2,1.7,2,650,0
20080707,2.5,2.5,1.6,2.5,1740,0
20080708,2.5,2.5,2.5,2.5,500,0
20080709,2,2.4,2,2,5000,0
20080710,2.4,2.4,2,2,2920,0
20080711,2,2.5,2,2,1400,0
20080714,2,2,2,2,1000,0
20080715,2,2,2,2,500,0
20080716,2.5,2.5,2.5,2.5,400,0
20080717,2.5,2.5,2.5,2.5,20,0
20080718,2.5,2.5,2.5,2.5,20,0
20080722,1.5,2,1.2,2,800,0
20080724,2.5,2.5,2.5,2.5,90,0
20080725,2.5,2.5,2.5,2.5,40,0
20080728,2.5,2.5,2.5,2.5,10,0
20080729,2.5,2.5,2.5,2.5,536,0
20080801,2,2,2,2,500,0
20080805,2,2,2,2,500,0
20080808,1.6,2,1.6,2,2180,0
20080812,2,2,2,2,1080,0
20080813,2,2,2,2,510,0
20080818,2.4,2.4,1.9,2,116,0
20080822,2.1,2.1,2.1,2.1,500,0
20080825,2,2,2,2,80,0
20080826,2.1,2.1,2.1,2.1,370,0
20080827,2.5,3.5,2.4,3.5,5610,0
20080828,4,4,2.5,3.5,5085,0
20080829,2.6,3.5,2.5,3.5,4170,0
20080902,3,3,2.5,3,5600,0
20080903,3.5,3.5,2.5,2.5,30,0
20080904,2.7,3.5,2.5,3,4068,0
20080905,3.3,3.3,3,3,850,0
20080908,2.9,2.9,2.5,2.9,1575,0
20080909,2.5,2.5,2.5,2.5,1100,0
20080910,2.5,2.5,2.5,2.5,1000,0
20080911,2.8,2.8,2.5,2.5,2590,0
