Date,Open,High,Low,Close,Volume,OpenInt
20141029,17.75,17.97,15.99,16.75,3761733,0
20141030,16.6,18.5,16.15,17.69,355556,0
20141031,18.84,18.84,17.153,17.8,120037,0
20141103,17.5,18.1,17.168,17.5,178987,0
20141104,17.55,18.18,17.24,18.04,136470,0
20141105,17.76,18.19,17.69,17.97,45517,0
20141106,17.57,18.44,17.57,18.3,143322,0
20141107,18.12,18.19,17.61,18,54023,0
20141110,18,18,17.27,18,179282,0
20141111,17.61,18,17.5,17.71,78687,0
20141112,17.78,17.81,17.27,17.5,147487,0
20141113,17.25,17.89,16.65,17.26,66441,0
20141114,17.4,17.4,16.56,17,64830,0
20141117,17.54,17.75,17,17.37,54044,0
20141118,17.55,17.74,17.15,17.31,59247,0
20141119,19.99,19.99,16.83,17.02,54835,0
20141120,17.4,17.4,17.03,17.34,61775,0
20141121,17.4,17.87,17.138,17.64,133772,0
20141124,17.5,17.73,17,17.33,57963,0
20141125,17.44,17.9,17.3,17.62,66821,0
20141126,17.75,17.855,17.23,17.7,72450,0
20141128,17.85,17.95,17.11,17.37,59399,0
20141201,17.38,17.795,17.24,17.42,34191,0
20141202,17.56,17.72,17.16,17.39,65595,0
20141203,17.29,17.77,17.13,17.7,30442,0
20141204,17.48,17.75,17.36,17.55,95681,0
20141205,17.49,17.87,17.19,17.37,51332,0
20141208,17.43,17.63,15.361,16.585,140201,0
20141209,16.09,16.888,15.813,16.51,75947,0
20141210,16.58,16.62,16,16.13,60217,0
20141211,15.83,16.46,15.83,16.07,68883,0
20141212,16,16,12.53,15.39,75098,0
20141215,16.898,16.898,15.28,15.43,71629,0
20141216,15.53,15.85,15.25,15.29,123081,0
20141217,15.28,15.6,15.16,15.56,176772,0
20141218,15.82,17.14,15.52,16.58,132992,0
20141219,16.5,17.76,16.5,17.26,901321,0
20141222,17.22,17.58,16.478,17.05,71988,0
20141223,18.05,18.05,15.78,16.43,63723,0
20141224,16.4,16.6,15.382,16.19,62620,0
20141226,16.29,16.86,16.045,16.33,15793,0
20141229,16.24,16.84,15.86,16.46,43873,0
20141230,16.63,17.23,16.55,16.77,59103,0
20141231,16.6,17.26,15.625,16.79,98172,0
20150102,16.78,17.154,16.19,16.53,57292,0
20150105,16.13,16.8,15.61,15.74,119209,0
20150106,15.84,15.84,14.74,14.94,81651,0
20150107,14.016,15.91,14.016,15.67,54755,0
20150108,15.79,16.68,15.7,16.25,36693,0
20150109,16.33,16.66,15.52,16.01,28699,0
20150112,15.98,16.09,15.325,15.59,15262,0
20150113,15.81,16.215,15.17,15.96,34097,0
20150114,15.7,16.165,15.55,15.78,20578,0
20150115,16.03,16.76,15.39,16.21,41367,0
20150116,16.13,16.7,15.755,16.43,58012,0
