Date,Open,High,Low,Close,Volume,OpenInt
20141105,11.59,11.84,11.59,11.84,3069,0
20141107,11.49,11.49,10.341,10.991,35963,0
20141110,11.111,11.111,11.111,11.111,218,0
20141112,11.74,11.84,11.141,11.44,3472,0
20141117,11.061,11.275,11.061,11.275,1613,0
20141118,11.061,11.73,11.051,11.73,8110,0
20141119,11.091,11.49,10.991,11.49,11571,0
20141120,11.091,11.49,11.091,11.49,3151,0
20141121,11.48,11.49,11.225,11.24,15088,0
20141124,11.24,11.34,11.24,11.24,861,0
20141125,11.47,11.49,11.24,11.49,355586,0
20141126,11.74,11.74,11.49,11.49,261533,0
20141128,11.74,11.79,11.74,11.79,16274,0
20141201,11.28,11.79,11.011,11.49,23821,0
20141202,11.59,11.59,11.461,11.49,57659,0
20141203,11.56,11.74,11.4,11.68,240918,0
20141204,11.74,11.74,11.48,11.64,41164,0
20141205,11.63,11.84,11.55,11.79,267433,0
20141208,11.79,11.84,11.665,11.79,168800,0
20141209,11.79,11.84,11.72,11.74,146185,0
20141210,11.8,11.84,11.65,11.78,114095,0
20141211,11.8,11.85,11.69,11.75,114568,0
20141212,11.8,11.83,11.615,11.75,104121,0
20141215,11.8,12.64,11.52,11.7,140112,0
20141216,12.01,12.24,11.8,11.95,289859,0
20141217,12,12.4,11.7,11.81,199676,0
20141218,12,12.03,11.76,11.9,616280,0
20141219,11.94,12,11.67,11.9,3593935,0
20141222,11.86,12.05,11.84,11.99,309672,0
20141223,12.09,12.7,11.92,12.1,231022,0
20141224,12.1,12.1,11.97,12,35661,0
20141226,12.07,12.2,11.47,12.13,139503,0
20141229,12.13,13.13,12.1,12.69,141995,0
20141230,12.6,12.7,12,12.6,93941,0
20141231,12.36,12.36,11.45,11.98,338304,0
20150102,11.85,12.28,11.84,12.25,71584,0
20150105,12.19,12.64,11.55,12.07,341429,0
20150106,11.85,12.115,11.288,11.38,125804,0
20150107,11.32,11.49,11.17,11.35,269176,0
20150108,11.35,11.39,11.06,11.25,74892,0
20150109,11.17,11.22,10.79,10.83,22965,0
20150112,10.86,11.17,10.51,11.11,40848,0
20150113,11.19,11.27,10.74,11.21,84488,0
20150114,11.12,11.12,10.87,10.98,79566,0
20150115,10.51,11,9.81,10.1,176159,0
20150116,10.05,10.15,9.98,10.08,95692,0
