Date,Open,High,Low,Close,Volume,OpenInt
20140812,0.28,0.28,0.28,0.28,3600,0
20140819,0.28,0.29,0.28,0.29,5500,0
20140820,0.26,0.26,0.26,0.26,28100,0
20140822,0.27,0.27,0.27,0.27,1600,0
20140825,0.25,0.25,0.243,0.25,68700,0
20140826,0.25,0.25,0.25,0.25,33600,0
20140828,0.24,0.24,0.24,0.24,40000,0
20140829,0.25,0.25,0.24,0.24,45000,0
20140902,0.23,0.24,0.23,0.24,47300,0
20140903,0.24,0.24,0.24,0.24,17900,0
20140925,0.25,0.25,0.25,0.25,8800,0
20141022,0.23,0.23,0.23,0.23,7900,0
20141023,0.23,0.23,0.23,0.23,7800,0
20141029,0.23,0.23,0.21,0.21,5000,0
20141119,0.22,0.22,0.22,0.22,8000,0
20141120,0.22,0.22,0.22,0.22,1000,0
20141121,0.22,0.22,0.22,0.22,120020,0
20141124,0.2,0.2,0.2,0.2,200,0
20141126,0.21,0.21,0.21,0.21,1000,0
20141203,0.21,0.21,0.21,0.21,600,0
20141205,0.21,0.21,0.21,0.21,950,0
