Date,Open,High,Low,Close,Volume,OpenInt
20120628,0.25,0.25,0.25,0.25,20000,0
20120629,0.25,0.25,0.25,0.25,20000,0
20120706,0.25,0.25,0.25,0.25,45000,0
20120716,0.21,0.21,0.21,0.21,75000,0
20120719,0.21,0.21,0.21,0.21,15000,0
20120724,0.25,0.25,0.25,0.25,50000,0
20121003,0.25,0.25,0.25,0.25,400,0
20121025,0.22,0.22,0.22,0.22,10000,0
20121129,0.1801,0.1801,0.18,0.18,8400,0
20121211,0.13,0.14,0.13,0.13,1300,0
20121214,0.1501,0.1501,0.1501,0.1501,200,0
20121228,0.169,0.169,0.169,0.169,100,0
20121231,0.25,0.25,0.15,0.25,1100,0
20130102,0.13,0.13,0.13,0.13,500,0
20130108,0.25,0.25,0.25,0.25,100,0
20130124,0.25,0.25,0.25,0.25,52500,0
20130129,0.23,0.23,0.23,0.23,1000,0
20130219,0.2,0.2,0.2,0.2,500,0
20130221,0.27,0.27,0.27,0.27,100,0
20130225,0.19,0.19,0.19,0.19,7000,0
20130301,0.247,0.27,0.247,0.27,200,0
20130305,0.2,0.2,0.1999,0.2,12000,0
20130312,0.2,0.2,0.2,0.2,1000,0
20130325,0.1301,0.1301,0.1301,0.1301,100,0
20130326,0.2,0.2,0.2,0.2,100,0
20130328,0.15,0.15,0.15,0.15,21300,0
20130411,0.2,0.2,0.2,0.2,18900,0
20130423,0.2,0.2,0.2,0.2,51100,0
20130424,0.2,0.2,0.2,0.2,14500,0
20130425,0.2,0.2,0.2,0.2,24250,0
20130503,0.2,0.2,0.2,0.2,18300,0
20130515,0.17,0.17,0.17,0.17,100,0
20130516,0.2,0.2,0.2,0.2,31000,0
20130517,0.2,0.2,0.2,0.2,31900,0
20130522,0.2,0.2,0.2,0.2,17800,0
20130531,0.25,0.25,0.19,0.24,9290,0
20130603,0.24,0.24,0.24,0.24,400,0
20130605,0.17,0.24,0.17,0.17,450,0
20130607,0.21,0.24,0.2,0.24,800,0
20130723,0.18,0.25,0.18,0.25,19900,0
20130724,0.25,0.25,0.25,0.25,25000,0
20130814,0.25,0.25,0.25,0.25,2000,0
20130819,0.26,0.51,0.26,0.5,326204,0
20130820,0.5,0.5,0.43,0.43,151260,0
20130821,0.43,0.43,0.402,0.41,47400,0
20130822,0.47,0.47,0.4599,0.4599,5970,0
20130823,0.4,0.41,0.4,0.4,9600,0
20130826,0.42,0.44,0.42,0.44,600,0
20130827,0.45,0.45,0.43,0.45,20800,0
20130828,0.47,0.47,0.46,0.46,53500,0
20130829,0.43,0.43,0.43,0.43,6400,0
20130830,0.46,0.46,0.46,0.46,4800,0
20130903,0.46,0.46,0.46,0.46,7400,0
20130904,0.46,0.46,0.46,0.46,4700,0
20130905,0.46,0.5,0.46,0.5,3430,0
20130906,0.5,0.5,0.48,0.48,95920,0
20130911,0.5,0.5,0.5,0.5,1500,0
20130912,0.461,0.461,0.46,0.46,4000,0
20130916,0.54,0.6,0.5,0.6,45800,0
20130917,0.5001,0.5001,0.5,0.5,3600,0
20130918,0.48,0.504,0.4,0.48,86200,0
20130919,0.45,0.4789,0.45,0.4789,6000,0
20130920,0.42,0.42,0.29,0.4,98400,0
20130925,0.42,0.42,0.3999,0.4,4400,0
20130926,0.4,0.43,0.4,0.42,10300,0
20130927,0.42,0.54,0.42,0.5,18300,0
20130930,0.55,0.6,0.5,0.6,26400,0
20131001,0.6,0.64,0.55,0.58,31500,0
20131002,0.55,0.55,0.55,0.55,9800,0
20131004,0.6,0.6,0.6,0.6,1900,0
20131011,0.53,0.57,0.519,0.57,58016,0
20131014,0.57,0.57,0.57,0.57,4000,0
20131021,0.58,0.58,0.58,0.58,100,0
20131022,0.58,0.6,0.58,0.59,14800,0
20131025,0.5001,0.55,0.5,0.5001,1500,0
20131029,0.5,0.5,0.5,0.5,2000,0
20131101,0.48,0.48,0.48,0.48,500,0
20131104,0.52,0.52,0.52,0.52,8900,0
20131106,0.5,0.6,0.5,0.6,20000,0
20131107,0.54,0.55,0.51,0.51,7100,0
20131112,0.48,0.48,0.48,0.48,500,0
20131114,0.5,0.57,0.48,0.57,15200,0
20131120,0.54,0.54,0.54,0.54,400,0
20131125,0.5,0.5,0.5,0.5,10100,0
20131126,0.5,0.5,0.49,0.5,217900,0
20131127,0.5,0.5,0.5,0.5,100000,0
20131202,0.56,0.56,0.56,0.56,1200,0
20131203,0.51,0.51,0.5,0.5,127350,0
20131204,0.45,0.51,0.45,0.5,54800,0
20131205,0.51,0.85,0.5,0.85,67300,0
20131206,0.95,0.95,0.88,0.9,95400,0
20131209,0.94,0.94,0.8888,0.8888,13935,0
20131210,0.76,0.94,0.76,0.92,837700,0
20131211,0.91,0.91,0.85,0.85,16500,0
20131212,0.89,0.89,0.89,0.89,950,0
20131213,0.88,0.88,0.88,0.88,300,0
20131216,0.95,0.95,0.89,0.89,21600,0
20131217,0.88,0.88,0.88,0.88,1900,0
20131218,0.67,0.8,0.67,0.8,12700,0
20131219,0.71,0.84,0.69,0.71,51100,0
20131220,0.8,1.21,0.8,1.21,232900,0
20131223,1.25,1.45,1.2,1.3,16700,0
20131224,1.2,1.201,1.08,1.08,11600,0
20131226,1.08,1.3,1.08,1.28,2200,0
20131227,1.16,1.28,1.16,1.28,7500,0
20131230,1.1,1.1,1.1,1.1,4600,0
20131231,1.2,1.27,1.08,1.27,16400,0
20140102,1.2,1.25,1.2,1.2,8500,0
20140103,1.1,1.2,1.0835,1.0835,2700,0
20140106,1.38,1.75,1.25,1.55,179600,0
20140107,1.6,1.7,1.58,1.59,69416,0
20140108,1.65,1.65,1.52,1.6,32164,0
20140109,1.61,1.81,1.59,1.65,29058,0
20140110,1.56,1.65,1.56,1.64,2600,0
20140113,1.65,1.65,1.5,1.64,12100,0
20140114,1.56,1.73,1.56,1.63,4000,0
20140115,1.6,1.7,1.55,1.67,49000,0
20140116,1.7,1.88,1.7,1.75,68700,0
20140117,1.75,1.94,1.75,1.83,66600,0
20140121,2,2,1.94,1.94,32700,0
20140122,1.95,2,1.94,2,55900,0
20140123,2,2,1.89,1.97,23400,0
20140124,2,2,1.9,1.9,2700,0
20140127,1.87,1.87,1.7,1.85,2900,0
20140128,1.85,1.85,1.85,1.85,4800,0
20140129,1.66,1.85,1.66,1.85,3100,0
20140130,1.8,1.8,1.8,1.8,3800,0
20140131,1.9,1.9,1.85,1.85,13418,0
20140205,1.65,1.65,1.65,1.65,440,0
20140206,1.75,1.75,1.65,1.75,11116,0
20140211,1.75,1.9,1.65,1.65,31005,0
20140212,1.75,1.85,1.75,1.75,7245,0
20140213,1.75,2.08,1.75,2,89925,0
20140214,2.04,2.04,2,2.04,27727,0
20140218,2,2.1,2,2.1,69500,0
20140219,2.05,2.16,2.05,2.16,7100,0
20140220,2.2,2.2,2.2,2.2,13400,0
20140221,2.15,2.2,2.15,2.2,450,0
20140224,2.2,2.41,2.16,2.38,28520,0
20140225,2.35,2.5,2.2,2.47,14357,0
20140226,2.5,2.5,2.5,2.5,10000,0
20140227,2.5,2.5,2.5,2.5,1500,0
20140228,2.45,2.45,2.45,2.45,1500,0
20140303,2.4,2.5,2.4,2.5,800,0
20140304,2.5,2.75,2.5,2.6,26956,0
20140305,2.6,2.6,2.6,2.6,1668,0
20140306,2.7,2.9,2.7,2.9,16556,0
20140307,2.9,2.95,2.85,2.9,12400,0
20140310,2.31,2.6,2.31,2.6,4000,0
20140311,2.7,2.7,2.7,2.7,100,0
20140313,2.5,2.5,2.5,2.5,1500,0
20140318,2.5,2.5,2.45,2.45,10000,0
20140320,2.42,2.42,2.42,2.42,2235,0
20140321,2.7,2.7,2.7,2.7,100,0
20140326,2.55,2.55,2.55,2.55,1000,0
20140331,2.85,2.9,2.85,2.85,15000,0
20140404,2.9,2.9,2.9,2.9,100,0
20140407,2.65,2.9,2.65,2.9,3151,0
20140411,2.67,2.75,2.67,2.75,3000,0
20140414,2.9,3,2.9,3,200,0
20140416,2.76,2.9,2.76,2.9,3000,0
20140417,2.75,2.98,2.65,2.98,7795,0
20140421,2.75,3,2.75,2.85,46400,0
20140422,2.94,2.94,2.94,2.94,135,0
20140423,2.86,2.86,2.84,2.85,2175,0
