Date,Open,High,Low,Close,Volume,OpenInt
20101203,950.1,950.1,914.1,914.1,460,0
20101207,871,873.7,864.3,873.7,230,0
20101209,858.9,858.9,858.9,858.9,20,0
20101210,829,829,798.8,798.8,144,0
20101213,784.6,784.6,784.6,784.6,40,0
20101214,806.2,806.2,806.2,806.2,20,0
20101216,805.3,805.3,805.3,805.3,20,0
20101221,772.3,772.5,772.3,772.4,110,0
20101223,801.4,801.4,801.4,801.4,10,0
20101228,815.1,815.1,815.1,815.1,20,0
20101230,818.2,818.2,818.2,818.2,20,0
20110104,804.4,813.4,804.4,813.4,140,0
20110105,797.3,797.3,797.3,797.3,10,0
20110106,777.5,777.5,777.5,777.5,100,0
20110107,772,772,772,772,40,0
20110110,798.2,798.2,780,780,20,0
20110111,770.6,772.6,770.6,772.6,30,0
20110112,755.9,756,735.6,739.3,400,0
20110119,706.5,711.7,706.5,711.7,40,0
20110124,682.6,682.6,682.6,682.6,10,0
20110128,629.1,660.1,629.1,653,600,0
20110131,646.1,646.1,645.2,645.2,23,0
20110201,608.6,608.6,608.6,608.6,10,0
20110207,557.2,560.9,555.6,555.7,800,0
20110208,548,548,545,545,762,0
20110209,537.4,537.4,537.4,537.4,200,0
20110211,519.1,519.1,512.1,512.1,40,0
20110216,519.7,519.7,519.7,519.7,40,0
20110218,563.1,563.1,562.4,562.4,70,0
20110222,603,628.9,577,625.5,667,0
20110223,624.3,634.5,619.7,633.4,120,0
20110224,665.8,667,633.9,649.6,255,0
20110225,623.7,623.7,611.1,611.1,248,0
20110301,624,624,622,622,110,0
20110302,629.9,629.9,629.9,629.9,10,0
20110303,600,600,597.7,597.7,100,0
20110304,630.3,630.3,630.3,630.3,10,0
20110307,599.7,643,599.7,643,257,0
20110308,645.5,647.3,631.7,631.7,203,0
20110310,660,660,660,660,60,0
20110311,668,668,668,668,10,0
20110315,707.3,734.8,707.2,709.4,100,0
20110316,693.5,763.4,692.4,744.6,303,0
20110317,697.6,714.5,696.9,714.5,110,0
20110318,658.8,676.3,658.8,668.7,178,0
20110321,607.2,607.2,607.2,607.2,50,0
20110322,602.9,603.7,601.5,603.7,70,0
20110323,594,594,594,594,10,0
20110329,591,591,591,591,10,0
20110331,561,561,561,561,10,0
20110404,555.5,555.5,555.5,555.5,20,0
20110406,558.5,558.5,558.5,558.5,50,0
20110411,589,589,585.9,585.9,100,0
20110412,599.1,601.5,590.5,592.9,540,0
20110413,581.3,595.1,580.4,593,270,0
20110414,593.4,593.4,580.4,581,240,0
20110415,572.6,581.5,572.6,581.5,60,0
20110418,612,612,593.7,595.9,280,0
20110419,584,584,575.6,575.6,280,0
20110420,557.4,566.3,553.8,559.2,380,0
20110421,557,562,552.6,552.6,158,0
20110425,534.9,536.4,528.5,536.2,180,0
20110426,525.4,527.4,518.1,518.4,200,0
20110427,525.2,525.3,500.2,503.2,450,0
20110428,504.7,509.2,497.4,497.5,432,0
20110429,490.2,495.4,489.1,495.4,260,0
20110502,487.5,500.8,481.4,500.7,180,0
20110504,525.5,534.4,520.9,520.9,185,0
20110505,535.3,537.6,518.3,537.6,710,0
20110506,508.7,522,508.7,519.5,130,0
20110509,518.2,518.2,506.9,506.9,60,0
20110510,497.1,497.1,489.3,490,60,0
20110511,489.2,506.1,489.2,504.2,150,0
20110512,502.8,502.8,487.7,492.9,140,0
20110513,511.7,511.7,504,506.2,130,0
20110516,506.4,508,493.9,508,610,0
20110517,515.2,521.4,500.4,500.4,260,0
20110518,490,491.9,483.1,484.1,150,0
20110519,488.8,492.6,487.5,489.9,60,0
20110520,503.5,508,496.7,506.8,90,0
20110523,527.7,527.7,526.1,526.1,510,0
20110524,518.7,521.8,516,520.5,620,0
20110526,512.8,512.8,497.1,497.1,130,0
20110527,480,483.7,472.2,483.7,180,0
20110531,462.7,462.7,459.5,461.6,60,0
20110602,485.8,487.3,475.9,479.1,390,0
20110603,490.3,490.3,473.5,477.6,270,0
20110606,480,496.4,479,490.6,300,0
20110607,494,494,475.9,475.9,452,0
20110608,486.8,489.8,479.9,482.8,16939,0
20110609,477,477,470.3,470.3,140,0
20110610,479,498.4,479,495.2,5460,0
20110613,488.4,509.5,483.3,494.3,5320,0
20110614,475.7,475.7,466.2,474,3096,0
20110615,484.3,511.4,483.4,508.9,1280,0
20110616,512.6,573.4,510.6,550.2,5481,0
20110617,534.5,544.9,521.3,534.7,4462,0
20110620,543.7,543.7,512.1,514.7,2177,0
20110621,498.5,499.8,492,499.8,388,0
20110622,486.7,503.8,486.7,503.8,1053,0
20110623,540,549.2,509,509,945,0
20110624,510,533.5,507.9,532.5,185,0
20110627,531.9,531.9,509.6,515.1,9911,0
20110628,505.6,508.4,502,506.4,590,0
20110629,499.4,499.4,490.7,491.8,170,0
20110630,480.6,481.1,463,463,509,0
20110701,462.1,462.1,421.3,421.3,932,0
20110705,425.3,432.6,425,429.1,234,0
20110706,439.6,442.3,425.8,427.2,3052,0
