Date,Open,High,Low,Close,Volume,OpenInt
20141009,13.67,14,13.1,13.95,1050728,0
20141010,13.6,15.631,13.59,14.89,20025,0
20141013,14.26,14.51,14.26,14.5,12745,0
20141014,14.41,14.5,13.66,13.66,36479,0
20141015,13.65,13.8,13.55,13.8,38116,0
20141017,14,14.05,13.7,13.7,31224,0
20141020,13.65,13.68,13.5,13.65,36550,0
20141021,13.707,13.8,13.707,13.8,340,0
20141022,13.98,13.98,13.6,13.77,10726,0
20141023,13.65,13.77,13.65,13.75,2320,0
20141024,13.62,13.8,13.6,13.68,24581,0
20141027,13.7,14.22,13.62,13.75,41083,0
20141028,13.65,13.9,13.65,13.79,69280,0
20141029,13.8,14,13.8,13.96,4536,0
20141030,13.749,13.75,13.749,13.75,345,0
20141031,13.77,13.98,13.68,13.98,11272,0
20141103,13.89,13.95,13.61,13.9,42653,0
20141104,13.74,14.5,13.74,14.5,20476,0
20141105,14.46,14.55,14.21,14.5,16982,0
20141106,14.66,15.588,14.5,15.02,26695,0
20141107,15.43,15.43,14.855,15.08,11197,0
20141110,14.5,15,14.5,14.6,42525,0
20141111,14.6,14.99,14.51,14.99,32417,0
20141112,14.85,14.89,14.69,14.89,1124,0
20141113,14.9,15.28,14.6,14.9,20423,0
20141114,15,15,14.04,14.89,23936,0
20141117,14.58,14.95,13.72,14.95,11555,0
20141118,14.89,15.41,14.6,15.22,37589,0
20141119,15.21,15.47,15.05,15.45,15981,0
20141120,15.69,16.65,14.66,15.925,5404,0
20141121,15.6,16.16,14.52,15.43,49332,0
20141124,15.41,16.44,15.38,16.44,4673,0
20141125,16.41,16.41,14.33,16.22,7511,0
20141126,15.95,15.99,15.76,15.89,1214,0
20141128,16.01,16.06,15.25,15.98,5410,0
20141201,15.43,15.8,15.25,15.43,854,0
20141202,15.38,15.61,14.79,15.61,6629,0
20141203,15.33,15.98,15,15.76,2626,0
20141204,15.63,15.63,14.7,15.16,5626,0
20141205,15,15.99,14.81,15.36,65779,0
20141208,15.78,16,15.1,15.1,3413,0
20141209,15.05,15.45,14.8,15.44,10484,0
20141210,15,15.24,14.5,14.51,5808,0
20141211,14.97,15.39,14.91,14.93,12740,0
20141212,15.11,15.22,14.61,14.69,2915,0
20141215,14.71,15.107,14.5,14.7,5499,0
20141216,14.7,14.7,14.26,14.26,11966,0
20141217,14.26,14.65,12.83,14.1,11883,0
20141218,14.1,14.34,13.86,14.12,49789,0
20141219,14.05,14.2,12.8,12.86,49094,0
20141222,14.05,14.74,13.06,14.26,17956,0
20141223,14.25,14.49,14,14.25,42836,0
20141224,14.25,14.25,14.01,14.01,650,0
20141226,13.76,13.76,13.76,13.76,588,0
20141229,14.11,14.11,13.76,13.77,866,0
20141230,13.75,14.19,13.71,14.13,34413,0
20141231,14,14.17,13.76,14.17,6034,0
20150102,14.04,14.39,14.04,14.37,39538,0
20150105,13.8,14,13.8,13.82,1499,0
20150106,14,14.38,13.81,14.03,12323,0
20150107,14.26,14.4,13.95,13.95,2537,0
20150108,14.24,14.24,13.8,14.2,8731,0
20150109,14.03,14.3,13.8,14.09,33598,0
20150112,13.99,13.99,13.99,13.99,200,0
20150113,13.8,13.83,13.52,13.52,7040,0
20150114,13.35,13.75,13.283,13.75,5418,0
20150115,13.5,13.5,13.25,13.3,2145,0
20150116,13.28,13.39,12.99,13.32,18483,0
