Date,Open,High,Low,Close,Volume,OpenInt
20101116,52.739,52.804,52.024,52.024,3786,0
20101117,52.254,52.405,52.254,52.386,41418,0
20101118,52.996,53.356,52.967,53.167,7664,0
20101119,53.327,53.376,53.298,53.318,1473,0
20101122,53.337,53.49,52.996,53.424,10222,0
20101123,52.786,52.967,52.652,52.739,1683,0
20101124,53.385,53.699,53.385,53.699,1576,0
20101126,53.251,53.536,53.251,53.536,4416,0
20101129,52.7,53.289,52.7,53.289,11397,0
20101130,52.729,53.109,52.729,53.109,5782,0
20101201,53.918,54.232,53.851,54.117,4519,0
20101202,54.308,54.698,54.308,54.698,2876,0
20101203,54.612,54.774,54.612,54.765,4465,0
20101206,54.745,54.849,54.745,54.849,948,0
20101207,55.363,55.382,54.859,54.859,4519,0
20101208,54.765,54.897,54.602,54.897,1576,0
20101209,55.297,55.297,54.84,54.84,5313,0
20101210,55.125,55.306,55.04,55.306,9799,0
20101213,55.563,55.563,55.45,55.506,3589,0
20101214,55.297,55.516,55.287,55.516,3260,0
20101215,55.26,55.469,55.058,55.202,6412,0
20101216,55.04,55.04,55.012,55.04,1473,0
20101217,55.478,55.668,55.478,55.573,2789,0
20101220,55.459,55.707,55.459,55.658,9607,0
20101221,55.801,55.925,55.791,55.925,2102,0
20101222,55.935,55.935,55.83,55.878,60237,0
20101223,55.878,55.878,55.868,55.878,1098,0
20101227,55.602,55.868,55.535,55.83,5564,0
20101228,55.783,55.81,55.763,55.81,1849,0
20101229,55.994,56.06,55.994,56.013,7016,0
20101230,55.909,56.042,55.851,55.909,10091,0
20101231,55.688,55.851,55.688,55.822,13118,0
20110103,56.429,56.543,56.343,56.343,7482,0
20110104,56.277,56.277,55.897,56.106,2919,0
20110105,56.01,56.419,56.01,56.419,1672,0
20110106,56.552,56.562,56.277,56.287,1014,0
20110107,56.581,56.581,56.571,56.571,800,0
20110110,56.229,56.401,56.229,56.401,962,0
20110111,56.686,56.715,56.619,56.629,2679,0
20110112,57.067,57.067,57.067,57.067,189,0
20110113,57.2,57.2,57.039,57.085,840,0
20110114,57.095,57.095,57.095,57.095,149,0
20110118,57.447,57.676,57.447,57.656,2114,0
20110119,57.647,57.647,57.142,57.142,3333,0
20110120,56.657,56.657,56.6,56.6,840,0
20110121,57.248,57.267,56.838,56.838,3048,0
20110124,57.257,57.257,56.857,57.171,10537,0
20110125,57.123,57.257,57.057,57.257,12422,0
20110126,57.628,57.78,57.628,57.78,485,0
20110127,57.875,57.875,57.875,57.875,629,0
20110128,57.865,57.865,56.753,56.753,5076,0
20110131,56.918,57.216,56.918,57.206,5384,0
20110201,57.952,58.161,57.952,58.161,2460,0
20110202,58.122,58.122,58.122,58.122,100,0
20110203,57.952,58.064,57.666,58.064,1974,0
20110204,58.36,58.398,58.36,58.398,2046,0
20110207,58.655,58.959,58.655,58.959,856,0
20110208,58.865,58.949,58.865,58.949,1025,0
20110209,58.968,58.968,58.902,58.902,171693,0
20110210,58.541,58.997,58.541,58.865,1340,0
20110211,58.836,59.406,58.836,59.406,1024,0
20110214,59.483,59.577,59.483,59.577,2208,0
20110215,59.521,59.521,59.293,59.293,14762,0
20110216,59.824,59.824,59.759,59.759,6946,0
20110218,60.035,60.063,60.035,60.063,788,0
20110222,59.169,59.445,58.779,58.779,2163,0
20110223,58.17,58.304,58.17,58.304,4177,0
20110224,58.275,58.836,58.275,58.285,1603462,0
20110225,58.626,58.93,58.626,58.93,1690560,0
20110228,59.248,59.296,58.894,59.142,840741,0
20110301,59.293,59.293,58.17,58.209,3746,0
20110302,58.064,58.579,58.064,58.312,6037,0
20110303,59.159,59.435,59.159,59.406,1423,0
20110304,59.349,59.435,58.607,58.988,1393620,0
20110307,58.522,59.273,58.093,58.331,1379753,0
20110308,58.437,58.978,58.227,58.636,1509880,0
20110309,58.513,58.731,58.398,58.589,3048,0
20110310,57.579,57.817,57.533,57.56,202058,0
20110311,57.304,58.064,57.304,58.064,5218,0
20110314,57.599,57.599,56.904,57.599,214,0
20110315,56.515,57.076,56.515,57.076,1299,0
20110316,56.809,56.809,55.649,55.907,4163,0
20110317,56.695,56.818,56.515,56.515,8247,0
20110318,56.875,56.875,56.619,56.619,984,0
20110321,57.608,57.608,57.466,57.56,3062,0
20110322,57.428,57.428,57.361,57.371,3625,0
20110323,57.39,57.752,57.371,57.628,5429,0
20110324,57.913,58.18,57.817,58.103,1642,0
20110325,58.256,58.541,58.217,58.379,3910,0
20110328,58.455,58.474,58.369,58.369,16909,0
20110329,58.445,58.598,58.437,58.598,1401,0
20110330,58.949,59.093,58.949,59.026,1586,0
20110331,58.955,59.071,58.955,59.004,911,0
20110401,59.474,59.474,59.245,59.245,1107,0
20110404,59.321,59.321,59.188,59.216,10371,0
20110405,59.235,59.569,59.235,59.321,7806,0
20110406,59.596,59.596,59.198,59.406,16971,0
20110407,59.112,59.293,59.083,59.254,1223,0
20110408,59.397,59.397,58.949,58.949,1332,0
20110411,58.911,58.911,58.75,58.826,700,0
20110412,58.484,58.551,58.294,58.369,4087,0
20110413,58.34,58.683,58.34,58.589,6584,0
20110414,58.217,58.445,58.217,58.445,1828,0
20110415,58.673,58.779,58.673,58.76,2667,0
20110418,58.027,58.209,57.752,58.209,1739,0
20110419,58.265,58.455,58.113,58.455,3140,0
20110420,59.55,59.559,59.406,59.511,8747,0
20110421,59.833,59.968,59.824,59.958,2128,0
20110425,59.91,59.91,59.653,59.853,7364,0
20110426,60.044,60.481,60.044,60.358,3090,0
20110427,60.434,60.757,60.119,60.757,13120,0
20110428,60.653,60.663,60.643,60.643,2431,0
20110429,60.829,60.994,60.743,60.926,12357,0
20110502,61.128,61.224,60.682,60.682,6100,0
20110503,60.7,60.747,60.196,60.414,10945,0
20110504,60.377,60.377,60.11,60.11,629,0
20110505,59.759,60.253,59.682,59.779,365080,0
20110506,60.196,60.519,59.779,59.779,3461,0
20110509,60.339,60.339,60.272,60.272,931,0
20110510,60.414,60.747,60.414,60.738,5685,0
20110511,60.51,60.51,59.93,60.167,2937,0
20110512,59.93,60.519,59.93,60.463,3253,0
20110513,60.491,60.491,60.082,60.082,761,0
20110516,59.692,59.721,59.596,59.663,1103,0
20110517,59.426,59.435,58.978,59.302,4997,0
20110518,59.321,59.711,59.321,59.702,2539,0
20110520,59.625,59.978,59.493,59.978,1594,0
20110523,58.817,59.112,58.817,58.968,4706,0
20110524,59.046,59.046,58.911,58.949,2612,0
20110525,59.046,59.321,59.046,59.198,2869,0
20110526,59.112,59.511,59.102,59.511,1614,0
20110527,59.577,59.75,59.577,59.625,1273,0
20110531,60.257,60.257,59.941,60.019,3134,0
20110601,60.206,60.206,58.911,58.968,29234,0
20110602,59.026,59.102,58.865,58.884,3240,0
20110603,58.455,58.655,58.189,58.246,5511,0
20110606,58.246,58.246,57.695,57.713,1410,0
