Date,Open,High,Low,Close,Volume,OpenInt
20121205,11.386,11.549,11.062,11.305,3817234,0
20121206,11.346,11.525,11.264,11.525,498087,0
20121207,11.476,11.581,11.418,11.476,200945,0
20121210,11.5,11.572,11.483,11.508,135380,0
20121211,11.468,11.598,11.468,11.598,298359,0
20121212,11.793,11.793,11.59,11.631,130061,0
20121213,11.695,11.777,11.631,11.704,215148,0
20121214,11.631,11.752,11.483,11.671,95152,0
20121217,11.711,11.955,11.671,11.793,187248,0
20121218,11.793,11.834,11.638,11.793,90458,0
20121219,11.793,11.901,11.679,11.711,140952,0
20121220,11.8,12.11,11.711,11.94,111206,0
20121221,11.835,11.874,11.793,11.874,38804,0
20121224,11.711,12.028,11.711,11.883,39085,0
20121226,11.864,12.11,11.725,11.798,103275,0
20121227,11.798,12.005,11.439,11.824,161944,0
20121228,12.012,12.135,11.946,12.128,84020,0
20121231,12.209,12.217,12.094,12.143,108238,0
20130102,12.217,12.324,12.094,12.316,148902,0
20130103,12.283,12.324,11.684,12.217,124042,0
20130104,12.299,12.303,12.176,12.291,199186,0
20130107,12.258,12.291,12.193,12.217,113196,0
20130108,12.184,12.331,12.152,12.217,116384,0
20130109,12.226,12.299,12.135,12.25,63535,0
20130110,12.25,12.299,12.135,12.176,65719,0
20130111,12.135,12.217,12.135,12.176,90333,0
20130114,12.209,12.209,12.078,12.168,45518,0
20130115,12.11,12.209,12.094,12.176,67239,0
20130116,12.184,12.193,12.078,12.143,64058,0
20130117,12.11,12.176,12.078,12.087,62453,0
20130118,12.094,12.187,12.012,12.07,90062,0
20130122,12.094,12.152,12.094,12.119,92866,0
20130123,12.102,12.135,12.012,12.07,79638,0
20130124,12.028,12.135,12.02,12.078,73850,0
20130125,12.152,12.193,12.02,12.1,100858,0
20130128,12.152,12.193,12.028,12.062,41209,0
20130129,12.033,12.26,12.02,12.176,61967,0
20130130,12.106,12.331,12.106,12.283,94028,0
20130131,12.176,12.299,12.176,12.299,44132,0
20130201,12.299,12.299,12.226,12.291,45602,0
20130204,12.291,12.34,12.209,12.299,46857,0
20130205,12.291,12.299,12.219,12.291,26346,0
20130206,12.291,12.291,12.176,12.176,31393,0
20130207,12.283,12.283,12.102,12.11,42677,0
20130208,12.299,12.299,12.11,12.283,38692,0
20130211,12.299,12.299,12.143,12.176,39591,0
20130212,12.299,12.299,12.176,12.299,42991,0
20130213,12.324,12.324,12.176,12.299,45676,0
20130214,12.258,12.324,12.143,12.308,87614,0
20130215,12.283,12.365,12.193,12.264,89696,0
20130219,12.34,12.414,12.193,12.258,98059,0
20130220,12.34,12.397,12.217,12.357,68545,0
20130221,12.299,12.397,12.226,12.234,80888,0
20130222,12.308,12.365,12.176,12.25,73582,0
20130225,12.299,12.373,12.25,12.299,67765,0
20130226,12.283,12.414,12.258,12.266,76295,0
20130227,12.331,12.365,12.275,12.34,110344,0
20130228,12.316,12.414,12.299,12.34,85925,0
20130301,12.397,12.422,12.331,12.349,87071,0
20130304,12.365,12.652,12.34,12.505,69406,0
20130305,12.505,12.627,12.316,12.57,115709,0
20130306,12.57,12.643,12.439,12.545,73904,0
20130307,12.447,12.702,12.382,12.561,103002,0
20130308,12.505,12.702,12.464,12.538,73800,0
20130311,12.627,12.708,12.513,12.603,75828,0
20130312,12.669,12.708,12.545,12.619,69293,0
20130313,12.627,12.669,12.52,12.669,129032,0
20130314,12.643,12.676,12.496,12.676,87526,0
20130315,12.627,12.734,12.587,12.708,75897,0
20130318,12.545,12.891,12.529,12.799,125392,0
20130319,12.824,12.955,12.676,12.71,91907,0
20130320,12.882,12.923,12.746,12.923,119606,0
20130321,13.007,13.25,12.815,12.923,78530,0
20130322,12.755,13.082,12.755,13.042,51704,0
20130325,12.891,13.066,12.891,12.982,46466,0
20130326,12.949,13.09,12.891,13.033,108421,0
20130327,12.957,13.042,12.848,12.966,60770,0
20130328,12.882,13.293,12.839,13.284,943759,0
20130401,13.259,13.259,12.638,12.789,115983,0
20130402,12.906,12.906,12.622,12.797,75933,0
20130403,12.923,12.923,12.471,12.604,123055,0
20130404,12.63,12.923,12.546,12.781,58639,0
20130405,12.655,12.848,12.504,12.613,48776,0
20130408,12.67,12.739,12.48,12.646,59724,0
20130409,12.822,13.124,12.63,12.688,205546,0
20130410,12.856,12.949,12.746,12.931,84720,0
20130411,12.966,13.166,12.822,13.007,52246,0
20130412,12.974,13.007,12.797,12.966,38740,0
20130415,12.939,12.939,12.504,12.52,96655,0
20130416,12.67,12.939,12.63,12.83,101638,0
20130417,12.83,12.83,12.604,12.638,21548,0
20130418,12.789,12.866,12.613,12.781,36032,0
20130419,12.746,12.915,12.722,12.915,21889,0
20130422,12.781,13.208,12.781,13.174,37805,0
20130423,13.174,13.183,12.99,13.125,60606,0
20130424,13.125,13.202,12.906,13.133,44043,0
20130425,13.133,13.174,13.007,13.15,34261,0
20130426,13.142,13.183,13.057,13.15,30056,0
20130429,13.066,13.217,13.057,13.208,64569,0
20130430,13.142,13.301,13.007,13.301,56875,0
20130501,13.284,13.334,12.882,12.882,45672,0
20130502,12.982,13.259,12.982,13.217,25739,0
20130503,13.09,13.317,12.974,13.133,29705,0
20130506,13.142,13.275,13.007,13.208,20911,0
