Date,Open,High,Low,Close,Volume,OpenInt
20050225,11.768,11.854,11.69,11.826,168065,0
20050228,11.912,11.912,11.719,11.845,458923,0
20050301,11.845,12,11.787,11.961,320879,0
20050302,11.826,12.098,11.826,11.922,138358,0
20050303,12.02,12.02,11.826,11.922,175883,0
20050304,12.02,12.02,11.863,11.932,149859,0
20050307,12.059,12.068,11.835,11.932,193032,0
20050308,11.845,11.961,11.826,11.883,167452,0
20050309,11.826,11.835,11.603,11.603,84645,0
20050310,11.584,11.768,11.33,11.447,202116,0
20050311,11.486,11.613,11.388,11.584,144230,0
20050314,11.467,11.709,11.467,11.652,84408,0
20050315,11.603,11.807,11.603,11.603,111242,0
20050316,11.652,11.67,11.574,11.632,99371,0
20050317,11.535,11.807,11.535,11.67,64035,0
20050318,11.807,11.807,11.574,11.632,370597,0
20050321,11.739,11.758,11.613,11.748,69052,0
20050322,11.729,11.912,11.613,11.613,58029,0
20050323,11.652,11.652,11.486,11.486,75442,0
20050324,11.632,11.778,11.613,11.613,110662,0
20050328,11.554,11.719,11.554,11.661,62397,0
20050329,11.554,11.68,11.486,11.486,169625,0
20050330,11.544,11.739,11.496,11.652,113016,0
20050331,11.544,11.709,11.535,11.603,191444,0
20050401,11.544,11.642,11.486,11.486,163634,0
20050404,11.486,11.544,11.437,11.457,76122,0
20050405,11.457,11.515,11.369,11.369,117075,0
20050406,11.467,11.505,11.262,11.262,213553,0
20050407,11.339,11.339,11.166,11.33,147729,0
20050408,11.271,11.291,10.933,10.952,58646,0
20050411,11.06,11.06,10.777,10.777,143317,0
20050412,10.767,10.943,10.389,10.894,185590,0
20050413,10.894,11.05,10.65,10.65,62861,0
20050414,10.526,10.611,10.36,10.36,155798,0
20050415,10.341,10.669,9.856,9.895,240716,0
20050418,9.817,10.272,9.748,10.272,299787,0
20050419,10.224,10.477,10.224,10.438,157498,0
20050420,10.282,10.516,10.214,10.36,213120,0
20050421,10.38,10.757,10.311,10.591,93012,0
20050422,10.591,10.816,10.36,10.553,81992,0
20050425,10.738,10.738,10.058,10.175,185771,0
20050426,10.428,11.32,10.155,10.757,468111,0
20050427,10.806,11.652,10.64,11.554,521674,0
20050428,11.437,11.709,10.923,11.069,325537,0
20050429,11.32,11.584,11.069,11.418,148474,0
20050502,11.281,11.748,11.281,11.748,137466,0
20050503,11.486,11.941,11.486,11.902,293044,0
20050504,11.902,12.37,11.893,12.292,477307,0
20050505,12.205,12.331,11.883,11.932,317843,0
20050506,11.893,12.078,11.893,12.049,131865,0
20050509,12.107,12.282,11.981,12.282,168763,0
20050510,12.039,12.35,12.039,12.321,159728,0
20050511,12.234,12.514,12.186,12.419,138867,0
20050512,12.514,12.514,12.127,12.127,119886,0
20050513,12.321,12.321,11.768,11.854,117397,0
20050516,12.117,12.205,11.854,12.205,147981,0
20050517,12.059,12.137,11.893,12.039,186779,0
20050518,12.252,12.592,12,12.543,229234,0
20050519,12.534,12.778,12.534,12.7,156460,0
20050520,12.787,12.787,12.504,12.563,286995,0
20050523,12.612,12.612,12.321,12.458,191677,0
20050524,12.272,12.37,12.156,12.252,263821,0
20050525,12.458,12.458,12.098,12.195,316671,0
20050526,12.34,12.438,12.137,12.419,146214,0
