Date,Open,High,Low,Close,Volume,OpenInt
20050225,20.675,21.218,20.637,21.218,49791,0
20050228,21.26,21.359,21.087,21.337,45931,0
20050301,21.639,21.841,21.297,21.74,67030,0
20050302,21.725,21.725,21.491,21.569,40009,0
20050303,21.569,21.725,21.445,21.71,21355,0
20050304,21.717,21.911,21.647,21.857,40398,0
20050307,21.973,22.113,21.973,22.02,18398,0
20050308,22.075,22.121,21.802,21.865,19300,0
20050309,21.865,21.989,21.608,21.881,23414,0
20050310,21.919,21.958,21.491,21.608,29977,0
20050311,21.616,21.811,21.616,21.763,8619,0
20050314,21.685,22.105,21.639,21.841,20455,0
20050315,21.841,21.997,21.795,21.958,17494,0
20050316,21.958,22.075,21.841,21.888,16340,0
20050317,21.919,22.027,21.841,21.881,11451,0
20050318,21.881,22.027,21.608,21.841,37440,0
20050321,21.841,21.888,21.135,21.297,38341,0
20050322,21.297,21.454,21.297,21.337,21355,0
20050323,21.337,21.337,20.909,20.987,35123,0
20050324,21.064,21.173,20.987,21.032,23802,0
20050328,21.032,21.094,21.025,21.056,25988,0
20050329,20.792,20.792,20.527,20.699,61626,0
20050330,20.621,20.823,20.597,20.745,35896,0
20050331,20.722,20.971,20.715,20.971,49532,0
20050401,20.971,21.375,20.597,20.753,53906,0
20050404,20.675,21.041,20.597,21.001,36923,0
20050405,20.987,21.064,20.869,21.025,10806,0
20050406,20.831,20.987,20.808,20.878,17884,0
20050407,20.909,21.103,20.909,21.032,20199,0
20050408,21.111,21.142,20.893,20.994,8878,0
20050411,20.994,21.001,20.831,20.885,11320,0
20050412,20.831,21.049,20.715,20.987,14024,0
20050413,20.869,21.135,20.815,20.987,18909,0
20050414,21.064,21.119,20.869,20.987,21615,0
20050415,20.947,20.987,20.605,20.629,24829,0
20050418,20.629,20.947,20.605,20.792,23028,0
20050419,20.854,21.103,20.854,20.955,19815,0
20050420,20.917,21.103,20.869,20.909,19041,0
20050421,20.924,20.924,20.831,20.917,38472,0
20050422,20.987,21.189,20.963,21.189,26504,0
20050425,20.799,21.135,20.761,21.041,37567,0
20050426,20.987,21.181,20.987,21.119,15953,0
20050427,21.064,21.218,21.056,21.218,21355,0
20050428,21.235,21.235,20.987,20.987,19171,0
20050429,20.994,21.181,20.994,21.111,15953,0
20050502,21.079,21.119,20.909,20.909,35767,0
20050503,20.917,21.064,20.917,21.017,23802,0
20050504,21.001,21.064,20.955,20.987,43229,0
20050505,21.025,21.079,20.987,21.041,31778,0
20050506,21.087,21.126,21.01,21.111,17239,0
20050509,21.064,21.337,21.064,21.337,28433,0
20050510,21.329,21.725,21.181,21.725,26892,0
20050511,21.569,21.725,21.462,21.623,19171,0
20050512,21.763,21.841,21.53,21.787,38212,0
20050513,21.841,21.841,21.608,21.647,10552,0
20050516,21.647,21.833,21.647,21.811,9907,0
20050517,21.841,22.059,21.811,22.059,27404,0
20050518,22.075,22.346,21.958,22.346,26761,0
20050519,22.385,22.385,22.152,22.152,18526,0
20050520,22.192,22.262,22.034,22.138,15052,0
20050523,22.152,22.167,22.13,22.152,38212,0
20050524,22.307,22.307,21.725,21.997,25344,0
20050525,21.881,22.192,21.841,22.13,24829,0
20050526,22.192,22.464,22.152,22.464,16466,0
20050527,22.541,22.618,22.167,22.315,26892,0
20050531,22.346,22.727,22.034,22.346,47344,0
20050601,22.346,22.51,22.214,22.346,29977,0
20050602,22.339,22.385,22.159,22.23,39112,0
20050603,22.245,22.323,22.175,22.323,14925,0
20050606,22.346,22.541,22.237,22.464,80666,0
20050607,22.479,22.618,22.283,22.307,64970,0
20050608,22.283,22.385,22.245,22.339,28433,0
20050609,22.346,22.611,22.283,22.564,26376,0
20050610,22.611,22.696,22.307,22.346,29717,0
20050613,22.346,22.735,22.346,22.618,53263,0
20050614,22.618,23.195,22.618,23.054,32420,0
20050615,23.023,23.023,22.844,22.946,39370,0
20050616,22.751,23.008,22.751,22.89,59956,0
20050617,22.89,23.318,22.797,23.279,35767,0
20050620,23.279,23.714,23.202,23.707,26114,0
20050621,23.707,23.816,23.629,23.816,33579,0
20050622,24.011,24.011,23.528,23.629,53133,0
20050623,23.59,23.59,23.434,23.59,39626,0
20050624,23.59,24.019,23.411,23.411,412469,0
20050627,23.418,23.629,23.14,23.606,50690,0
20050628,23.161,23.59,22.89,23.59,45931,0
20050629,23.512,23.73,23.473,23.551,50819,0
20050630,23.59,23.808,23.318,23.512,29464,0
20050701,23.397,23.481,23.318,23.481,16340,0
20050705,23.357,23.583,23.279,23.512,34611,0
20050706,23.512,23.566,23.318,23.466,20970,0
20050707,23.427,23.466,23.31,23.459,13380,0
20050708,23.473,23.629,23.302,23.621,40270,0
20050711,23.551,24.019,23.551,23.784,30362,0
20050712,23.59,23.668,23.473,23.59,18268,0
20050713,23.629,23.629,23.318,23.45,48889,0
20050714,23.504,23.543,22.953,23.023,19940,0
20050715,23.023,23.116,22.938,23.054,17369,0
20050718,23.085,23.116,22.899,23.085,14024,0
20050719,23.108,23.38,23.046,23.372,9780,0
20050720,23.45,23.8,23.24,23.629,57634,0
20050721,23.512,23.528,23.318,23.434,19553,0
20050722,23.473,23.583,23.397,23.512,21355,0
20050725,23.24,23.551,23.195,23.528,27788,0
20050726,23.59,23.676,23.434,23.481,37309,0
20050727,23.528,23.614,23.38,23.543,15697,0
20050728,23.551,23.941,23.551,23.941,17494,0
20050729,23.978,24.019,23.668,23.823,18398,0
20050801,23.784,23.823,23.629,23.699,16083,0
20050802,23.629,24.025,23.551,23.893,29464,0
20050803,23.893,24.213,23.8,24.073,59826,0
20050804,24.094,24.094,23.629,23.986,34351,0
20050805,23.924,23.932,23.559,23.747,43872,0
20050808,23.707,23.714,22.735,22.953,75135,0
20050809,22.984,23.481,22.967,23.161,42585,0
20050810,23.318,23.459,23.046,23.085,32681,0
20050811,23.046,23.389,22.967,23.389,5019,0
20050812,23.195,23.195,22.548,22.814,42585,0
20050815,22.774,23.046,22.618,22.914,21746,0
20050816,22.89,22.89,22.618,22.814,20199,0
20050817,22.814,22.905,22.704,22.814,19940,0
20050818,22.814,23.108,22.688,22.852,38212,0
20050819,22.929,23.008,22.58,22.696,28177,0
20050822,22.657,22.852,22.618,22.852,23802,0
20050823,22.929,22.929,22.634,22.696,12351,0
20050824,22.58,22.899,22.58,22.883,30234,0
20050825,22.797,23.14,22.727,23.091,10552,0
20050826,23.008,23.008,22.603,22.626,10035,0
20050829,22.572,22.859,22.44,22.859,26504,0
20050830,22.859,22.984,22.774,22.953,7332,0
20050831,22.953,23.14,22.953,23.008,20585,0
20050901,23.008,23.45,23.008,23.45,13764,0
20050902,23.512,23.528,23.24,23.24,11191,0
20050906,23.279,23.941,23.279,23.941,20970,0
20050907,23.747,24.157,23.747,24.094,18909,0
20050908,24.094,24.135,23.512,23.59,15697,0
20050909,23.551,23.691,23.551,23.598,13640,0
20050912,23.598,23.901,23.566,23.784,10936,0
20050913,23.901,23.901,23.629,23.676,8878,0
20050914,23.629,23.629,22.735,22.89,27274,0
20050915,22.852,23.085,22.852,22.859,14537,0
20050916,22.984,23.202,22.929,23.161,56222,0
20050919,23.046,23.046,22.789,22.852,16340,0
20050920,22.774,22.883,22.526,22.618,43743,0
20050921,22.541,22.751,22.332,22.332,39497,0
20050922,22.339,22.339,21.919,22.059,37440,0
20050923,22.067,22.192,21.841,22.192,16855,0
20050926,22.27,22.377,22.199,22.27,16083,0
20050927,22.332,22.332,22.034,22.332,21355,0
20050928,21.872,21.872,21.546,21.546,23414,0
20050929,21.53,21.841,21.181,21.841,50176,0
20050930,21.725,21.958,21.608,21.958,27020,0
20051003,22.075,22.23,21.919,22.005,34093,0
20051004,22.02,22.23,21.795,21.841,47089,0
20051005,22.152,22.152,21.26,21.267,49532,0
20051006,21.156,21.577,20.987,21.577,46186,0
20051007,21.53,21.685,21.421,21.685,28560,0
20051010,21.763,21.763,21.297,21.305,17625,0
20051011,21.297,21.305,20.815,20.854,38981,0
20051012,20.861,20.947,20.388,20.497,32551,0
20051013,21.01,21.218,20.559,20.839,74877,0
20051014,20.909,21.462,20.753,21.462,33448,0
20051017,21.375,21.476,21.181,21.181,52105,0
20051018,21.142,21.218,20.808,20.815,23414,0
20051019,20.815,21.017,20.659,20.987,20585,0
20051020,20.987,20.987,20.559,20.597,15052,0
20051021,20.652,20.924,20.629,20.869,21230,0
20051024,20.924,21.156,20.924,21.156,33709,0
20051025,21.079,21.181,20.722,20.831,17369,0
20051026,20.753,21.064,20.737,20.869,8363,0
20051027,20.987,20.987,20.325,20.334,20326,0
20051028,20.443,20.831,20.443,20.831,23158,0
20051031,20.675,21.049,20.667,20.947,39112,0
20051101,20.931,20.931,20.264,20.667,52105,0
20051102,20.645,20.792,20.458,20.792,22385,0
20051103,20.753,20.979,20.683,20.831,33448,0
20051104,20.792,20.909,20.597,20.691,19300,0
20051107,20.737,21.017,20.737,20.987,104983,0
20051108,20.987,20.987,20.675,20.839,25344,0
20051109,20.597,21.142,20.597,21.119,37698,0
20051110,21.126,21.26,20.885,21.235,38212,0
20051111,21.26,21.569,21.26,21.569,38212,0
20051114,21.569,21.725,21.142,21.181,20070,0
20051115,21.181,21.189,20.621,20.667,32935,0
20051116,20.753,20.947,20.637,20.901,40785,0
20051117,20.979,21.049,20.715,20.808,39754,0
20051118,20.893,20.924,20.769,20.839,17884,0
20051121,20.885,21.181,20.722,21.165,45931,0
20051122,21.297,21.616,21.204,21.616,57122,0
20051123,21.586,21.943,21.561,21.841,64583,0
20051125,21.849,21.849,21.701,21.755,17239,0
20051128,21.888,21.888,21.616,21.647,32681,0
20051129,21.647,21.825,21.608,21.811,68575,0
20051130,21.795,22.075,21.795,21.973,27918,0
20051201,21.973,22.572,21.973,22.533,43613,0
20051202,22.533,22.564,22.23,22.346,59441,0
20051205,22.23,22.23,21.911,21.927,48116,0
20051206,21.927,22.307,21.927,22.082,98935,0
20051207,22.105,22.105,21.919,22.034,38594,0
20051208,22.043,22.415,22.043,22.415,36795,0
20051209,22.44,22.44,22.208,22.332,58152,0
20051212,22.175,22.533,22.175,22.415,24447,0
20051213,22.533,22.533,22.353,22.432,22773,0
20051214,22.432,22.618,22.432,22.51,14794,0
20051215,22.556,22.611,22.479,22.611,35896,0
20051216,22.611,22.922,22.588,22.814,77837,0
20051219,23.008,23.008,22.51,22.533,37953,0
20051220,22.657,22.828,22.526,22.727,38341,0
20051221,22.541,22.65,22.385,22.65,58281,0
