Date,Open,High,Low,Close,Volume,OpenInt
20130325,21.914,21.914,21.861,21.87,127534,0
20130326,21.877,22.019,21.877,21.984,137674,0
20130327,21.984,21.984,21.922,21.947,64974,0
20130328,21.984,22.062,21.984,22.019,77385,0
20130401,22.053,22.186,22,22.089,208017,0
20130402,22.071,22.124,22.071,22.081,31093,0
20130403,22.098,22.115,22.028,22.053,56542,0
20130404,22.053,22.124,22.036,22.124,73609,0
20130405,22.081,22.213,22.081,22.115,69459,0
20130408,22.203,22.203,22.133,22.133,157835,0
20130409,22.133,22.275,22.133,22.23,95387,0
20130410,22.239,22.308,22.195,22.221,54291,0
20130411,22.203,22.256,22.203,22.23,51716,0
20130412,22.203,22.23,22.133,22.133,77653,0
20130415,22.195,22.213,22.141,22.177,107099,0
20130416,22.221,22.292,22.186,22.239,266456,0
20130417,22.275,22.37,22.213,22.282,86733,0
20130418,22.292,22.292,22.23,22.23,91406,0
20130419,22.292,22.38,22.098,22.098,359043,0
20130422,22.247,22.282,22.141,22.247,53645,0
20130423,22.16,22.292,22.16,22.282,36365,0
20130424,22.282,22.292,22.16,22.195,140432,0
20130425,22.195,22.23,22.186,22.221,28609,0
20130426,22.247,22.265,22.071,22.186,54235,0
20130429,22.265,22.38,22.16,22.308,172588,0
20130430,22.363,22.37,22.203,22.337,276745,0
20130501,22.337,22.344,22.275,22.275,76025,0
20130502,22.292,22.337,22.292,22.327,65307,0
20130503,22.415,22.556,22.415,22.468,174400,0
20130506,22.548,22.556,22.398,22.468,205428,0
20130507,22.468,22.582,22.468,22.565,128567,0
20130508,22.468,22.68,22.468,22.548,124029,0
20130509,22.618,22.732,22.476,22.635,230348,0
20130510,22.688,22.688,22.538,22.556,28658,0
20130513,22.538,22.538,22.301,22.337,172025,0
20130514,22.327,22.363,22.203,22.292,137533,0
20130515,22.301,22.301,22.186,22.239,87280,0
20130516,22.239,22.282,22.203,22.275,68743,0
20130517,22.282,22.363,22.256,22.301,77897,0
20130520,22.353,22.52,22.301,22.468,69699,0
20130521,22.494,22.627,22.424,22.627,46116,0
20130522,22.627,22.688,22.503,22.53,37169,0
20130523,22.318,22.512,22.275,22.512,44953,0
20130524,22.512,22.635,22.451,22.565,25435,0
20130528,22.643,22.705,22.406,22.548,82560,0
20130529,22.512,22.512,21.991,22.186,160538,0
20130530,22.124,22.415,22.124,22.415,43309,0
20130531,22.363,22.363,21.418,22.046,49042,0
20130603,22.098,22.115,21.914,22.071,56646,0
20130604,22.089,22.195,22.071,22.177,82690,0
20130605,22.046,22.098,21.877,21.939,50854,0
20130606,21.984,22.195,21.984,22.186,35589,0
20130607,22.16,22.512,21.984,22.292,55286,0
20130610,22.195,22.265,22.106,22.124,41027,0
20130611,22.036,22.098,21.939,22,49523,0
20130612,22.019,22.019,21.385,21.542,55892,0
20130613,21.366,21.585,18.767,21.41,66422,0
20130614,21.578,21.747,21.542,21.675,23129,0
20130617,21.79,22.151,21.747,21.966,28741,0
20130618,21.984,22.028,21.666,21.991,24754,0
20130619,22.009,22.186,21.647,21.709,39411,0
20130620,21.552,21.585,21.243,21.323,24834,0
20130621,21.402,21.447,20.846,21.208,33288,0
20130624,20.952,21.279,19.499,21.279,31308,0
20130625,21.234,21.455,20.943,21.366,40022,0
20130626,21.695,22.063,21.686,21.901,13637,0
20130627,21.695,22.163,21.695,21.929,12446,0
20130628,22.559,22.678,22.246,22.678,41758,0
20130701,22.288,22.288,21.946,22.235,14681,0
20130702,22.235,22.298,22.144,22.298,15031,0
20130703,22.252,22.288,21.866,22.108,8925,0
20130705,21.848,22.189,21.828,22.072,23311,0
20130708,22.037,22.037,21.721,21.892,18257,0
20130709,21.848,21.857,21.784,21.803,38590,0
20130710,21.648,21.946,21.648,21.929,50675,0
20130711,22.054,22.117,21.937,21.983,27996,0
20130712,21.983,22.054,21.623,21.937,30192,0
20130715,22.054,22.063,21.848,22.028,7547,0
20130716,22.028,22.028,21.965,21.965,6344,0
20130717,22.091,22.091,21.965,21.965,13151,0
20130718,22.046,22.072,21.721,21.721,21943,0
20130719,21.838,22.037,21.695,22.037,13264,0
20130722,22.108,22.108,21.901,21.937,6598,0
20130723,21.983,21.983,21.828,21.901,22246,0
20130724,21.937,22.028,21.73,21.974,56714,0
20130725,21.974,21.974,21.756,21.756,10083,0
20130726,21.892,22.091,21.803,22.082,13533,0
20130729,22.054,22.1,21.946,21.983,19185,0
20130730,22.028,22.082,21.775,21.983,19265,0
20130731,21.929,22,21.75,21.873,8325,0
20130801,22.019,22.019,21.397,21.531,9048,0
20130802,21.667,21.848,21.594,21.638,16396,0
20130805,21.623,21.657,21.36,21.415,9210,0
20130806,21.397,21.623,21.397,21.531,21346,0
20130807,21.468,21.496,21.334,21.405,11012,0
20130808,21.514,21.514,21.343,21.379,20218,0
20130809,21.217,21.397,21.09,21.117,9267,0
20130812,21.18,21.55,21.18,21.198,17186,0
20130813,21.108,21.108,20.496,20.586,27285,0
20130814,20.451,20.632,20.072,20.227,23538,0
20130815,20.135,20.135,19.649,19.847,25761,0
20130816,19.992,20.451,19.541,19.857,45643,0
20130819,19.595,19.838,19.522,19.686,43296,0
20130820,19.794,19.892,19.369,19.721,83356,0
20130821,19.595,19.829,19.369,19.694,60934,0
20130822,19.756,20.451,19.478,20.451,51392,0
20130823,20.721,20.946,20.423,20.549,13031,0
20130826,20.523,20.829,20.523,20.559,4252,0
20130827,20.703,21.297,20.172,20.847,7687,0
20130828,20.991,21.073,20.784,20.883,25547,0
20130829,20.982,21.477,20.477,21.225,13256,0
20130830,21.758,21.758,21.255,21.346,9625,0
20130903,21.019,21.019,20.505,20.613,12498,0
20130904,20.451,21.046,20.451,21.046,5218,0
20130905,21.117,21.117,20.603,20.956,9083,0
20130906,21.09,21.1,20.757,20.991,18017,0
20130909,20.902,21.126,20.749,20.765,14208,0
20130910,20.721,20.721,20.289,20.388,33334,0
20130911,20.496,20.496,20.037,20.181,7822,0
20130912,20.281,20.334,20.046,20.207,24102,0
20130913,20.252,20.334,19.631,19.74,34448,0
20130916,19.866,19.892,19.478,19.585,36064,0
20130917,19.585,19.756,19.578,19.702,28858,0
20130918,19.603,20.135,19.514,20.117,33033,0
20130919,20.135,20.289,19.955,20.235,32740,0
20130920,20.227,20.227,20,20.046,13428,0
20130923,19.866,20.144,19.866,20.135,15872,0
20130924,20.163,20.198,19.946,20.009,15342,0
20130925,20.046,20.054,19.74,19.892,30601,0
20130926,20.236,20.236,19.776,19.877,13595,0
20130927,19.877,20.089,19.786,19.969,27998,0
20130930,19.896,19.996,19.877,19.877,24297,0
20131001,19.877,20.015,19.877,19.96,22906,0
20131002,19.932,20.052,19.776,19.869,24900,0
20131003,19.914,20.052,19.401,19.446,83699,0
20131004,19.483,19.483,19.18,19.391,102603,0
20131007,19.41,19.492,19.391,19.473,15315,0
20131008,19.326,19.51,19.326,19.41,61349,0
20131009,19.52,19.52,19.281,19.281,59205,0
20131010,19.418,19.786,19.253,19.786,35776,0
20131011,19.776,19.776,19.621,19.621,15436,0
20131014,19.639,19.639,19.3,19.51,23769,0
20131015,19.593,19.602,19.464,19.593,27775,0
20131016,19.639,19.694,19.473,19.566,20993,0
20131017,19.63,20.198,19.621,20.089,33933,0
20131018,20.015,20.337,19.859,19.96,77908,0
20131021,19.996,20.227,19.996,20.227,20698,0
20131022,20.356,20.567,20.227,20.567,35359,0
20131023,20.622,20.786,20.492,20.786,21642,0
20131024,20.796,20.796,20.263,20.337,15729,0
20131025,20.428,20.482,20.299,20.299,9633,0
20131028,20.337,20.337,20.116,20.198,12256,0
20131029,20.273,20.273,19.996,20.052,13896,0
20131030,20.116,20.318,20.034,20.198,39147,0
20131031,20.163,20.392,20.034,20.034,14703,0
20131101,20.015,20.227,20.015,20.098,29296,0
20131104,20.108,20.181,19.924,19.95,47224,0
20131105,20.006,20.116,19.877,20.061,17231,0
20131106,20.061,20.227,20.006,20.079,12075,0
20131107,20.189,20.198,20.015,20.079,17495,0
20131108,19.95,20.474,19.95,20.153,14430,0
20131111,20.356,20.356,20.089,20.135,10820,0
20131112,20.135,20.283,20.098,20.283,28910,0
20131113,20.163,20.236,20.079,20.079,7163,0
20131114,20.108,20.356,20.079,20.273,23823,0
20131115,20.337,20.383,20.253,20.383,17524,0
20131118,20.447,20.447,20.308,20.318,9158,0
20131119,20.337,20.337,20.181,20.218,19300,0
20131120,20.273,20.356,19.796,19.914,23518,0
20131121,19.996,20.189,19.869,20.07,25117,0
20131122,20.189,20.236,20.044,20.153,12860,0
20131125,20.373,20.457,20.044,20.447,30629,0
20131126,20.512,20.87,20.428,20.75,16244,0
20131127,20.786,20.786,20.411,20.577,15115,0
20131129,20.631,20.686,20.622,20.622,3586,0
20131202,20.658,20.658,20.392,20.502,14765,0
20131203,20.492,20.538,20.392,20.521,9335,0
20131204,20.457,20.502,20.291,20.373,13500,0
20131205,20.291,20.291,19.969,20.108,30842,0
20131206,20.208,20.273,20.034,20.163,11337,0
20131209,20.283,20.356,20.236,20.244,29415,0
