Date,Open,High,Low,Close,Volume,OpenInt
20120927,22.532,22.613,22.397,22.532,660333,0
20120928,22.568,22.668,22.532,22.613,838882,0
20121001,22.712,22.712,22.568,22.605,311757,0
20121002,22.622,22.767,22.586,22.622,651503,0
20121003,22.722,22.749,22.668,22.712,534200,0
20121004,22.848,22.867,22.731,22.848,940296,0
20121005,22.894,23.002,22.848,22.848,291974,0
20121008,22.84,22.867,22.804,22.813,220165,0
20121009,22.867,22.894,22.712,22.776,210687,0
20121010,22.939,22.939,22.804,22.848,291711,0
20121011,22.894,22.894,22.804,22.83,138986,0
20121012,22.885,22.894,22.83,22.848,97023,0
20121015,22.885,22.903,22.83,22.867,465494,0
20121016,22.894,23.029,22.867,22.876,257648,0
20121017,22.985,22.993,22.894,22.912,237764,0
20121018,22.948,22.948,22.867,22.885,172326,0
20121019,22.939,22.948,22.876,22.948,87187,0
20121022,23.038,23.093,22.957,23.029,260908,0
20121023,23.065,23.075,22.985,23.029,145454,0
20121024,23.075,23.075,22.993,23.029,328900,0
20121025,23.075,23.111,23.002,23.075,397046,0
20121026,23.12,23.12,23.012,23.029,147756,0
20121031,23.21,23.21,23.065,23.147,111963,0
20121101,23.165,23.256,23.084,23.165,79832,0
20121102,23.21,23.301,23.084,23.21,90853,0
20121105,23.319,23.428,23.075,23.301,133420,0
20121106,23.355,23.355,23.138,23.21,93569,0
20121107,23.21,23.301,23.029,23.246,133527,0
20121108,23.246,23.256,23.012,23.048,123845,0
20121109,23.065,23.12,22.993,23.029,78848,0
20121112,23.075,23.256,23.021,23.156,66275,0
20121113,23.21,23.256,23.057,23.102,99605,0
20121114,23.156,23.156,22.894,22.912,96927,0
20121115,22.939,22.939,22.577,22.64,169370,0
20121116,22.64,22.948,22.595,22.722,123881,0
20121119,22.885,23.129,22.876,22.894,72037,0
20121120,22.568,22.985,22.568,22.985,171529,0
20121121,23.165,23.165,23.057,23.102,78551,0
20121123,22.985,23.165,22.975,23.147,72331,0
20121126,23.156,23.156,22.957,23.012,84057,0
20121127,23.12,23.12,22.876,22.939,146472,0
20121128,22.804,22.848,22.695,22.804,95856,0
20121129,22.84,22.894,22.749,22.767,100709,0
20121130,22.813,22.894,22.758,22.813,56848,0
20121203,22.894,22.985,22.821,22.985,82037,0
20121204,22.975,22.993,22.785,22.92,134992,0
20121205,22.749,22.939,22.749,22.939,115256,0
20121206,23.012,23.065,22.92,23.065,101732,0
20121207,23.065,23.165,22.867,22.876,78097,0
20121210,22.93,23.138,22.894,23.138,137456,0
20121211,23.12,23.12,22.912,22.966,102969,0
20121212,22.957,23.075,22.93,23.075,150387,0
20121213,23.075,23.084,22.92,23.075,119631,0
20121214,22.885,23.021,22.794,22.948,86611,0
20121217,23.048,23.102,22.957,23.075,169022,0
20121218,23.075,23.093,22.985,23.075,99750,0
20121219,23.075,23.075,23.021,23.065,54841,0
20121220,23.102,23.102,22.993,23.002,51442,0
20121221,22.876,23.165,22.876,23.002,64948,0
20121224,23.075,23.12,22.93,22.985,25338,0
20121226,22.985,22.985,22.894,22.966,49064,0
20121227,22.903,23.065,22.903,23.057,55805,0
20121228,23.093,23.093,23.002,23.002,45282,0
20121231,23.048,23.084,22.957,23.029,54648,0
20130102,23.075,23.229,23.029,23.147,151764,0
20130103,23.174,23.202,23.075,23.12,172730,0
20130104,23.229,23.237,23.129,23.21,85712,0
20130107,23.319,23.618,23.256,23.545,414007,0
20130108,23.527,23.545,23.437,23.545,108371,0
20130109,23.545,23.78,23.5,23.735,114610,0
20130110,23.826,24.106,23.708,24.106,185500,0
20130111,24.053,24.251,23.989,24.233,198789,0
20130114,24.207,24.342,24.207,24.305,188739,0
20130115,24.125,24.188,23.681,23.934,253523,0
20130116,23.961,23.961,23.582,23.78,139959,0
20130117,23.79,23.889,23.726,23.889,449438,0
20130118,23.908,24.233,23.464,24.097,781050,0
20130122,23.889,23.998,23.618,23.934,160403,0
20130123,23.88,24.125,23.772,24.062,227651,0
20130124,24.015,24.179,23.826,24.006,147849,0
20130125,24.053,24.053,23.572,23.609,87572,0
20130128,23.862,23.88,23.491,23.5,90223,0
