Date,Open,High,Low,Close,Volume,OpenInt
20130123,21.376,21.376,20.998,20.998,15511,0
20130124,20.916,20.998,20.83,20.998,61914,0
20130125,20.998,20.998,20.839,20.874,18312,0
20130128,20.83,20.83,20.539,20.705,16582,0
20130129,20.866,20.874,20.605,20.688,57822,0
20130130,20.771,20.874,20.705,20.789,32647,0
20130131,20.83,20.83,20.771,20.771,4770,0
20130201,20.866,20.866,20.688,20.688,18631,0
20130204,20.857,20.916,20.647,20.83,21661,0
20130205,20.874,20.874,20.696,20.821,40837,0
20130206,20.83,20.866,20.705,20.83,18390,0
20130207,20.83,20.866,20.812,20.83,6058,0
20130208,20.857,20.881,20.83,20.881,25357,0
20130211,20.857,20.857,20.713,20.83,39863,0
20130212,20.732,20.83,20.732,20.789,24095,0
20130213,20.83,20.857,20.806,20.806,13337,0
20130214,20.789,20.881,20.747,20.881,27522,0
20130215,20.881,20.916,20.881,20.916,11810,0
20130219,20.916,20.947,20.83,20.947,21831,0
20130220,20.94,20.956,20.789,20.933,36086,0
20130221,20.956,20.991,20.916,20.916,9305,0
20130222,20.982,20.991,20.916,20.924,19051,0
20130225,20.916,20.982,20.764,20.848,25529,0
20130226,20.874,20.874,20.78,20.78,14787,0
20130227,20.789,20.83,20.747,20.771,14398,0
20130228,20.789,20.798,20.713,20.798,20319,0
20130301,20.764,20.947,20.764,20.94,21622,0
20130304,20.947,21.075,20.916,21.075,10317,0
20130305,21.066,21.066,20.933,20.982,21490,0
20130306,20.956,20.998,20.924,20.991,15419,0
20130307,20.998,20.998,20.798,20.798,16207,0
20130308,20.916,21.023,20.916,20.991,12091,0
20130311,21.023,21.023,20.933,20.956,5871,0
20130312,20.998,21.023,20.94,20.956,13951,0
20130313,21.095,21.103,21.026,21.103,11991,0
20130314,21.127,21.144,21.061,21.144,10125,0
20130315,21.086,21.103,21.086,21.103,6250,0
20130318,21.078,21.103,21.061,21.061,13889,0
20130319,21.103,21.135,21.045,21.045,13680,0
20130320,21.061,21.127,21.026,21.078,17363,0
20130321,21.103,21.103,21.078,21.078,10447,0
20130322,21.112,21.127,21.086,21.086,15015,0
20130325,21.061,21.095,21.054,21.069,16364,0
20130326,21.086,21.103,21.078,21.078,7991,0
20130327,20.891,21.135,20.891,21.135,17660,0
20130328,21.176,21.295,21.176,21.285,8563,0
20130401,21.272,21.295,21.254,21.272,17276,0
20130402,21.211,21.278,21.211,21.278,11431,0
20130403,21.211,21.278,21.176,21.254,7637,0
20130404,21.254,21.278,21.254,21.278,1168,0
20130405,21.272,21.295,21.272,21.295,4678,0
20130408,21.295,21.295,21.176,21.194,12862,0
20130409,21.254,21.295,21.116,21.168,16231,0
20130410,21.211,21.295,21.211,21.295,8747,0
20130411,21.312,21.312,21.312,21.312,2223,0
20130412,21.312,21.312,21.245,21.245,11095,0
20130415,21.254,21.254,21.132,21.237,11492,0
20130416,21.228,21.254,21.194,21.254,10815,0
20130417,21.312,21.312,21.285,21.295,3273,0
20130418,21.295,21.312,21.278,21.295,7494,0
20130419,21.254,21.321,21.176,21.321,10510,0
20130422,21.321,21.321,21.254,21.278,19185,0
20130423,21.321,21.321,21.303,21.303,2573,0
20130424,21.278,21.278,21.254,21.263,4527,0
20130425,21.295,21.295,21.228,21.228,2573,0
20130426,21.254,21.254,21.211,21.211,5966,0
20130429,21.254,21.295,21.168,21.219,7190,0
20130430,21.254,21.33,21.194,21.194,15668,0
