Date,Open,High,Low,Close,Volume,OpenInt
20050225,25.65,25.909,25.605,25.865,401335,0
20050228,25.779,25.874,25.632,25.788,575484,0
20050301,25.788,25.909,25.65,25.891,681784,0
20050302,25.891,26.107,25.744,26.003,388600,0
20050303,26.089,26.125,25.865,26.047,323406,0
20050304,26.039,26.384,26.039,26.323,467566,0
20050307,26.254,26.298,25.977,26.168,497095,0
20050308,26.177,26.271,26.116,26.177,509946,0
20050309,26.177,26.194,25.83,25.882,547001,0
20050310,25.848,25.994,25.735,25.909,372851,0
20050311,25.994,26.107,25.779,25.83,292722,0
20050314,25.839,26.246,25.839,26.03,349460,0
20050315,25.994,26.073,25.659,25.779,377253,0
20050316,25.821,25.821,25.547,25.71,354555,0
20050317,25.71,25.779,25.476,25.597,337648,0
20050318,25.65,25.692,25.132,25.305,424609,0
20050321,25.176,25.27,24.89,25.046,663026,0
20050322,25.132,25.191,24.761,24.787,368104,0
20050323,24.787,24.975,24.657,24.743,359187,0
20050324,24.682,25.02,24.682,24.828,283460,0
20050328,24.872,25.176,24.828,24.864,407936,0
20050329,24.984,25.158,24.828,24.924,542372,0
20050330,24.924,25.305,24.864,25.235,366250,0
20050331,25.235,25.279,24.828,24.872,404810,0
20050401,24.872,25.176,24.673,24.819,443946,0
20050404,24.803,24.899,24.398,24.778,241310,0
20050405,24.787,24.787,24.536,24.569,449390,0
20050406,24.569,24.819,24.56,24.716,320280,0
20050407,24.716,24.734,24.432,24.682,616823,0
20050408,24.613,24.64,24.276,24.528,536464,0
20050411,24.613,24.734,24.327,24.398,376555,0
20050412,24.389,24.56,24.113,24.432,537855,0
20050413,24.528,24.622,23.983,24.043,468845,0
20050414,24.06,24.146,23.809,24.06,309050,0
20050415,24.06,24.198,23.845,23.845,292026,0
20050418,23.871,24.121,23.845,23.922,387091,0
20050419,23.965,24.016,23.845,23.974,274774,0
20050420,24.139,24.172,23.663,23.766,303725,0
20050421,23.965,24.095,23.577,24.095,461198,0
20050422,24.095,24.569,23.862,24.181,618791,0
20050425,24.181,24.56,24.139,24.354,521643,0
20050426,24.354,24.381,24.025,24.233,548507,0
20050427,23.965,24.172,23.076,23.612,1230753,0
20050428,23.62,24.181,23.525,23.957,944862,0
20050429,24.172,24.398,23.836,24.043,784027,0
20050502,24.009,24.242,23.888,24.095,453326,0
20050503,23.965,24.398,23.965,24.198,356408,0
20050504,24.31,24.743,24.251,24.457,653183,0
20050505,24.336,24.439,23.939,24.242,688848,0
20050506,24.242,24.284,23.974,24.172,323984,0
20050509,24.172,24.276,23.974,24.052,342397,0
20050510,24.052,24.052,23.603,23.75,703436,0
20050511,23.75,23.888,23.516,23.854,366020,0
20050512,23.854,23.854,23.413,23.422,570277,0
20050513,23.568,23.568,23.171,23.37,305461,0
20050516,23.318,23.629,23.301,23.456,460505,0
20050517,23.456,23.456,23.248,23.404,418589,0
20050518,23.577,24.025,23.525,23.948,738058,0
20050519,23.948,24.164,23.931,24.121,397745,0
20050520,24.121,24.121,23.724,24.06,378641,0
20050523,23.974,23.974,23.507,23.809,548738,0
20050524,23.818,23.854,23.395,23.733,751840,0
20050525,23.742,23.742,23.447,23.689,574443,0
20050526,23.672,23.871,23.577,23.827,490960,0
20050527,23.75,23.965,23.636,23.957,515274,0
20050531,24.001,24.009,23.706,23.854,551981,0
20050601,23.922,24.146,23.854,24.086,422989,0
20050602,24.043,24.043,23.663,23.706,430397,0
20050603,23.715,23.75,23.499,23.742,413957,0
20050606,23.636,23.802,23.577,23.742,451474,0
