Date,Open,High,Low,Close,Volume,OpenInt
20050225,6.24,6.5,6.24,6.47,39000,0
20050228,6.47,6.57,6.44,6.57,24300,0
20050301,6.6,6.61,6.57,6.58,16700,0
20050302,6.58,6.61,6.49,6.54,16800,0
20050303,6.56,6.59,6.52,6.55,19600,0
20050304,6.59,6.62,6.57,6.6,13000,0
20050307,6.51,6.6,6.49,6.6,30000,0
20050308,6.58,6.59,6.51,6.58,11300,0
20050309,6.57,6.57,6.53,6.55,8700,0
20050310,6.52,6.52,6.45,6.47,5800,0
20050311,6.49,6.52,6.47,6.5,14100,0
20050314,6.55,6.55,6.39,6.42,13500,0
20050315,6.37,6.37,6.16,6.3,58000,0
20050316,6.29,6.32,6.14,6.18,43000,0
20050317,6.15,6.24,6.13,6.2,17500,0
20050318,6.27,6.27,6.19,6.19,8200,0
20050321,6.2,6.2,6.13,6.13,6900,0
20050322,6.16,6.16,6.1,6.1,23000,0
20050323,6.11,6.11,5.96,5.97,39700,0
20050324,6,6.12,6,6.1,20500,0
20050328,6.08,6.16,6.06,6.1,10100,0
20050329,6.06,6.07,5.82,5.93,22600,0
20050330,5.9,5.92,5.82,5.91,26500,0
20050331,5.92,5.99,5.91,5.98,25200,0
20050401,6.02,6.05,5.96,5.98,11200,0
20050404,5.93,5.98,5.92,5.93,17000,0
20050405,5.96,5.99,5.93,5.98,8800,0
20050406,6,6.1,6,6,23900,0
20050407,6,6.06,6,6.04,10700,0
20050408,6.08,6.1,6,6,14200,0
20050411,5.91,6.02,5.9,5.96,67500,0
20050412,5.96,5.98,5.95,5.98,6700,0
20050413,6.02,6.06,6,6,37100,0
20050414,5.96,5.96,5.88,5.96,11900,0
20050415,5.84,5.84,5.72,5.73,16200,0
20050418,5.71,5.73,5.67,5.71,14600,0
20050419,5.75,5.82,5.75,5.82,9100,0
20050420,5.86,5.86,5.76,5.78,19200,0
20050421,5.74,5.88,5.74,5.86,13800,0
20050422,5.87,5.87,5.81,5.82,29300,0
20050425,5.84,5.87,5.8,5.81,57200,0
20050426,5.85,5.85,5.8,5.8,13000,0
20050427,5.75,5.78,5.74,5.75,8300,0
20050428,5.76,5.79,5.74,5.75,14800,0
20050429,5.73,5.77,5.73,5.77,12200,0
20050502,5.78,5.84,5.77,5.8,12500,0
20050503,5.86,5.86,5.84,5.84,12000,0
20050504,5.84,5.92,5.84,5.92,13400,0
20050505,5.91,6.02,5.91,5.94,9700,0
20050506,5.96,6,5.96,5.96,8900,0
20050509,5.97,6,5.96,5.99,7100,0
20050510,6,6.02,5.91,5.91,7800,0
20050511,5.94,5.94,5.91,5.94,4000,0
20050512,5.9,5.94,5.88,5.88,4300,0
20050513,5.86,5.86,5.8,5.83,7400,0
20050516,5.86,5.86,5.8,5.82,6100,0
20050517,5.8,5.86,5.75,5.86,10700,0
20050518,5.86,5.94,5.86,5.92,28800,0
20050519,5.96,5.98,5.91,5.91,10700,0
20050520,5.93,5.93,5.88,5.88,8300,0
20050523,5.88,5.92,5.86,5.9,11600,0
20050524,5.91,5.92,5.89,5.91,25500,0
20050525,5.92,5.92,5.88,5.89,9500,0
20050526,5.88,5.96,5.88,5.95,13600,0
20050527,5.98,6.04,5.95,6.03,29600,0
20050531,6.04,6.1,5.97,6,32600,0
20050601,5.98,6.06,5.98,6.06,19500,0
20050602,6.06,6.1,6.04,6.06,10800,0
20050603,6.08,6.08,6.06,6.08,23400,0
20050606,6.08,6.1,6.07,6.07,28100,0
20050607,6.08,6.08,6.02,6.06,11800,0
20050608,6.09,6.11,6.09,6.09,14300,0
20050609,6.08,6.08,6.04,6.04,12700,0
20050610,6.08,6.12,6.05,6.1,17700,0
20050613,6.09,6.14,6.06,6.08,27100,0
20050614,6.05,6.1,6.05,6.06,23700,0
20050615,6.08,6.16,6.06,6.13,26400,0
20050616,6.14,6.15,6.09,6.14,10800,0
20050617,6.12,6.18,6.1,6.16,28100,0
20050620,6.16,6.16,6.11,6.11,18400,0
20050621,6.13,6.15,6.11,6.11,4500,0
20050622,6.14,6.21,6.14,6.15,15000,0
20050623,6.19,6.22,6.18,6.2,37700,0
20050624,6.17,6.21,6.17,6.21,6100,0
20050627,6.2,6.26,6.18,6.18,14900,0
20050628,6.2,6.24,6.18,6.21,11000,0
20050629,6.24,6.24,6.22,6.24,9700,0
20050630,6.24,6.24,6.2,6.22,2600,0
20050701,6.2,6.21,6.18,6.2,2600,0
20050705,6.21,6.24,6.19,6.22,11300,0
20050706,6.2,6.21,6.15,6.17,11300,0
20050707,6.16,6.16,6.12,6.12,14200,0
20050708,6.16,6.16,6.12,6.13,18300,0
20050711,6.22,6.24,6.19,6.22,11600,0
20050712,6.24,6.27,6.24,6.26,12900,0
20050713,6.31,6.31,6.27,6.27,10000,0
20050714,6.3,6.33,6.3,6.32,4900,0
20050715,6.31,6.34,6.3,6.34,7600,0
20050718,6.37,6.39,6.33,6.35,18200,0
20050719,6.37,6.38,6.35,6.38,8900,0
20050720,6.35,6.37,6.34,6.37,8600,0
20050721,6.4,6.47,6.4,6.47,20800,0
20050722,6.45,6.46,6.41,6.44,16700,0
20050725,6.43,6.52,6.43,6.49,31100,0
20050726,6.41,6.48,6.41,6.46,32800,0
20050727,6.47,6.49,6.44,6.44,11200,0
20050728,6.42,6.51,6.42,6.51,23300,0
20050729,6.51,6.53,6.48,6.49,9800,0
20050801,6.52,6.53,6.47,6.5,13200,0
20050802,6.56,6.65,6.56,6.65,45200,0
20050803,6.69,6.71,6.67,6.71,53700,0
20050804,6.71,6.73,6.7,6.73,40800,0
20050805,6.65,6.7,6.65,6.66,20100,0
20050808,6.58,6.63,6.55,6.56,28300,0
20050809,6.55,6.61,6.55,6.59,28500,0
20050810,6.62,6.69,6.62,6.67,20400,0
20050811,6.68,6.72,6.68,6.7,40200,0
20050812,6.69,6.69,6.64,6.64,29900,0
20050815,6.8,6.81,6.73,6.8,59600,0
20050816,6.76,6.77,6.72,6.73,23500,0
20050817,6.69,6.69,6.66,6.67,25900,0
20050818,6.65,6.65,6.59,6.61,19900,0
