Date,Open,High,Low,Close,Volume,OpenInt
20050225,9.76,9.867,9.751,9.853,1010027,0
20050228,9.847,9.907,9.672,9.725,1312791,0
20050301,9.819,10.004,9.819,10.004,1238532,0
20050302,9.872,9.984,9.706,9.917,2552149,0
20050303,9.975,9.994,9.711,9.823,1418631,0
20050304,9.872,9.897,9.565,9.725,2633780,0
20050307,9.785,9.975,9.701,9.897,1565504,0
20050308,9.862,9.965,9.833,9.926,1113410,0
20050309,9.877,9.945,9.805,9.819,1041204,0
20050310,9.823,9.829,9.637,9.814,1314432,0
20050311,9.805,9.897,9.721,9.775,1393608,0
20050314,9.887,10.081,9.814,10.014,2168974,0
20050315,10.014,10.14,9.994,10.091,1970007,0
20050316,10.091,10.174,9.907,9.941,1246330,0
20050317,9.931,9.941,9.809,9.862,1714416,0
20050318,9.847,9.847,9.594,9.691,2319127,0
20050321,9.862,9.936,9.672,9.847,2545579,0
20050322,9.805,9.829,9.2382,9.3405,6965983,0
20050323,9.507,9.507,9.3116,9.3944,2927112,0
20050324,9.3944,9.4672,9.2971,9.3116,1727545,0
20050328,9.3505,9.3894,9.2093,9.2677,1625810,0
20050329,9.2871,9.2971,8.931,8.9409,2312560,0
20050330,8.9803,9.0627,8.897,9.0093,2480352,0
20050331,9.0048,9.121,8.9409,9.0287,1656574,0
20050401,9.0532,9.2193,8.9998,9.0627,1556475,0
20050404,9.0627,9.0627,8.7215,8.8626,2483221,0
20050405,8.9848,9.0532,8.9165,8.9459,1394019,0
20050406,8.9604,9.126,8.9509,9.0826,1908877,0
20050407,9.1066,9.2382,9.1066,9.2143,1981077,0
20050408,9.2382,9.2772,9.0871,9.0966,1190946,0
20050411,9.141,9.141,8.9409,8.9898,816392,0
20050412,8.9948,9.0482,8.7853,8.9654,1984769,0
20050413,8.9115,9.0287,8.8871,8.9604,2461073,0
20050414,8.9898,9.0726,8.897,8.9754,4733835,0
20050415,8.9459,8.9704,8.7753,8.7853,4150875,0
20050418,8.7903,8.9848,8.7509,8.8527,1819443,0
20050419,8.8771,8.9459,8.8482,8.9459,2243229,0
20050420,9.4333,9.677,9.3016,9.3066,9499671,0
20050421,9.4966,9.637,9.3849,9.56,4977110,0
20050422,9.56,9.795,9.4477,9.706,2289183,0
20050425,9.706,9.795,9.619,9.741,1901907,0
20050426,9.741,9.926,9.677,9.721,1567144,0
20050427,9.721,9.76,9.599,9.716,2070924,0
20050428,9.716,9.751,9.551,9.569,1751345,0
20050429,9.652,9.667,9.4378,9.613,1940052,0
20050502,9.637,9.731,9.546,9.691,1840366,0
20050503,9.677,9.785,9.526,9.652,3006697,0
20050504,9.637,9.716,9.526,9.603,2703115,0
20050505,9.56,9.637,9.4966,9.551,2440967,0
20050506,9.579,9.652,9.4966,9.609,760599,0
20050509,9.681,9.681,9.56,9.628,1213922,0
20050510,9.579,9.628,9.507,9.565,2771211,0
20050511,9.565,9.628,9.532,9.574,1775961,0
20050512,9.594,9.662,9.517,9.584,1976981,0
20050513,9.609,9.716,9.4877,9.594,2869264,0
20050516,9.565,9.647,9.4877,9.532,2369177,0
20050517,9.532,10.081,9.532,10.028,5152288,0
20050518,10.091,10.234,9.941,10.14,3286895,0
20050519,10.14,10.194,10.038,10.081,2541884,0
20050520,10.018,10.101,9.887,10.062,2419226,0
20050523,10.228,10.287,10.14,10.214,1650420,0
20050524,10.214,10.218,10.004,10.126,2372045,0
20050525,10.164,10.164,9.931,10.096,1614732,0
20050526,10.15,10.218,10.116,10.218,1791134,0
20050527,10.238,10.32,10.18,10.238,2168974,0
20050531,10.267,10.374,10.204,10.336,4666148,0
20050601,10.282,10.374,10.204,10.296,1120384,0
20050602,10.311,10.471,10.267,10.467,1296789,0
20050603,10.433,10.471,10.384,10.457,1892874,0
20050606,10.447,10.471,10.403,10.447,1823549,0
20050607,10.447,10.53,10.39,10.408,1692268,0
20050608,10.462,10.481,10.384,10.433,1206533,0
20050609,10.311,10.36,10.12,10.326,1720162,0
20050610,10.384,10.413,10.228,10.37,998538,0
20050613,10.326,10.481,10.228,10.408,1253716,0
20050614,10.413,10.457,10.355,10.408,1163873,0
20050615,10.384,10.437,10.214,10.316,2139433,0
20050616,10.287,10.437,10.262,10.384,947258,0
20050617,10.384,10.399,10.258,10.316,2104976,0
20050620,10.296,10.326,10.204,10.282,1810011,0
20050621,10.248,10.34,10.228,10.336,1294736,0
20050622,10.38,10.403,10.272,10.365,1594631,0
20050623,10.384,10.481,10.238,10.238,1350120,0
20050624,10.248,10.272,9.917,9.951,3988417,0
20050627,9.961,10.004,9.847,9.926,1154845,0
20050628,9.945,10.052,9.926,9.994,1464992,0
20050629,10.004,10.028,9.819,9.847,1788675,0
20050630,9.907,9.965,9.755,9.795,2344561,0
20050701,9.819,9.951,9.755,9.941,1350120,0
20050705,9.941,10.394,9.941,10.36,2406917,0
20050706,10.37,10.535,10.36,10.491,2312147,0
20050707,10.311,10.643,10.243,10.637,2071742,0
20050708,10.637,10.856,10.613,10.823,3973649,0
20050711,10.846,11.066,10.832,10.95,2575938,0
20050712,10.988,11.004,10.872,10.944,1398532,0
20050713,10.969,10.969,10.799,10.856,1286535,0
20050714,10.88,10.934,10.725,10.789,2185387,0
20050715,10.711,10.779,10.535,10.701,2139433,0
20050718,10.677,10.677,10.521,10.535,1558117,0
20050719,10.579,10.799,10.545,10.799,1757084,0
20050720,10.813,11.261,10.813,11.076,2435226,0
20050721,11.1,11.208,10.924,11.086,1893289,0
20050722,11.14,11.144,10.944,11.047,2078718,0
20050725,11.057,11.096,10.91,10.915,1599546,0
20050726,10.969,11.106,10.872,10.924,1855137,0
20050727,10.924,10.924,10.745,10.837,1868260,0
20050728,10.842,10.944,10.789,10.862,1593394,0
20050729,10.89,11.004,10.769,10.856,1812880,0
20050801,10.88,10.934,10.677,10.701,2408962,0
20050802,10.715,10.76,10.579,10.725,2683423,0
20050803,10.715,10.793,10.672,10.706,1281613,0
20050804,10.691,10.715,10.647,10.691,3181868,0
20050805,10.653,10.725,10.603,10.643,1697192,0
20050808,10.701,10.803,10.579,10.628,869315,0
20050809,10.593,10.793,10.593,10.731,1189715,0
20050810,10.769,10.813,10.569,10.623,1419455,0
20050811,10.637,10.827,10.637,10.784,1715647,0
20050812,10.715,10.809,10.628,10.741,2324051,0
20050815,10.711,10.866,10.672,10.793,1067871,0
20050816,10.789,10.846,10.696,10.725,1391147,0
20050817,10.75,10.846,10.745,10.779,1075665,0
20050818,10.691,10.691,10.447,10.53,1042850,0
20050819,10.54,10.593,10.471,10.525,1558526,0
20050822,10.535,10.579,10.437,10.515,1448582,0
20050823,10.515,10.521,10.35,10.37,2510302,0
20050824,10.37,10.427,10.262,10.287,1875234,0
20050825,10.326,10.437,10.316,10.36,1111772,0
20050826,10.36,10.384,10.126,10.296,1716056,0
20050829,10.238,10.36,10.204,10.253,1837495,0
20050830,10.234,10.234,10.062,10.18,1166328,0
20050831,10.184,10.336,10.091,10.336,1781293,0
20050901,10.316,10.37,10.14,10.228,2005292,0
20050902,10.228,10.306,10.174,10.301,1255765,0
20050906,10.336,10.427,10.316,10.403,1633195,0
20050907,10.403,10.447,10.36,10.418,1541706,0
20050908,10.36,10.413,10.272,10.336,1499451,0
20050909,10.35,10.427,10.224,10.272,2621473,0
20050912,10.282,10.34,10.15,10.194,2791734,0
20050913,10.218,10.238,9.989,10.033,2116874,0
20050914,10.072,10.106,9.926,9.951,1839544,0
20050915,9.951,10.023,9.706,9.799,2302306,0
20050916,9.838,9.951,9.799,9.887,2462301,0
20050919,9.507,9.687,8.9165,9.4817,7973551,0
20050920,9.4817,9.662,9.4817,9.542,5564585,0
20050921,9.4877,9.542,9.36,9.36,2691215,0
20050922,9.3066,9.4044,9.0532,9.3215,3545352,0
20050923,9.2821,9.3699,9.2193,9.3455,1676269,0
20050926,10.018,10.116,9.716,9.751,4097542,0
20050927,9.711,9.751,9.594,9.706,1812880,0
20050928,9.725,9.751,9.517,9.652,1351760,0
20050929,9.662,9.862,9.657,9.838,2573066,0
20050930,9.819,9.882,9.78,9.833,1801804,0
20051003,9.833,9.862,9.751,9.819,1752983,0
20051004,9.819,9.823,9.652,9.706,2149282,0
20051005,9.652,9.652,9.4288,9.4877,2758906,0
20051006,9.4877,9.613,9.3944,9.502,1572886,0
20051007,9.4966,9.532,9.355,9.4577,2285073,0
20051010,9.4817,9.697,9.4817,9.697,3551094,0
20051011,9.725,9.78,9.542,9.584,2805674,0
20051012,9.565,9.697,9.542,9.619,2744144,0
20051013,9.594,9.731,9.555,9.647,3597453,0
20051014,9.647,10.018,9.603,9.97,3826779,0
20051017,9.926,10.048,9.882,10.038,2820445,0
20051018,10.038,10.048,9.917,9.994,2503326,0
20051019,9.751,10.052,9.681,10.028,5803350,0
20051020,9.565,9.984,9.546,9.76,6065085,0
20051021,9.755,9.891,9.716,9.755,4415890,0
20051024,9.751,9.862,9.716,9.853,5262641,0
20051025,9.823,9.882,9.751,9.819,3647089,0
20051026,9.775,9.838,9.716,9.745,5204388,0
20051027,9.741,9.765,9.517,9.565,2859832,0
20051028,9.565,9.623,9.4093,9.594,2905369,0
20051031,9.569,9.785,9.569,9.741,2558708,0
20051101,9.716,9.716,9.574,9.657,3472736,0
20051102,9.637,9.77,9.637,9.741,2782291,0
20051103,9.751,9.785,9.672,9.716,1934722,0
20051104,9.741,9.76,9.619,9.697,1727956,0
20051107,9.697,9.751,9.623,9.706,1910517,0
20051108,9.697,9.697,9.4143,9.517,2519736,0
20051109,9.517,9.623,9.3994,9.546,2203435,0
20051110,9.551,9.662,9.4577,9.603,2678089,0
20051111,9.594,9.662,9.555,9.628,1861289,0
20051114,9.628,9.755,9.609,9.701,1930622,0
20051115,9.701,9.795,9.599,9.637,1956467,0
20051116,9.633,9.741,9.565,9.609,2078718,0
20051117,9.637,9.765,9.584,9.765,1638526,0
20051118,9.785,9.805,9.691,9.77,1082638,0
20051121,9.775,9.936,9.735,9.907,1725498,0
20051122,10.116,10.248,9.961,10.238,4522969,0
20051123,10.238,10.311,10.214,10.238,3730369,0
20051125,10.238,10.238,10.17,10.214,450859,0
20051128,10.204,10.228,10.072,10.076,1854315,0
20051129,10.096,10.17,10.033,10.081,1336997,0
20051130,10.091,10.184,10.052,10.184,2296969,0
20051201,10.214,10.326,10.194,10.292,2714193,0
20051202,10.296,10.471,10.238,10.462,2724445,0
20051205,10.481,10.481,10.091,10.14,5163777,0
20051206,10.248,10.423,10.238,10.35,2345381,0
20051207,10.326,10.481,10.326,10.394,1999544,0
20051208,10.384,10.476,10.238,10.33,1636884,0
20051209,10.36,10.564,10.36,10.545,1624162,0
20051212,10.623,10.813,10.599,10.789,2842188,0
20051213,10.779,10.856,10.691,10.765,2316248,0
20051214,10.75,10.959,10.731,10.915,2377380,0
20051215,10.969,10.998,10.866,10.954,1626630,0
20051216,10.954,10.994,10.813,10.856,1517093,0
20051219,10.837,10.837,10.579,10.603,2262915,0
20051220,10.633,10.725,10.549,10.667,703982,0
20051221,10.667,10.701,10.593,10.677,1828472,0
20051222,10.657,10.755,10.599,10.745,2077485,0
20051223,10.799,10.969,10.799,10.92,897621,0
20051227,10.896,10.91,10.525,10.603,1590118,0
20051228,10.653,10.769,10.515,10.76,1144996,0
20051229,10.866,10.934,10.813,10.92,1372276,0
20051230,10.856,10.856,10.569,10.789,1425197,0
20060103,10.9,10.915,10.696,10.837,1804263,0
20060104,10.88,11.194,10.88,11.194,2189073,0
20060105,11.16,11.228,11.062,11.115,1553604,0
20060106,11.164,11.344,11.082,11.325,1355048,0
20060109,11.299,11.569,11.299,11.554,3247512,0
20060110,11.549,11.549,11.349,11.407,1861289,0
20060111,11.214,11.334,11.164,11.305,2578811,0
20060112,11.257,11.433,11.198,11.252,1770626,0
20060113,11.267,11.309,11.14,11.248,1364071,0
20060117,11.238,11.319,11.164,11.252,2205077,0
20060118,11.09,11.179,11.032,11.09,1782933,0
20060119,11.214,12.451,11.169,12.261,13123381,0
20060120,12.091,12.187,11.988,12.012,3271306,0
20060123,12.091,12.091,11.915,11.968,2577171,0
20060124,11.974,12.168,11.949,12.143,3001366,0
20060125,12.177,12.241,11.954,12.018,1449400,0
20060126,12.052,12.202,11.998,12.163,1264788,0
20060127,12.163,12.334,12.056,12.212,1262737,0
20060130,12.177,12.363,12.163,12.329,1206950,0
20060131,12.334,12.461,12.222,12.388,2065184,0
20060201,12.407,12.582,12.343,12.552,2031130,0
20060202,12.577,12.612,12.158,12.373,2319532,0
20060203,12.309,12.373,12.153,12.193,1713600,0
20060206,12.212,12.212,11.822,12.153,2783524,0
20060207,12.139,12.309,11.959,12.012,1367764,0
20060208,12.042,12.197,12.022,12.091,1091256,0
20060209,12.168,12.197,11.934,11.978,1196279,0
20060210,11.93,11.974,11.778,11.954,844286,0
20060213,11.91,12.037,11.802,11.812,841828,0
20060214,11.812,11.886,11.633,11.676,2190308,0
20060215,11.633,11.954,11.559,11.944,1376382,0
20060216,12.066,12.246,12.002,12.227,2068462,0
20060217,12.251,12.285,12.153,12.163,793007,0
20060221,12.222,12.222,12.076,12.115,1131869,0
20060222,12.334,12.334,11.984,12.056,1996667,0
20060223,12.018,12.133,11.934,12.062,1290226,0
20060224,12.081,12.368,11.998,12.334,2727731,0
20060227,12.422,12.528,12.334,12.353,1360791,0
20060228,12.353,12.373,12.1,12.241,1602016,0
20060301,12.275,12.651,12.222,12.632,1697192,0
20060302,12.534,12.666,12.334,12.441,1512989,0
20060303,12.383,12.485,12.265,12.271,1602836,0
20060306,12.285,12.305,12.047,12.143,1023565,0
20060307,12.081,12.168,11.954,12.066,1731651,0
20060308,12.042,12.183,11.984,12.096,1498220,0
20060309,12.096,12.153,11.896,11.924,1304581,0
20060310,11.949,12.329,11.949,12.246,1811653,0
20060313,12.246,12.309,12.197,12.217,1584373,0
20060314,12.231,12.334,12.177,12.275,1561810,0
20060315,12.251,12.407,12.153,12.373,1386223,0
20060316,12.432,12.616,12.383,12.528,1953185,0
20060317,12.597,12.606,12.353,12.363,2232562,0
20060320,12.334,12.397,12.275,12.309,2323229,0
20060321,12.261,12.397,12.129,12.202,1651242,0
20060322,12.177,12.237,12.115,12.187,2184563,0
20060323,12.193,12.265,12.086,12.133,1239767,0
20060324,12.343,12.343,12.109,12.241,799984,0
20060327,12.275,12.388,12.241,12.275,1732062,0
20060328,12.334,12.422,12.231,12.246,2547632,0
20060329,12.246,12.748,12.246,12.714,1685703,0
20060330,12.714,12.724,12.552,12.686,2876651,0
20060331,12.748,12.797,12.622,12.72,2367120,0
20060403,12.71,12.826,12.577,12.636,2616963,0
20060404,12.7,12.772,12.602,12.676,1768571,0
20060405,12.666,12.772,12.656,12.744,1425197,0
20060406,12.778,12.92,12.695,12.851,2100872,0
20060407,12.915,12.92,12.622,12.676,1880982,0
20060410,12.676,12.71,12.52,12.528,885314,0
20060411,12.534,12.562,12.246,12.353,2093900,0
20060412,12.353,12.457,12.319,12.343,953410,0
20060413,12.562,12.788,12.476,12.71,4276410,0
20060417,12.626,12.656,12.467,12.612,1216382,0
20060418,12.632,12.758,12.597,12.72,2509067,0
20060419,13.46,14.678,13.46,14.269,9912787,0
20060420,14.269,14.835,14.269,14.669,6387129,0
20060421,14.683,14.683,14.25,14.348,2988237,0
20060424,14.284,14.348,14.05,14.123,2409379,0
20060425,14.104,14.139,13.953,14.06,2181692,0
20060426,14.119,14.129,13.884,13.937,2251849,0
20060427,13.972,14.089,13.884,13.972,2383534,0
20060428,13.913,14.187,13.899,14.089,2486504,0
20060501,14.225,14.435,14.173,14.192,2759726,0
20060502,14.173,14.372,14.163,14.313,1767754,0
20060503,14.382,14.616,14.382,14.46,2456967,0
20060504,14.626,15.021,14.602,14.869,4171387,0
20060505,14.869,14.957,14.707,14.933,1782520,0
20060508,14.845,14.869,14.673,14.693,2161180,0
20060509,14.796,14.811,14.582,14.616,1627041,0
20060510,14.528,14.568,14.338,14.396,1846934,0
20060511,14.416,14.416,14.148,14.158,1755036,0
20060512,14.041,14.041,13.572,13.67,3182281,0
20060515,13.548,13.709,13.47,13.66,2693274,0
20060516,13.714,13.835,13.562,13.621,1515451,0
20060517,13.562,13.631,13.139,13.27,2153386,0
20060518,13.406,13.504,13.109,13.119,2036058,0
20060519,13.153,13.265,12.87,13.265,2245282,0
20060522,13.211,13.265,13.041,13.187,2664962,0
20060523,13.299,13.484,13.202,13.202,3332434,0
20060524,13.139,13.197,12.93,13.065,4031084,0
20060525,13.226,13.241,13.021,13.095,1598319,0
20060526,13.139,13.406,13.065,13.386,1350942,0
20060530,13.773,13.773,13.183,13.202,2928749,0
20060531,13.261,13.538,13.241,13.538,2627221,0
20060601,13.562,13.996,13.562,13.996,2452452,0
20060602,14.015,14.139,13.845,13.972,1818623,0
20060605,13.943,13.943,13.719,13.738,1915439,0
20060606,13.763,13.84,13.207,13.285,5699971,0
20060607,13.27,13.353,12.977,13.051,4811784,0
20060608,12.676,12.94,12.432,12.9,5566633,0
20060609,12.972,13.163,12.876,12.896,3457973,0
20060612,12.991,13.021,12.256,12.334,2388456,0
20060613,12.066,12.378,12.022,12.237,3072750,0
20060614,12.207,12.501,12.177,12.432,3042797,0
20060615,12.476,13.139,12.471,13.105,2063952,0
20060616,13.221,13.285,12.841,13.051,2775728,0
20060619,13.075,13.159,12.666,12.763,1781700,0
20060620,12.724,12.915,12.562,12.734,1851853,0
20060621,12.758,13.349,12.758,13.251,2110721,0
20060622,13.139,13.285,12.896,13.143,3133053,0
20060623,13.105,13.309,12.977,13.119,2029080,0
20060626,13.163,13.504,13.085,13.368,2771211,0
20060627,13.319,13.426,13.183,13.251,2153797,0
20060628,13.245,13.245,12.886,13.075,2452452,0
20060629,13.139,13.616,13.061,13.616,1230738,0
20060630,13.626,13.778,13.508,13.641,2279739,0
20060703,13.641,13.859,13.528,13.85,746642,0
20060705,13.797,13.811,13.221,13.406,2776959,0
20060706,13.406,13.499,13.285,13.373,2159131,0
20060707,13.359,13.382,13.099,13.163,1707444,0
20060710,13.216,13.285,13.089,13.173,1700886,0
20060711,13.119,13.163,12.896,13.139,1296789,0
20060712,13.261,13.309,12.626,12.753,3876829,0
20060713,12.651,12.748,12.528,12.641,2072153,0
20060714,12.602,12.7,12.295,12.403,2314202,0
20060717,12.368,12.467,12.261,12.447,2586193,0
20060718,12.495,12.587,12.265,12.501,2667419,0
20060719,13.105,13.773,13.105,13.373,5630221,0
20060720,13.373,13.494,13.29,13.484,4415487,0
20060721,13.446,13.454,12.686,13.031,3581453,0
20060724,13.026,13.406,13.026,13.396,2663733,0
20060725,13.373,13.704,13.329,13.592,1644678,0
20060726,13.572,13.734,13.216,13.499,2312560,0
20060727,13.602,13.719,13.504,13.572,2104156,0
20060728,13.65,13.987,13.641,13.753,2484862,0
20060731,13.753,13.805,13.528,13.67,1491244,0
20060801,13.626,13.685,13.231,13.363,2113588,0
20060802,13.396,13.724,13.396,13.709,1414119,0
20060803,13.626,13.85,13.499,13.787,1347660,0
20060804,13.894,14.259,13.69,13.869,1725087,0
20060807,13.894,13.982,13.763,13.797,1143356,0
20060808,13.845,13.943,13.631,13.66,925517,0
20060809,13.797,13.894,13.538,13.562,1347660,0
20060810,13.514,13.869,13.426,13.85,1458012,0
20060811,13.797,13.797,13.666,13.748,1053924,0
20060814,13.859,14.011,13.84,13.933,1912566,0
20060815,14.015,14.45,14.015,14.382,2093487,0
20060816,14.444,14.703,14.352,14.626,3194590,0
20060817,14.626,14.626,14.362,14.558,1949080,0
20060818,14.523,14.533,14.269,14.479,1283253,0
20060821,14.372,14.406,14.065,14.114,1230738,0
20060822,14.079,14.382,13.982,14.304,2036465,0
20060823,14.348,14.358,14.139,14.284,1126948,0
20060824,14.308,14.352,14.035,14.139,977208,0
20060825,14.079,14.328,13.963,14.094,646138,0
20060828,14.069,14.402,14.069,14.294,1360378,0
20060829,14.294,14.308,13.972,14.119,1740267,0
20060830,14.133,14.274,14.069,14.129,1543759,0
20060831,14.139,14.139,13.982,14.006,1940463,0
20060901,14.041,14.085,13.913,13.963,1612681,0
20060905,13.982,14.323,13.929,14.284,1914623,0
20060906,14.201,14.269,13.972,14.025,1722624,0
20060907,14.025,14.342,13.845,14.114,2348254,0
20060908,14.114,14.158,13.943,14.05,1939234,0
20060911,14.015,14.254,13.797,14.104,963670,0
20060912,14.099,14.44,14.069,14.259,2417993,0
20060913,14.206,14.425,14.158,14.425,1443251,0
20060914,14.406,14.548,14.382,14.494,1131869,0
20060915,14.678,14.981,14.494,14.811,3436230,0
20060918,14.757,14.815,14.514,14.654,1966721,0
20060919,14.646,14.713,14.288,14.568,2170614,0
20060920,14.592,14.957,14.582,14.913,3180232,0
20060921,15.016,15.391,14.933,15.078,3723808,0
20060922,15.069,15.069,14.742,14.879,1415350,0
20060925,14.917,15.21,14.727,15.059,2315430,0
20060926,15.055,15.416,14.971,15.396,2225996,0
20060927,15.332,15.659,15.225,15.547,2732651,0
20060928,15.537,15.697,15.166,15.293,2627221,0
20060929,15.268,15.372,15.078,15.093,1384172,0
20061002,15.23,15.444,15.137,15.244,2145589,0
20061003,15.215,15.268,14.839,15.186,2052875,0
20061004,15.098,15.416,15.045,15.416,1992568,0
20061005,15.391,15.835,15.313,15.663,2081180,0
20061006,15.566,15.668,15.391,15.611,1023565,0
20061009,15.43,15.917,15.21,15.781,1830928,0
20061010,15.835,15.835,15.41,15.537,2015542,0
20061011,15.43,15.668,15.293,15.605,1530630,0
20061012,15.653,15.946,15.576,15.932,1057617,0
20061013,15.893,16.156,15.767,16.088,1490835,0
20061016,16.2,16.419,16.01,16.063,1774730,0
20061017,15.941,15.956,15.659,15.821,2280147,0
20061018,16.429,17.014,16.029,16.6,8800203,0
20061019,16.707,16.97,16.6,16.878,3051418,0
20061020,16.819,16.858,16.347,16.453,4475381,0
20061023,16.453,16.497,16.18,16.355,3407097,0
20061024,16.293,16.634,16.215,16.605,2725678,0
20061025,16.575,16.814,16.507,16.761,3104332,0
20061026,16.819,16.931,16.712,16.878,3131001,0
20061027,16.834,17.18,16.722,16.775,3685656,0
20061030,16.649,16.673,16.395,16.639,2506193,0
20061031,16.6,16.634,16.36,16.551,2498404,0
20061101,16.551,16.551,15.741,15.922,2724856,0
20061102,15.786,16.024,15.625,16,3394790,0
20061103,16.049,16.146,15.903,16.146,2120569,0
20061106,16.21,16.37,16.024,16.283,2212458,0
20061107,16.24,16.653,16.18,16.424,2029493,0
20061108,16.308,16.449,16.039,16.385,1843239,0
20061109,16.492,16.566,16.36,16.429,2415123,0
20061110,16.517,16.585,16.25,16.561,2089794,0
20061113,16.585,16.697,16.473,16.673,1860056,0
20061114,16.693,16.872,16.477,16.848,1765703,0
20061115,16.771,16.878,16.6,16.819,2004055,0
20061116,16.892,16.926,16.591,16.829,2467223,0
20061117,16.804,16.814,16.443,16.517,2487328,0
20061120,16.459,16.683,16.385,16.463,1837904,0
20061121,16.551,16.834,16.449,16.834,2271537,0
20061122,16.814,16.853,16.659,16.809,1331252,0
20061124,16.751,16.848,16.697,16.737,365531,0
20061127,16.794,16.794,16.161,16.166,1341506,0
20061128,16.146,16.385,15.976,16.308,2632554,0
20061129,16.399,16.659,16.327,16.659,2266616,0
20061130,16.687,16.868,16.546,16.605,1834621,0
20061201,16.737,16.784,16.322,16.585,1421091,0
20061204,16.634,16.838,16.531,16.585,2479939,0
20061205,16.644,16.862,16.605,16.756,1542528,0
20061206,16.771,16.965,16.693,16.771,1240996,0
20061207,16.794,16.809,16.502,16.546,2489786,0
20061208,16.659,16.794,16.492,16.624,1352171,0
20061211,16.619,16.669,16.132,16.254,2247332,0
20061212,16.186,16.21,15.43,15.683,6467949,0
20061213,15.747,15.869,15.576,15.815,4732195,0
20061214,15.99,16.126,15.84,16.113,4021240,0
20061215,16.132,16.234,15.673,15.683,3662682,0
20061218,15.786,15.786,15.376,15.531,5441103,0
20061219,15.484,15.644,15.234,15.488,3916216,0
20061220,15.478,15.615,15.298,15.322,2013084,0
20061221,15.435,15.444,15.112,15.156,2411843,0
20061222,15.234,15.322,15.146,15.225,2213689,0
20061226,15.23,15.426,15.18,15.342,1330430,0
20061227,15.342,15.527,15.328,15.454,1519959,0
20061228,15.478,15.605,15.274,15.293,1234021,0
20061229,15.357,15.547,15.122,15.132,1461295,0
20070103,15.186,15.707,15.186,15.541,5484998,0
20070104,15.541,16.098,15.541,16.044,5424281,0
20070105,15.96,15.971,15.601,15.751,2680554,0
20070108,15.605,15.649,15.122,15.444,5584279,0
20070109,15.454,15.454,14.997,15.122,5108798,0
20070110,14.927,15.112,14.923,15.016,2807318,0
20070111,15.103,15.659,15.103,15.469,4006875,0
20070112,15.357,15.502,15.21,15.478,4137752,0
20070116,15.551,15.786,15.522,15.707,4256716,0
20070117,15.965,16.254,15.801,15.932,8937219,0
20070118,16.068,16.088,15.653,15.697,3935904,0
20070119,15.668,15.757,15.382,15.644,2846701,0
20070122,15.659,15.697,15.426,15.611,3881344,0
20070123,15.611,16.117,15.611,16.059,4881933,0
20070124,16.196,16.687,16.196,16.409,5729095,0
20070125,16.409,16.443,16.039,16.146,3150286,0
20070126,16.151,16.389,16.039,16.288,2311742,0
20070129,16.351,16.399,16.093,16.21,3401356,0
20070130,16.234,16.332,16.059,16.318,2718706,0
20070131,16.22,16.6,16.132,16.507,2979619,0
20070201,16.531,16.697,16.409,16.521,1942925,0
20070202,16.527,16.551,16.37,16.512,1565091,0
