Date,Open,High,Low,Close,Volume,OpenInt
20121128,16.905,17.121,16.905,17.121,1258565,0
20121129,17.077,17.121,17.042,17.121,256847,0
20121130,17.121,17.129,17.077,17.121,123773,0
20121203,17.129,17.129,17.121,17.121,28859,0
20121204,17.121,17.129,17.077,17.121,158663,0
20121205,17.103,17.121,17.103,17.121,114435,0
20121206,17.42,17.461,17.121,17.121,28859,0
20121207,17.121,17.204,17.121,17.144,38931,0
20121210,17.121,17.333,17.121,17.28,72591,0
20121211,17.121,17.249,17.121,17.169,17817,0
20121212,17.204,17.204,17.144,17.196,13505,0
20121213,17.144,17.204,17.121,17.121,57322,0
20121214,17.121,17.144,17.077,17.121,46755,0
20121217,17.204,17.204,17.161,17.204,5528,0
20121218,17.367,17.367,16.716,17.121,12092,0
20121219,17.121,17.129,17.085,17.121,32942,0
20121220,17.249,17.249,17.121,17.129,19160,0
20121221,17.121,17.129,17.121,17.121,45446,0
20121224,17.153,17.153,17.121,17.121,1520,0
20121226,17.135,17.161,17.135,17.161,3796,0
20121227,17.161,17.161,17.077,17.121,26986,0
20121228,17.129,17.178,17.129,17.129,12714,0
20121231,17.121,17.222,17.121,17.129,11799,0
20130102,17.121,17.178,17.121,17.129,33293,0
20130103,17.129,17.187,17.121,17.129,16255,0
20130104,17.121,17.121,17.121,17.121,20794,0
20130107,17.121,17.367,17.085,17.258,62240,0
20130108,17.032,17.032,16.931,16.958,307930,0
20130109,16.949,17.135,16.949,17.135,100706,0
20130110,17.121,17.161,16.99,17.077,167990,0
20130111,17.032,17.112,16.862,17.112,88836,0
20130114,17.032,17.085,16.844,16.958,29708,0
20130115,17.023,17.023,16.605,16.622,93730,0
20130116,16.896,16.905,16.468,16.553,103433,0
20130117,16.553,16.768,16.553,16.605,22983,0
20130118,16.622,16.777,16.622,16.777,23076,0
20130122,16.821,16.821,16.522,16.75,60616,0
20130123,16.855,16.881,16.685,16.71,24264,0
20130124,16.669,16.797,16.651,16.669,73133,0
20130125,16.66,16.815,16.495,16.54,116061,0
20130128,16.761,16.761,16.433,16.495,125258,0
20130129,16.468,16.597,16.442,16.579,94642,0
20130130,16.563,16.881,16.522,16.718,59471,0
20130131,16.797,16.797,16.45,16.554,114108,0
20130201,16.615,16.632,16.459,16.623,28208,0
20130204,16.597,16.597,16.433,16.554,61782,0
20130205,16.579,16.579,16.459,16.54,56267,0
20130206,16.513,16.571,16.486,16.563,64461,0
20130207,16.486,16.579,16.459,16.579,64602,0
20130208,16.579,16.632,16.468,16.546,67508,0
20130211,16.579,16.597,16.468,16.597,24739,0
20130212,16.546,16.718,16.546,16.641,24397,0
20130213,16.632,16.788,16.54,16.718,35220,0
20130214,16.809,16.842,16.625,16.842,27279,0
20130215,16.842,16.858,16.703,16.736,20744,0
20130219,16.842,17.336,16.835,16.884,50013,0
20130220,17.077,17.103,16.884,16.974,114372,0
20130221,17.058,17.179,16.911,17.085,70214,0
20130222,17.144,17.206,16.884,16.965,71266,0
20130225,16.974,17.032,16.858,16.902,115190,0
20130226,16.92,16.946,16.835,16.858,36395,0
20130227,16.884,16.997,16.868,16.929,33690,0
20130228,17.122,17.122,16.938,17.05,36937,0
20130301,17.058,17.197,16.997,17.162,40092,0
