Date,Open,High,Low,Close,Volume,OpenInt
20131212,20.023,23.158,19.875,22.446,17385185,0
20131213,22.744,24.304,22.684,23.562,2315598,0
20131216,23.732,23.732,22.504,23.436,583750,0
20131217,23.03,23.455,22.802,23.196,221885,0
20131218,23.178,23.752,22.85,23.732,841286,0
20131219,23.544,23.732,23.246,23.436,387250,0
20131220,23.286,23.672,23.236,23.652,923315,0
20131223,23.732,24.374,23.712,23.9,531262,0
20131224,23.811,24.621,23.811,24.118,82841,0
20131226,24.384,25.333,24.217,25.215,438381,0
20131227,25.462,26.173,25.255,25.69,342759,0
20131230,26.422,26.422,25.324,25.521,608716,0
20131231,25.788,25.947,25.352,25.927,421534,0
20140102,25.699,25.709,24.819,25.086,215379,0
20140103,25.521,25.611,25.066,25.265,233775,0
20140106,25.066,25.305,24.078,24.118,575526,0
20140107,24.227,24.513,23.988,24.078,536603,0
20140108,24.078,24.304,23.841,24.078,424457,0
20140109,24.118,24.573,24.058,24.384,342510,0
20140110,24.563,24.967,24.394,24.503,302025,0
20140113,24.374,25.046,24.304,24.7,236334,0
20140114,24.7,24.7,24.424,24.611,65129,0
20140115,24.543,24.819,24.424,24.553,178192,0
20140116,24.7,24.72,24.255,24.543,273681,0
20140117,24.602,24.67,24.127,24.236,210188,0
20140121,24.8,26.026,24.464,24.602,633696,0
20140122,24.324,24.996,24.227,24.631,554359,0
20140123,24.967,24.967,24.274,24.7,160849,0
20140124,24.374,24.959,23.446,23.672,384131,0
20140127,23.612,23.652,23.139,23.376,248513,0
20140128,23.752,24.207,23.276,24.177,339131,0
20140129,23.446,24.147,23.236,23.928,367613,0
20140130,23.851,24.611,23.642,24.434,365469,0
20140131,24.324,24.503,23.9,24.434,260841,0
20140203,24.563,24.67,23.346,24.533,243738,0
20140204,24.533,25.006,24.294,24.71,451494,0
20140205,24.284,29.377,22.782,25.808,2580420,0
20140206,26.124,26.699,25.343,25.561,567150,0
20140207,25.728,25.728,24.996,25.324,250225,0
20140210,25.452,26.263,24.72,26.153,272591,0
20140211,25.997,26.489,25.748,26.422,252706,0
20140212,26.589,27.687,26.363,27.331,803241,0
20140213,27.346,27.851,26.81,27.763,468236,0
20140214,27.94,28.198,27.663,27.812,630191,0
20140218,28.227,28.535,27.87,28.13,352175,0
20140219,27.99,28.208,27.97,28.14,235249,0
20140220,28.257,28.337,27.97,28.06,477367,0
20140221,28.06,28.07,27.96,28.01,369068,0
20140224,27.96,28.1,27.91,28.02,923797,0
20140225,28.06,28.447,27.89,28.218,496971,0
20140226,28.287,28.437,28.1,28.277,412677,0
20140227,28.227,28.506,27.91,27.97,370372,0
20140228,28,28.257,27.851,27.92,722902,0
20140303,27.92,28.208,27.059,27.523,466497,0
20140304,27.733,28.497,27.613,28.218,1544076,0
20140305,28.247,28.497,27.98,28.257,940577,0
20140306,28.317,28.497,28.237,28.297,328274,0
20140307,28.457,29.071,28.208,28.942,320173,0
20140310,29.031,29.636,28.784,29.308,261049,0
20140311,29.408,29.586,28.614,28.664,403234,0
20140312,28.437,28.824,28.169,28.387,827411,0
20140313,28.347,28.585,27.96,28,435187,0
20140314,28,28.218,27.128,27.148,401868,0
20140317,27.216,27.426,26.989,27.216,169821,0
20140318,27.236,27.841,27.029,27.713,210064,0
20140319,28.09,28.357,27.504,27.783,391242,0
20140320,27.733,28.912,27.286,28.624,370338,0
20140321,28.784,29.725,28.487,29.636,1761230,0
20140324,29.408,29.438,28.287,28.862,618593,0
20140325,29.021,29.021,28.09,28.09,247263,0
20140326,28.208,28.208,27.495,27.633,286635,0
20140327,27.643,28.506,27.376,28.347,362537,0
20140328,28.357,28.506,28.03,28.237,235476,0
20140331,28.347,28.734,28.05,28.674,2780143,0
20140401,28.684,28.684,28.327,28.447,246843,0
20140402,28.515,28.794,28.437,28.634,738306,0
20140403,28.654,28.724,28.159,28.437,577107,0
20140404,28.487,28.545,27.543,27.623,235908,0
20140407,27.504,27.683,26.899,27.306,155179,0
20140408,27.256,27.306,26.839,26.989,447051,0
20140409,27.039,27.753,26.929,27.713,86835,0
20140410,27.693,27.832,26.989,27.138,120521,0
20140411,27.019,27.316,26.682,26.989,190374,0
20140414,27.226,27.603,26.989,27.455,442537,0
20140415,27.543,27.94,27.326,27.663,389071,0
20140416,27.88,27.9,27.445,27.653,128903,0
20140417,27.663,28.12,27.504,27.802,148160,0
20140421,27.812,28.05,27.733,27.95,168839,0
20140422,28.04,28.387,27.753,28.237,322902,0
20140423,28.227,28.555,27.97,28.15,240684,0
20140424,28.307,28.515,27.723,27.99,404400,0
20140425,27.96,27.98,27.356,27.743,160574,0
20140428,27.773,28.227,27.128,27.533,221624,0
20140429,27.693,27.99,27.336,27.723,215091,0
20140430,27.613,27.95,27.386,27.95,206370,0
20140501,27.98,27.98,27.513,27.822,102473,0
20140502,27.713,28.227,27.713,27.88,84462,0
20140505,27.832,28.07,27.593,27.93,146219,0
20140506,27.93,28.03,27.523,27.802,95471,0
20140507,27.91,27.91,26.969,27.286,255009,0
20140508,28.178,28.178,26.483,26.542,434646,0
20140509,26.732,26.919,26.453,26.741,361133,0
20140512,26.82,27.216,26.602,26.82,479779,0
20140513,26.889,27.475,26.592,27.039,424255,0
20140514,26.979,27.148,26.771,26.969,112362,0
20140515,26.765,27.054,26.308,26.815,148652,0
20140516,26.854,27.004,26.596,26.775,180415,0
20140519,25.96,26.318,25.642,26.238,146131,0
20140520,26.338,26.477,25.88,26.168,179592,0
20140521,26.278,26.447,26.049,26.248,345411,0
20140522,26.328,26.427,26.129,26.218,117906,0
20140523,26.328,26.795,26.099,26.437,261587,0
20140527,26.546,26.666,25.87,25.96,233611,0
20140528,25.781,27.392,25.562,26.676,1148107,0
20140529,26.636,26.844,24.936,25.681,1898862,0
