Date,Open,High,Low,Close,Volume,OpenInt
20141029,23.396,23.493,23.202,23.434,22250,0
20141030,23.25,23.638,23.25,23.396,26142,0
20141031,23.347,23.463,23.202,23.241,12638,0
20141103,23.444,23.444,23.153,23.347,11417,0
20141104,23.308,23.347,22.766,22.853,23320,0
20141105,22.911,23.008,22.669,22.766,23521,0
20141106,22.814,22.911,22.708,22.756,9125,0
20141107,22.766,23.25,22.766,23.105,10705,0
20141110,23.115,23.493,23.008,23.347,11567,0
20141111,23.202,23.58,23.057,23.086,7008,0
20141112,23.105,23.25,22.96,23.008,12682,0
20141113,23.008,23.008,22.524,22.621,16020,0
20141114,22.621,22.766,22.34,22.698,14684,0
20141117,22.717,22.717,22.475,22.669,14440,0
20141118,22.659,22.95,22.553,22.95,14915,0
20141119,22.766,22.96,22.717,22.843,10735,0
20141120,22.998,23.202,22.814,22.96,26396,0
20141121,23.58,23.58,23.008,23.153,9476,0
20141124,23.153,23.541,23.105,23.25,19638,0
20141125,23.153,23.25,23.153,23.25,10473,0
20141126,23.241,23.851,23.202,23.25,20222,0
20141128,22.776,23.008,21.894,21.942,55603,0
20141201,21.603,21.836,20.819,21.061,49022,0
20141202,20.828,21.119,20.441,20.683,26479,0
20141203,20.683,20.683,20.247,20.489,38384,0
20141204,20.296,20.441,18.746,19.036,60555,0
20141205,19.046,19.046,16.982,17.631,126691,0
20141208,17.147,17.147,14.27,15.791,157023,0
20141209,16.081,16.905,15.113,16.711,62746,0
20141210,16.333,16.953,16.033,16.498,69847,0
20141211,16.498,18.067,16.421,17.099,77897,0
20141212,15.752,16.624,15.297,16.304,70307,0
20141215,16.469,16.469,15.21,15.355,93315,0
20141216,15.258,16.517,15.161,16.023,45290,0
20141217,15.868,17.341,15.723,17.283,69842,0
20141218,17.554,17.922,17.36,17.583,112855,0
20141219,17.98,18.455,17.874,18.455,62404,0
20141222,18.455,19.327,17.874,17.98,46455,0
20141223,17.699,18.552,17.438,18.329,42269,0
20141224,18.203,18.717,18.203,18.6,9301,0
20141226,18.513,18.842,18.232,18.591,15135,0
20141229,18.406,19.327,18.406,19.133,58668,0
20141230,19.4,19.4,18.49,18.76,57840,0
20141231,18.59,19.35,18.51,18.9,54994,0
20150102,19.2,19.39,18.96,19.2,14075,0
20150105,19.2,19.2,18.2,18.34,37713,0
20150106,18.68,18.68,17.72,17.85,47811,0
20150107,18.15,18.68,17.8,18.58,29006,0
20150108,18.81,18.86,18.6,18.6,12413,0
20150109,18.65,19.2,18.65,19.2,13252,0
20150112,19.2,19.2,18.42,18.45,21104,0
20150113,18.55,19.03,18.4,18.87,8126,0
20150114,18.76,19,18.4,18.5,26865,0
20150115,19.2,19.2,18.6,18.7,7778,0
20150116,18.83,19.25,18.73,19.24,16571,0
