Date,Open,High,Low,Close,Volume,OpenInt
19830406,5.7774,5.844,5.7016,5.844,172328,0
19830407,5.8251,5.8727,5.8251,5.844,120728,0
19830408,5.9012,5.9773,5.844,5.9583,121716,0
19830411,6.025,6.1011,5.9773,6.0059,224176,0
19830412,6.0535,6.1011,6.0059,6.0725,229113,0
19830413,6.1011,6.1011,6.025,6.1011,203685,0
19830414,6.0535,6.0725,6.0059,6.0535,50861,0
19830415,6.1202,6.1202,6.0059,6.0535,163689,0
19830418,6.0725,6.1011,6.0535,6.1011,52095,0
19830419,6.0725,6.1011,6.0535,6.0535,37773,0
19830420,6.0725,6.1202,6.025,6.0535,58267,0
19830421,6.1011,6.1011,6.0535,6.0725,93571,0
19830422,6.0725,6.1202,6.0535,6.0725,155786,0
19830425,6.1011,6.1487,6.0535,6.0535,106905,0
19830426,6.0725,6.1202,6.025,6.1011,192328,0
19830427,6.1202,6.2723,5.9773,6.1487,149616,0
19830428,6.1963,6.2248,6.1487,6.2248,38268,0
19830429,6.2723,6.2914,6.2248,6.2723,543159,0
19830502,6.2723,6.3198,6.2438,6.2723,49132,0
19830503,6.2723,6.5866,6.2723,6.5866,135542,0
19830504,6.6055,6.6628,6.5387,6.558,155047,0
19830505,6.4915,6.558,6.4151,6.5387,191093,0
19830506,6.5387,6.6342,6.4629,6.6342,306390,0
19830509,6.6342,6.948,6.4915,6.948,156774,0
19830510,6.8531,7.0054,6.8052,6.8245,171838,0
19830511,6.8531,7.0054,6.8245,6.9766,2054868,0
19830512,6.9291,6.9766,6.9006,6.948,169614,0
19830513,7.0529,7.1577,7.0054,7.1577,350088,0
19830516,7.1577,7.1765,7.0813,7.1577,257012,0
19830517,7.1195,7.2148,6.9959,7.0719,532296,0
19830518,7.0244,7.1671,7.0244,7.1195,533777,0
19830519,7.1004,7.1004,6.872,6.872,81721,0
19830520,6.7768,6.8433,6.7198,6.796,85916,0
19830523,6.7483,7.0244,6.7009,7.0244,426379,0
19830524,6.9195,7.0244,6.891,6.9959,59996,0
19830525,6.9388,7.0244,6.872,6.872,80240,0
19830526,6.8245,6.9195,6.7198,6.872,366634,0
19830527,6.796,6.872,6.7768,6.872,58756,0
19830531,6.9195,6.9388,6.7768,6.8433,123692,0
19830601,6.8433,6.872,6.796,6.872,123692,0
19830602,6.8245,6.9195,6.8245,6.9195,265901,0
19830603,6.872,7.0433,6.872,7.0433,104435,0
19830606,6.9959,7.0244,6.9388,6.9388,39501,0
19830607,6.891,6.9766,6.891,6.9388,29872,0
19830608,6.891,6.9195,6.7483,6.7768,133321,0
19830609,6.7198,6.872,6.7198,6.872,93818,0
19830610,6.8245,6.9388,6.796,6.8245,23946,0
19830613,6.796,6.9195,6.796,6.9195,41479,0
19830614,6.872,6.9388,6.8245,6.9388,31600,0
19830615,6.891,7.0719,6.872,7.0719,227633,0
19830616,7.1004,7.1004,6.9959,7.0244,227633,0
19830617,7.0433,7.0433,6.9766,7.0244,331821,0
19830620,6.9766,7.0433,6.891,6.9388,27899,0
19830621,6.891,7.0719,6.872,7.0719,73078,0
19830622,7.0719,7.1195,6.9959,7.1195,113568,0
19830623,7.148,7.148,7.1004,7.148,88881,0
19830624,7.1671,7.4717,7.1671,7.4431,289848,0
19830627,7.3764,7.3764,7.2148,7.2624,33084,0
19830628,7.2624,7.2624,6.9766,7.0719,137517,0
19830629,7.0244,7.0433,6.9195,6.9766,104188,0
19830630,6.9959,7.1004,6.9195,7.1004,110358,0
19830701,7.1195,7.4243,7.0719,7.4243,209857,0
19830705,7.3478,7.3764,7.2433,7.3764,75301,0
19830706,7.3194,7.567,7.2909,7.567,237262,0
19830707,7.4717,7.5385,7.4243,7.4431,97274,0
19830708,7.3764,7.4717,7.3194,7.3194,26910,0
19830711,7.2909,7.3764,7.2433,7.3478,41724,0
19830712,7.3956,7.3956,7.2148,7.2433,32590,0
19830713,7.1671,7.1956,6.9959,7.0244,57524,0
19830714,7.0244,7.1195,6.9959,7.0244,62216,0
19830715,7.0244,7.0433,6.9388,6.9388,111594,0
19830718,6.9766,7.0244,6.9388,6.9959,40490,0
19830719,7.0719,7.1956,7.0433,7.1195,26664,0
19830720,7.1004,7.2148,7.1004,7.2148,23206,0
19830721,7.1956,7.2624,6.7768,6.7768,84684,0
19830722,6.3962,6.5675,6.2248,6.2723,1514179,0
19830725,6.2248,6.3962,6.1963,6.3484,211088,0
19830726,6.3484,6.3962,6.0059,6.0725,797456,0
19830727,6.1487,6.1487,5.9202,6.0059,274541,0
19830728,5.9202,5.9202,5.7964,5.844,410825,0
19830729,5.9012,5.9202,5.7299,5.7488,84932,0
19830801,5.7774,5.7964,5.7299,5.7774,154798,0
19830802,5.7774,5.8727,5.7488,5.7964,233062,0
19830803,5.7964,5.9012,5.7774,5.8727,116778,0
19830804,5.9202,5.9583,5.8251,5.8727,278246,0
19830805,5.9202,5.9202,5.8251,5.844,128877,0
19830808,5.8822,5.9583,5.8061,5.8537,119247,0
19830809,5.8822,5.8822,5.7299,5.8061,160476,0
19830810,5.8061,6.0631,5.8061,6.0346,316512,0
19830811,6.0631,6.1772,6.0346,6.1582,608089,0
19830812,6.3105,6.4057,6.282,6.358,119985,0
19830815,6.5102,6.5102,6.4057,6.4057,390333,0
19830816,6.3105,6.358,6.082,6.1295,48143,0
19830817,6.082,6.3105,6.082,6.3105,132332,0
19830818,6.358,6.3866,6.282,6.3391,158257,0
19830819,6.3105,6.3866,6.3105,6.3866,12343,0
19830822,6.3866,6.5102,6.358,6.4629,175788,0
19830823,6.4629,6.6055,6.4629,6.558,184427,0
19830824,6.4057,6.4915,6.4057,6.4915,84435,0
19830825,6.4343,6.4915,6.4057,6.4343,38268,0
19830826,6.4057,6.4343,6.4057,6.4057,9628,0
19830829,6.4057,6.4629,6.3105,6.358,45428,0
19830830,6.3391,6.358,6.2629,6.2629,70612,0
19830831,6.2629,6.282,6.1772,6.2058,277258,0
19830901,6.1582,6.1772,6.0346,6.0631,50612,0
19830902,6.0631,6.2629,6.0631,6.2629,39748,0
19830906,6.2058,6.3105,6.2058,6.2629,121470,0
19830907,6.2058,6.3105,6.2058,6.2058,128382,0
19830908,6.2058,6.2629,6.2058,6.2058,26418,0
19830909,6.2629,6.3391,6.2058,6.2058,259973,0
19830912,6.2058,6.3391,6.1582,6.2058,50118,0
19830913,6.1582,6.1772,6.1105,6.1105,24937,0
19830914,6.082,6.1295,6.0346,6.0631,21232,0
19830915,6.0631,6.1295,6.0631,6.0631,32342,0
19830916,6.0631,6.1295,6.0631,6.082,57770,0
19830919,6.0631,6.2058,6.0631,6.2058,76288,0
19830920,6.1582,6.1582,6.0631,6.1295,101472,0
19830921,6.082,6.1772,6.082,6.1582,61968,0
19830922,6.1105,6.1772,6.1105,6.1582,54070,0
19830923,6.1105,6.1772,6.0631,6.1105,70856,0
19830926,6.1105,6.1582,6.082,6.1105,34316,0
19830927,6.1105,6.1582,6.082,6.1295,77276,0
19830928,6.1105,6.1295,6.1105,6.1105,25676,0
19830929,6.1105,6.1582,6.1105,6.1582,83694,0
19830930,6.1105,6.1582,6.1105,6.1105,23453,0
19831003,6.082,6.082,6.0631,6.082,177267,0
19831004,6.0346,6.1582,6.0346,6.1105,92089,0
19831005,6.0631,6.1105,6.0152,6.0346,298737,0
19831006,6.0346,6.0631,5.9583,5.9583,46415,0
19831007,6.0346,6.1105,5.9773,6.0631,214302,0
19831010,6.0152,6.0631,6.0152,6.0152,21724,0
19831011,6.0152,6.0346,5.9012,5.9012,23946,0
19831012,5.9012,6.0152,5.8537,5.9012,59497,0
19831013,5.9298,5.9298,5.8822,5.9298,17036,0
19831014,5.8822,5.9583,5.8537,5.9012,30120,0
19831017,5.9012,5.9583,5.9012,5.9012,15303,0
19831018,5.9012,5.9583,5.8822,5.8822,29132,0
19831019,5.8822,5.9583,5.7488,5.7774,44441,0
19831020,5.8061,5.9012,5.8061,5.9012,35304,0
19831021,5.9012,5.9298,5.8537,5.8822,26418,0
19831024,5.8822,5.9298,5.8061,5.8061,74314,0
19831025,5.7774,5.8822,5.6823,5.8537,137517,0
19831026,5.8822,5.9583,5.8537,5.9012,215535,0
19831027,5.9012,5.9012,5.7774,5.8537,32836,0
19831028,5.8346,5.8537,5.8346,5.8537,33577,0
19831031,5.8537,5.9583,5.8537,5.9583,36293,0
19831101,5.9012,6.0152,5.9012,5.9583,136284,0
19831102,5.9583,6.0346,5.9583,6.0346,21724,0
19831103,6.0346,6.0346,5.9298,6.0346,29132,0
19831104,6.0152,6.0152,5.9012,5.9393,22714,0
19831107,5.9393,6.0152,5.9012,5.9393,16048,0
19831108,5.9583,5.9866,5.7583,5.9393,12343,0
19831109,5.9393,5.9866,5.9012,5.9583,299972,0
19831110,5.9393,6.0152,5.9012,5.9866,55303,0
19831111,5.9393,6.0346,5.8822,5.9393,22962,0
19831114,5.9393,6.0346,5.9012,5.9583,52095,0
19831115,5.9012,6.0152,5.8822,5.9393,53081,0
19831116,5.9393,6.139,5.9393,6.139,87153,0
19831117,6.0917,6.1676,6.0917,6.1676,37279,0
19831118,6.0917,6.139,6.0346,6.0346,50364,0
19831121,5.9866,6.1676,5.8822,5.8822,36293,0
19831122,5.9012,5.9012,5.7299,5.787,48389,0
19831123,5.7583,5.9393,5.7583,5.8346,162948,0
19831125,5.8346,5.9012,5.8346,5.8537,36784,0
19831128,5.8822,5.8822,5.7583,5.787,59996,0
19831129,5.787,5.8822,5.787,5.8537,43453,0
19831130,5.9012,5.9393,5.8061,5.8537,30614,0
19831201,5.8346,5.8822,5.787,5.8346,34316,0
19831202,5.8822,5.8822,5.787,5.8346,22714,0
19831205,5.7583,5.787,5.6347,5.7299,106408,0
19831206,5.7583,5.8346,5.5775,5.6347,75796,0
19831207,5.3204,5.5206,5.0635,5.4729,536001,0
19831208,5.5206,5.5491,5.3491,5.4158,144182,0
19831209,5.3683,5.5014,5.3683,5.4729,67400,0
19831212,5.4537,5.5206,5.3968,5.5206,463662,0
19831213,5.4729,5.5491,5.4537,5.5206,101719,0
19831214,5.5206,5.5206,5.4537,5.4729,34316,0
19831215,5.4537,5.4729,5.4537,5.4537,60981,0
19831216,5.4537,5.5014,5.4537,5.4729,34811,0
19831219,5.4537,5.5014,5.4158,5.4729,40982,0
19831220,5.4537,5.5206,5.4537,5.4729,92584,0
19831221,5.5775,5.6062,5.5206,5.5491,84684,0
19831222,5.5491,5.6536,5.5206,5.6536,57034,0
19831223,5.6062,5.6347,5.5491,5.5775,117026,0
19831227,5.7016,5.7016,5.6823,5.7016,19505,0
19831228,5.6823,5.8346,5.6536,5.7299,58267,0
19831229,5.7299,5.8537,5.7299,5.8346,73324,0
19831230,5.8537,5.8537,5.8061,5.8346,62216,0
19840103,5.8822,5.9012,5.787,5.8822,135542,0
19840104,5.8537,5.9012,5.8346,5.8537,19505,0
19840105,5.8061,5.9012,5.8061,5.8537,33822,0
19840106,5.8061,5.8537,5.787,5.8537,52834,0
19840109,5.9012,5.9012,5.787,5.8061,58267,0
19840110,5.8061,5.8537,5.6536,5.7299,117767,0
19840111,5.6536,5.7299,5.5775,5.6536,21479,0
19840112,5.6823,5.787,5.6823,5.7016,65427,0
19840113,5.7016,5.787,5.7016,5.7299,76288,0
19840116,5.787,5.9393,5.7299,5.9012,46415,0
19840117,5.8822,5.9393,5.8537,5.9393,81968,0
19840118,5.9012,5.9583,5.8061,5.9012,67400,0
19840119,5.8822,5.9866,5.8346,5.9393,150602,0
19840120,5.9012,6.0152,5.787,5.8822,81474,0
19840123,5.9393,5.9583,5.787,5.787,29132,0
19840124,5.787,5.9583,5.787,5.9393,66166,0
19840125,5.9393,6.0346,5.8822,5.9393,90362,0
19840126,5.8822,5.9393,5.8537,5.8822,58017,0
19840127,5.8346,5.8346,5.7016,5.7299,61475,0
19840130,5.7016,5.787,5.7016,5.7299,90855,0
19840131,5.7016,5.8537,5.6823,5.8061,52095,0
19840201,5.7583,5.8346,5.7299,5.8061,75301,0
19840202,5.7583,5.787,5.7016,5.7299,66905,0
19840203,5.7299,5.787,5.6536,5.6536,117026,0
19840206,5.6347,5.6823,5.5206,5.5775,193561,0
19840207,5.6823,5.7964,5.6062,5.7964,30366,0
19840208,5.7964,5.7964,5.7393,5.7393,182944,0
19840209,5.6823,5.7108,5.6062,5.7108,55058,0
19840210,5.6823,5.7108,5.6062,5.6062,11604,0
19840213,5.6062,5.7108,5.6062,5.7108,55796,0
19840214,5.6632,5.7108,5.6347,5.7108,22468,0
19840215,5.6632,5.7393,5.6062,5.6062,75054,0
19840216,5.5775,5.6062,5.5014,5.5584,41479,0
19840217,5.5584,5.6062,5.5584,5.6062,42464,0
19840221,5.6632,5.6823,5.6062,5.6062,38023,0
19840222,5.6062,5.6062,5.6062,5.6062,23946,0
19840223,5.6062,5.6823,5.5014,5.6062,31353,0
19840224,5.6632,5.7678,5.6062,5.7678,51599,0
19840227,5.6347,5.6632,5.5014,5.6347,110853,0
19840228,5.6347,5.6823,5.5775,5.5775,208128,0
19840229,5.6347,5.7108,5.5775,5.6062,44933,0
19840301,5.6347,5.9202,5.6347,5.9202,245657,0
19840302,5.863,5.9202,5.7964,5.8155,250595,0
19840305,5.7678,5.8155,5.6347,5.6632,18517,0
19840306,5.6347,5.7108,5.6062,5.6347,54317,0
19840307,5.5775,5.6347,5.5584,5.6062,91350,0
19840308,5.6062,5.6347,5.5775,5.6062,20985,0
19840309,5.5775,5.6632,5.5775,5.6347,10120,0
19840312,5.5775,5.6347,5.5775,5.6062,14318,0
19840313,5.6062,5.6347,5.5584,5.6062,26910,0
19840314,5.6632,5.7108,5.6062,5.6347,39748,0
19840315,5.6823,5.6823,5.5584,5.5775,13086,0
19840316,5.6062,5.6632,5.5775,5.6632,7158,0
19840319,5.6062,5.6347,5.5775,5.6062,18268,0
19840320,5.5775,5.6347,5.5299,5.5299,19999,0
19840321,5.5299,5.5775,5.5299,5.5584,14318,0
19840322,5.5775,5.6062,5.4064,5.4729,114556,0
19840323,5.4729,5.5014,5.4537,5.4729,23453,0
19840326,5.4729,5.5584,5.4537,5.5584,15059,0
19840327,5.5014,5.5584,5.4537,5.5299,23453,0
19840328,5.5014,5.6062,5.5014,5.6062,37032,0
19840329,5.5775,5.5775,5.5584,5.5584,11106,0
19840330,5.5584,5.5775,5.5299,5.5775,45180,0
19840402,5.5775,5.7108,5.5299,5.6632,227633,0
19840403,5.6062,5.6632,5.5584,5.5584,46167,0
19840404,5.6062,5.7108,5.5775,5.6062,109370,0
19840405,5.5584,5.6632,5.5584,5.6062,68140,0
19840406,5.5775,5.6062,5.5014,5.5584,39255,0
19840409,5.6062,5.6632,5.5584,5.6632,263677,0
19840410,5.6632,5.7393,5.6347,5.6632,57282,0
19840411,5.6347,5.7108,5.6062,5.6823,29872,0
19840412,5.6347,5.6823,5.6062,5.6632,178992,0
19840413,5.6062,5.6347,5.5584,5.5584,60734,0
19840416,5.5584,5.6062,5.5014,5.5775,43204,0
19840417,5.5299,5.6347,5.5299,5.5775,39501,0
19840418,5.5584,5.6347,5.5299,5.5584,59006,0
19840419,5.5014,5.5584,5.4729,5.5014,63203,0
19840423,5.5014,5.5775,5.4537,5.4729,33329,0
19840424,5.5014,5.6632,5.4537,5.6062,44441,0
19840425,5.5584,5.7393,5.5584,5.6823,42216,0
19840426,5.6347,5.7108,5.6347,5.6632,53821,0
19840427,5.6062,5.6632,5.5584,5.6062,27157,0
19840430,5.5584,5.6347,5.5584,5.6062,18022,0
19840501,5.6062,5.6823,5.6062,5.6632,25923,0
19840502,5.6823,5.7678,5.6823,5.7393,26171,0
19840503,5.7393,5.8155,5.7393,5.7678,280962,0
19840504,5.7393,5.7678,5.6823,5.7108,34316,0
19840507,5.7108,5.7678,5.6823,5.6823,48389,0
19840508,5.7108,5.7678,5.7108,5.7393,25676,0
19840509,5.7393,5.7964,5.7393,5.7393,230841,0
19840510,5.7393,5.7964,5.7393,5.7678,11604,0
19840511,5.7393,5.7964,5.7393,5.7678,108631,0
19840514,5.7964,5.7964,5.7393,5.7964,174797,0
19840515,5.7393,5.7678,5.7108,5.7678,37279,0
19840516,5.7393,5.9012,5.7108,5.8155,344659,0
19840517,5.7108,5.7964,5.7108,5.7678,81721,0
19840518,5.7393,5.7964,5.7108,5.7964,32836,0
19840521,5.844,5.844,5.7393,5.7964,36045,0
19840522,5.7393,5.844,5.6347,5.7203,363670,0
19840523,5.6823,5.7964,5.6823,5.7393,13579,0
19840524,5.7393,5.844,5.6347,5.6347,58017,0
19840525,5.5775,5.5775,5.5584,5.5584,30862,0
19840529,5.5584,5.5584,5.4729,5.4729,25923,0
19840530,5.3683,5.4253,5.216,5.3683,50364,0
19840531,5.3204,5.3683,5.2636,5.3683,48389,0
19840601,5.3683,5.3683,5.2636,5.3204,77276,0
19840604,5.2445,5.3017,5.1968,5.3017,180230,0
19840605,5.4729,5.8251,5.4253,5.5775,258001,0
19840606,5.5775,5.7393,5.5775,5.7393,135790,0
19840607,5.7678,5.8251,5.6823,5.7678,101472,0
19840608,5.7964,5.7964,5.7203,5.7678,29625,0
